Gene_name,Uniprot_ID,Protein_length,region_1,region_2,region_1_len,region_2_len,PDB ID,PDB Length,Resolution,Model,Label_chain,Auth_chain,PDB residues in region_1,PDB residues in region_2,Percent residues in region_1,Percent residues in region_2
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,8aoh,820,1.6,0,A,A,24,260,100.0,98.11320755
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,6g9a,854,1.91,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,5v62,613,1.9,0,A,A,22,265,91.66666667,100.0
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,1pme,547,2.0,0,A,A,24,261,100.0,98.49056604
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,5nhl,474,2.07,0,A,A,24,265,100.0,100.0
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,4fv2,546,2.0,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,4zzn,706,1.33,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,4fv7,560,1.9,0,A,A,24,263,100.0,99.24528302
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,8aoi,761,1.602,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,5nho,432,2.24,0,A,A,24,265,100.0,100.0
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,7nqq,637,1.943,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,6qa1,659,1.58,0,A,A,24,264,100.0,99.62264151
RAN,P62826,216,179-216,10-169,38,160,2mmg,216,,1,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,2mmg,216,,2,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,2mmg,216,,3,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,2mmg,216,,4,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,2mmg,216,,5,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,2mmg,216,,6,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,2mmg,216,,7,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,2mmg,216,,8,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,2mmg,216,,9,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,5zpu,258,2.6,0,A,A,32,160,84.21052632,100.0
RAN,P62826,216,179-216,10-169,38,160,6tvo,1012,3.201,0,A,B,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,7cnd,351,1.8,0,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,6x2w,208,3.001,0,A,A,35,160,92.10526316,100.0
RAN,P62826,216,179-216,10-169,38,160,6m60,318,2.17,0,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,5ysu,273,2.3,0,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,6x2s,276,2.496,0,A,A,35,160,92.10526316,100.0
RAN,P62826,216,179-216,10-169,38,160,6xjr,415,1.941,0,A,A,36,160,94.73684211,100.0
RAN,P62826,216,179-216,10-169,38,160,4wvf,433,1.8,0,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,6x2y,282,2.304,0,A,A,35,160,92.10526316,100.0
RAN,P62826,216,179-216,10-169,38,160,5uww,347,2.152,0,A,A,36,160,94.73684211,100.0
RAN,P62826,216,179-216,10-169,38,160,6a38,237,2.69,0,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,6kft,236,2.51,0,A,A,38,160,100.0,100.0
RAN,P62826,216,179-216,10-169,38,160,4hb2,421,1.8,0,A,A,34,160,89.47368421,100.0
RAN,P62826,216,179-216,10-169,38,160,6xjt,210,2.406,0,A,A,38,160,100.0,100.0
,P00579,613,Feb-80,"379-449,458-534",79,148,6pst,1169,2.6,0,J,L,65,148,82.27848101,100.0
,P00579,613,Feb-80,"379-449,458-534",79,148,7khi,557,2.6,0,F,F,75,148,94.93670886,100.0
