Gene_name,Uniprot_ID,Protein_length,region_1,region_2,PDB
KPNA2,P52293,529,2-60,"142-238,315-403",1EJL 1EJY 1IAL 1IQ1 1PJM 1PJN 1Q1S 1Q1T 1Y2A 2C1M 2YNR 3BTR 3KND 3L3Q 3OQS 3Q5U 3RZ9 3RZX 3TPM 3TPO 3UKW 3UKX 3UKY 3UKZ 3UL0 3UL1 3UVU 3VE6 3ZIN 3ZIO 3ZIP 3ZIQ 3ZIR 4BA3 4HTV 4MZ5 4MZ6 4OIH 4U54 4U58 4U5L 4U5N 4U5O 4U5S 4U5U 4U5V 4UAF 4YI0 4ZDU 5B56 5CTT 5D5K 5E6Q 5EKF 5EKG 5FC8 5GXW 5HHG 5HUW 5HUY 5K9S 5KLR 5KLT 5SVZ 5U5P 5U5R 5UMZ 5V5O 5V5P 5W41 5W4E 5W4F 5W4G 5WUM 5WUN 5X8N 6BVT 6BW0 6BW1 6D7M 6D7N 6IU7 6IUA 6IW8 6IWA 6K06 6MJL 6P6A 6P6E 6WBA 6WBB 6WBC 6WX7 7JJM 7JK7 7JVO 7L04 7LEQ 7LET 7LEU 7M60 7RFX 7RFZ 7RG0 7RG1 7RG2 7RG3 7RG4 7RG6
RAN,P62826,216,179-216,10-169,1I2M 1IBR 1K5D 1K5G 1QBK 1RRP 2MMC 2MMG 2N1B 3CH5 3EA5 3GJ0 3GJ3 3GJ4 3GJ5 3GJ6 3GJ7 3GJ8 3GJX 3NBY 3NBZ 3NC0 3NC1 3ZJY 4C0Q 4GMX 4GPT 4HAT 4HAU 4HAV 4HAW 4HAX 4HAY 4HAZ 4HB0 4HB2 4HB3 4HB4 4OL0 4WVF 5CIQ 5CIT 5CIW 5CJ2 5CLL 5CLQ 5DH9 5DHA 5DHF 5DI9 5DIF 5DIS 5DLQ 5FYQ 5JLJ 5UWH 5UWI 5UWJ 5UWO 5UWP 5UWQ 5UWR 5UWS 5UWT 5UWU 5UWW 5YRO 5YST 5YSU 5YTB 5ZPU 6A38 6A3A 6A3B 6A3C 6A3E 6CIT 6KFT 6LQ9 6M60 6M6X 6Q82 6Q84 6TVO 6X2M 6X2O 6X2P 6X2R 6X2S 6X2U 6X2V 6X2W 6X2X 6X2Y 6XJP 6XJR 6XJS 6XJT 6XJU 7B51 7CND 7DBG 7L5E
BRAF,P15056,766,100-345,457-717,1UWH 1UWJ 2FB8 2L05 3C4C 3D4Q 3IDP 3II5 3NY5 3OG7 3PPJ 3PPK 3PRF 3PRI 3PSB 3PSD 3Q4C 3Q96 3SKC 3TV4 3TV6 4CQE 4DBN 4E26 4E4X 4EHE 4EHG 4FC0 4FK3 4G9C 4G9R 4H58 4JVG 4KSP 4KSQ 4MBJ 4MNE 4MNF 4PP7 4R5Y 4RZV 4RZW 4WO5 4XV1 4XV2 4XV3 4XV9 4YHT 5C9C 5CSW 5CSX 5CT7 5FD2 5HI2 5HID 5HIE 5ITA 5J17 5J18 5J2R 5JRQ 5JSM 5JT2 5VAL 5VAM 5VR3 5VYK 6B8U 6CAD 6N0P 6N0Q 6NSQ 6NYB 6P3D 6P7G 6PP9 6Q0J 6Q0K 6Q0T 6U2G 6U2H 6UAN 6UUO 6V2U 6V2W 6V34 6XAG 6XFP 6XLO 7K0V 7M0T 7M0U 7M0V 7M0W 7M0X 7M0Y 7M0Z 7MFD 7MFE 7MFF 7P3V
PDE4D,Q08499,809,271-339,386-715,1E9K 1MKD 1OYN 1PTW 1Q9M 1TB7 1TBB 1XOM 1XON 1XOQ 1XOR 1Y2B 1Y2C 1Y2D 1Y2E 1Y2K 1ZKN 2FM0 2FM5 2PW3 2QYN 3G4G 3G4I 3G4K 3G4L 3G58 3IAD 3IAK 3K4S 3SL3 3SL4 3SL5 3SL6 3SL8 3V9B 4OGB 4W1O 4WCU 5K1I 5K32 5LBO 5TKB 5WH5 5WH6 5WQA 6AKR 6BOJ 6F6U 6F8R 6F8T 6F8U 6F8V 6F8W 6F8X 6FDC 6FDI 6FE7 6FEB 6FET 6FT0 6FTA 6FTW 6FW3 6HWO 6IAG 6IBF 6IM6 6IMB 6IMD 6IMI 6IMO 6IMR 6IMT 6IND 6INK 6INM 6KJZ 6KK0 6LRM 6NJH 6NJI 6NJJ 6RCW 6ZBA 7A8Q 7A9V 7AAG 7AB9 7ABD 7ABE 7ABJ 7AY6 7B9H 7CBJ 7CBQ 7F2K 7F2L 7F2M
GSK3B,P49841,420,3-12,56-340,1GNG 1H8F 1I09 1J1B 1J1C 1O6K 1O6L 1O9U 1PYX 1Q3D 1Q3W 1Q41 1Q4L 1Q5K 1R0E 1UV5 2JDO 2JDR 2JLD 2O5K 2OW3 2UW9 2X39 2XH5 3CQU 3CQW 3DU8 3E87 3E88 3E8D 3F7Z 3F88 3GB2 3I4B 3L1S 3M1S 3MV5 3OW4 3PUP 3Q3B 3QKK 3SAY 3SD0 3ZDI 3ZRK 3ZRL 3ZRM 4ACC 4ACD 4ACG 4ACH 4AFJ 4B7T 4DIT 4EKK 4IQ6 4J1R 4J71 4NM0 4NM3 4NM5 4NM7 4PTC 4PTE 4PTG 5F94 5F95 5HLN 5HLP 5K5N 5KPK 5KPL 5KPM 5OY4 5T31 6B8J 6BUU 6GJO 6GN1 6H0U 6HK3 6HK4 6HK7 6NPZ 6TCU 6V6L 6Y9R 6Y9S 7B6F
RELA,Q04206,551,436-550,1-194,1NFI 2LSP 2O61 3GUT 3QXY 3RC0 4KV1 4KV4 5U4K 5URN 6NV2 6QHL 6QHM 6YOW 6YOX 6YOY 6YP2 6YP3 6YP8 6YPL 6YPY 6YQ2 7BI3 7BIQ 7BIW 7BIY 7BJB 7BJF 7BJL 7BJW 7BKH 7LET 7LEU 7LF4 7NJ9 7NJB 7NK3 7NK5 7NLA 7NLE 7NM1 7NM3 7NM9 7NMH 7NQP 7NR7 7NSV 7NV4 7NVI 7NWS 7NXS 7NXT 7NXW 7NXY 7NY4 7NYE 7NYF 7NYG 7NZ6 7NZG 7NZK 7NZV 7O34 7O3A 7O3F 7O3P 7O3Q 7O3R 7O3S 7O57 7O59 7O5A 7O5C 7O5D 7O5F 7O5G 7O5O 7O5P 7O5S 7O5U 7O5X 7O6F 7O6G 7O6I 7O6J 7O6K 7O6M 7O6O
SYK,P43405,635,"93-167,245-370",371-631,1A81 1CSY 1CSZ 1XBA 1XBB 1XBC 3BUW 3EMG 3FQE 3FQH 3FQS 3SRV 3TUB 3TUC 3TUD 3VF8 3VF9 4DFL 4DFN 4F4P 4FL1 4FL2 4FL3 4FYN 4FYO 4FZ6 4FZ7 4GFG 4I0R 4I0S 4I0T 4PUZ 4PV0 4PX6 4RSS 4RX7 4RX8 4RX9 4WNM 4XG2 4XG3 4XG4 4XG6 4XG7 4XG8 4XG9 4YJO 4YJP 4YJQ 4YJR 4YJS 4YJT 4YJU 4YJV 5C26 5C27 5CXH 5CXZ 5CY3 5GHV 5LMA 5LMB 5T68 5TIU 5TR6 5TT7 5Y5T 5Y5U 6HM6 6HM7 6SSB 6VOV 6ZC0 6ZCP 6ZCQ 6ZCR 6ZCS 6ZCU 6ZCX 6ZCY 7Q5T 7Q5U 7Q5W 7Q63 7SA7
,P00579,613,2-80,"379-449,458-534",1SIG 1TLH 2P7V 3IYD 3T72 4JK1 4JK2 4JKR 4KMU 4KN4 4KN7 4LJZ 4LK0 4LK1 4LLG 4MEX 4MEY 4XSX 4XSY 4XSZ 4YFK 4YFN 4YFX 4YG2 4YLN 4YLO 4YLP 4ZH2 4ZH3 4ZH4 5UAC 5UAG 5UAH 5UAJ 5UAL 5UAQ 5VSW 5VT0 5W1S 5W1T 6B6H 6BYU 6C9Y 6CA0 6CUX 6JNX 6K4Y 6LDI 6N4C 6N57 6N58 6OUL 6P18 6P1K 6PB4 6PB5 6PB6 6PSQ 6PSR 6PSS 6PST 6PSU 6PSV 6PSW 6VJS 6WMU 6XH7 6XH8 6XL5 6XL9 6XLJ 6XLL 6XLM 7BEF 7C17 7C97 7CHW 7DY6 7KHB 7KHC 7KHE 7KHI
SOS1,Q07889,1333,1-198,198-565,1AWE 1BKD 1DBH 1NVU 1NVV 1NVW 1NVX 1Q9C 1XD2 1XD4 1XDV 2II0 3KSY 4NYI 4NYJ 4NYM 4URU 4URV 4URW 4URX 4URY 4URZ 4US0 4US1 4US2 5OVD 5OVE 5OVF 5OVG 5OVH 5OVI 5WFO 5WFP 5WFQ 5WFR 6BVI 6BVJ 6BVK 6BVL 6BVM 6CUO 6CUP 6CUR 6D55 6D56 6D59 6D5E 6D5G 6D5H 6D5J 6D5L 6D5M 6D5V 6D5W 6EPL 6EPM 6EPN 6EPO 6EPP 6F08 6SCM 6SFR 6V94 6V9F 6V9J 6V9L 6V9M 6V9N 6V9O 6Y44 7AVI 7AVL 7AVS 7AVT 7AVU 7AVV 7KFZ
ALK,Q9UM73,1620,"1279-1288,1158-1173","1116-1157,1174-1278,1289-1392",2KUP 2KUQ 2XB7 2XBA 2XP2 2YFX 2YHV 2YJR 2YJS 2YS5 2YT2 3AOX 3L9P 3LCS 3LCT 4ANL 4ANQ 4ANS 4CCB 4CCU 4CD0 4CLI 4CLJ 4CMO 4CMT 4CMU 4CNH 4CTB 4CTC 4DCE 4FNW 4FNX 4FNY 4FNZ 4FOB 4FOC 4FOD 4JOA 4MKC 4TT7 4Z55 5A9U 5AA8 5AA9 5AAA 5AAB 5AAC 5FTO 5FTQ 5IMX 5IUG 5IUH 5IUI 5KZ0 5VZ5 6AT9 6CDT 6E0R 6EBW 6EDL 6MX8 7BTT 7JY4 7JYR 7JYS 7JYT 7LRZ 7LS0 7MZW 7MZY 7N00 7NWZ 7NX3 7NX4
NOS1,P29475,1434,834-875,760-940,4D1N 4UCH 4UH5 4UH6 4V3U 5ADF 5ADG 5ADI 5FVU 5FVV 5FVW 5FVX 5UO1 5UO2 5UO3 5UO4 5UO5 5UO6 5UO7 5VUV 5VUW 5VUX 5VUY 5VUZ 5VV0 5VV1 5VV2 5VV3 5VV4 5VV5 6AUY 6AUZ 6AV0 6AV1 6AV2 6AV3 6AV4 6AV5 6CIC 6CID 6NG1 6NG2 6NG4 6NG5 6NG6 6NG7 6NG8 6NGA 6NGB 6NGC 6NGD 6NGE 6NGF 6NGH 6NGI 6NHB 6NHC 6PNA 6PNB 6PNC 6PND 6PNE 6PNF 6PNG 6PNH 6PO5 6PO7 6PO8 6PO9 6POA 6POB 6POC 6POT
ABL1,P00519,1130,"67-113,127-217",242-493,1AB2 1AWO 1BBZ 1JU5 1OPL 1ZZP 2ABL 2E2B 2F4J 2FO0 2G1T 2G2F 2G2H 2G2I 2GQG 2HIW 2HYY 2HZ0 2HZ4 2HZI 2O88 2V7A 3CS9 3EG0 3EG1 3EG2 3EG3 3EGU 3K2M 3PYY 3QRI 3QRJ 3QRK 3T04 3UE4 3UYO 4J9B 4J9C 4J9D 4J9E 4J9F 4J9G 4J9H 4J9I 4JJB 4JJC 4JJD 4TWP 4WA9 4XEY 4YC8 4ZOG 5DC0 5DC4 5DC9 5HU9 5MO4 5NP2 5OAZ 6AMV 6AMW 6BL8 6NPE 6NPU 6NPV 6XR6 6XR7 6XRG 7CC2 7DT2
FGFR1,P11362,822,120-149,"158-246,478-767",1AGW 1CVS 1EVT 1FGI 1FGK 1FQ9 1XR0 2CR3 2FGI 3C4F 3DPK 3GQI 3GQL 3JS2 3KRJ 3KRL 3KXX 3KY2 3OJV 3RHX 3TT0 4F63 4F64 4F65 4NK9 4NKA 4NKS 4RWI 4RWJ 4RWK 4RWL 4UWB 4UWC 4UWY 4V01 4V04 4V05 4WUN 4ZSA 5A46 5A4C 5AM6 5AM7 5B7V 5EW8 5FLF 5O49 5O4A 5UQ0 5UR1 5VND 5W21 5W59 5Z0S 5ZV2 6C18 6C19 6C1B 6C1C 6C1O 6ITJ 6MZQ 6MZW 6NVL 6P68 6P69 7OZB 7OZD 7OZF
PTPN11,Q06124,593,3-104,247-517,2SHP 3B7O 3MOW 3O5X 3TKZ 3TL0 3ZM0 3ZM1 3ZM2 3ZM3 4DGP 4DGX 4GWF 4H1O 4H34 4JE4 4JEG 4JMG 4NWF 4NWG 4OHD 4OHE 4OHH 4OHI 4OHL 4PVG 4QSY 4RDD 5BK8 5DF6 5EHP 5EHR 5I6V 5IBM 5IBS 5X7B 5X94 5XZR 6ATD 6BMR 6BMU 6BMV 6BMW 6BMX 6BMY 6BN5 6CMP 6CMQ 6CMR 6CMS 6CRF 6CRG 6MD7 6MD9 6MDA 6MDB 6MDC 6MDD 6R5G 6WU8 7EMN 7JVM 7JVN 7R75 7R7D 7R7I 7R7L 7RCT
SRC,P12931,536,"249-269,151-248","84-145,524-536",1A07 1A08 1A09 1A1A 1A1B 1A1C 1A1E 1FMK 1HCS 1HCT 1KSW 1O41 1O42 1O43 1O44 1O45 1O46 1O47 1O48 1O49 1O4A 1O4B 1O4C 1O4D 1O4E 1O4F 1O4G 1O4H 1O4I 1O4J 1O4K 1O4L 1O4M 1O4N 1O4O 1O4P 1O4Q 1O4R 1SHD 1Y57 1YI6 1YOJ 1YOL 1YOM 2BDF 2BDJ 2H8H 2SRC 3VRO 3ZMP 3ZMQ 4F59 4F5A 4F5B 4HXJ 4K11 4MXO 4MXX 4MXY 4MXZ 6ATE 6C4S 6E6E 6EHJ 7NG7
PMAIP1,P00782,382,1-77,112-381,1A2Q 1AK9 1AQN 1AU9 1DUI 1GNS 1GNV 1LW6 1S01 1S02 1SBH 1SBI 1SBN 1SBT 1SIB 1SPB 1ST2 1SUA 1SUB 1SUC 1SUD 1SUE 1SUP 1TM1 1TM3 1TM4 1TM5 1TM7 1TMG 1TO1 1TO2 1UBN 1V5I 1Y1K 1Y33 1Y34 1Y3B 1Y3C 1Y3D 1Y3F 1Y48 1Y4A 1Y4D 1YJA 1YJB 1YJC 2SBT 2SIC 2SNI 2ST1 3BGO 3CNQ 3CO0 3F49 3SIC 5OX2 5SIC 7AM3 7AM4 7AM5 7AM6 7AM7 7AM8
PLK1,P53350,603,367-603,53-305,1Q4K 1Q4O 1UMW 2OGQ 2OJX 2OU7 2OWB 2RKU 2V5Q 2YAC 3BZI 3C5L 3FC2 3FVH 3HIH 3HIK 3KB7 3P2W 3P2Z 3P34 3P35 3P36 3P37 3Q1I 3RQ7 3THB 4A4L 4A4O 4DFW 4E67 4E9C 4E9D 4H5X 4H71 4HAB 4HCO 4HY2 4J52 4J53 4LKL 4LKM 4O56 4O6W 4O9W 4RCP 4WHH 4WHK 4WHL 4X9R 4X9V 4X9W 5J19 5NEI 5NFU 5NJE 5NMM 5NN1 5NN2 5TA6 5TA8 6AX4 6GY2
MAP2K1,Q02750,393,75-102,"68-74,103-361",1S9J 2P55 3DV3 3DY7 3E8N 3EQB 3EQC 3EQD 3EQF 3EQG 3EQH 3EQI 3MBL 3ORN 3OS3 3PP1 3SLS 3V01 3V04 3VVH 3W8Q 3WIG 3ZLS 3ZLW 3ZLX 3ZLY 3ZM4 4AN2 4AN3 4AN9 4ANB 4ARK 4LMN 4MNE 4U7Z 4U80 4U81 5BX0 5EYM 5HZE 5YT3 6NYB 6PP9 6Q0J 6Q0T 6U2G 6V2W 6X2P 6X2S 6X2X 7B3M 7B7R 7B94 7B9L 7M0T 7M0U 7M0V 7M0W 7M0X 7M0Y 7M0Z 7MFD
LCK,P06239,509,"127-244,341-408","61-121,499-509",1BHF 1BHH 1CWD 1CWE 1FBZ 1H92 1IJR 1KIK 1LCJ 1LCK 1LKK 1LKL 1Q68 1Q69 1QPC 1QPD 1QPE 1QPJ 1X27 2IIM 2OF2 2OF4 2OFU 2OFV 2OG8 2PL0 2ZM1 2ZM4 2ZYB 3AC1 3AC2 3AC3 3AC4 3AC5 3AC8 3ACJ 3ACK 3AD4 3AD5 3AD6 3B2W 3BRH 3BYM 3BYO 3BYS 3BYU 3KMM 3KXZ 3LCK 3MPM 4C3F 4D8K 5MTM 5MTN 6H6A 6PDJ
KDR,P35968,1356,790-833,834-1162,1VR2 1Y6A 1Y6B 1YWN 2M59 2MET 2MEU 2OH4 2P2H 2P2I 2QU5 2QU6 2RL5 2X1W 2X1X 2XIR 3B8Q 3B8R 3BE2 3C7Q 3CJF 3CJG 3CP9 3CPB 3CPC 3DTW 3EFL 3EWH 3KVQ 3S35 3S36 3S37 3U6J 3V2A 3V6B 3VHE 3VHK 3VID 3VNT 3VO3 3WZD 3WZE 4AG8 4AGC 4AGD 4ASD 4ASE 5EW3 5OYJ 6GQO 6GQP 6GQQ 6XVJ 6XVK
NTRK1,P04629,796,287-384,510-781,1HE7 1SHC 1WWA 1WWW 2IFG 2N90 4AOJ 4CRP 4F0I 4GT5 4PMM 4PMP 4PMS 4PMT 4YNE 4YPS 5H3Q 5I8A 5JFS 5JFV 5JFW 5JFX 5KMI 5KMJ 5KMK 5KML 5KMM 5KMN 5KMO 5KVT 5WR7 6D1Y 6D1Z 6D20 6D22 6DKB 6DKG 6DKI 6DKW 6IQN 6J5L 6NPT 6NSP 6NSS 6PL1 6PL2 6PL3 6PL4 6PMA 6PMB 6PMC 6PME
TMEM173,Q86WV6,379,340-379,153-339,4EF4 4EF5 4EMT 4EMU 4F5D 4F5E 4F5W 4F5Y 4F9E 4F9G 4KSY 4LOH 4LOI 4QXO 4QXP 4QXQ 4QXR 5BQX 5JEJ 6CFF 6CY7 6DNK 6DXG 6DXL 6MX0 6MX3 6MXE 6NT5 6O8B 6O8C 6RM0 6S26 6S27 6S86 6UKM 6UKU 6UKV 6UKW 6UKX 6UKY 6UKZ 6UL0 6XF3 6XF4 6XNP 6Y99 6YWA 7KVX 7KW1
FYN,P06241,537,"149-246,247-270","82-143,525-537",1A0N 1AOT 1AOU 1AVZ 1AZG 1EFN 1FYN 1G83 1M27 1NYF 1NYG 1SHF 1ZBJ 2DQ7 2MQI 2MRJ 2MRK 3H0F 3H0H 3H0I 3UA6 3UA7 4D8D 4EIK 4U17 4U1P 4ZNX 5ZAU 6EDF 6IPY 6IPZ 7A2J 7A2K 7A2L 7A2M 7A2N 7A2O 7A2P 7A2Q 7A2R 7A2S 7A2T 7A2U 7A2V 7A2W 7A2X 7A2Y 7A2Z
FGFR2,P21802,821,125-144,"154-247,481-770",1DJS 1E0O 1EV2 1GJO 1II4 1IIL 1NUN 1OEC 1WVZ 2FDB 2PSQ 2PVF 2PVY 2PWL 2PY3 2PZ5 2PZP 2PZR 2Q0B 3B2T 3CAF 3CLY 3CU1 3DAR 3EUU 3OJ2 3OJM 3RI1 4J23 4J95 4J96 4J97 4J98 4J99 4WV1 5EG3 5UGL 5UGX 5UHN 5UI0 6AGX 6LVK 6LVL 6V6Q 7KIA 7KIE 7OZY
NOS3,P29474,1203,580-635,520-703,1M9J 1M9K 1M9M 1M9Q 1M9R 1NIW 2LL7 2MG5 2N8J 3EAH 3NOS 4D1O 4D1P 5UO8 5UO9 5UOA 5UOB 5UOC 5VVB 5VVC 5VVD 5XOF 6AV6 6AV7 6CIE 6CIF 6NH1 6NH2 6NH3 6NH4 6NH5 6NH6 6NH7 6NH8 6NHF 6POU 6POV 6POW 6POX 6POY 6POZ 6PP0 6PP1 6PP2 6PP3 6PP4
TBP,P20226,339,1-55,"165-241,255-332",1C9B 1CDW 1JFI 1NVP 1TGH 4ROC 4ROD 4ROE 5FUR 5IY6 5IY7 5IY8 5IY9 5IYA 5IYB 5IYC 5IYD 5N9G 6MZD 6MZL 6MZM 6O9L 7EDX 7EG7 7EG8 7EG9 7EGA 7EGB 7EGC 7EGD 7EGE 7EGF 7EGI 7EGJ 7ENA 7ENC 7LBM 7NVR 7NVS 7NVT 7NVU 7NVY 7NVZ 7NW0
PCSK9,Q8NBP7,692,31-60,155-461,2P4E 2PMW 2QTW 2W2M 2W2N 2W2O 2W2P 2W2Q 2XTJ 3BPS 3GCW 3GCX 3H42 3M0C 3P5B 3P5C 3SQO 4K8R 4NE9 4NMX 4OV6 5OCA 5VL7 5VLA 5VLH 5VLK 5VLL 5VLP 6E4Y 6E4Z 6MV5 6OLZ 6OM0 6OM7 6U26 6U2F 6U2N 6U2P 6U36 6U38 6U3I 6U3X 7ANQ
INSR,P06213,1382,980-1017,1023-1298,1GAG 1I44 1IR3 1IRK 1P14 1RQQ 2AUH 2B4S 2HR7 2MFR 2Z8C 3BU3 3BU5 3BU6 3EKK 3EKN 3ETA 3W11 3W12 3W13 4IBM 4OGA 4XLV 4XSS 4XST 4ZXB 5E1S 5HHW 5J3H 5KQV 5U1M 6HN4 6HN5 6PXV 6PXW 6SOF 6VEP 6VEQ 7BW7 7BW8 7BWA 7KD6
NEIL1,Q96FI4,390,244-245,220-280,1TDH 4NRV 5ITQ 5ITR 5ITT 5ITU 5ITX 5ITY 6LWA 6LWB 6LWC 6LWD 6LWF 6LWG 6LWH 6LWI 6LWJ 6LWK 6LWL 6LWM 6LWN 6LWO 6LWP 6LWQ 6LWR
PDE4B,Q07343,736,166-281,330-649,1F0J 1RO6 1RO9 1ROR 1TB5 1XLX 1XLZ 1XM4 1XM6 1XMU 1XMY 1XN0 1XOS 1XOT 1Y2H 1Y2J 2CHM 2QYL 3D3P 3FRG 3G45 3GWT 3HC8 3HDZ 3HMV 3KKT 3LY2 3O0J 3O56 3O57 3W5E 3WD9 4KP6 4MYQ 4NW7 4WZI 4X0F 5K6J 5LAQ 5OHJ 6BOJ
PAK4,O96013,591,1-130,321-572,2BVA 2CDZ 2J0I 2OV2 2Q0N 2X4Z 4APP 4FIE 4FIF 4FIG 4FIH 4FII 4FIJ 4JDH 4JDI 4JDJ 4JDK 4L67 4NJD 4O0V 4O0X 4O0Y 4XBR 4XBU 5BMS 5I0B 5UPK 5UPL 5VED 5VEE 5VEF 5XVA 5XVF 5XVG 5ZJW 6WLX 6WLY 7CMB 7CP3 7CP4
PDE5A,O76074,875,403-539,156-331,1RKP 1T9R 1T9S 1TBF 1UDT 1UDU 1UHO 1XOZ 1XP0 2CHM 2H40 2H42 2H44 2XSS 3B2R 3BJC 3HC8 3HDZ 3JWQ 3JWR 3LFV 3MF0 3SHY 3SHZ 3SIE 3TGE 3TGG 4G2W 4G2Y 4I9Z 4IA0 4MD6 4OEW 4OEX 5JO3 5ZZ2 6ACB 6IWI 6L6E 6VBI
ERBB2,P04626,1255,676-684,720-987,1MFG 1MFL 1MW4 1N8Z 1QR1 1S78 2A91 2JWA 2KS1 2L4K 2N2A 3BE1 3H3B 3MZW 3N85 3PP0 3RCD 3WLW 3WSQ 4GFU 4HRL 4HRM 4HRN 4NND 5K33 5KWG 5MY6 5O4G 5OB4 5TQS 6ATT 6BGT 6J71 6LBX 6OGE 7JXH 7MN5 7MN6 7MN8
HSPA8,P11142,646,263-287,225-262,3AGY 3AGZ 3ESK 3FZF 3FZH 3FZK 3FZL 3FZM 3LDQ 3M3Z 4H5N 4H5R 4H5T 4H5V 4H5W 4HWI 4KBQ 5AQF 5AQG 5AQH 5AQI 5AQJ 5AQK 5AQL 5AQM 5AQN 5AQO 5AQP 5AQQ 5AQR 5AQS 5AQT 5AQU 5AQV 6B1I 6B1M 6B1N 6ZYJ
DLG4,P31016,724,428-498,534-709,1BE9 1BFE 1IU0 1IU2 1JXM 1JXO 1KJW 1QLC 1RGR 1TP3 1TP5 1TQ3 2KA9 2MHO 2XKX 3GSL 3WP0 3WP1 5B64 5D13 5GNV 5HDY 5HEB 5HED 5HET 5HEY 5HF1 5HF4 5HFB 5HFC 5HFD 5HFE 5HFF 5MZ7 5W72 5YPO 5YPR 7CQF
HCK,P08631,526,"142-239,240-259","76-136,514-425",1AD5 1BU1 1QCF 2C0I 2C0O 2C0T 2HCK 2HK5 2OI3 2OJ2 3HCK 3NHN 3RBB 3REA 3REB 3VRY 3VRZ 3VS0 3VS1 3VS2 3VS3 3VS4 3VS5 3VS6 3VS7 4HCK 4LUD 4LUE 4ORZ 4U5W 5H09 5H0B 5H0E 5H0G 5H0H 5HCK 5NUH 5ZJ6
SIRT2,Q8IXJ6,389,320-352,65-319,1J8F 3ZGO 3ZGV 4L3O 4R8M 4RMG 4RMH 4RMI 4RMJ 4X3O 4X3P 4Y6L 4Y6O 4Y6Q 5D7O 5D7P 5D7Q 5DY4 5DY5 5FYQ 5G4C 5MAR 5MAT 5Y0Z 5Y5N 5YQL 5YQM 5YQN 5YQO 6L65 6L66 6L71 6L72 6NR0 6QCN 7BOS 7BOT
EP300,Q09472,2414,1520-1581,1287-1663,1L3E 1P4Q 2K8F 2MH0 2MZD 3BIY 3I3J 3IO2 3P57 3T92 4BHW 4PZR 4PZS 4PZT 5BT3 5KJ2 5LKT 5LKU 5LKX 5LKZ 5LPK 5LPM 5NU5 5XZC 6DS6 6FGN 6FGS 6GYR 6GYT 6K4N 6PF1 6PGU 6V8B 6V8K 6V8N 6V90 7LJE
MDM4,O15151,490,190-210,26-106,2CR8 2MWY 2N06 2N0U 2N0W 2N14 2VJE 2VJF 2VYR 3DAB 3EQY 3FDO 3FE7 3FEA 3JZO 3JZP 3JZQ 3LBJ 3MQR 3U15 4RXZ 5MNJ 5UML 5VK1 6Q9Q 6Q9S 6Q9U 6Q9W 6Q9Y 6YR5 6YR7 7C3Q 7C3Y 7C44 7EL4 7KJN
VCL,P18206,1134,878-890,896-1066,1RKC 1RKE 1SYQ 1TR2 1YDI 2GWW 2HSQ 2IBF 3H2U 3H2V 3JBK 3MYI 3RF3 3S90 3TJ5 3TJ6 3VF0 4DJ9 4EHP 4LN2 4LNP 4PR9 5L0C 5L0D 5L0F 5L0G 5L0H 5L0I 5L0J 5O2Q 6FUY 6UPW 7KTT 7KTU 7KTV 7KTW
ITK,Q08881,620,4-111,363-615,1SM2 1SNU 1SNX 2E6I 2LMJ 2YUQ 3MIY 3MJ1 3MJ2 3QGW 3QGY 3T9T 3V5J 3V5L 3V8T 3V8W 4HCT 4HCU 4HCV 4KIO 4L7S 4M0Y 4M0Z 4M12 4M13 4M14 4M15 4MF0 4MF1 4PP9 4PPA 4PPB 4PPC 4PQN 4QD6 4RFM
PTK2,Q05397,1052,35-355,422-680,1K04 1K05 1MP8 1OW6 1OW7 1OW8 2ETM 2IJM 3B71 3BZ3 3PXK 3S9O 4EBV 4EBW 4GU6 4GU9 4I4E 4I4F 4K8A 4K9Y 4KAB 4KAO 4NY0 4Q9S 6I8Z 6LES 6PW8 6YOJ 6YQ1 6YR9 6YT6 6YVS 6YVY 6YXV 7PI4
AKT1,P31749,480,5-108,150-408,1H10 1UNP 1UNQ 1UNR 2UVM 2UZR 2UZS 3CQU 3CQW 3MV5 3MVH 3O96 3OCB 3OW4 3QKK 3QKL 3QKM 4EJN 4EKK 4EKL 4GV1 5KCV 6BUU 6CCY 6HHF 6HHG 6HHH 6HHI 6HHJ 6NPZ 6S9W 6S9X 7APJ 7NH4 7NH5
PTK2,Q00944,1053,35-362,422-680,1KTM 1PV3 1QVX 2AEH 2AL6 2J0J 2J0K 2J0L 2J0M 2JKK 2JKM 2JKO 2JKQ 2L6F 2L6G 2L6H 3ZDT 4BRX 4C7T 4CYE 4D4R 4D4S 4D4V 4D4Y 4D55 4D58 4D5H 4D5K 6CB0 6GCR 6GCW 6GCX 6TY3 6TY4
RET,P07949,1114,900-909,"724-899,910-1016",2IVS 2IVT 2IVU 2IVV 2X2K 2X2L 2X2M 2X2U 4CKI 4CKJ 4UX8 5AMN 5FM2 5FM3 6FEK 6GL7 6I82 6I83 6NE7 6NEC 6NJA 6Q2J 6Q2N 6Q2O 6Q2R 6Q2S 6VHG 7DU9 7DUA 7JU5 7JU6 7RUN
