Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB,
AIM2,8-79,ENSG00000163568,O14862,"Uniprot,22483801",343,HIN-200,138-337,Uniprot,ENST00000368130,Uniprot,Interferon-inducible protein AIM2 (Absent in melanoma 2),AIM2,343,Homo sapiens (Human),1-107(PYD domain),22483801,"Interferon-inducible protein AIM2 have been identified as DNA receptors that induce inflammasome formation. AIM2 contains a C-terminal DNA-binding HIN domain and an N-terminal PYD domain belonging to the death domain superfamily of signaling modules. AIM2 PYD domain inhibits the HIN:DNA interaction. PYD domain binds to the HIN domain from the intramolecular complex, which hinders the DNA binding of HIN domain.",Experimentally validated,,,
ANP32A,121-163,ENSG00000140350,P39687,18245083,249,LRR,1-120,,ENST00000465139,Uniprot,Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI),ANP32A C15orf1 LANP MAPM PHAP1,249,Homo sapiens (Human),121-163(Autoinhibitory domain),18245083,"ANP32A(I1PP2A) regulates PP2A activity by functioning as a non-competitive inhibitor of this enzyme. PP2A is a major regulator of the phosphorylation of Tau. The activity of PP2A is compromised in Alzheimer's disease brain. ANP32A has an autoinhibitory domain that negatively affects the interaction of ANP32A with PP2Ac and its ability to modulate the PP2A activity, which lies within amino acid residues 121-163. The inhibitory role of the autoinhibitory region might be regulated through the phosphorylation of Ser-158 or both Ser-158 and Ser-204 by casein kinase II.",Experimentally validated,,,
APBA1,626-641,"ENSG00000276497,ENSG00000107282",Q02410,"22355143,UniProt",837,PTB,453-622,,ENST00000265381,Uniprot,Amyloid-beta A4 precursor protein-binding family A member 1 (Adapter protein X11alpha) (Neuron-specific X11 protein) (Neuronal Munc18-1-interacting protein 1) (Mint-1),APBA1 MINT1 X11,837,Homo sapiens (Human),626-641(Autoinhibitory helix),22355143,"Mints bind to the amyloid precursor protein (APP) and regulate APP processing associated with Alzheimer’s disease. Mint1 phosphotyrosine binding (PTB) domain that binds to APP is intramolecularly inhibited by the adjacent C-terminal linker region that folds back onto the core structure of the PTB domain and sterically hinders the APP binding site. This intramolecular interaction is disrupted by mutation of Tyr633 within Mint1 autoinhibitory helix leading the enhanced APP binding and ?-amyloid production, in result, Mint1 undergoes a conformational switch between a closed state that does not bind APP and an open state involved in APP binding and processing events",Experimentally validated,,,
ARHGAP1,"1-48,169-197",ENSG00000175220,Q07960,27135163,439,Rho-GAP,244-431,22355143,ENST00000311956,Uniprot,Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP),ARHGAP1 CDC42GAP RHOGAP1,439,Homo sapiens (Human),1-48(N-terminal fragments);169-197(Autoinhibitory region),15596440,"ARHGAP1 is a GTPase activator for the Rho, Rac and Cdc42 proteins, having a role in the organization of numerous cell functions, such as polarity, motility, shape changes, membrane trafficking, gene expression, or production of toxic oxygen metabolites. Similarly to other GTP-binding proteins, it is active in the GTP-bound form and inactive in the GDP bound state. It is in an autoinhibited conformation stabilized by thestretches 1–48 and 169–197 and the prenyl group of the small GTPase plays a role in releasing this intramolecular restraint.",Experimentally validated,,,
ARHGAP45,281-356,ENSG00000180448,Q92619,24086303,1136,Rho-GAP,757-971,24086303,ENST00000313093,Ensembl,Rho GTPase-activating protein 45 [Cleaved into: Minor histocompatibility antigen HA-1 (mHag HA-1)],ARHGAP45 HMHA1 KIAA0223,1136,Homo sapiens (Human),281-356(N-terminal BAR-domain),24086303,ARHGAP45 contains a GTPase activator for the Rho-type GTPases (RhoGAP) domain that would be able to negatively regulate the actin cytoskeleton as well as cell spreading. It also contains N-terminally a BAR-domain(281-356) that is able to play an autoinhibitory effect on this RhoGAP activity.,Experimentally validated,,,
ARHGEF11,672-730,ENSG00000132694,O15085,21816819,1522,DH and PH,734-1079,,ENST00000361409,Uniprot,Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF),ARHGEF11 KIAA0380,1522,Homo sapiens (Human),672-712(Autoinhibitory region),21816819,"ARHGEF11 belongs to a small family of RhoA-specific nucleotide exchange factors that mediates signaling through select G-protein-coupled receptors via G?12/13 and activates RhoA by catalyzing the exchange of GDP to GTP. ARHGEF11 is a multidomain protein composed of PDZ, regulators of G-protein signaling-like (RGSL), Dbl-homology (DH), and pleckstrin-homology (PH) domains. The autoinhibitory activity resides in the 672-712 fragment in such a way that it disturbs the catalytically competent conformation of the GEF switch.",Experimentally validated,,,
ARHGEF25,348-472,ENSG00000240771,Q86VW2,UniProt/17606614,580,DH,155-347,17606614,ENST00000286494,Uniprot,Rho guanine nucleotide exchange factor 25 (Guanine nucleotide exchange factor GEFT) (Rac/Cdc42/Rho exchange factor GEFT) (RhoA/Rac/Cdc42 guanine nucleotide exchange factor GEFT) (p63RhoGEF),ARHGEF25 GEFT,580,Homo sapiens (Human),348-466(PH domain),17606614,"Dbl-family GEFs are the major class of exchange factors for Rho GTPases. The Dbl-family GEF p63RhoGEF, called ARHGEF25, is a mediator of G?q/11 signaling to RhoA based on its ability to synergize with G?q/11 resulting in enhanced RhoA signaling. Activated G?q directly engages and stimulates ARHGEF25. Basally, ARHGEF25 is autoinhibited by the Dbl homology (DH)-associated pleckstrin homology (PH) domain. Activated G?q relieves this autoinhibition by interacting with a highly conserved C-terminal extension of the PH domain. ",Experimentally validated,,,
ARHGEF5,15-22,ENSG00000050327,Q12774,17337446,1597,DH,1174-1358,Uniprot,ENST00000056217,Uniprot,Rho guanine nucleotide exchange factor 5 (Ephexin-3) (Guanine nucleotide regulatory protein TIM) (Oncogene TIM) (Transforming immortalized mammary oncogene) (p60 TIM),ARHGEF5 TIM,1597,Homo sapiens (Human),15-22(Autoinhibitory helix),17337446,"Dbl-related oncoproteins are guanine nucleotide exchange factors specific for Rho-family GTPases and typically possess tandem Dbl homology (DH) and pleckstrin homology domains that act in concert to catalyze exchange. The ability of many Dbl-family proteins to catalyze exchange is constitutively activated by truncations N-terminal to their DH domains. The Dbl-family protein Tim, called ARHGEF5, is autoinhibited by a short, helical motif immediately N-terminal to its DH domain, which directly occludes the catalytic surface of the DH domain to prevent GTPase activation.  ",Experimentally validated,,,
ARIH1,408-557,ENSG00000166233,Q9Y4X5,23707686,557,Ring 2,339-392,,ENST00000379887,Uniprot,E3 ubiquitin-protein ligase ARIH1 (EC 2.3.2.31) (H7-AP2) (HHARI) (Monocyte protein 6) (MOP-6) (Protein ariadne-1 homolog) (ARI-1) (UbcH7-binding protein) (UbcM4-interacting protein) (Ubiquitin-conjugating enzyme E2-binding protein 1),ARIH1 ARI MOP6 UBCH7BP HUSSY-27,557,Homo sapiens (Human),408-557(Ariadne domain),"23707686, 24076655","E3 ubiquitin-protein ligase ARIH1 is an E3 ubiquitin-protein ligase, which catalyzes ubiquitination of target proteins together with ubiquitin-conjugating enzyme E2 UBE2L3, and acts as an atypical E3 ubiquitin-protein ligase by working together with cullin-RING ubiquitin ligase (CRL) complexes and initiating ubiquitination of CRL substrates. ARIH1 is autoinhibited by the ariadne domain, which masks the second RING-type zinc finger that contains the active site and inhibits the E3 activity. The inhibition is relieved upon binding to neddylated cullin-RING ubiquitin ligase complexes, which activate the E3 ligase activity of ARIH1.",Experimentally validated,,,
ARIH2,359-493,ENSG00000177479,O95376,18625728,493,RING2,297-326,Uniprot,ENST00000356401,Uniprot,E3 ubiquitin-protein ligase ARIH2 (ARI-2) (Protein ariadne-2 homolog) (EC 2.3.2.31) (RING-type E3 ubiquitin transferase ARIH2) (Triad1 protein),ARIH2 ARI2 TRIAD1 HT005,493,Homo sapiens (Human),359-493(Ariadne domain),24076655,"E3 ubiquitin-protein ligase ARIH2 catalyzes ubiquitination of target proteins together with ubiquitin-conjugating enzyme E2 UBE2L3 and acts as an atypical E3 ubiquitin-protein ligase by working together with cullin-5-RING ubiquitin ligase complex and initiating ubiquitination of ECS substrates. ARIH2 is autoinhibited by the ariadne domain, which masks the second RING-type zinc finger that contains the active site and inhibits the E3 activity. Inhibition is relieved upon binding to neddylated cullin-RING ubiquitin ligase complexes, which activate the E3 ligase activity. The mechanism of autoinhibition was proved experimentally and also annotated by similarity with a human homolog (Q9Y4X5).",Experimentally validated,,,
ASAP1,1-325,ENSG00000153317,Q9ULH1,19017632,1129,PH and arfGAP,326-560,,ENST00000518721,Uniprot,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 (130 kDa phosphatidylinositol 4,5-bisphosphate-dependent ARF1 GTPase-activating protein) (ADP-ribosylation factor-directed GTPase-activating protein 1) (ARF GTPase-activating protein 1) (Development and differentiation-enhancing factor 1) (DEF-1) (Differentiation-enhancing factor 1) (PIP2-dependent ARF1 GAP)",ASAP1 DDEF1 KIAA1249 PAG2,1129,Homo sapiens (Human),1-324(BAR domain),19017632,ASAP1 is an Arf GTPase-activating protein (GAP) that functions on membrane surfaces to catalyze the hydrolysis of GTP bound to Arf. ASAP1 has BAR domain which functions as membrane curvature sensors or as inducers of membrane curvature. The BAR domain influences GAP activity by binding to the PH domain and/or Arf GAP domain. The deletion of the entire BAR domain or the N-terminal extension increased GAP activity.,Experimentally validated,,,
ASH1L,2187-2195,ENSG00000116539,Q9NR48,26292256,2969,Set,"2069-2186,2196-2286",,ENST00000368346,Uniprot,Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.359) (EC 2.1.1.367) (ASH1-like protein) (huASH1) (Absent small and homeotic disks protein 1 homolog) (Lysine N-methyltransferase 2H),ASH1L KIAA1420 KMT2H,2969,Homo sapiens (Human),2258-2266(Autoinhibitory loop),26292256,"ASH1L (absent, small, or homeotic-like 1) is a histone methyltransferase (HMTase) involved in gene activation. Its autoinhibitory loop (2258-2266) blocks the access of histone substrate to the enzyme active site. ",Experimentally validated,,,
ATF2,349-415,ENSG00000115966,P15336,27135163,505,ATF2,1-243,Uniprot,ENST00000264110,Uniprot,Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (cAMP response element-binding protein CRE-BP1),ATF2 CREB2 CREBP1,505,Homo sapiens (Human),350-415(bZIP domain),8598283,"ATF-2 is a cellular basic region-leucine zipper (bZIP) transcription factor that can mediate diverse transcriptional responses, including activation by the adenovirus Ela protein. Inhibition is activation domain specific: The ATF-2 bZIP(residues 350-415) suppresses the ATF-2 and the related Ela activation domains but not acidic- and glutamine-rich activation domains. The ATF-2 bZIP and activation domain are engaged in an inhibitory intramolecular interaction and that inducers of ATF-2 disrupt this interaction to activate transcription.",Experimentally validated,,,
BEST3,356-362,ENSG00000127325,Q8N1M1,23124946,668,,26-291,,ENST00000330891,Uniprot,Bestrophin-3 (Vitelliform macular dystrophy 2-like protein 3),BEST3 VMD2L3,668,Homo sapiens (Human),356-362(Autoinhibitory domain);384-397(Basic residue domian),23124946,"Best3, a member of the bestrophin Cl- channel family, is a candidate of cGMP-sensitive, Ca2+-activated Cl- channel in vascular smooth muscle cells. And it plays an important role in vasomotion. The deletion of autoinhibitory or basic residue domain cause the Best3 activation.",Experimentally validated,,,
BIRC2,453-543,ENSG00000110330,Q13490,Uniprot,618,RING,571-606,Uniprot,ENST00000227758,Uniprot,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),BIRC2 API1 MIHB RNF48,618,Homo sapiens (Human),255-338(BIR3 domain);435-562(CARD domain),21549626,"E3 ligases mediate the covalent attachment of ubiquitin to target proteins thereby enabling ubiquitin dependent signaling. Baculoviral IAP repeat-containing protein 2 (BIRC2) protein is an E3 ligase that modulates diverse biological processes such as cell survival, proliferation, and migration. Full-length BIRC2 fails to associate with E2, but CARD-deleted mutant BIRC2 readily interacts with E2. In addition, inclusion of BIR3 domain alone can restore autoinhibition, representing that BIR3 domain is also necessary to prevent E2 binding.",Experimentally validated,,,
BRAF,100-345,ENSG00000157764,P15056,27135163/15710605,766,Kinase,457-717,Uniprot,ENST00000646891,Uniprot,Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1),BRAF BRAF1 RAFB1,766,Homo sapiens (Human),100-345(Autoinhibitory region),15710605,"Raf proteins are Ras-regulated serine/threonine protein kinases that control the activation of the ERK/MARK cascade, and consists of three isoforms, A-Raf, B-Raf, and Raf-1 (C-Raf), which exhibit a high degree of homology within three conserved regions (CR) known as CR1, CR2, and CR3. B-Raf contains an autoinhibitory domain(100-345) within its N terminus. The autoinhibitory domain of B-Raf encompasses the RBD and CRD (148-281) as well as a C-terminal region of low conservation between Raf isoforms (282-345).",Experimentally validated,,,
CAMK1,286-300,ENSG00000134072,Q14012,14984199,370,Kinase,20-276,,ENST00000256460,Uniprot,Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha),CAMK1,370,Homo sapiens (Human),276-316(Autoinhibitory domain),14984199,"Calcium/calmodulin-dependent protein kinase type 1 (CAMK1)  regulates transcription activators activity, cell cycle, hormone production, cell differentiation, actin filament organization and neurite outgrowth. The autoinhibitory region contains two helical structures (?R1 and ?R2) and includes a pseudosubstrate sequence within it. The ?R2 helix is at the N-terminal of CaM-binding domain. The ?R1 interacts with the catalytic core and ?R2 interacts with the ATP-binding region of CAMK1 for autoinhibition.",Experimentally validated,,,
CARD11,448-666,ENSG00000198286,Q9BXL7,18625728,1154,CARD,18-110,Uniprot,ENST00000396946,Uniprot,Caspase recruitment domain-containing protein 11 (CARD-containing MAGUK protein 1) (Carma 1),CARD11 CARMA1,1154,Homo sapiens (Human),441-671(Inhibitory domain),18625728,"CARD11 is a multidomain adapter that is required for TCR signaling to the I?B kinase (IKK) complex. CARD11 has inhibitory domain(ID) that controls the association of CARD11 with multiple signaling cofactors through an interaction that requires both the caspase recruitment domain (CARD) and the coiled-coil domain. The ID inhibits CARD11 by direct interaction with other portions of the CARD11 protein and that, upon signaling, the ID would disengage the other portions of CARD11 and allow the signal-induced recruitment of other signaling cofactors.",Experimentally validated,,,
CBL,353-380,ENSG00000110395,P22681,27135163,906,RING,381-435,,ENST00000264033,Uniprot,E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL),CBL CBL2 RNF55,906,Homo sapiens (Human),381-435(Ring domain),22266821,"Cbls are RING ubiquitin ligases that attenuate receptor tyrosine kinase (RTK) signal transduction. In CBL, the E2-binding surface on the RING domain directly contacts the TKBD in a manner that prevents E2 binding, revealing an autoinhibited conformation of the RING domain. The closed RING conformation is stabilized by hydrophobic contacts involving Ile383, Trp408, and Phe418 from the RING domain and Leu219 and Met222 from the TKBD. Numerous hydrogen bonds involving residues from the RING domain, TKBD and LHR also stabilize the closed conformation.",Experimentally validated,,,
CCNT1,"1-249,402-701",ENSG00000129315,O60563,10913173,726,TRM,250-262,,ENST00000261900,Uniprot,Cyclin-T1 (CycT1) (Cyclin-T),CCNT1,726,Homo sapiens (Human),334-726(C-terminal autoinhibitory region),10913173,Cyclin-T1 combines with cyclin-dependent kinase (Cdk9) and these complex is called positive transcription elongation facror B (P-TEFb). An intramolecular interaction between the N- and C-terminal regions of cyclin T1 sterically blocks the P-TEFb–TAR interaction. Binding of Tat-SF1 to the CycT1 C-terminal region stabilizes the P-TEFb-Tat-TAR complex and stimulates HIV-1 transcription. The efficient interaction between P-TEFb and TAR RNA requires suppression of the autoinhibitory activity of the CycT1 C-terminal region.,Experimentally validated,,,
CDC42BPA,658-930,ENSG00000143776,Q5VT25,27135163,1732,Kinase,77-343,Uniprot,ENST00000334218,Uniprot,Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha),CDC42BPA KIAA0451,1732,Homo sapiens (Human),658-930(Coiled-coil domain),11283256,CDC42BPA(MRCK) is a Cdc42-binding serine/threonine kinase which is an important downstream effector of CDC42 and plays a role in the regulation of cytoskeleton reorganization and cell migration.  A region containing the two distal CC domains (CC2 and CC3; residues 658-930) interacts intramolecularly with the kinase domain and negatively regulates its activity. ,Experimentally validated,,,
CEBPB,64-170,ENSG00000172216,P17676,20452968,345,bZIP,271-334,Uniprot,ENST00000303004,Uniprot,CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5),CEBPB TCF5 PP9092,345,Homo sapiens (Human),108-114(Autoinhibitory domain),20452968,"CEBPB regulates oncogenic H-RasV12-induced senescence and growth arrest. Three distinct N-terminal sequences that are predicted to form secondary structures inhibit CEBPB DNA binding. These include autoinhibitory domain, which is located within CR5, and two LX motifs. CEBPB is autoinhibited by multiple elements that also mediate association with CBP.",Experimentally validated,,,
CENPE,2510-2698,ENSG00000138778,Q02224,Uniprot/19851335,2701,Kinesin,6-329,Uniprot,ENST00000265148,Uniprot,Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE),CENPE,2701,Homo sapiens (Human),2333-2701(C-terminal tail),"19851335, 18342609","Autoinhibition of the Kinesin-7 family member CENPE involves direct interactions of the C-terminal tail domains with their motor domains. The autoinhibition can be relieved by phosphorylation of the inhibitory tail domain by the kinases monopolar spindle protein 1 (MPS1) and cyclin-dependent kinase 1 (CDK1)-cyclin B, resulting in processive motility on microtubules.",Experimentally validated,,,
CEP290,"1-580,1966-2476",ENSG00000198707,O15078,24051377,2479,,1695-1965,,ENST00000552810,Ensembl,Centrosomal protein of 290 kDa (Cep290) (Bardet-Biedl syndrome 14 protein) (Cancer/testis antigen 87) (CT87) (Nephrocystin-6) (Tumor antigen se2-2),CEP290 BBS14 KIAA0373 NPHP6,2479,Homo sapiens (Human),1-580(N-terminal Autoinhibitory region);1966-2479(C-terminal Autoinhibitory region),24051377,"CEP290 plays a critical role in the formation and function of the primary cilium and, when mutated, is responsible for a variety of devastating human diseases. CEP290 activity was regulated by 2 autoinhibitory domains within its N(1-580) and C termini(1966-2479), both of which were found to play critical roles in regulating ciliogenesis. The 2 novel regulatory regions of the protein cooperate to inhibit CEP290 function, binding to each other and causing a conformational change in the protein, stabilized by the binding of CP110, that obscures important functional domains and decreases protein function.",Experimentally validated,,,
CHEK1,391-476,ENSG00000149554,O14757,UniProt,476,Kinase,9-265,Uniprot,ENST00000428830,Uniprot,Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1),CHEK1 CHK1,476,Homo sapiens (Human),391-476(C-terminal autoinhibitory region),14681223,CHEK1 is a serine/threonine protein kinase and is a key mediator that links the machineries that monitor DNA integrity to components of the cell cycle engine. Full-length CHEK1 has only low basal activity when expressed. Truncation of the C-terminal regulatory region activates CHEK1.,Experimentally validated,,,
