index	uniprot	pdb	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	conformation	state	organism	date	notes	percent_disorder_1	ar_disorder	region_1_mean_plddt	region_2_mean_plddt	mean_pae_1_1	mean_pae_1_2	mean_pae_2_2	smallest_dif
137	P19174	4ey0	757-790	668-756	8.164	67.64705882	100.0	1.125	26.865	Closed	Autoinhibited	Homo sapiens	['2012-05-01']		0.0	structured	48.08	89.122	13.883	20.153	2.58	1.0
139	P21333	2j3s	2142-2235	2236-2325	10.018	84.04255319	100.0	2.112	21.192	Closed	Autoinhibited	HOMO SAPIENS	['2006-08-23']		0.0	structured	74.211	74.908	5.375	9.384	3.481	1.0
147	P22681	4a49	353-380	381-435	1.351	71.42857143	100.0	1.365	1.498	Open	Active	Homo sapiens	['2011-10-07']		0.0	structured	76.065	87.666	7.392	10.371	3.862	1.0
152	P26358	4wxx	647-714	1140-1602	1.673	97.05882353	99.56803456	0.974	2.18	Closed	Autoinhibited	Homo sapiens	['2014-11-14']		47.059	structured	76.114	92.924	7.561	17.825	5.296	426.0
155	P27577	1r36	304-310,416-441	335-415	3.953	93.93939394	100.0	2.394	4.394	Closed	Autoinhibited	Mus musculus	['2003-09-30']		36.364	structured	86.266	96.696	6.227	9.371	1.952	1.0
267	P28482	4qp2	173-196	25-172,197-313	1.729	75.0	98.49056604	1.321	3.241	Open	Active	Homo sapiens	['2014-06-22']		0.0	structured	66.58	94.114	8.599	14.084	3.528	1.0
277	P29350	3ps5	1-105	244-515	1.444	100.0	99.63235294	1.021	1.765	Open	Active	Homo sapiens	['2010-11-30']		0.0	structured	86.908	95.945	4.129	13.428	3.089	139.0
281	P31016	5ypr	428-498	534-709	1.735	90.14084507	100.0	1.54	2.441	Closed	Active	Rattus norvegicus	['2017-11-02']		0.0	structured	83.51	94.328	4.719	8.995	2.973	36.0
293	P31749	7nh5	5-108	150-408	9.627	96.15384615	90.73359073	4.526	19.893	Closed	Autoinhibited	Homo sapiens	['2021-02-10']		0.0	structured	82.384	90.612	5.031	22.521	4.579	42.0
294	P31751	8q61	5-108,410-481	152-409	9.63	70.45454545	94.96124031	6.231	21.917	Closed	Autoinhibited	Homo sapiens	['2023-08-10']	“The flipped DFG motif moves the aspartate away from the ATP binding site by ∼5 Å, leading to a catalytically incompetent state termed the “DFG-out” state.” ( 25478866) “ALM301 binds in an allosteric pocket created by the combined movement of the PH domain and the catalytic domain, resulting in a DFG out conformation.” (36127435) On visual investigation, it appears a loop at ~ residue 81 occludes the active site in the native structure and pushes the DFG into an “out” state as well as displaces the alpha helix with residue 195.	35.795	structured	77.552	91.6	17.483	18.155	4.681	1.0
295	P32527	2lwx	348-364	365-433	1.45	100.0	100.0	1.347	1.799	Closed	Autoinhibited	Saccharomyces cerevisiae	['2012-08-08']		94.118	disordered	87.606	89.242	2.28	4.111	3.352	1.0
300	P35520	4pcu	414-551	40-413	6.628	74.63768116	97.86096257	2.462	13.809	Open	Active	Homo sapiens	['2014-04-16']	Enzyme forms a dimer in vivo and the Bateman modules (region 1) interact in a trans fashion with the enzyme’s active site. (25197074)	5.797	structured	89.307	95.465	4.952	21.717	3.747	1.0
301	P35609	4d1e	259-307	753-824	113.774	100.0	100.0	4.342	220.629	Closed	Autoinhibited	HOMO SAPIENS	['2014-05-01']		0.0	structured	89.213	79.707	5.236	28.764	5.525	446.0
302	P36507	1s9i	75-102	72-74,103-369	2.172	100.0	88.51851852	1.994	1.486	Closed	Active	Homo sapiens	['2004-02-04']	Importantly, this is actually in an inhibitor-induced conformation where the molecule is not catalytically active. “As a result of the change in position of helix C, the side chain of the highly conserved glutamate residue Glu114 (equivalent to Glu91 in PKA) is shifted away from the active site and is unable to form a critical ion pair with the conserved catalytic Lys97 (equivalent to Lys72 in PKA)” (15543157). This is also the only structure of MEK2 in the PDB that is not more than a few residues long.	17.857	structured	92.769	86.906	2.29	4.338	5.51	1.0
303	P39687	2je0	121-163	1-120	1.139	67.44186047	100.0	1.065	1.394	Open	Active	HOMO SAPIENS	['2007-01-12']		100.0	disordered	89.228	96.443	5.756	6.412	2.361	1.0
306	P41212	2dao	410-452	339-409	2.747	76.74418605	100.0	1.84	4.119	Closed	Autoinhibited	Homo sapiens	['2005-12-14']	See Figure 3 in  20400516.	74.419	disordered	76.126	91.247	8.935	9.943	2.109	1.0
308	P43405	4fl3	93-167,245-370	371-631	1.035	61.19402985	95.01915709	0.822	1.189	Closed	Autoinhibited	Homo sapiens	['2012-06-14']		0.0	structured	69.149	90.827	15.663	14.377	4.437	1.0
310	P45985	3alo	109-136	102-108,137-367	5.721	100.0	97.4789916	3.537	1.108	Closed	Autoinhibited	Homo sapiens	['2010-08-04']		0.0	structured	89.714	89.646	2.904	4.196	4.132	1.0
311	P46108	2eyz	239-294	132-192	22.296	100.0	100.0	2.479	28.031	Open	Active	Homo sapiens	['2005-11-10']		100.0	disordered	77.586	80.073	5.057	25.942	4.716	47.0
313	P46109	2lqw	129-175	14-102	25.158	100.0	100.0	2.549	46.938	Open	Autoinhibited	Homo sapiens	['2012-03-16']		0.0	structured	79.538	82.954	4.569	26.182	4.382	27.0
315	P49137	3ka0	328-364	64-325	2.111	100.0	85.11450382	2.257	1.227	Closed	Autoinhibited	Homo sapiens	['2009-10-16']		5.405	structured	87.803	86.907	3.632	6.45	7.233	3.0
325	P52564	8p7j	251-277	53-314	3.529	100.0	85.11450382	3.614	2.126	Closed	Autoinhibited	Homo sapiens	['2023-05-30']		0.0	structured	88.96	86.752	3.215	6.996	6.976	37.0
327	P53041	8gft	28-129,487-499	184-486	24.876	88.69565217	98.01980198	2.358	85.444	Open	Active	Homo sapiens	['2023-03-08']		36.522	structured	91.61	97.29	6.28	10.327	1.991	1.0
329	P53042	4ja9	28-129	495-499,200-494	1.488	100.0	99.66666667	1.369	8.268	Closed	Active	Rattus norvegicus	['2013-02-18']		59.804	disordered	95.366	95.884	2.184	6.865	7.804	71.0
330	P53686	1q14	300-320	1-280	4.476	61.9047619	92.14285714	3.446	13.816	Closed	Autoinhibited	Saccharomyces cerevisiae	['2003-07-18']		100.0	disordered	72.481	92.127	6.51	16.924	5.289	20.0
334	P54578	6iil	329-351,429-433	105-483	1.357	75.0	82.58575198	1.25	2.131	Open	Active	Homo sapiens	['2018-10-07']		17.857	structured	84.715	85.122	4.509	9.734	9.031	50.0
336	P54578	6iin	329-351,429-433	105-483	1.341	78.57142857	81.26649077	1.313	2.18	Open	Active	Homo sapiens	['2018-10-07']		17.857	structured	84.715	85.122	4.509	9.734	9.031	50.0
340	P54646	6b2e	291-376	16-268	2.398	74.41860465	99.60474308	1.16	5.145	Open	Active	Homo sapiens	['2017-09-19']		0.0	structured	69.168	91.069	14.555	24.47	3.62	23.0
341	P54763	1jpa	595-621	621-884	1.147	92.59259259	89.77272727	1.07	1.584	Closed	Autoinhibited	Mus musculus	['2001-08-01']		0.0	structured	82.13	86.252	3.827	7.97	6.043	0.0
342	P55957	2bid	21-51	60-195	9.619	100.0	100.0	7.368	9.332	Closed	Autoinhibited	Homo sapiens	['1999-01-27']		96.774	disordered	60.251	64.988	9.005	15.829	12.439	9.0
343	P57764	6n9o	280-484	1-275	7.018	96.09756098	63.27272727	9.987	4.068	Closed	Autoinhibited	Homo sapiens	['2018-12-03']		2.927	structured	84.57	73.876	5.824	13.594	14.213	5.0
345	P60240	7m8e	1-110	147-416,441-659	5.106	99.09090909	100.0	2.338	11.303	Open	Active	Escherichia coli	['2021-03-29']		0.0	structured	82.494	88.013	5.069	27.504	9.089	37.0
411	P62826	1rrp	179-216	10-169	11.976	86.84210526	100.0	1.377	30.84	Open		Homo sapiens	['1999-01-15']		100.0	disordered	68.309	94.214	10.256	26.339	3.587	10.0
447	P97360	2lf8	426-435	335-416	5.708	100.0	100.0	1.691	2.65	Closed	Autoinhibited	Mus musculus	['2011-06-28']		100.0	disordered	77.343	92.219	2.24	9.221	2.35	10.0
448	Q00944	2j0j	35-362	422-680	2.641	100.0	95.36679537	3.342	1.906	Closed	Autoinhibited	GALLUS GALLUS	['2006-08-03']		0.0	structured	91.309	86.721	4.587	16.875	5.282	60.0
453	Q01974	4gt4	555-556	473-746	1.727	100.0	94.16058394	1.723	0.872			Homo sapiens	['2012-08-28']		0.0	structured	81.005	87.264	0.5	11.918	6.627	82.0
464	Q02750	3eqh	75-102	68-74,103-361	1.522	100.0	89.09774436	1.05	0.954	Closed	Autoinhibited	Homo sapiens	['2008-09-30']		25.0	structured	91.73	87.394	2.927	4.739	5.426	1.0
467	Q02750	3orn	75-102	68-74,103-361	3.779	100.0	65.41353383	2.456	1.189	Closed	Autoinhibited	Homo sapiens	['2010-09-07']		25.0	structured	91.73	87.394	2.927	4.739	5.426	1.0
468	Q02750	3os3	75-102	68-74,103-361	3.806	100.0	64.66165414	2.495	1.584	Closed	Autoinhibited	Homo sapiens	['2010-09-08']		25.0	structured	91.73	87.394	2.927	4.739	5.426	1.0
469	Q02750	3pp1	75-102	68-74,103-361	1.536	100.0	88.34586466	1.294	1.022	Closed	Autoinhibited	Homo sapiens	['2010-11-23']		25.0	structured	91.73	87.394	2.927	4.739	5.426	1.0
478	Q02750	3zm4	75-102	68-74,103-361	1.243	100.0	87.21804511	1.065	1.486	Closed	Autoinhibited	HOMO SAPIENS	['2013-02-05']		25.0	structured	91.73	87.394	2.927	4.739	5.426	1.0
483	Q02750	4ark	75-102	68-74,103-361	1.868	100.0	88.34586466	1.377	0.996	Closed	Autoinhibited	HOMO SAPIENS	['2012-04-24']		25.0	structured	91.73	87.394	2.927	4.739	5.426	1.0
493	Q02750	3vvh	75-102	68-74,103-361	1.47	100.0	86.84210526	1.279	0.996			Homo sapiens	['2012-07-24']		25.0	structured	91.73	87.394	2.927	4.739	5.426	1.0
516	Q04929	2l3s	225-297	133-193	17.591	100.0	96.72131148	2.524	22.709	Closed	Autoinhibited	Gallus gallus	['2010-09-21']		100.0	disordered	70.452	79.129	8.35	25.621	5.146	32.0
536	Q06124	5ehr	3-104	247-517	1.132	88.23529412	97.41697417	1.195	0.807			Homo sapiens	['2015-10-28']		0.0	structured	91.967	94.025	2.894	6.718	3.725	143.0
542	Q06124	6bmu	3-104	247-517	1.08	95.09803922	95.57195572	1.079	0.936			Homo sapiens	['2017-11-15']		0.0	structured	91.967	94.025	2.894	6.718	3.725	143.0
555	Q06124	6mdc	3-104	247-517	1.132	88.23529412	97.41697417	1.203	0.77			Homo sapiens	['2018-09-04']		0.0	structured	91.967	94.025	2.894	6.718	3.725	143.0
568	Q07343	4wzi	166-281	330-649	1.079	72.4137931	97.5	0.899	1.481			Homo sapiens	['2014-11-19']		53.448	disordered	77.355	96.541	12.229	16.562	2.707	49.0
570	Q07889	3ksy	1-198	198-565	2.442	88.88888889	96.19565217	1.697	2.059	Closed	Autoinhibited	Homo sapiens	['2009-11-24']		18.687	structured	77.465	87.083	8.17	17.747	6.7	0.0
571	Q08209	1aui	467-491	1-348	2.352	72.0	96.26436782	0.997	2.392			Homo sapiens	['1997-08-27']		100.0	disordered	76.75	95.315	7.118	10.288	3.496	119.0
572	Q09472	5xzc	1520-1581	1287-1663	28.923	100.0	83.55437666	17.946	44.241		Active	Homo sapiens	['2017-07-12']		91.935	disordered	45.783	93.835	15.812	21.954	8.223	82.0
573	Q13131	4rer	313-392	27-279	2.483	83.75	99.20948617	1.295	4.655			Homo sapiens	['2014-09-23']		0.0	structured	70.134	92.302	14.864	23.178	3.408	34.0
574	Q13490	3t6p	453-543	571-606	2.844	98.9010989	100.0	0.76	0.936	Closed	Autoinhibited	Homo sapiens	['2011-07-28']		0.0	structured	94.241	90.191	2.847	9.313	1.982	28.0
575	Q13554	3bhh	283-292	14-272	1.705	100.0	98.45559846	1.737	0.742			Homo sapiens	['2007-11-28']		0.0	structured	90.592	94.603	1.13	4.288	3.28	11.0
576	Q13555	2v7o	283-292	14-272	1.637	100.0	99.22779923	1.367	0.784	Closed	Autoinhibited	Homo sapiens	['2007-07-31']		0.0	structured	91.012	94.461	1.13	4.277	3.329	11.0
579	Q13557	2vn9	283-292	14-272	1.907	100.0	100.0	1.138	1.012			Homo sapiens	['2008-01-31']		0.0	structured	92.019	94.579	1.13	4.283	3.328	11.0
580	Q14012	4fgb	286-300	20-276	2.734	93.33333333	96.88715953	2.78	0.947	Closed	Active	Homo sapiens	['2012-06-04']		0.0	structured	87.366	87.546	3.542	8.314	5.706	10.0
583	Q14674	7nj0	711-723,955-974,1393-1400	667-1706,1707-2120	5.868	75.6097561	75.99724897	4.668	5.274			Homo sapiens	['2021-02-14']		19.512	structured	59.919	73.245	15.58	21.201	14.219	44.0
584	Q16566	2w4o	305-321	46-300	1.569	100.0	89.80392157	1.574	1.198	Closed	Active	HOMO SAPIENS	['2008-11-28']		0.0	structured	93.901	88.587	1.969	4.998	5.647	5.0
589	Q16644	7nrb	307-343	44-304	2.117	100.0	83.14176245	0.962	0.941	Closed	Autoinhibited	Homo sapiens	['2021-03-03']		45.946	structured	88.672	86.984	3.673	6.272	7.198	3.0
591	Q3KK31	3pjx	170-390	399-648	1.031	77.37556561	97.2	1.081	1.13			Pseudomonas fluorescens	['2010-11-10']		0.0	structured	88.936	91.382	6.711	7.64	4.38	9.0
592	Q3UH93	5v6t	1294-1403,1527-1698	1404-1526,1699-1925	3.317	62.05673759	97.42857143	2.872	1.986			Mus musculus	['2017-03-17']		0.0	structured	72.383	86.073	13.988	16.3	6.48	1.0
593	Q3UP24	6b5b	356-463,578-1020	95-298	17.981	95.28130672	100.0	2.096	63.698			Mus musculus	['2017-09-29']		0.0	structured	84.007	85.092	14.004	19.872	4.951	58.0
595	Q58719	5dny	290-330	1-289	9.649	65.85365854	100.0	1.598	12.374			Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440)	['2015-09-10']		0.0	structured	76.066	96.56	13.368	20.092	3.023	1.0
597	Q5EGY4	3kyq	8-131	138-198	1.299	100.0	90.16393443	1.458	1.334	Closed	Autoinhibited	Rattus norvegicus	['2009-12-07']		0.0	structured	95.54	80.553	2.778	5.926	9.338	7.0
598	Q5Y4Y6	5b5r	240-464	1-239	3.835	88.0	85.35564854	2.875	5.555	Closed	Autoinhibited	Mus musculus	['2016-05-14']		0.0	structured	78.93	75.295	10.654	13.861	11.647	1.0
599	Q63450	1a06	285-316	20-276	2.489	100.0	89.10505837	2.359	3.587	Closed	Autoinhibited	Rattus norvegicus	['1997-12-09']		0.0	structured	71.197	87.603	10.756	15.519	6.028	9.0
600	Q6GQQ9	5lrv	187-193	194-365	7.022	100.0	87.20930233	2.561	1.809	Closed	Active	Homo sapiens	['2016-08-22']		0.0	structured	89.556	89.481	1.796	5.806	5.724	1.0
602	Q6PHZ2	6bab	283-292	14-272	2.182	100.0	100.0	2.224	0.94			Mus musculus	['2017-10-12']		0.0	structured	92.273	94.617	1.09	4.031	3.25	11.0
607	Q6SZW1	7cm6	560-703,382-385,375-399,281-331	244-269,134-173,162-197,402-476,412-484	1.709	90.90909091	100.0	1.016	2.948			Homo sapiens	['2020-07-25']		5.909	structured	88.993	95.934	10.862	10.622	4.462	3.0
613	Q83RJ4	3cvr	58-260	279-571	3.201	94.08866995	80.54607509	1.874	7.121	Open	Autoinhibited	Shigella flexneri 2a	['2008-04-19']		0.0	structured	91.681	85.348	4.391	15.245	8.309	19.0
614	Q86VW2	2rgn	348-472	155-347	1.555	88.0	100.0	1.527	1.49			Homo sapiens	['2007-10-04']		0.0	structured	85.066	93.847	6.583	11.467	3.515	1.0
615	Q86WJ1	7epu	704-897	351-513	24.842	82.98969072	85.27607362	6.41	25.112			Homo sapiens	['2021-04-27']		33.505	structured	74.103	78.957	11.183	25.989	7.372	191.0
617	Q8IU85	6t6f	279-319	23-278	6.048	65.85365854	94.140625	1.514	4.391			Homo sapiens	['2019-10-18']		0.0	structured	74.653	87.503	10.385	13.371	5.86	1.0
631	Q8IXJ6	6l71	320-352	65-319	1.324	100.0	97.25490196	1.383	0.825	Closed	Active	Homo sapiens	['2019-10-30']		66.667	disordered	97.835	91.765	1.32	3.029	4.895	1.0
657	Q8NB16	6zz1	133-150	1-124	2.016	100.0	96.77419355	1.998	1.529			Homo sapiens	['2020-08-03']		0.0	structured	84.066	80.347	1.966	6.244	6.529	9.0
661	Q8NI60	7udq	276-279	329-518	2.636	100.0	97.89473684	1.99	0.956			Homo sapiens	['2022-03-20']		0.0	structured	74.792	88.826	0.875	8.263	4.761	50.0
662	Q8NQJ3	2kb3	1-40	68-117	15.371	97.5	100.0	2.552	29.829	Closed	Autoinhibited	Corynebacterium glutamicum	['2008-11-20']		100.0	disordered	48.829	91.645	18.126	27.956	3.333	28.0
664	Q8R4B8	7lfh	741-990	216-532	13.46	100.0	98.42271293	8.273	45.842			Mus musculus	['2021-01-17']		0.0	structured	96.165	81.937	3.343	16.25	8.862	209.0
666	Q8RT31	4c7p	201-354	1-190	1.401	94.80519481	99.47368421	1.127	1.762	Closed	Autoinhibited	LEGIONELLA PNEUMOPHILA	['2013-09-24']		16.883	structured	95.653	97.35	2.986	4.753	2.539	11.0
668	Q91VS8	4gzu	728-745,755-1026	536-727	1.234	81.03448276	98.95833333	1.156	1.411			Mus musculus	['2012-09-06']		1.379	structured	83.309	93.772	6.04	6.52	3.829	1.0
669	Q95PM0	7avm	96-113	126-342	1.546	100.0	99.07834101	0.798	4.33		Autoinhibited	Trypanosoma brucei rhodesiense	['2020-11-05']		0.0	structured	91.251	96.169	2.105	4.44	2.535	13.0
673	Q96BN8	4ksj	330-340	129-341	1.224	100.0	88.2629108	0.882	1.104	Closed	Autoinhibited	Homo sapiens	['2013-05-17']		0.0	structured	95.139	96.059	1.19	3.067	2.911	1.0
680	Q96FI4	4nrv	244-245	220-280	1.423	100.0	96.72131148	0.788	0.404	Closed	Active	Homo sapiens	['2013-11-27']		0.0	structured	65.025	89.888	0.5	11.377	4.619	24.0
694	Q96NX5	2jam	277-317	23-276	4.42	63.41463415	97.63779528	4.616	2.45			Homo sapiens	['2006-11-29']		0.0	structured	73.6	86.566	9.57	12.935	6.22	1.0
699	Q96P20	8ej4	740-991	220-536	4.759	100.0	100.0	1.857	6.447			Homo sapiens	['2022-09-16']		0.0	structured	95.557	82.746	3.411	17.158	9.735	204.0
700	Q96RD7	6m02	412-426	1-287	11.566	86.66666667	87.80487805	11.36	27.251			Homo sapiens	['2020-02-19']		100.0	disordered	39.231	81.047	6.98	30.52	12.022	125.0
701	Q96RU8	5cem	355-360	1-338	4.846	66.66666667	71.00591716	4.89	4.904			Homo sapiens	['2015-07-07']		66.667	disordered	52.333	78.436	2.389	28.301	13.925	17.0
702	Q9BYP7	5o2c	440-463	147-405	10.005	100.0	100.0	2.379	23.154	Closed		Homo sapiens	['2017-05-19']		0.0	structured	88.211	87.468	3.55	16.922	5.622	35.0
703	Q9BZ95	5upd	1145-1258	1258-1273	1.26	100.0	75.0	3.812	0.957			Homo sapiens	['2017-02-02']		0.0	structured	92.853	70.079	2.923	4.931	6.109	0.0
705	Q9C000	7wge	809-973	328-637	7.679	100.0	100.0	2.588	19.991			Homo sapiens	['2021-12-28']		0.0	structured	91.53	84.691	3.343	12.756	6.705	172.0
706	Q9D8T2	6n9n	279-469	1-273	8.014	95.28795812	66.3003663	10.619	10.729			Mus musculus	['2018-12-03']		0.0	structured	84.175	70.499	5.805	14.24	15.333	6.0
707	Q9H7B4	3mek	280-428	4-240	0.756	93.2885906	97.0464135	0.783	0.721	Closed	Active	Homo sapiens	['2010-03-31']		0.0	structured	97.156	97.62	2.434	3.684	2.491	40.0
738	Q9JK66	4k7d	141-225,378-410	226-377,410-465	1.689	84.74576271	98.07692308	1.516	1.796			Rattus norvegicus	['2013-04-17']		0.0	structured	81.75	87.908	12.149	13.156	9.159	0.0
742	Q9P246	2l5y	67-102	136-204	3.949	100.0	100.0	3.109	3.885	Closed	Autoinhibited	Homo sapiens	['2010-11-09']		0.0	structured	86.975	87.773	3.144	5.434	3.078	34.0
747	Q9UGN5	4pjv	231-348	356-538	0.968	94.06779661	99.45355191	0.911	1.118			Homo sapiens	['2014-05-12']		0.0	structured	90.555	96.342	3.885	5.721	2.776	8.0
756	Q9UIK4	6paw	292-301	23-285	4.593	100.0	99.23954373	1.127	1.063			Homo sapiens	['2019-06-12']		0.0	structured	94.788	95.447	1.4	4.655	3.221	7.0
