Protein name,Gene names,Protein length,Uniprot ID,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB
Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95),PDCD6IP AIP1 ALIX KIAA1375,868,Q8WUM4,Homo sapiens (Human),166-281(UCR domain);646-736(C-terminal regulatory region),20062038,"PDE4B encodes for cAMP-specific 3',5'-cyclic phosphodiesterase 4B, involved in the hydrolysis of cAMP and cGMP that plays important roles in many physiological processes. Its catalytic domain is regulated intramolecularly by UCR domain and C-terminal region.",Inferred by structure analysis without experimental evidences,,
Plexin-A3,Plxna3,1872,P70208,Mus musculus (Mouse),36-470(Sema domain);1244-1324(Segment preceding C1 domain);1450-1650(RBD domain),"19717441, 11239433","Plexin cell surface receptors bind to semaphorin ligands and transduce signals for regulating neuronal axon guidance. The autoinhibitory regions including an Rho GTPase-binding domain (RBD) and a segment preceding C1 domain make extensive interactions with the GAP domain (C1 and C2 domains), which may enable it to regulate the GAP conformation in response to semaphorin binding. According to human Plexin-A1 (Q9UIW2) study, the Sema domain in Plexin-A3 may be also involved in autoinhibition.",Inferred by structure analysis without experimental evidences,,
SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1),SH3KBP1 CIN85,665,Q96B97,Homo sapiens (Human),337-346(Proline rich motif P1),21446695,"The human CIN85 (Cbl-interacting protein of 85 kDa) is a multifunction adapter or scaffolding protein consisting of three SH3 domains in the N-terminal half of the protein connected by unstructured linkers followed by a proline rich region, a serine rich region, and a coiled coil domain at the C-terminus and plays important roles in both receptor tyrosine kinase downregulation and phosphatidylinositol 3 kinase inhibition. Prevention of the intramolecular interaction of domain C with the proline-rich motif P1 results in the complex formation of CIN85 with specific targets such as Cbl or p85 proteins.",Inferred by structure analysis without experimental evidences,,
RNA polymerase sigma factor SigA,sigA,438,Q9EZJ8,Thermus aquaticus,129-201(Flexible loop),"12000971, 11931761","The DNA-dependent RNA polymerase (RNAP) is the principal enzyme of the transcription process, and is a final target in many regulatory pathways that control gene expression in all living organisms. In bacteria, RNAP is responsible for the synthesis of all RNAs in the cell (messenger RNA, ribosomal RNA, transfer RNA, and so on). The bacterial RNAP exists in two forms: core and holoenzyme. The core enzyme has a relative molecular mass of about 400,000, and consists of five subunits: ?-dimer (?2), ?, ?? and ?. They are evolutionarily conserved in sequence, structure and function from bacteria to humans. The binding of initiation factor ? to a RNAP core enzyme results in the formation of a homoenzyme, the active form of RNAP essential for transcription initiation. The atomic model of the ?70 subunit lacks the disordered N-terminal domain (?1-73), which includes the conserved ? region 1.1. This is a self-inhibitory domain, which is known to mask the DNA-binding regions of ? before it binds the core (PubMed12000971). In the autoinhibited state, the polar surface of the region 2.2 helix is partially occluded by a loop within the nonconserved insert between regions 1.2 and 2.1. In the complex of ? with core RNAP, the loop is repositioned to expose the core RNAP binding determinants in region 2.2 (PubMed11931761).",Inferred by structure analysis without experimental evidences,,
RNA polymerase sigma factor SigA,sigA rpoD TT_C0164,423,Q72L95,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),1-73(Sigma-70 factor domain-1.1),12000971,"The DNA-dependent RNA polymerase (RNAP) is the principal enzyme of the transcription process, and is a final target in many regulatory pathways that control gene expression in all living organisms. In bacteria, RNAP is responsible for the synthesis of all RNAs in the cell (messenger RNA, ribosomal RNA, transfer RNA, and so on). The bacterial RNAP exists in two forms: core and holoenzyme. The core enzyme has a relative molecular mass of about 400,000, and consists of five subunits: ?-dimer (?2), ?, ?? and ?. They are evolutionarily conserved in sequence, structure and function from bacteria to humans. The binding of initiation factor ? to a RNAP core enzyme results in the formation of a homoenzyme, the active form of RNAP essential for transcription initiation. The atomic model of the ?70 subunit lacks the disordered N-terminal domain (?1-73), which includes the conserved ? region 1.1. This is a self-inhibitory domain, which is known to mask the DNA-binding regions of ? before it binds the core (PubMed12000971).",Inferred by structure analysis without experimental evidences,,
Histone-lysine N-methyltransferase SMYD3 (EC 2.1.1.354) (SET and MYND domain-containing protein 3) (Zinc finger MYND domain-containing protein 1),SMYD3 ZMYND1 ZNFN3A1,428,Q9H7B4,Homo sapiens (Human),280-428(C-terminal domain),21167177,"SmyD3 belongs to a new family of chromatin regulators, which is characterized by the presence of SET and MYND domains. The SET domain is an evolutionarily conserved domain largely responsible for histone lysine methylation, while the zinc-finger MYND domain is a protein-protein interaction module that mediates specific protein interaction via a proline-rich sequence. The C-terminal autoinhibitory domain (CTD) prevents the binding of SymD3 to the substrate by interfering with the exposure of the binding site. The posttranslational activation and histone lysine methyltransferases activity are activated by the hinge motion of the C-terminal domain, releasing the substrate-binding cleft in the SET domain.",Inferred by structure analysis without experimental evidences,,
Twitchin (EC 2.7.11.1) (Uncoordinated protein 22),unc-22 ZK617.1,7158,Q23551,Caenorhabditis elegans,6203-6260(C-terminal residues),8202162,Twitchin kinase is a regulator of muscle contraction and relaxation by unfolding. The C-terminal tail inhibits the active site on the catalytic core and disrupts the substrates accession. The open of the autoinhibitory C-terminus is achieved by a hinge motion at the adjacent glycine residues (Gly 6021 and Gly 6022) that exposes the active site and enzyme activity.,Inferred by structure analysis without experimental evidences,,
Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes),YES1 YES,543,P07947,Homo sapiens (Human),91-152(SH3 domain);256-276(SH2-CD linker);413-440(Activation loop);531-543(C-terminal regultaory tail),15489910,"Tyrosine-protein kinase Yes plays an important role in transmitting signals through surface immunoglobulins and supports the pro-B to pre-B transition, as well as the signaling for growth arrest and apoptosis downstream of B-cell receptor (By similarity). It is included in Src family nonreceptor tyrosine kinases.  Src kinase(family) share a conserved domain structure consisting of consecutive SH3, SH2, tyrosine kinase(SH1). So, it was inferred based on 3d sturcture and sequence similarity.",Inferred by structure analysis without experimental evidences,,
"Malate dehydrogenase [NADP] 1, chloroplastic (EC 1.1.1.82) (NADP-MDH-1)",,429,P17606,Sorghum bicolor (Sorghum) (Sorghum vulgare),56-72(N-terminal disulfide motif);405-429(C-terminal disulfide motif),"10194350, 10574915","The chloroplastic NADP-dependent malate dehydrogenase (NADP-MDH) catalyzes the reduction of oxaloacetate into L-malate. The enzyme exhibits extensions at both the N- and C-termini, each of which contains a regulatory disulfide bridge which must be reduced for activation. The N-terminal disulfide motif is inserted in a cleft between the two subunits of the dimer, thereby locking the domains in each subunit. The C-terminal disulfide keeps the C-terminal residues tight to the enzyme surface and blocks access to the active site.",Inferred by structure analysis without experimental evidences,,
Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),Abl1 Abl,1123,P00520,Mus musculus (Mouse),1-60(CAP);61-121(SH3 domain);127-217(SH2 domain);218-241(SH2-Tyrosine kinase linker),"10988075, 20841568","Abelson tyrosine kinase (Abl1) is a non-receptor tyrosine kinase that involved in many processes linked to cell growth and survival such as cytockeleton remodeling, cell motility and adhesion, receptor endocytosis, autophagy, DNA damage response and apoptosis. Abl protein contains a CAP-SH3-SH2-TK (Src homology 3-Src homology 2-tyrosine kinase) domain cassette, which confers autoregulated kinase activity. Structural and biochemical studies revealed the multiple autoinhibitory mechanisms. The tyrosine kinase activity of Abl1 is increased by disrupting these autoinhibitory interactions, such as the N-terminal CAP domain mutation, the SH3 domain mutation, the SH2 domain mutations, and the SH2-TK linker-region double mutation. Also, Abl1 has an activation loop in which Tyr393 is the major site of phosphorylation. ",Experimentally validated,,
Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),ABL1 ABL JTK7,1130,P00519,Homo sapiens (Human),1-60(CAP);61-121(SH3 domain);127-217(SH2 domain);218-241(SH2-Tyrosine kinase linker),"11832214, 12654251","Abelson tyrosine kinase (Abl1) is a non-receptor tyrosine kinase that involved in many processes linked to cell growth and survival such as cytockeleton remodeling, cell motility and adhesion, receptor endocytosis, autophagy, DNA damage response and apoptosis. Abl protein contains a CAP-SH3-SH2-TK (Src homology 3-Src homology 2-tyrosine kinase) domain cassette, which confers autoregulated kinase activity. Structural and biochemical studies revealed the multiple autoinhibitory mechanisms. The tyrosine kinase activity of Abl1 is increased by disrupting these autoinhibitory interactions, such as the N-terminal CAP domain mutation, the SH3 domain mutation, the SH2 domain mutations, and the SH2-TK linker-region double mutation. Also, Abl1 has an activation loop in which Tyr393 is the major site of phosphorylation. ",Experimentally validated,,
"Calcium-transporting ATPase 2, plasma membrane-type (EC 7.2.2.10) (Ca(2+)-ATPase isoform 2)",ACA2 At4g37640 F19F18.130,1014,O81108,Arabidopsis thaliana (Mouse-ear cress),20-31(N-terminal autoinhibitory region),9422775,"ACA2 is an Arabidopsis Ca2+-ATPase isoform 2. ACA2 catalyzes the translocation of calcium from cytoplasm to endoplasmic reticulum. ACA2 contains an N-terminal autoinhibitory region that interacts with the calmodulin in the same protein, and the interaction inhibit the pump function of ACA2. ",Experimentally validated,,
"Calcium-transporting ATPase 7, plasma membrane-type (OsACA7) (EC 7.2.2.10) (Ca(2+)-ATPase isoform 7)",ACA7 Os10g0418100 LOC_Os10g28240 OsJ_31537 OSJNBa0061K21.21,1035,Q7XEK4,Oryza sativa subsp. japonica (Rice),1-68(N-terminal autoinhibitory region),24286292,"Calcium-transporting ATPase 7 (ACA7) catalyzes the hydrolysis of ATP coupled with the translocation of calcium. ACA enzymes contain an N-terminal autoinhibitory region, which binds to the calmodulin within the same protein. The intramolecular interaction between N-terminal autoinhibitory region and calmodulin inhibits the function of ACA7. Removal of the N-terminal region restored the calcium pump activity of ACA7.",Experimentally validated,,
"Calcium-transporting ATPase 8, plasma membrane-type (EC 7.2.2.10) (Ca(2+)-ATPase isoform 8)",ACA8 At5g57110 MUL3.5,1074,Q9LF79,Arabidopsis thaliana (Mouse-ear cress),43-54(N-terminus autoinhibitory region),16267044,"Calcium-transporting ATPases (ACAs) catalyze the hydrolysis of ATP coupled with the translocation of calcium. The N-terminal region of ACA8 is responsible for pump autoinhibition and the binding of calmodulin to the N-terminal region results in pump activation. The N-terminal truncated ATPase (?74-aca8) has high basal activity. In other words, the truncation of the N terminus releases autoinhibition of pump activity. ",Experimentally validated,,
"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",ACAP1 CENTB1 KIAA0050,740,Q15027,Homo sapiens (Human),525-568(Linker region),22645133,"ACAP1 (ArfGAP with coiled-coil, ankyrin repeat, and PH domains protein 1) is an ARF6 GAP that acts as a key component of a defined clathrin complex for endocytic recycling. A flexible linker region between the GAP and ANK domains acts to obstruct cargo binding, with a key residue within this region (Ser-554) regulating this obstruction. The excision of the linker region results in promoting cargo binding and integrin recycling.",Experimentally validated,,
Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein),ACTN2,894,P35609,Homo sapiens (Human),259-307(Pseudo-Z-repeat),11101506,"ACTN2 is F-actin cross-linking protein. Interaction with the Z-repeat of Titin protein via the C-terminal region of ACTN2 targets ACTN2 to Z-disk. Full-length ACTN2 does not bind Z-repeats. ACTN2 has a region between ABD and R1 acting as a pseudo-Z-repeat, and this region prevents the binding of ACTN2 to the Z-repeat of Titin protein.",Experimentally validated,,
"ATPase 2, plasma membrane-type (EC 7.1.2.1) (Proton pump 2)",AHA2 At4g30190 F9N11.40,948,P19456,Arabidopsis thaliana (Mouse-ear cress),863-885(Autoinhibitory domain I);904-919(Autoinhibitory domain II),10353834,"The plasma membrane H+-ATPase belongs to the superfamily of P-type ATPases. The H+-ATPase is responsible for the ATP-fuelled ejection of protons from the cell and is an important component in the generation of the trans-membrane H+ gradient in plant cells. The H+-ATPase AHA2 is controlled by an autoinhibitory C-terminal regulatory domain and activated by 14-3-3 proteins which bind to the part of the enzyme. In two regions of the C-terminus, alteration of the residues leads to increased pump activity. One region stretches from K863 to L885 and includes two residues (Q879 and R880) that are conserved between plant and fungal H+-ATPases. The other region, incorporating S904 to L919, is situated in an extension of the C-terminus unique to plant H+-ATPases. ",Experimentally validated,,
Interferon-inducible protein AIM2 (Absent in melanoma 2),AIM2,343,O14862,Homo sapiens (Human),1-107(PYD domain),22483801,"Interferon-inducible protein AIM2 have been identified as DNA receptors that induce inflammasome formation. AIM2 contains a C-terminal DNA-binding HIN domain and an N-terminal PYD domain belonging to the death domain superfamily of signaling modules. AIM2 PYD domain inhibits the HIN:DNA interaction. PYD domain binds to the HIN domain from the intramolecular complex, which hinders the DNA binding of HIN domain.",Experimentally validated,,
RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta),AKT2,481,P31751,Homo sapiens (Human),5-108(PH domain);410-481(C-terminal regulatory region),12517337,"Akt belongs to the AGC superfamily of serine/threonine kinases, which also includes SGK and the ribosomal S6 protein kinase. Akt has been implicated as the central mediator of many biological responses associated with the phosphatidylinositol 3-kinase (PI3K) signal transduction pathway. N-terminal PH domain plays a regulatory role in Akt2 activation. In addition, phosphorylation of Ser474 in the C-terminal regulatory domain is required for full activation of Akt2.",Experimentally validated,,
Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI),ANP32A C15orf1 LANP MAPM PHAP1,249,P39687,Homo sapiens (Human),121-163(Autoinhibitory domain),18245083,"ANP32A(I1PP2A) regulates PP2A activity by functioning as a non-competitive inhibitor of this enzyme. PP2A is a major regulator of the phosphorylation of Tau. The activity of PP2A is compromised in Alzheimer's disease brain. ANP32A has an autoinhibitory domain that negatively affects the interaction of ANP32A with PP2Ac and its ability to modulate the PP2A activity, which lies within amino acid residues 121-163. The inhibitory role of the autoinhibitory region might be regulated through the phosphorylation of Ser-158 or both Ser-158 and Ser-204 by casein kinase II.",Experimentally validated,,
Apoptotic protease-activating factor 1 (APAF-1),Apaf1,1249,O88879,Mus musculus (Mouse),1-90(CARD domain),15970665,"Apaf is a core component of the cell death machine and plays an important role in the general apoptotic program of normal development and pathogenesis. Oligomeric Apaf-1 mediates the cytochrome c-dependent autocatalytic activation of pro-caspase- 9 (Apaf-3), leading to the activation of caspase-3 and apoptosis. The monomeric form is autoinhibited in a closed conformation through a bound ADP at the nucleotide binding site. The CARD domain of Apaf-1 stacks closely against the ?/? fold and the winged-helix domain. And consequently Apaf-1 exists in a conformation that is incompatible for the recruitment of the CARD domain of caspase-9. The activation of Apaf-1 requires cytochrome c and ATP or dATP. ",Experimentally validated,,
Amyloid-beta A4 precursor protein-binding family A member 1 (Adapter protein X11alpha) (Neuron-specific X11 protein) (Neuronal Munc18-1-interacting protein 1) (Mint-1),APBA1 MINT1 X11,837,Q02410,Homo sapiens (Human),626-641(Autoinhibitory helix),22355143,"Mints bind to the amyloid precursor protein (APP) and regulate APP processing associated with Alzheimer’s disease. Mint1 phosphotyrosine binding (PTB) domain that binds to APP is intramolecularly inhibited by the adjacent C-terminal linker region that folds back onto the core structure of the PTB domain and sterically hinders the APP binding site. This intramolecular interaction is disrupted by mutation of Tyr633 within Mint1 autoinhibitory helix leading the enhanced APP binding and ?-amyloid production, in result, Mint1 undergoes a conformational switch between a closed state that does not bind APP and an open state involved in APP binding and processing events",Experimentally validated,,
Subtilisin BPN' (EC 3.4.21.62) (Alkaline protease) (Subtilisin DFE) (Subtilisin Novo),apr,382,P00782,Bacillus amyloliquefaciens (Bacillus velezensis),1-77(N-terminal prosegment),8535784,Serine protease subtilisin BPN' is secreted by the soil bacterium for the apparent biological function of digesting environmental proteins for bacterial absorption. The N-terminal 77 residues must be removed for the activation of this enzyme. ,Experimentally validated,,
Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP),ARHGAP1 CDC42GAP RHOGAP1,439,Q07960,Homo sapiens (Human),1-48(N-terminal fragments);169-197(Autoinhibitory region),15596440,"ARHGAP1 is a GTPase activator for the Rho, Rac and Cdc42 proteins, having a role in the organization of numerous cell functions, such as polarity, motility, shape changes, membrane trafficking, gene expression, or production of toxic oxygen metabolites. Similarly to other GTP-binding proteins, it is active in the GTP-bound form and inactive in the GDP bound state. It is in an autoinhibited conformation stabilized by thestretches 1–48 and 169–197 and the prenyl group of the small GTPase plays a role in releasing this intramolecular restraint.",Experimentally validated,,
Rho GTPase-activating protein 45 [Cleaved into: Minor histocompatibility antigen HA-1 (mHag HA-1)],ARHGAP45 HMHA1 KIAA0223,1136,Q92619,Homo sapiens (Human),281-356(N-terminal BAR-domain),24086303,ARHGAP45 contains a GTPase activator for the Rho-type GTPases (RhoGAP) domain that would be able to negatively regulate the actin cytoskeleton as well as cell spreading. It also contains N-terminally a BAR-domain(281-356) that is able to play an autoinhibitory effect on this RhoGAP activity.,Experimentally validated,,
Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF),ARHGEF11 KIAA0380,1522,O15085,Homo sapiens (Human),672-712(Autoinhibitory region),21816819,"ARHGEF11 belongs to a small family of RhoA-specific nucleotide exchange factors that mediates signaling through select G-protein-coupled receptors via G?12/13 and activates RhoA by catalyzing the exchange of GDP to GTP. ARHGEF11 is a multidomain protein composed of PDZ, regulators of G-protein signaling-like (RGSL), Dbl-homology (DH), and pleckstrin-homology (PH) domains. The autoinhibitory activity resides in the 672-712 fragment in such a way that it disturbs the catalytically competent conformation of the GEF switch.",Experimentally validated,,
Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF),ARHGEF12 KIAA0382 LARG,1544,Q9NZN5,Homo sapiens (Human),765-782(Autoinhibitory region),21064165,"ARHGEF12 plays a role in the regulation of RhoA GTPase by guanine nucleotide-binding alpha-12 (GNA12) and alpha-13 (GNA13). It acts as guanine nucleotide exchange factor (GEF) for RhoA GTPase and may act as GTPase-activating protein (GAP) for GNA12 and GNA13. Its linker region connecting the N-terminal RGS-homology (RH) domain and the DH domain inhibits the intrinsic guanine nucleotide exchange (GEF) activity of ARHGEF12. Deletion of this region (residues 765–782) or mutations of a conserved tryptophan residue within this region, produced 80% declines in GEF activity of the LARG DH/PH domains toward RhoA.",Experimentally validated,,
Rho guanine nucleotide exchange factor 25 (Guanine nucleotide exchange factor GEFT) (Rac/Cdc42/Rho exchange factor GEFT) (RhoA/Rac/Cdc42 guanine nucleotide exchange factor GEFT) (p63RhoGEF),ARHGEF25 GEFT,580,Q86VW2,Homo sapiens (Human),348-466(PH domain),17606614,"Dbl-family GEFs are the major class of exchange factors for Rho GTPases. The Dbl-family GEF p63RhoGEF, called ARHGEF25, is a mediator of G?q/11 signaling to RhoA based on its ability to synergize with G?q/11 resulting in enhanced RhoA signaling. Activated G?q directly engages and stimulates ARHGEF25. Basally, ARHGEF25 is autoinhibited by the Dbl homology (DH)-associated pleckstrin homology (PH) domain. Activated G?q relieves this autoinhibition by interacting with a highly conserved C-terminal extension of the PH domain. ",Experimentally validated,,
Rho guanine nucleotide exchange factor 5 (Ephexin-3) (Guanine nucleotide regulatory protein TIM) (Oncogene TIM) (Transforming immortalized mammary oncogene) (p60 TIM),ARHGEF5 TIM,1597,Q12774,Homo sapiens (Human),15-22(Autoinhibitory helix),17337446,"Dbl-related oncoproteins are guanine nucleotide exchange factors specific for Rho-family GTPases and typically possess tandem Dbl homology (DH) and pleckstrin homology domains that act in concert to catalyze exchange. The ability of many Dbl-family proteins to catalyze exchange is constitutively activated by truncations N-terminal to their DH domains. The Dbl-family protein Tim, called ARHGEF5, is autoinhibited by a short, helical motif immediately N-terminal to its DH domain, which directly occludes the catalytic surface of the DH domain to prevent GTPase activation.  ",Experimentally validated,,
E3 ubiquitin-protein ligase ARIH1 (EC 2.3.2.31) (H7-AP2) (HHARI) (Monocyte protein 6) (MOP-6) (Protein ariadne-1 homolog) (ARI-1) (UbcH7-binding protein) (UbcM4-interacting protein) (Ubiquitin-conjugating enzyme E2-binding protein 1),ARIH1 ARI MOP6 UBCH7BP HUSSY-27,557,Q9Y4X5,Homo sapiens (Human),408-557(Ariadne domain),"23707686, 24076655","E3 ubiquitin-protein ligase ARIH1 is an E3 ubiquitin-protein ligase, which catalyzes ubiquitination of target proteins together with ubiquitin-conjugating enzyme E2 UBE2L3, and acts as an atypical E3 ubiquitin-protein ligase by working together with cullin-RING ubiquitin ligase (CRL) complexes and initiating ubiquitination of CRL substrates. ARIH1 is autoinhibited by the ariadne domain, which masks the second RING-type zinc finger that contains the active site and inhibits the E3 activity. The inhibition is relieved upon binding to neddylated cullin-RING ubiquitin ligase complexes, which activate the E3 ligase activity of ARIH1.",Experimentally validated,,
