Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source
PLCB1,468-539,ENSG00000182621,Q9NQ66,18691970,1216,TIM,"316-467,540-665",,ENST00000338037,Uniprot
PLCB2,466-537,ENSG00000137841,Q00722,27135163,1185,TIM,"312-463,546-662",,ENST00000260402,Uniprot
PLCB3,469-589,ENSG00000149782,Q01970,18691970,1234,TIM,"318-468,590-706",,ENST00000279230,Uniprot
PLCD1,441-491,ENSG00000187091,P51178,18691970,756,"PI-PLC X-box, PI-PLC Y-box","296-440,492-609",Uniprot,ENST00000334661,Uniprot
PLCD3,483-527,ENSG00000161714,Q8N3E9,18691970,789,"PI-PLC X-box, PI-PLC Y-box","337-482,528-644",Uniprot,ENST00000619929,Uniprot
PLCD4,436-492,ENSG00000115556,Q9BRC7,18691970,762,"PI-PLC X-box, PI-PLC Y-box","290-435,493-609",Uniprot,ENST00000417849,Uniprot
PLK1,367-603,ENSG00000166851,P53350,14592974,603,Kinase,53-305,Uniprot,ENST00000300093,Uniprot
PLXNA1,53-493,ENSG00000114554,Q9UIW2,11239433,1896,IPT/TIG,864-1236,Uniprot,ENST00000393409,Uniprot
PLXNA3,"1324-1449,1651-1871",ENSG00000130827,P51805,19717441,1871,IPT/TIG,840-1211,Uniprot,ENST00000369682,Uniprot
PPP3CA,467-491,ENSG00000138814,Q08209,27135163/22100452,521,Phosphatase,1-348,Uniprot,ENST00000394854,Uniprot
PPP5C,"28-129,487-499",ENSG00000011485,P53041,27135163/25892015,499,Phosphatase,184-486,Uniprot,ENST00000012443,Uniprot
PRKAA1,313-392,ENSG00000132356,Q13131,17088252,559,Kinase,27-279,Uniprot,ENST00000397128,Uniprot
PRKAA2,291-376,ENSG00000162409,P54646,Uniprot,552,Kinase,16-268,Uniprot,ENST00000371244,Uniprot
PRKAR1A,1-98,ENSG00000108946,P10644,27135163,381,NBD,137-381,Uniprot,ENST00000358598,Uniprot
PRKAR2B,1-122,ENSG00000005249,P31323,27135163,418,NBD,154-418,Uniprot,ENST00000265717,Uniprot
PRKCA,19-37,ENSG00000154229,P17252,27135163,672,Kinase,339-597,Uniprot,ENST00000413366,Uniprot
PRKCB,19-37,ENSG00000166501,P05771,27135163,671,Kinase,601-671,Uniprot,ENST00000321728,Uniprot
PRKCG,18-36,ENSG00000126583,P05129,27135163,697,Kinase,351-614,Uniprot,ENST00000263431,Uniprot
PRKD1,422-541,ENSG00000184304,Q15139,12637538,912,Kinase,583-839,Uniprot,ENST00000331968,Uniprot
PRKD2,397-509,ENSG00000105287,Q9BZL6,12637538,878,Kinase,551-807,Uniprot,ENST00000291281,Uniprot
PRKD3,416-532,ENSG00000115825,O94806,12637538,890,Kinase,576-832,Uniprot,ENST00000234179,Uniprot
PRKG1,50-75,ENSG00000185532,Q13976,Uniprot,671,Kinase,360-619,Uniprot,ENST00000401604,Uniprot
PTK2,35-355,ENSG00000169398,Q05397,Uniprot,1052,Kinase,422-680,Uniprot,ENST00000521059,Uniprot
PTK6,"75-174,447-451",ENSG00000101213,Q13882,15056653,451,Kinase,191-445,Uniprot,ENST00000542869,Uniprot
PTPN1,353-387,ENSG00000196396,P18031,9361013,435,Phosphatase,2-277,Uniprot,ENST00000371621,Uniprot
PTPN11,3-104,ENSG00000179295,Q06124,20648242,593,Phosphatase,247-517,Uniprot,ENST00000351677,Uniprot
PTPN2,353-387,ENSG00000175354,P17706,Uniprot,415,Phosphatase,5-275,Uniprot,ENST00000309660,Uniprot
PTPN6,1-105,ENSG00000111679,P29350,21465528,595,Phosphatase,244-515,Uniprot,ENST00000318974,Uniprot
RASGRP1,468-609,ENSG00000172575,O95267,27135163,797,Ras-GEF,205-436,Uniprot,ENST00000310803,Uniprot
RASGRP2,337-551,ENSG00000068831,Q7LDG7,27135163/Uniprot,609,Ras-GEF,154-336,Uniprot,ENST00000354024,Uniprot
RASGRP3,388-546,ENSG00000152689,Q8IV61,27135163,690,Ras-GEF,152-383,Uniprot,ENST00000402538,Ensembl
RASGRP4,386-593,ENSG00000171777,Q8TDF6,27135163,673,Ras-GEF,201-385,Uniprot,ENST00000587738,Uniprot
RET,900-909,ENSG00000165731,P07949,16928683,1114,Kinase,"724-899,910-1016",Uniprot,ENST00000355710,Uniprot
RHOBTB3,420-611,ENSG00000164292,O94955,19490898,611,Rho,1-175,Uniprot,ENST00000379982,Uniprot
RPS6KA1,687-706,"ENSG00000281877,ENSG00000117676",Q15418,27135163,735,"NTKD,CTKD","62-321,418-675",Uniprot,ENST00000374168,Uniprot
RPS6KA2,687-704,ENSG00000071242,Q15349,27135163,733,"NTKD,CTKD","59-318,415-672",Uniprot,ENST00000265678,Uniprot
RPS6KA3,694-711,ENSG00000177189,P51812,27135163,740,"NTKD,CTKD","68-327,422-679",Uniprot,ENST00000379565,Uniprot
RPS6KA5,702-723,ENSG00000100784,O75582,27135163,802,"NTKD,CTKD","49-318,426-687",Uniprot,ENST00000614987,Ensembl
RPS6KB1,424-525,ENSG00000108443,P23443,UniProt/25903132,525,Kinase,91-352,Uniprot,ENST00000225577,Uniprot
SDCBP,"1-113,276-298",ENSG00000137575,O00560,22673509,298,PDZ,114-273,Uniprot,ENST00000260130,Uniprot
SETD2,2353-2382,ENSG00000181555,Q9BYW2,24412394,2564,WW,2383-2430,24412394,ENST00000409792,Uniprot
SIRT2,320-352,"ENSG00000068903,ENSG00000283100",Q8IXJ6,26407304,389,Deacetylase,65-319,Uniprot,ENST00000249396,Uniprot
SLC9A3R1,242-328,ENSG00000109062,O14745,27135163,358,PDZ,"14-94,154-234",Uniprot,ENST00000262613,Uniprot
SMURF2,10-140,ENSG00000108854,Q9HAU4,17719543,748,HECT,414-748,Uniprot,ENST00000262435,Uniprot
SMYD3,280-428,ENSG00000185420,Q9H7B4,27135163,428,SET,4-240,Uniprot,ENST00000490107,Uniprot
SPATA13,153-198,ENSG00000182957,Q96N96,17145773,652,ABR,98-150,Uniprot,ENST00000382095,Uniprot
STK3,279-435,ENSG00000104375,Q13188,27135163,491,Kinase,27-278,Uniprot,ENST00000419617,Uniprot
STK38,383-455,ENSG00000112079,Q15208,"15197186,15037617",465,Kinase,89-382,Uniprot,ENST00000229812,Uniprot
STK38L,384-453,ENSG00000211455,Q9Y2H1,"15197186,15037617",464,Kinase,90-383,Uniprot,ENST00000389032,Uniprot
STK4,282-431,ENSG00000101109,Q13043,27135163,487,Kinase,30-281,Uniprot,ENST00000372806,Uniprot
SYK,"93-167,245-370",ENSG00000165025,P43405,19909371,635,Kinase,371-631,Uniprot,ENST00000375746,Uniprot
TBP,1-55,ENSG00000112592,P20226,27135163,339,TBP,"165-241,255-332",Uniprot,ENST00000230354,Uniprot
TMEM173,340-379,ENSG00000184584,Q86WV6,27135163,379,CBD,153-339,Uniprot,ENST00000330794,Uniprot
