uniprot	cluster	cf_filename	complex_rmsd	1.0_aligned	1.0_comp	1.1_aligned	1.1_comp	1.2_aligned	1.2_comp	2.0_aligned	2.0_comp	2.1_aligned	2.1_comp	2.2_aligned	2.2_comp	2.3_aligned	2.3_comp	1_aligned	1_comp	2_aligned	2_comp
Q72AS4	U10-004	Q72AS4_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	9.14	2.294	12.36	0	0	0	0	9.422	13.038	0	0	0	0	0	0	2.294	12.36	9.422	13.038
Q72AS4	113	Q72AS4_113_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	10.883	4.773	20.259	0	0	0	0	14.982	39.11	0	0	0	0	0	0	4.773	20.259	14.982	39.11
Q72AS4	131	Q72AS4_131_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	15.659	10.369	20.36	0	0	0	0	13.911	45.846	0	0	0	0	0	0	10.369	20.36	13.911	45.846
Q72AS4	047	Q72AS4_047_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	13.293	3.003	20.907	0	0	0	0	11.942	35.231	0	0	0	0	0	0	3.003	20.907	11.942	35.231
Q72AS4	028	Q72AS4_028_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	16.55	4.461	25.466	0	0	0	0	13.449	49.98	0	0	0	0	0	0	4.461	25.466	13.449	49.98
Q72AS4	200	Q72AS4_200_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	12.568	6.39	18.251	0	0	0	0	10.136	16.418	0	0	0	0	0	0	6.39	18.251	10.136	16.418
Q72AS4	102	Q72AS4_102_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	17.544	5.803	29.814	0	0	0	0	17.127	62.568	0	0	0	0	0	0	5.803	29.814	17.127	62.568
Q72AS4	030	Q72AS4_030_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	11.441	2.84	14.395	0	0	0	0	11.814	13.129	0	0	0	0	0	0	2.84	14.395	11.814	13.129
Q72AS4	187	Q72AS4_187_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	15.443	6.353	22.24	0	0	0	0	12.591	25.099	0	0	0	0	0	0	6.353	22.24	12.591	25.099
Q72AS4	097	Q72AS4_097_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	13.761	6.724	24.868	0	0	0	0	12.756	40.163	0	0	0	0	0	0	6.724	24.868	12.756	40.163
Q72AS4	065	Q72AS4_065_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	13.496	3.215	19.182	0	0	0	0	14.658	13.011	0	0	0	0	0	0	3.215	19.182	14.658	13.011
Q72AS4	135	Q72AS4_135_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	15.486	8.517	27.28	0	0	0	0	13.022	40.399	0	0	0	0	0	0	8.517	27.28	13.022	40.399
Q72AS4	052	Q72AS4_052_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	16.435	4.051	25.839	0	0	0	0	11.485	30.24	0	0	0	0	0	0	4.051	25.839	11.485	30.24
Q72AS4	142	Q72AS4_142_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	13.822	6.433	24.305	0	0	0	0	14.839	45.917	0	0	0	0	0	0	6.433	24.305	14.839	45.917
Q72AS4	074	Q72AS4_074_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	14.907	4.639	13.583	0	0	0	0	9.94	11.209	0	0	0	0	0	0	4.639	13.583	9.94	11.209
Q72AS4	086	Q72AS4_086_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	14.648	6.1	14.699	0	0	0	0	10.94	25.848	0	0	0	0	0	0	6.1	14.699	10.94	25.848
Q72AS4	056	Q72AS4_056_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	13.979	5.5	19.538	0	0	0	0	11.853	16.869	0	0	0	0	0	0	5.5	19.538	11.853	16.869
Q72AS4	164	Q72AS4_164_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	10.856	6.03	21.01	0	0	0	0	10.41	22.091	0	0	0	0	0	0	6.03	21.01	10.41	22.091
Q72AS4	196	Q72AS4_196_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	13.632	8.144	23.298	0	0	0	0	14.861	36.593	0	0	0	0	0	0	8.144	23.298	14.861	36.593
Q72AS4	157	Q72AS4_157_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	9.275	3.131	4.576	0	0	0	0	3.647	4.418	0	0	0	0	0	0	3.131	4.576	3.647	4.418
Q72AS4	171	Q72AS4_171_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	13.405	5.538	20.235	0	0	0	0	14.055	26.015	0	0	0	0	0	0	5.538	20.235	14.055	26.015
Q72AS4	061	Q72AS4_061_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	16.605	4.536	21.428	0	0	0	0	13.724	38.677	0	0	0	0	0	0	4.536	21.428	13.724	38.677
Q72AS4	039	Q72AS4_039_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	17.416	4.587	28.739	0	0	0	0	15.343	41.751	0	0	0	0	0	0	4.587	28.739	15.343	41.751
Q72AS4	U100-001	Q72AS4_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	7.227	1.501	2.28	0	0	0	0	1.681	2.075	0	0	0	0	0	0	1.501	2.28	1.681	2.075
Q72AS4	U10-009	Q72AS4_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	8.876	2.714	11.544	0	0	0	0	10.003	8.89	0	0	0	0	0	0	2.714	11.544	10.003	8.89
Q72AS4	043	Q72AS4_043_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	13.334	6.377	23.4	0	0	0	0	13.983	35.042	0	0	0	0	0	0	6.377	23.4	13.983	35.042
Q72AS4	138	Q72AS4_138_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	11.75	5.932	18.903	0	0	0	0	14.371	46.681	0	0	0	0	0	0	5.932	18.903	14.371	46.681
Q72AS4	068	Q72AS4_068_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	11.629	7.925	19.961	0	0	0	0	13.903	52.904	0	0	0	0	0	0	7.925	19.961	13.903	52.904
Q72AS4	175	Q72AS4_175_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	15.394	6.386	20.413	0	0	0	0	13.873	38.468	0	0	0	0	0	0	6.386	20.413	13.873	38.468
Q72AS4	093	Q72AS4_093_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	12.946	4.373	18.77	0	0	0	0	13.092	36.372	0	0	0	0	0	0	4.373	18.77	13.092	36.372
Q72AS4	183	Q72AS4_183_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	10.671	4.416	13.527	0	0	0	0	9.908	19.261	0	0	0	0	0	0	4.416	13.527	9.908	19.261
Q72AS4	U10-000	Q72AS4_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	9.086	2.172	9.358	0	0	0	0	7.249	7.333	0	0	0	0	0	0	2.172	9.358	7.249	7.333
Q72AS4	192	Q72AS4_192_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	14.376	4.752	23.596	0	0	0	0	14.256	28.469	0	0	0	0	0	0	4.752	23.596	14.256	28.469
Q72AS4	082	Q72AS4_082_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	11.001	4.299	21.087	0	0	0	0	13.037	18.408	0	0	0	0	0	0	4.299	21.087	13.037	18.408
Q72AS4	025	Q72AS4_025_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	11.222	2.745	11.908	0	0	0	0	9.645	12.194	0	0	0	0	0	0	2.745	11.908	9.645	12.194
Q72AS4	117	Q72AS4_117_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	17.192	5.242	29.982	0	0	0	0	17.659	48.181	0	0	0	0	0	0	5.242	29.982	17.659	48.181
Q72AS4	021	Q72AS4_021_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	13.733	2.533	20.384	0	0	0	0	13.429	35.006	0	0	0	0	0	0	2.533	20.384	13.429	35.006
Q72AS4	070	Q72AS4_070_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	14.551	5.692	18.383	0	0	0	0	14.227	31.672	0	0	0	0	0	0	5.692	18.383	14.227	31.672
Q72AS4	034	Q72AS4_034_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	16.77	5.889	21.901	0	0	0	0	14.88	36.477	0	0	0	0	0	0	5.889	21.901	14.88	36.477
Q72AS4	146	Q72AS4_146_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	13.897	7.342	25.729	0	0	0	0	10.159	32.228	0	0	0	0	0	0	7.342	25.729	10.159	32.228
Q72AS4	129	Q72AS4_129_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	14.241	5.896	23.281	0	0	0	0	13.677	43.972	0	0	0	0	0	0	5.896	23.281	13.677	43.972
Q72AS4	079	Q72AS4_079_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	14.219	4.086	15.767	0	0	0	0	13.216	27.06	0	0	0	0	0	0	4.086	15.767	13.216	27.06
Q72AS4	106	Q72AS4_106_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	20.306	13.78	37.444	0	0	0	0	14.944	42.486	0	0	0	0	0	0	13.78	37.444	14.944	42.486
Q72AS4	169	Q72AS4_169_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	14.634	5.382	26.183	0	0	0	0	16.87	46.241	0	0	0	0	0	0	5.382	26.183	16.87	46.241
Q72AS4	120	Q72AS4_120_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	12.866	7.09	17.344	0	0	0	0	13.537	26.321	0	0	0	0	0	0	7.09	17.344	13.537	26.321
Q72AS4	U100-005	Q72AS4_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	4.881	1.052	3.332	0	0	0	0	2.508	2.48	0	0	0	0	0	0	1.052	3.332	2.508	2.48
Q72AS4	016	Q72AS4_016_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	11.778	5.374	16.508	0	0	0	0	13.829	22.675	0	0	0	0	0	0	5.374	16.508	13.829	22.675
Q72AS4	124	Q72AS4_124_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	12.687	5.144	24.976	0	0	0	0	13.928	38.992	0	0	0	0	0	0	5.144	24.976	13.928	38.992
Q72AS4	178	Q72AS4_178_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	15.835	6.4	24.388	0	0	0	0	14.95	40.254	0	0	0	0	0	0	6.4	24.388	14.95	40.254
Q72AS4	007	Q72AS4_007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	8.372	2.828	9.367	0	0	0	0	8.566	8.573	0	0	0	0	0	0	2.828	9.367	8.566	8.573
Q72AS4	092	Q72AS4_092_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	13.359	7.489	21.756	0	0	0	0	13.214	18.422	0	0	0	0	0	0	7.489	21.756	13.214	18.422
Q72AS4	161	Q72AS4_161_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	17.187	5.586	27.314	0	0	0	0	15.416	33.06	0	0	0	0	0	0	5.586	27.314	15.416	33.06
Q72AS4	075	Q72AS4_075_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	16.51	5.576	25.474	0	0	0	0	16.399	41.262	0	0	0	0	0	0	5.576	25.474	16.399	41.262
Q72AS4	147	Q72AS4_147_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	14.987	7.123	20.959	0	0	0	0	13.894	48.678	0	0	0	0	0	0	7.123	20.959	13.894	48.678
Q72AS4	193	Q72AS4_193_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	14.337	6.17	22.919	0	0	0	0	15.459	35.406	0	0	0	0	0	0	6.17	22.919	15.459	35.406
Q72AS4	174	Q72AS4_174_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	14.178	5.308	21.647	0	0	0	0	14.838	26.159	0	0	0	0	0	0	5.308	21.647	14.838	26.159
Q72AS4	096	Q72AS4_096_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	12.8	5.662	20.798	0	0	0	0	15.56	56.739	0	0	0	0	0	0	5.662	20.798	15.56	56.739
Q72AS4	112	Q72AS4_112_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	13.357	4.903	20.894	0	0	0	0	12.635	45.493	0	0	0	0	0	0	4.903	20.894	12.635	45.493
Q72AS4	017	Q72AS4_017_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	12.914	3.043	14.838	0	0	0	0	11.865	21.117	0	0	0	0	0	0	3.043	14.838	11.865	21.117
Q72AS4	168	Q72AS4_168_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	13.451	5.438	19.63	0	0	0	0	14.411	33.661	0	0	0	0	0	0	5.438	19.63	14.411	33.661
Q72AS4	130	Q72AS4_130_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	13.76	5.691	19.647	0	0	0	0	13.469	23.759	0	0	0	0	0	0	5.691	19.647	13.469	23.759
Q72AS4	060	Q72AS4_060_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	14.34	5.958	23.377	0	0	0	0	13.747	42.817	0	0	0	0	0	0	5.958	23.377	13.747	42.817
Q72AS4	U10-001	Q72AS4_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	12.576	1.779	10.084	0	0	0	0	6.907	11.519	0	0	0	0	0	0	1.779	10.084	6.907	11.519
Q72AS4	156	Q72AS4_156_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	13.939	4.24	20.493	0	0	0	0	12.5	39.445	0	0	0	0	0	0	4.24	20.493	12.5	39.445
Q72AS4	042	Q72AS4_042_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	15.438	6.461	22.869	0	0	0	0	14.215	55.817	0	0	0	0	0	0	6.461	22.869	14.215	55.817
Q72AS4	024	Q72AS4_024_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	12.144	3.376	16.059	0	0	0	0	11.594	17.877	0	0	0	0	0	0	3.376	16.059	11.594	17.877
Q72AS4	116	Q72AS4_116_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	12.5	6.019	24.251	0	0	0	0	16.168	48.073	0	0	0	0	0	0	6.019	24.251	16.168	48.073
Q72AS4	128	Q72AS4_128_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	11.91	7.173	17.03	0	0	0	0	13.355	30.626	0	0	0	0	0	0	7.173	17.03	13.355	30.626
Q72AS4	U100-004	Q72AS4_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	9.246	1.374	3.8	0	0	0	0	2.777	2.763	0	0	0	0	0	0	1.374	3.8	2.777	2.763
Q72AS4	197	Q72AS4_197_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	18.477	9.64	21.414	0	0	0	0	15.619	37.944	0	0	0	0	0	0	9.64	21.414	15.619	37.944
Q72AS4	083	Q72AS4_083_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	13.449	6.77	21.449	0	0	0	0	13.573	50.979	0	0	0	0	0	0	6.77	21.449	13.573	50.979
Q72AS4	103	Q72AS4_103_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	12.008	6.47	18.458	0	0	0	0	11.568	22.738	0	0	0	0	0	0	6.47	18.458	11.568	22.738
Q72AS4	064	Q72AS4_064_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	14.867	4.492	21.526	0	0	0	0	13.285	20.714	0	0	0	0	0	0	4.492	21.526	13.285	20.714
Q72AS4	020	Q72AS4_020_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	12.826	7.481	20.459	0	0	0	0	12.222	19.913	0	0	0	0	0	0	7.481	20.459	12.222	19.913
Q72AS4	143	Q72AS4_143_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	14.154	6.372	26.959	0	0	0	0	15.064	44.292	0	0	0	0	0	0	6.372	26.959	15.064	44.292
Q72AS4	031	Q72AS4_031_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	13.956	4.871	23.975	0	0	0	0	13.621	35.36	0	0	0	0	0	0	4.871	23.975	13.621	35.36
Q72AS4	057	Q72AS4_057_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	12.842	5.695	19.25	0	0	0	0	14.268	38.948	0	0	0	0	0	0	5.695	19.25	14.268	38.948
Q72AS4	035	Q72AS4_035_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	14.733	5.972	22.42	0	0	0	0	14.744	44.915	0	0	0	0	0	0	5.972	22.42	14.744	44.915
Q72AS4	121	Q72AS4_121_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	14.572	4.982	21.722	0	0	0	0	13.253	44.228	0	0	0	0	0	0	4.982	21.722	13.253	44.228
Q72AS4	U100-009	Q72AS4_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	3.261	0.902	4.224	0	0	0	0	3.232	3.369	0	0	0	0	0	0	0.902	4.224	3.232	3.369
Q72AS4	078	Q72AS4_078_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	14.792	4.514	28.801	0	0	0	0	13.005	45.564	0	0	0	0	0	0	4.514	28.801	13.005	45.564
Q72AS4	087	Q72AS4_087_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	13.393	4.703	20.809	0	0	0	0	13.509	41.793	0	0	0	0	0	0	4.703	20.809	13.509	41.793
Q72AS4	038	Q72AS4_038_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	13.798	6.188	27.505	0	0	0	0	14.217	31.587	0	0	0	0	0	0	6.188	27.505	14.217	31.587
Q72AS4	125	Q72AS4_125_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	16.677	5.637	18.755	0	0	0	0	9.393	42.403	0	0	0	0	0	0	5.637	18.755	9.393	42.403
Q72AS4	006	Q72AS4_006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	14.331	7.38	18.597	0	0	0	0	10.305	17.047	0	0	0	0	0	0	7.38	18.597	10.305	17.047
Q72AS4	069	Q72AS4_069_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	15.599	5.546	23.617	0	0	0	0	14.649	34.938	0	0	0	0	0	0	5.546	23.617	14.649	34.938
Q72AS4	002	Q72AS4_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	12.542	7.658	25.939	0	0	0	0	14.676	21.456	0	0	0	0	0	0	7.658	25.939	14.676	21.456
Q72AS4	182	Q72AS4_182_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	12.691	3.247	16.674	0	0	0	0	11.535	21.58	0	0	0	0	0	0	3.247	16.674	11.535	21.58
Q72AS4	165	Q72AS4_165_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	17.314	4.873	24.826	0	0	0	0	13.196	23.489	0	0	0	0	0	0	4.873	24.826	13.196	23.489
Q72AS4	U100-000	Q72AS4_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	5.178	1.529	3.063	0	0	0	0	2.216	2.673	0	0	0	0	0	0	1.529	3.063	2.216	2.673
Q72AS4	053	Q72AS4_053_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	17.448	6.841	32.415	0	0	0	0	14.949	61.867	0	0	0	0	0	0	6.841	32.415	14.949	61.867
Q72AS4	170	Q72AS4_170_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	14.14	3.315	21.921	0	0	0	0	14.082	22.268	0	0	0	0	0	0	3.315	21.921	14.082	22.268
Q72AS4	046	Q72AS4_046_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	11.409	6.477	18.511	0	0	0	0	12.569	19.889	0	0	0	0	0	0	6.477	18.511	12.569	19.889
Q72AS4	139	Q72AS4_139_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	13.216	5.004	19.115	0	0	0	0	11.038	17.683	0	0	0	0	0	0	5.004	19.115	11.038	17.683
Q72AS4	179	Q72AS4_179_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	11.323	4.122	13.186	0	0	0	0	9.013	13.709	0	0	0	0	0	0	4.122	13.186	9.013	13.709
Q72AS4	152	Q72AS4_152_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	13.89	5.405	22.233	0	0	0	0	12.631	28.716	0	0	0	0	0	0	5.405	22.233	12.631	28.716
