uniprot	cluster	pdb	filename	region_1	region_2	conformation	state	chain	gt_len	gt_trim_len	pred_len	pred_trim_len	gt_perc	trim_perc
P53042	006	4ja7	P53042_006_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
P53042	007	4ja7	P53042_007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
P53042	U10-000	4ja9	P53042_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P53042	003	4ja9	P53042_003_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P53042	000	4ja9	P53042_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P53042	004	4ja9	P53042_004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P53042	001	4ja9	P53042_001_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P53042	002	4ja9	P53042_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P53042	005	4ja9	P53042_005_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P53042	008	4ja9	P53042_008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P53042	U100-000	4ja9	P53042_U100-000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P53042	009	4ja9	P53042_009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P53042	006	4ja9	P53042_006_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P53042	007	4ja9	P53042_007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3755	3755	3999	3755	1.0	0.939
P29350	009	2b3o	P29350_009_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	005	2b3o	P29350_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	U10-000	2b3o	P29350_U10-000_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	U100-000	2b3o	P29350_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	002	2b3o	P29350_002_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	001	2b3o	P29350_001_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	007	2b3o	P29350_007_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	004	2b3o	P29350_004_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	006	2b3o	P29350_006_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	008	2b3o	P29350_008_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	010	2b3o	P29350_010_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	003	2b3o	P29350_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	000	2b3o	P29350_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4043	4043	4758	4043	1.0	0.85
P29350	009	3ps5	P29350_009_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	005	3ps5	P29350_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	U10-000	3ps5	P29350_U10-000_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	U100-000	3ps5	P29350_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	002	3ps5	P29350_002_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	001	3ps5	P29350_001_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	007	3ps5	P29350_007_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	004	3ps5	P29350_004_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	006	3ps5	P29350_006_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	008	3ps5	P29350_008_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	010	3ps5	P29350_010_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	003	3ps5	P29350_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P29350	000	3ps5	P29350_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-105	244-515	Open	Active	A	4224	4218	4758	4218	0.9985795454545454	0.887
P62826	008	1k5d	P62826_008_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	003	1k5d	P62826_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	006	1k5d	P62826_006_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	000	1k5d	P62826_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	005	1k5d	P62826_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	U100-000	1k5d	P62826_U100-000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	004	1k5d	P62826_004_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	002	1k5d	P62826_002_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	009	1k5d	P62826_009_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	001	1k5d	P62826_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	007	1k5d	P62826_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	U10-000	1k5d	P62826_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	008	1k5g	P62826_008_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	003	1k5g	P62826_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	006	1k5g	P62826_006_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	000	1k5g	P62826_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	005	1k5g	P62826_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	U100-000	1k5g	P62826_U100-000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	004	1k5g	P62826_004_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	002	1k5g	P62826_002_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	009	1k5g	P62826_009_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	001	1k5g	P62826_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	007	1k5g	P62826_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	U10-000	1k5g	P62826_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1652	1723	1652	1.0	0.959
P62826	008	1rrp	P62826_008_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	003	1rrp	P62826_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	006	1rrp	P62826_006_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	000	1rrp	P62826_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	005	1rrp	P62826_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	U100-000	1rrp	P62826_U100-000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	004	1rrp	P62826_004_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	002	1rrp	P62826_002_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	009	1rrp	P62826_009_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	001	1rrp	P62826_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	007	1rrp	P62826_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	U10-000	1rrp	P62826_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1636	1635	1723	1635	0.9993887530562348	0.949
P62826	008	2mmc	P62826_008_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	003	2mmc	P62826_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	006	2mmc	P62826_006_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	000	2mmc	P62826_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	005	2mmc	P62826_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	U100-000	2mmc	P62826_U100-000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	004	2mmc	P62826_004_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	002	2mmc	P62826_002_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	009	2mmc	P62826_009_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	001	2mmc	P62826_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	007	2mmc	P62826_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	U10-000	2mmc	P62826_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	008	2mmg	P62826_008_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	003	2mmg	P62826_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	006	2mmg	P62826_006_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	000	2mmg	P62826_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	005	2mmg	P62826_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	U100-000	2mmg	P62826_U100-000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	004	2mmg	P62826_004_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	002	2mmg	P62826_002_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	009	2mmg	P62826_009_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	001	2mmg	P62826_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	007	2mmg	P62826_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	U10-000	2mmg	P62826_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34490	1723	1723	1723	0.049956509133082055	1.0
P62826	008	2n1b	P62826_008_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	003	2n1b	P62826_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	006	2n1b	P62826_006_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	000	2n1b	P62826_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	005	2n1b	P62826_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	U100-000	2n1b	P62826_U100-000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	004	2n1b	P62826_004_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	002	2n1b	P62826_002_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	009	2n1b	P62826_009_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	001	2n1b	P62826_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	007	2n1b	P62826_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	U10-000	2n1b	P62826_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	34470	1723	1723	1723	0.049985494633014216	1.0
P62826	008	3ch5	P62826_008_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	003	3ch5	P62826_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	006	3ch5	P62826_006_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	000	3ch5	P62826_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	005	3ch5	P62826_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	U100-000	3ch5	P62826_U100-000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	004	3ch5	P62826_004_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	002	3ch5	P62826_002_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	009	3ch5	P62826_009_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	001	3ch5	P62826_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	007	3ch5	P62826_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	U10-000	3ch5	P62826_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1606	1543	1723	1543	0.960772104607721	0.896
P62826	008	3gj0	P62826_008_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	003	3gj0	P62826_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	006	3gj0	P62826_006_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	000	3gj0	P62826_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	005	3gj0	P62826_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	U100-000	3gj0	P62826_U100-000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	004	3gj0	P62826_004_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	002	3gj0	P62826_002_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	009	3gj0	P62826_009_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	001	3gj0	P62826_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	007	3gj0	P62826_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	U10-000	3gj0	P62826_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1652	1646	1723	1646	0.9963680387409201	0.955
P62826	008	3gj3	P62826_008_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1623	1623	1723	1623	1.0	0.942
P62826	003	3gj3	P62826_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	179-216	10-169	Open		A	1623	1623	1723	1623	1.0	0.942
