uniprot	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	conformation	state	organism	date	notes	percent_disorder_1	ar_disorder	region_1_mean_plddt	region_2_mean_plddt	mean_pae_1_1	mean_pae_1_2	mean_pae_2_2	sasa	pdb
P07949	900-909	724-899,910-1016	3.066	80	91.87279152	2.2	7.943	Open	Active	Homo sapiens	['2019-01-02']		0	structured	37.164	84.477	6.31	22.376	6.974	14796.03	6nja
P07949	900-909	724-899,910-1016	2.084	90	90.10600707	1.469	8.105	Open	Active	Homo sapiens	['2020-01-09']		0	structured	37.164	84.477	6.31	22.376	6.974	14162.57	6vhg
P07949	900-909	724-899,910-1016	2.719	100	93.99293286	2.236	7.563	Open	Active	Homo sapiens	['2021-01-08']		0	structured	37.164	84.477	6.31	22.376	6.974	14687.46	7du8
P07949	900-909	724-899,910-1016	2.766	100	93.63957597	2.298	7.512	Open	Active	Homo sapiens	['2021-01-08']		0	structured	37.164	84.477	6.31	22.376	6.974	14276.79	7du9
P07949	900-909	724-899,910-1016	2.666	100	93.63957597	2.216	7.474	Open	Active	Homo sapiens	['2021-01-08']		0	structured	37.164	84.477	6.31	22.376	6.974	14254.05	7dua
P07949	900-909	724-899,910-1016	2.714	100	94.34628975	2.19	7.77	Open	Active	Homo sapiens	['2020-08-19']		0	structured	37.164	84.477	6.31	22.376	6.974	14277.58	7ju6
P07949	900-909	724-899,910-1016	2.761	80	90.81272085	1.816	7.856	Open	Active	Homo sapiens	['2021-03-24']		0	structured	37.164	84.477	6.31	22.376	6.974	14052.68	7nzn
P07949	900-909	724-899,910-1016	2.338	80	90.45936396	1.654	7.877	Open	Active	Homo sapiens	['2021-08-17']		0	structured	37.164	84.477	6.31	22.376	6.974	14735.56	7run
P07949	900-909	724-899,910-1016	2.618	100	92.93286219	2.143	7.973	Open	Active	Homo sapiens	['2006-06-16']		0	structured	37.164	84.477	6.31	22.376	6.974	13214.66	2ivs
P07949	900-909	724-899,910-1016	2.852	90	91.16607774	1.933	7.676	Open	Active	Homo sapiens	['2006-06-16']		0	structured	37.164	84.477	6.31	22.376	6.974	13860.75	2ivt
P07949	900-909	724-899,910-1016	2.651	90	90.45936396	1.547	7.902	Open	Active	Homo sapiens	['2006-06-16']		0	structured	37.164	84.477	6.31	22.376	6.974	13883.64	2ivu
P07949	900-909	724-899,910-1016	2.689	90	89.0459364	1.641	7.902	Open	Active	Homo sapiens	['2006-06-16']		0	structured	37.164	84.477	6.31	22.376	6.974	13250.57	2ivv
P07949	900-909	724-899,910-1016	2.815	90	91.51943463	1.904	7.857	Open	Active	Homo sapiens	['2010-01-13']		0	structured	37.164	84.477	6.31	22.376	6.974	13868.82	2x2k
P07949	900-909	724-899,910-1016	2.833	90	90.45936396	1.956	7.643	Open	Active	Homo sapiens	['2010-01-13']		0	structured	37.164	84.477	6.31	22.376	6.974	13524.39	2x2l
P07949	900-909	724-899,910-1016	2.648	90	89.75265018	1.653	7.707	Open	Active	Homo sapiens	['2010-01-13']		0	structured	37.164	84.477	6.31	22.376	6.974	13695.41	2x2m
P08631	142-239,240-259	76-136,425-514	1.659	100	96.68874172	1.174	2.104	Closed	Autoinhibited	Homo sapiens	['1999-05-04']	In comparison to 2src/1y57 (P12931)	0	structured	93.424	94.011	5.067	7.308	5.698	22314.35	1qcf
P08631	142-239,240-259	76-136,425-514	1.469	94.91525424	96.68874172	1.004	1.665	Closed	Autoinhibited	Homo sapiens	['2012-04-21']		0	structured	93.424	94.011	5.067	7.308	5.698	21591.2	3vry
P08631	142-239,240-259	76-136,425-514	1.504	96.61016949	96.68874172	0.998	2.23	Closed	Autoinhibited	Homo sapiens	['2012-04-21']		0	structured	93.424	94.011	5.067	7.308	5.698	22207.36	3vrz
P08631	142-239,240-259	76-136,425-514	1.556	95.76271186	96.68874172	1.109	2.183	Closed	Autoinhibited	Homo sapiens	['2012-04-21']		0	structured	93.424	94.011	5.067	7.308	5.698	22245.25	3vs0
P08631	142-239,240-259	76-136,425-514	1.655	92.37288136	96.68874172	1.005	2.391	Closed	Autoinhibited	Homo sapiens	['2012-04-21']		0	structured	93.424	94.011	5.067	7.308	5.698	22049.02	3vs1
P08631	142-239,240-259	76-136,425-514	1.51	97.45762712	96.68874172	1.042	1.905	Closed	Autoinhibited	Homo sapiens	['2012-04-21']		0	structured	93.424	94.011	5.067	7.308	5.698	22053.74	3vs2
P08631	142-239,240-259	76-136,425-514	1.442	100	96.68874172	1.039	1.557	Closed	Autoinhibited	Homo sapiens	['2012-04-21']		0	structured	93.424	94.011	5.067	7.308	5.698	22029.97	3vs3
P08631	142-239,240-259	76-136,425-514	1.529	94.91525424	96.68874172	1.01	1.739	Closed	Autoinhibited	Homo sapiens	['2012-04-21']		0	structured	93.424	94.011	5.067	7.308	5.698	21707.08	3vs4
P08631	142-239,240-259	76-136,425-514	1.445	96.61016949	96.68874172	1.018	1.679	Closed	Autoinhibited	Homo sapiens	['2012-04-21']		0	structured	93.424	94.011	5.067	7.308	5.698	22055.87	3vs5
P08631	142-239,240-259	76-136,425-514	1.523	100	96.68874172	1.01	1.881	Closed	Autoinhibited	Homo sapiens	['2012-04-21']		0	structured	93.424	94.011	5.067	7.308	5.698	22584.25	3vs6
P08631	142-239,240-259	76-136,425-514	1.744	100	96.68874172	1.07	2.317	Closed	Autoinhibited	Homo sapiens	['2012-04-21']		0	structured	93.424	94.011	5.067	7.308	5.698	22672.35	3vs7
P08631	142-239,240-259	76-136,425-514	1.41	98.30508475	93.37748344	0.998	2.256	Closed	Autoinhibited	Homo sapiens	['2013-07-25']		0	structured	93.424	94.011	5.067	7.308	5.698	22413.29	4lud
P08631	142-239,240-259	76-136,425-514	1.344	96.61016949	96.68874172	0.99	1.671	Closed	Autoinhibited	Homo sapiens	['2013-07-25']		0	structured	93.424	94.011	5.067	7.308	5.698	21141.88	4lue
P08631	142-239,240-259	76-136,425-514	2.299	100	96.68874172	1.771	1.468	Closed	Autoinhibited	Homo sapiens	['2016-10-04']		0	structured	93.424	94.011	5.067	7.308	5.698	22907.1	5h09
P08631	142-239,240-259	76-136,425-514	2.212	100	96.68874172	1.415	1.292	Closed	Autoinhibited	Homo sapiens	['2016-10-04']		0	structured	93.424	94.011	5.067	7.308	5.698	23067.61	5h0b
P08631	142-239,240-259	76-136,425-514	2.213	100	96.68874172	1.402	1.752	Closed	Autoinhibited	Homo sapiens	['2016-10-04']		0	structured	93.424	94.011	5.067	7.308	5.698	22940.71	5h0e
P08631	142-239,240-259	76-136,425-514	2.233	100	96.68874172	1.31	1.56	Closed	Autoinhibited	Homo sapiens	['2016-10-04']		0	structured	93.424	94.011	5.067	7.308	5.698	23042.17	5h0g
P08631	142-239,240-259	76-136,425-514	2.242	100	96.68874172	1.507	1.326	Closed	Autoinhibited	Homo sapiens	['2016-10-04']		0	structured	93.424	94.011	5.067	7.308	5.698	22873.69	5h0h
P08631	142-239,240-259	76-136,425-514	1.505	100	96.68874172	1.023	1.978	Closed	Autoinhibited	Homo sapiens	['2005-09-03']		0	structured	93.424	94.011	5.067	7.308	5.698	22355.03	2c0i
P08631	142-239,240-259	76-136,425-514	1.536	100	96.68874172	1.011	1.977	Closed	Autoinhibited	Homo sapiens	['2005-09-06']		0	structured	93.424	94.011	5.067	7.308	5.698	22557.21	2c0o
P09769	144-241,242-262	77-138,490-529	1.93	100	90.19607843	1.323	2.425	Closed	Autoinhibited	Homo sapiens	['2022-05-06']		0	structured	92.302	88.599	5.532	7.402	7.708	21041.87	7uy0
P11142	263-287	225-262	3.152	100	100	0.844	0.867	Closed	Autoinhibited	Homo sapiens	['2017-09-18']		0	structured	97.526	95.344	1.402	1.96	1.677	17127.34	6b1i
P11142	263-287	225-262	4.175	100	100	1.451	1.088	Closed	Autoinhibited	Homo sapiens	['2009-01-26']		0	structured	97.526	95.344	1.402	1.96	1.677	17846.35	3fzf
P11142	263-287	225-262	4.075	100	100	1.375	1.103	Closed	Autoinhibited	Homo sapiens	['2009-01-26']		0	structured	97.526	95.344	1.402	1.96	1.677	17863.28	3fzh
P11142	263-287	225-262	4.058	100	100	1.404	1.175	Closed	Autoinhibited	Homo sapiens	['2009-01-26']		0	structured	97.526	95.344	1.402	1.96	1.677	17748.8	3fzk
P11142	263-287	225-262	4.011	100	100	1.418	1.143	Closed	Autoinhibited	Homo sapiens	['2009-01-26']		0	structured	97.526	95.344	1.402	1.96	1.677	17814.99	3fzl
P11142	263-287	225-262	3.835	100	100	1.414	1.224	Closed	Autoinhibited	Homo sapiens	['2009-01-26']		0	structured	97.526	95.344	1.402	1.96	1.677	17522.22	3fzm
P11142	263-287	225-262	4.156	100	100	1.43	1.201	Closed	Autoinhibited	Homo sapiens	['2010-01-13']		0	structured	97.526	95.344	1.402	1.96	1.677	18053.04	3ldq
P11142	263-287	225-262	3.999	100	100	1.449	1.082	Closed	Autoinhibited	Homo sapiens	['2010-03-10']		0	structured	97.526	95.344	1.402	1.96	1.677	17825.89	3m3z
P11142	263-287	225-262	3.38	100	100	1.234	1.282	Closed	Autoinhibited	Homo sapiens	['2012-09-18']		0	structured	97.526	95.344	1.402	1.96	1.677	16555.49	4h5n
P11142	263-287	225-262	3.311	100	100	1.116	1.497	Closed	Autoinhibited	Homo sapiens	['2012-09-18']		0	structured	97.526	95.344	1.402	1.96	1.677	17038.54	4h5r
P11142	263-287	225-262	2.923	100	100	1.153	1.261	Closed	Autoinhibited	Homo sapiens	['2012-09-18']		0	structured	97.526	95.344	1.402	1.96	1.677	16933.96	4h5t
P11142	263-287	225-262	3.318	100	100	1.441	1.131	Closed	Autoinhibited	Homo sapiens	['2012-09-18']		0	structured	97.526	95.344	1.402	1.96	1.677	17026.62	4h5v
P11142	263-287	225-262	3.236	100	100	1.004	1.266	Closed	Autoinhibited	Homo sapiens	['2012-09-19']		0	structured	97.526	95.344	1.402	1.96	1.677	17283.76	4h5w
P11142	263-287	225-262	3.588	100	100	1.446	1.055	Closed	Autoinhibited	Homo sapiens	['2012-11-07']		0	structured	97.526	95.344	1.402	1.96	1.677	17918.87	4hwi
P11142	263-287	225-262	3.99	100	100	1.38	1.071	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17670.79	5aqf
P11142	263-287	225-262	3.97	100	100	1.419	1.069	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17319.85	5aqg
P11142	263-287	225-262	3.915	100	100	1.384	1.107	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17360.64	5aqh
P11142	263-287	225-262	3.88	100	100	1.393	1.101	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17339.01	5aqi
P11142	263-287	225-262	3.781	100	100	1.42	1.119	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17189.94	5aqj
P11142	263-287	225-262	4.054	100	100	1.436	1.129	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17093.29	5aqk
P11142	263-287	225-262	3.968	96	100	1.404	1.228	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17762.45	5aql
P11142	263-287	225-262	3.938	96	100	1.38	1.234	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17540.13	5aqm
P11142	263-287	225-262	3.918	100	100	1.447	1.188	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17407.08	5aqn
P11142	263-287	225-262	3.904	100	100	1.395	1.104	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	16972.23	5aqo
P11142	263-287	225-262	3.923	100	100	1.414	1.172	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17405.64	5aqp
P11142	263-287	225-262	3.903	100	100	1.391	1.231	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17496.53	5aqq
P11142	263-287	225-262	3.916	100	100	1.399	1.168	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17609.54	5aqr
P11142	263-287	225-262	3.96	100	100	1.475	1.195	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17767.57	5aqs
P11142	263-287	225-262	3.932	100	100	1.381	1.159	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17454.95	5aqt
P11142	263-287	225-262	3.897	100	100	1.353	1.128	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17194.89	5aqu
P11142	263-287	225-262	3.762	100	100	1.398	1.108	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0	structured	97.526	95.344	1.402	1.96	1.677	17264.2	5aqv
P11142	263-287	225-262	3.091	100	100	0.873	0.827	Closed	Autoinhibited	Homo Sapiens	['2017-09-18']		0	structured	97.526	95.344	1.402	1.96	1.677	17019.5	6b1n
P11142	263-287	225-262	3.2	100	100	1.122	0.922	Closed	Autoinhibited	Homo sapiens	['2020-08-01']		0	structured	97.526	95.344	1.402	1.96	1.677	17168.62	6zyj
P12931	249-269,151-248	84-145,524-536	1.857	100	96	3.709	7.045	Closed	Autoinhibited	Homo sapiens	['1997-01-24']		0	structured	93.446	86.638	4.907	6.859	10.316	22285.85	1fmk
P12931	249-269,151-248	84-145,524-536	1.767	100	94.66666667	3.378	5.018	Closed	Autoinhibited	Homo sapiens	['2002-01-14']		0	structured	93.446	86.638	4.907	6.859	10.316	22031.12	1ksw
P12931	249-269,151-248	84-145,524-536	1.346	100	88	1.52	2.7	Closed	Autoinhibited	Homo sapiens	['2006-06-07']		0	structured	93.446	86.638	4.907	6.859	10.316	22701.15	2h8h
P12931	249-269,151-248	84-145,524-536	1.693	100	94.66666667	3.333	5.354	Closed	Autoinhibited	Homo sapiens	['1998-12-29']		0	structured	93.446	86.638	4.907	6.859	10.316	22115.37	2src
P12931	249-269,151-248	84-145,524-536	1.254	100	92	1.671	2.074	Closed	Autoinhibited	Homo sapiens	['2013-04-04']		0	structured	93.446	86.638	4.907	6.859	10.316	22563.75	4k11
P12931	249-269,151-248	84-145,524-536	2.092	81.51260504	78.66666667	1.268	6.031	Closed	Autoinhibited	Homo sapiens	['2022-08-06']		0	structured	93.446	86.638	4.907	6.859	10.316	9640.17	7yqe
P12931	249-269,151-248	84-145,524-536	24.076	100	97.33333333	3.462	47.288	Open	Active	Homo sapiens	['2004-12-02']		0	structured	93.446	86.638	4.907	6.859	10.316	23660.47	1y57
P13864	649-695	1142-1601	7.752	95.74468085	99.7826087	1.101	34.613	Closed	Autoinhibited	Mus musculus	['2010-12-02']		0	structured	77.301	92.319	4.417	19.126	5.651	42556.26	3pt6
P14633	26-100	185-404	2.214	94.66666667	85	1.765	4.067	Closed	Autoinhibited	Escherichia coli	['2002-11-26']		0	structured	90.476	93.312	3.592	7.877	3.96	18893.14	1na6
P14921	280-330	335-415	12.171	66.66666667	100	1.208	25.345	Open	Active	HOMO SAPIENS	['2002-02-14']	Based on comparison to P27577.	0	structured	62.185	96.769	15.158	19.33	1.948	8655.84	1gvj
P15036	325-359	363-443	9.352	88.57142857	100	1.054	20.233	Open	Active	HOMO SAPIENS	['2013-05-30']		0	structured	67.673	96.609	8.382	13.707	1.924	7374.7	4bqa
P15498	131-178	194-373	3.514	66.66666667	100	1.392	6.16	Closed	Autoinhibited	Homo sapiens	['2009-12-04']		0	structured	70.376	94.068	11.846	17.607	2.856	27823.01	3ky9
P15498	131-178	194-373	3.322	83.33333333	100	1.239	7.783	Closed	Autoinhibited	Homo sapiens	['2018-12-18']		0	structured	70.376	94.068	11.846	17.607	2.856	27617.85	6nf1
P16298	417-423,474-496	22-357	3.088	83.33333333	100	0.919	9.016	Closed	Autoinhibited	Homo sapiens	['2014-02-11']		63.333	disordered	78.87	96.982	12.768	16.874	2.637	20498.49	4or9
P16298	417-423,474-496	22-357	2.697	73.33333333	100	0.946	6.849	Closed	Autoinhibited	Homo sapiens	['2014-02-11']		63.333	disordered	78.87	96.982	12.768	16.874	2.637	20032.92	4ora
P18654	697-712	328-679	3.175	93.75	73.01136364	3.307	1.829	Closed	Autoinhibited	Mus musculus	['2007-07-27']		0	structured	71.772	78.564	3.012	12.461	12.714	15546.81	2qr7
P18654	697-712	328-679	3.4	100	74.43181818	3.539	2.184	Closed	Autoinhibited	Mus musculus	['2007-07-27']		0	structured	71.772	78.564	3.012	12.461	12.714	15027.47	2qr8
P18654	697-712	328-679	3.726	100	76.13636364	3.905	1.875	Closed	Autoinhibited	Mus musculus	['2013-08-13']		0	structured	71.772	78.564	3.012	12.461	12.714	14867.11	4m8t
P18654	697-712	328-679	3.27	100	74.71590909	3.427	1.797	Closed	Autoinhibited	Mus musculus	['2013-08-16']		0	structured	71.772	78.564	3.012	12.461	12.714	14471.36	4mao
P18654	697-712	328-679	3.16	100	72.72727273	3.291	2.328	Closed	Autoinhibited	Mus musculus	['2017-05-19']		0	structured	71.772	78.564	3.012	12.461	12.714	14837.89	5o1s
P19174	757-790	668-756	8.164	67.64705882	100	1.125	26.865	Closed	Autoinhibited	Homo sapiens	['2012-05-01']		0	structured	48.08	89.122	13.883	20.153	2.58	12769.31	4ey0
