uniprot	region_1	region_2	conformation	state	cluster	cf_filename
O08967	251-265,383-395	77-206	Closed	Autoinhibited	024	O08967_024_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U10-003	O08967_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	006	O08967_006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U10-007	O08967_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	020	O08967_020_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	035	O08967_035_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	017	O08967_017_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	013	O08967_013_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	031	O08967_031_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U100-007	O08967_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	029	O08967_029_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	002	O08967_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	033	O08967_033_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	011	O08967_011_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U100-008	O08967_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U100-001	O08967_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U10-005	O08967_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U10-001	O08967_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	004	O08967_004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	018	O08967_018_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	000	O08967_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U100-005	O08967_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	022	O08967_022_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	009	O08967_009_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	015	O08967_015_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U10-008	O08967_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	026	O08967_026_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	032	O08967_032_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U100-004	O08967_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U10-009	O08967_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	008	O08967_008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	001	O08967_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	005	O08967_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	023	O08967_023_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	027	O08967_027_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	010	O08967_010_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U100-009	O08967_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U10-000	O08967_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U10-004	O08967_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	036	O08967_036_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	019	O08967_019_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	014	O08967_014_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U100-000	O08967_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U10-009	O60741_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U10-000	O60741_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U100-004	O60741_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U100-000	O60741_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U100-009	O60741_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U10-004	O60741_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U10-005	O60741_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U100-001	O60741_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U100-008	O60741_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U10-008	O60741_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U100-005	O60741_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U10-001	O60741_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U10-007	O60741_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U100-003	O60741_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U100-007	O60741_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U10-003	O60741_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	000	O60741_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U100-006	O60741_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U10-002	O60741_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U100-002	O60741_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O60741	401-479	480-604	Closed	Active	U10-006	O60741_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U100-001	P07038_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U10-003	P07038_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U10-007	P07038_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U100-008	P07038_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U100-005	P07038_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	002	P07038_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U10-002	P07038_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U100-004	P07038_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U100-009	P07038_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U100-000	P07038_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U10-006	P07038_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U100-006	P07038_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U10-004	P07038_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U10-000	P07038_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U100-002	P07038_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U10-009	P07038_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	001	P07038_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U10-001	P07038_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U100-003	P07038_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U10-005	P07038_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U10-008	P07038_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	000	P07038_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P07038	892-917	562-625	Closed	Autoinhibited	U100-007	P07038_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	029	P12931_029_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	152	P12931_152_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	170	P12931_170_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	053	P12931_053_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	U10-001	P12931_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	071	P12931_071_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	161	P12931_161_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	035	P12931_035_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	075	P12931_075_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	156	P12931_156_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	096	P12931_096_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	130	P12931_130_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	165	P12931_165_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	078	P12931_078_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	147	P12931_147_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	031	P12931_031_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	103	P12931_103_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	042	P12931_042_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	002	P12931_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	092	P12931_092_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	U100-005	P12931_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	017	P12931_017_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	013	P12931_013_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	083	P12931_083_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	121	P12931_121_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	U100-008	P12931_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	057	P12931_057_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	168	P12931_168_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	143	P12931_143_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	038	P12931_038_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	069	P12931_069_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	064	P12931_064_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	006	P12931_006_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	024	P12931_024_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	046	P12931_046_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	112	P12931_112_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	125	P12931_125_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	087	P12931_087_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	020	P12931_020_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	116	P12931_116_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	060	P12931_060_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	U100-001	P12931_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	174	P12931_174_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	134	P12931_134_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	139	P12931_139_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	107	P12931_107_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	128	P12931_128_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	U10-008	P12931_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	U10-005	P12931_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	U10-000	P12931_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	039	P12931_039_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	160	P12931_160_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	153	P12931_153_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	021	P12931_021_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	113	P12931_113_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	117	P12931_117_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	028	P12931_028_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	003	P12931_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	U100-009	P12931_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	056	P12931_056_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	034	P12931_034_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	016	P12931_016_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	142	P12931_142_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	175	P12931_175_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	U100-000	P12931_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	047	P12931_047_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	135	P12931_135_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	043	P12931_043_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	030	P12931_030_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	U10-009	P12931_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	124	P12931_124_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	129	P12931_129_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	074	P12931_074_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	169	P12931_169_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	138	P12931_138_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	093	P12931_093_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	079	P12931_079_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	102	P12931_102_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	070	P12931_070_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	120	P12931_120_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P12931	249-269,151-248	84-145,524-536	Closed	Autoinhibited	068	P12931_068_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
