Gene_name	Uniprot_ID	Protein_length	region_1	region_2	region_1_len	region_2_len	PDB ID	PDB Length	Resolution	Model	Chain	PDB residues in region_1	PDB residues in region_2	Percent residues in region_1	Percent residues in region_2
PTPN1	P18031	435.0	353-387	2-277	35	276	1c85	321	2.72	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2cni	604	2.0	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2f6v	566	1.7	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5kaa	498	1.968	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdj	582	1.761	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	3eax	373	1.9	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdy	491	1.835	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6xee	382	2.501	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	7lfo	430	1.94	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	4qbe	383	2.292	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfn	569	1.675	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2zmm	598	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	3zmq	258	3.3	0	A	0	256	0.0	92.7536231884058
PTPN1	P18031	435.0	353-387	2-277	35	276	3zmq	6	3.3	0	C	0	4	0.0	1.4492753623188406
PTPN1	P18031	435.0	353-387	2-277	35	276	5qep	510	1.774	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qgc	584	1.586	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qff	575	1.703	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	4i8n	357	2.5	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdp	548	1.744	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2cmb	557	1.7	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1ptt	297	2.9	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1ptt	5	2.9	0	B	0	0	0.0	0.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1aax	533	1.9	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6phs	428	2.129	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qe3	534	1.742	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	7mn9	643	1.24	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1nny	475	2.4	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2vev	654	1.8	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1oet	546	2.3	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	6pm8	576	2.06	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qet	543	1.724	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfi	561	1.68	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6w30	460	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1q1m	424	2.6	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdg	561	1.79	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qg3	602	1.654	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2vex	526	2.2	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	6pg0	541	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	7s4f	617	1.65	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qf8	448	1.987	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1kak	442	2.5	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qg6	559	1.734	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6cwv	502	1.98002287694	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1oeo	434	2.15	0	X	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	1bzj	483	2.25	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1ptv	557	2.3	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1wax	535	2.2	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2cne	531	1.8	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5ka4	360	2.185	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfv	531	1.641	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6ol4	470	2.15	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	7mnd	444	2.29	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	3cwe	607	1.6	0	A	0	0	0.0	0.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5k9w	477	2.01	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qg8	566	1.634	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfy	534	1.769	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1oem	462	1.8	0	X	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1c83	546	1.8	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1eeo	519	1.8	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1eeo	14	1.8	0	B	0	6	0.0	2.1739130434782608
PTPN1	P18031	435.0	353-387	2-277	35	276	6b8e	554	1.82	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qeq	466	1.972	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2b07	474	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2zn7	516	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qem	543	1.754	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6cwu	634	2.08	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5ka0	507	1.991	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfc	518	1.841	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qgb	570	1.552	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	7l0h	435	2.1	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	5qei	549	1.743	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1q6j	406	2.2	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1g1g	380	2.2	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1g1g	6	2.2	0	B	0	0	0.0	0.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2cm7	525	2.1	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	5qe1	579	1.685	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1oes	478	2.2	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1ph0	497	2.2	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	7mou	518	1.48	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qev	491	1.723	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1ony	596	2.15	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6b8x	513	1.74	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1gfy	506	2.13	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	3eb1	441	2.4	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qge	543	1.703	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	7mow	568	1.8	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	3zv2	281	2.8	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qes	532	1.745	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qf6	530	1.765	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfl	520	1.824	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1pxh	411	2.15	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qga	549	1.653	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qee	426	1.932	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfd	568	1.693	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6b95	410	1.95	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	7key	418	1.771	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	7klx	398	1.839	0	A	0	274	0.0	99.27536231884058
PTPN1	P18031	435.0	353-387	2-277	35	276	1qxk	466	2.3	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qds	539	1.751	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	3d9c	330	2.3	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1c88	523	1.8	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qez	530	1.654	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qf2	552	1.772	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfa	554	1.742	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfj	530	1.954	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	3i80	534	2.25	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6pgt	552	2.2	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qf7	541	1.75	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qg7	544	1.811	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1sug	554	1.95	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2h4g	396	2.5	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qeh	506	1.941	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qen	546	1.775	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qde	550	1.764	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6b8t	516	1.85	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6bai	390	1.95	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6omy	538	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1ptu	364	2.6	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1ptu	11	2.6	0	B	0	0	0.0	0.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2f6w	631	2.2	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2cm8	528	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdo	501	1.792	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	4qap	429	1.903	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qe0	473	1.98	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdx	503	2.062	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qe8	514	1.813	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfg	588	1.654	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qf5	520	1.725	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfo	512	1.851	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6b90	568	1.95	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1ecv	542	1.95	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1c84	408	2.35	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfs	465	1.853	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5ka2	438	2.071	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qgf	617	1.513	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1kav	431	2.35	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qeu	529	1.735	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qg4	540	1.788	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5ka3	425	2.141	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2bgd	475	2.4	0	A	0	273	0.0	98.91304347826086
PTPN1	P18031	435.0	353-387	2-277	35	276	2f71	651	1.55	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdk	591	1.555	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2cma	490	2.3	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdi	546	1.623	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1c87	481	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdq	535	1.575	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qe2	523	1.787	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	3a5j	483	1.7	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	7mn7	561	1.95	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1g7f	760	1.8	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2qbr	506	2.3	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	3i7z	450	2.3	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	3i7z	8	2.3	0	B	0	0	0.0	0.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2cmc	467	2.2	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2hb1	469	2.0	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1no6	542	2.4	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdr	546	1.784	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1g1f	540	2.0	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1g1f	10	2.0	0	B	0	0	0.0	0.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfb	508	1.851	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1nz7	499	2.4	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2h4k	410	2.3	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qg5	412	2.07	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6pha	458	2.299	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qea	542	1.743	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1een	598	1.9	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1een	11	1.9	0	B	0	4	0.0	1.4492753623188406
PTPN1	P18031	435.0	353-387	2-277	35	276	6xeg	391	2.549	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1q6m	405	2.2	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1pty	564	1.85	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	4qah	407	2.403	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	7ken	485	1.8	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2f6y	630	2.15	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2qbq	568	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5ka8	498	1.971	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qec	561	1.673	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6b8z	442	1.8	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1g7g	407	2.2	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1xbo	443	2.5	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2vew	594	2.0	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	1t49	519	1.9	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1bzh	385	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1bzh	7	2.1	0	I	0	0	0.0	0.0
PTPN1	P18031	435.0	353-387	2-277	35	276	3sme	453	1.7	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1nwl	458	2.4	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	3a5k	479	1.85	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	5qg2	525	2.122	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qe9	566	1.692	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5t19	470	2.1001	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1nl9	569	2.4	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdl	511	1.833	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfw	518	1.662	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2cnh	574	1.8	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	5ka7	471	2.061	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2hnq	279	2.85	0	A	0	273	0.0	98.91304347826086
PTPN1	P18031	435.0	353-387	2-277	35	276	5qeg	487	1.97	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1l8g	434	2.5	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	8du7	348	2.4	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6olv	513	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdm	530	2.647	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qdw	437	2.212	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qfu	558	1.613	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5k9v	502	1.898	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qe5	552	1.773	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qf0	561	1.707	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2cm2	627	1.5	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qe6	512	1.774	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2qbs	521	2.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5ka9	495	2.07	0	A	0	276	0.0	100.0
