uniprot,state,conformation,cluster,filename,uniref,taxonId,lineage_score
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_Q80YW0,131567,1
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A6P7ITT3,210632,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A3P8U6C6,161767,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI001E1BC1D8,35525,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A158PHS0,334426,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A2G8JTM8,307972,7
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI000C871592,7222,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A7R9GVJ4,170557,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A812VSQ5,2952,2
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI00187DA697,,0
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI0006D72B28,59463,21
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI001EAFB87A,6454,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI000C790C5F,1294199,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A8C5QQB1,445787,16
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A7S4KX64,180227,2
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A670XQ19,8673,17
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A674HC80,175121,17
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI001C053529,1250792,13
O08967,Autoinhibited,Closed,002,O08967_002.a3m,UniRef100_UPI001C3FA3AE,7868,11
O08967,Autoinhibited,Closed,002,O08967_002.a3m,UniRef100_UPI001B7D9AF6,13397,11
O08967,Autoinhibited,Closed,002,O08967_002.a3m,UniRef100_UPI00223D03CD,685728,11
O08967,Autoinhibited,Closed,002,O08967_002.a3m,UniRef100_A0A401SWG3,137246,11
O08967,Autoinhibited,Closed,002,O08967_002.a3m,UniRef100_UPI001401CA16,386614,11
O08967,Autoinhibited,Closed,002,O08967_002.a3m,UniRef100_UPI0018F77547,7830,11
O08967,Autoinhibited,Closed,017,O08967_017.a3m,UniRef100_I3MSI9,43179,24
O08967,Autoinhibited,Closed,017,O08967_017.a3m,UniRef100_UPI001A9DB407,43179,24
O08967,Autoinhibited,Closed,013,O08967_013.a3m,UniRef100_UPI0016052DD0,158441,6
O08967,Autoinhibited,Closed,013,O08967_013.a3m,UniRef100_A0A226ELK6,158441,6
O08967,Autoinhibited,Closed,U10-008,O08967_U10-008.a3m,UniRef100_A0A818TV86,392033,6
O08967,Autoinhibited,Closed,U10-008,O08967_U10-008.a3m,UniRef100_A0A8C6UL26,47308,13
O08967,Autoinhibited,Closed,U10-008,O08967_U10-008.a3m,UniRef100_K7G665,13735,17
O08967,Autoinhibited,Closed,U10-008,O08967_U10-008.a3m,UniRef100_A0A653CI30,64391,6
O08967,Autoinhibited,Closed,U10-008,O08967_U10-008.a3m,UniRef100_A0A6P4FHL7,1041015,6
O08967,Autoinhibited,Closed,U10-008,O08967_U10-008.a3m,UniRef100_UPI00168D96B7,30732,13
O08967,Autoinhibited,Closed,006,O08967_006.a3m,UniRef100_A0A0B1PMI3,68888,6
O08967,Autoinhibited,Closed,006,O08967_006.a3m,UniRef100_A0A5S6QVE2,70415,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A3Q2HQA0,9796,21
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A1Q3FW94,7177,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A177B6J2,1819745,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A8C6TGU4,47308,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI001F06DFB3,7374,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A6P8EWN7,7950,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A553MZ66,623744,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI001B7D9AF6,13397,11
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A672MXM0,75366,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_H3AN42,7897,14
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A0P6A5G2,35525,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A6J2Q796,56716,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A673JZ34,307959,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A913YY65,2652724,5
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI001CF65A2B,8236,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A4W5MH34,62062,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A674PP80,31033,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A671RBS2,1608454,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_V9L1B4,7868,11
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A6P8P9A4,260995,16
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI001454F73C,7604,7
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A3Q2WF55,8153,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A8S1VS62,43138,2
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A653CI30,64391,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI000644D545,1410327,2
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A0R3W605,60517,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_Q17HL6,7159,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A8C2X1P9,8103,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI00155AD0A2,7241,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A4D9D5E3,1027361,2
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI00210F2996,161590,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A2P6NN24,1890364,2
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_W5NV23,9940,21
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_W4FH40,112090,2
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI001C3FA3AE,7868,11
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A6P3IX84,43346,21
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI000D72019A,13735,17
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A3P8TZS8,161767,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A1I8H877,282301,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI001401CA16,386614,11
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI001B7F5879,7913,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI0003EBC884,225400,21
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A3Q3AG83,37003,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_Q4RGG5,99883,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A673BIL2,375764,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A6P4FHL7,1041015,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI0010557FFA,441366,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI001CF78C15,61221,17
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_J9F5W0,6293,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_T1J4F0,126957,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI0018EE3B1C,27706,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A553NLI5,623744,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_F1A2T0,5786,2
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_R0LE77,8839,17
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A8C5QQB1,445787,16
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A5K3FTP2,53468,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI00168CAD30,9407,21
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A9D3P7C3,337641,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI000A1C19E4,150288,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A2P6NZ81,1890364,2
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_P34512,6239,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_H2XX22,7719,8
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A7K6N9J7,227192,17
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A1B6FTF1,565685,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A5A9N5D4,186625,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI00147133EC,390379,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A8K0K9K2,123851,6
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_UPI0011556C04,37032,21
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_H2UWW6,31033,13
O08967,Autoinhibited,Closed,U100-009,O08967_U100-009.a3m,UniRef100_A0A7S0ZU18,2966,2
O08967,Autoinhibited,Closed,020,O08967_020.a3m,UniRef100_A0A814R9S8,249248,6
O08967,Autoinhibited,Closed,020,O08967_020.a3m,UniRef100_A0A819HEF8,392030,6
O08967,Autoinhibited,Closed,020,O08967_020.a3m,UniRef100_A0A818TV86,392033,6
O08967,Autoinhibited,Closed,020,O08967_020.a3m,UniRef100_A0A821D507,2762511,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A5S6R107,70415,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A498NKJ6,84645,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A6P8EWN7,7950,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A1A8UYA5,105023,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A1V9Y3B0,418985,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A8C1JDU5,7952,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A821NVK8,392032,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A7I8VIU9,2664684,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A0N4SX54,6280,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A3B4WXC9,1841481,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A3B4BD82,409849,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A8S1GZA5,2777116,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI001C4DD7E5,8520,17
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A671LJ69,1608454,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI001B7E15B6,7913,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A8C8IYH4,74940,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_D1LWZ6,10224,7
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A315VFN2,586240,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A673VLM8,37032,21
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI0018F77547,7830,11
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A7N8WTC8,205130,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_W4FH40,112090,2
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI001F06DFB3,7374,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A6A4THM1,52904,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI000B4D698E,299123,17
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI00141A6623,80427,17
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A6P8I142,6105,5
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A667X5F9,586833,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A8K1GA56,32524,16
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_F1A2T0,5786,2
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI000BA80DE4,6850,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_L7N1N7,59463,21
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A3Q2P680,8078,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_K4K1J7,6501,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A3P8SBG0,161767,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A6P9DEM8,94885,17
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_T1KSW6,32264,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A0L0DJT4,461836,2
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI0022204485,90255,3
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A3B3VJN2,586240,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A4U5VVD7,240159,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A3Q1J5M4,64144,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A2P6MT84,1890364,2
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI00149075A3,1203425,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A653CK10,64391,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A1S3H1T5,7574,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A8C5UCJ9,2593467,17
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A836ER35,230686,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A556TIS1,175774,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A8C9Z405,283035,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI0018878B26,134920,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A814HDE6,1234261,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_Q80YW0,131567,1
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A672GEI8,181472,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A6J2Q796,56716,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A6P8SPZ6,260995,16
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI001403CA75,7757,10
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_H3CGV1,99883,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A444U1T5,7906,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A7S2G8G4,156173,2
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI001CBA15AD,7243,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A6P4IR34,30033,6
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_S9YHJ1,419612,21
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_UPI001181067E,375764,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A4W4HLY3,8005,13
O08967,Autoinhibited,Closed,U100-000,O08967_U100-000.a3m,UniRef100_A0A8C7Y255,183150,13
O08967,Autoinhibited,Closed,024,O08967_024.a3m,UniRef100_A0A067D7E2,695850,2
O08967,Autoinhibited,Closed,024,O08967_024.a3m,UniRef100_T0R2Z6,1156394,2
O08967,Autoinhibited,Closed,016,O08967_016.a3m,UniRef100_A0A016S8S6,53326,6
O08967,Autoinhibited,Closed,016,O08967_016.a3m,UniRef100_A0A158PHS0,334426,6
O08967,Autoinhibited,Closed,U10-009,O08967_U10-009.a3m,UniRef100_A0A1X7V686,400682,4
O08967,Autoinhibited,Closed,U10-009,O08967_U10-009.a3m,UniRef100_UPI001C5362A7,105255,24
O08967,Autoinhibited,Closed,U10-009,O08967_U10-009.a3m,UniRef100_A0A1A8UYA5,105023,13
O08967,Autoinhibited,Closed,U10-009,O08967_U10-009.a3m,UniRef100_A9V3G5,81824,3
O08967,Autoinhibited,Closed,U10-009,O08967_U10-009.a3m,UniRef100_A0A553NLI5,623744,13
O08967,Autoinhibited,Closed,U10-009,O08967_U10-009.a3m,UniRef100_A0A3P8VN02,244447,13
O08967,Autoinhibited,Closed,U10-009,O08967_U10-009.a3m,UniRef100_A0A3P9AGP5,8010,13
O08967,Autoinhibited,Closed,U100-008,O08967_U100-008.a3m,UniRef100_A0A183IGE9,241478,6
O08967,Autoinhibited,Closed,U100-008,O08967_U100-008.a3m,UniRef100_A0A5S6QVE2,70415,6
O08967,Autoinhibited,Closed,U100-008,O08967_U100-008.a3m,UniRef100_UPI002350123C,66913,13
O08967,Autoinhibited,Closed,U100-008,O08967_U100-008.a3m,UniRef100_UPI001403CA75,7757,10
O08967,Autoinhibited,Closed,U100-008,O08967_U100-008.a3m,UniRef100_I3MSI9,43179,24
O08967,Autoinhibited,Closed,U100-008,O08967_U100-008.a3m,UniRef100_UPI000623AF91,83485,6
O08967,Autoinhibited,Closed,U100-008,O08967_U100-008.a3m,UniRef100_A0A8C5Q4J3,445787,16
O08967,Autoinhibited,Closed,U100-008,O08967_U100-008.a3m,UniRef100_V9L056,7868,11
