uniprot	pdb	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	state	conformation	organism	date	notes	chain	af_filename
P00579	4zh2	2-80	379-449,458-534	13.987	79.746835443038	100.0	1.687	46.736	Active	Open	Escherichia coli K-13	['2015-04-24']		F	F-P00579-F1-model_v3.cif
P00579	4zh3	2-80	379-449,458-534	13.986	79.746835443038	100.0	1.687	46.745	Active	Open	Escherichia coli K-14	['2015-04-24']		F	F-P00579-F1-model_v3.cif
P00579	4zh4	2-80	379-449,458-534	13.986	79.746835443038	100.0	1.687	46.772	Active	Open	Escherichia coli K-15	['2015-04-24']		F	F-P00579-F1-model_v3.cif
P00523	2ptk	148-245,246-266	81-142,521-533	1.737	100.0	89.3333333333333	1.921	3.093	Autoinhibited	Closed	Gallus gallus	['1997-06-17']		A	F-P00523-F1-model_v3.cif
Q00944	2j0j	35-362	422-680	2.641	100.0	95.3667953667954	3.342	1.906	Autoinhibited	Closed	GALLUS GALLUS	['2006-08-03']		A	F-Q00944-F1-model_v3.cif
Q00944	2j0k	35-362	422-680	1.831	100.0	94.2084942084942	1.203	4.812	Autoinhibited	Closed	GALLUS GALLUS	['2006-08-03']		A	F-Q00944-F1-model_v3.cif
Q00944	6ty3	35-362	422-680	22.472	99.6951219512195	96.1389961389961	2.501	71.123	Active	Closed	Gallus gallus	['2020-01-15']		A	F-Q00944-F1-model_v3.cif
Q00944	6ty4	35-362	422-680	22.518	100.0	100.0	1.803	70.656	Active	Closed	Gallus gallus	['2020-01-15']		A	F-Q00944-F1-model_v3.cif
Q04929	2l3s	225-297	133-193	17.591	100.0	96.7213114754098	2.524	22.709	Autoinhibited	Closed	Gallus gallus	['2010-09-21']		A	F-Q04929-F1-model_v3.cif
P28482	1pme	173-196	25-172,197-313	2.422	100.0	96.6037735849057	1.22	6.639	Autoinhibited	Closed	Homo sapiens	['1998-06-08']		A	F-P28482-F1-model_v3.cif
P28482	1tvo	173-196	25-172,197-313	2.497	100.0	100.0	1.523	6.633	Autoinhibited	Closed	Homo sapiens	['2004-06-30']		A	F-P28482-F1-model_v3.cif
P28482	1wzy	173-196	25-172,197-313	2.515	100.0	100.0	1.768	6.306	Autoinhibited	Closed	Homo sapiens	['2005-03-10']		A	F-P28482-F1-model_v3.cif
P28482	2y9q	173-196	25-172,197-313	1.967	100.0	100.0	1.261	4.431	Autoinhibited	Closed	HOMO SAPIENS	['2011-02-16']		A	F-P28482-F1-model_v3.cif
P28482	3sa0	173-196	25-172,197-313	3.34	100.0	98.8679245283019	1.286	6.758	Autoinhibited	Closed	Homo sapiens	['2011-06-02']		A	F-P28482-F1-model_v3.cif
P28482	3tei	173-196	25-172,197-313	1.647	70.8333333333333	98.4905660377359	1.086	3.565	Autoinhibited	Closed	Homo sapiens	['2011-08-15']		A	F-P28482-F1-model_v3.cif
P28482	4fmq	173-196	25-172,197-313	2.001	100.0	100.0	1.378	4.521	Autoinhibited	Closed	Homo sapiens	['2012-06-18']		A	F-P28482-F1-model_v3.cif
P28482	4fux	173-196	25-172,197-313	2.21	100.0	99.622641509434	1.214	6.543	Autoinhibited	Closed	Homo sapiens	['2012-06-28']		A	F-P28482-F1-model_v3.cif
P28482	4fuy	173-196	25-172,197-313	2.274	100.0	96.6037735849057	1.209	6.625	Autoinhibited	Closed	Homo sapiens	['2012-06-28']		A	F-P28482-F1-model_v3.cif
P28482	4fv0	173-196	25-172,197-313	2.225	100.0	98.8679245283019	1.161	6.678	Autoinhibited	Closed	Homo sapiens	['2012-06-28']		A	F-P28482-F1-model_v3.cif
P28482	4fv1	173-196	25-172,197-313	2.132	100.0	99.622641509434	1.207	6.53	Autoinhibited	Closed	Homo sapiens	['2012-06-28']		A	F-P28482-F1-model_v3.cif
P28482	4fv2	173-196	25-172,197-313	2.205	100.0	99.622641509434	1.188	6.595	Autoinhibited	Closed	Homo sapiens	['2012-06-29']		A	F-P28482-F1-model_v3.cif
P28482	4fv3	173-196	25-172,197-313	2.19	100.0	99.622641509434	1.212	6.486	Autoinhibited	Closed	Homo sapiens	['2012-06-29']		A	F-P28482-F1-model_v3.cif
P28482	4fv7	173-196	25-172,197-313	2.176	100.0	99.2452830188679	1.278	6.332	Autoinhibited	Closed	Homo sapiens	['2012-06-29']		A	F-P28482-F1-model_v3.cif
P28482	4g6n	173-196	25-172,197-313	2.175	100.0	99.622641509434	1.131	6.631	Autoinhibited	Closed	Homo sapiens	['2012-07-19']		A	F-P28482-F1-model_v3.cif
P28482	4g6o	173-196	25-172,197-313	2.112	100.0	98.4905660377359	1.125	6.529	Autoinhibited	Closed	Homo sapiens	['2012-07-19']		A	F-P28482-F1-model_v3.cif
P28482	4h3p	173-196	25-172,197-313	1.676	70.8333333333333	99.622641509434	1.317	3.311	Autoinhibited	Closed	Homo sapiens	['2012-09-14']		A	F-P28482-F1-model_v3.cif
P28482	4h3q	173-196	25-172,197-313	1.929	100.0	98.8679245283019	1.171	4.996	Autoinhibited	Closed	Homo sapiens	['2012-09-14']		A	F-P28482-F1-model_v3.cif
P28482	4iz5	173-196	25-172,197-313	1.962	95.8333333333333	100.0	1.173	4.595	Autoinhibited	Closed	Homo sapiens	['2013-01-29']		A	F-P28482-F1-model_v3.cif
P28482	4iza	173-196	25-172,197-313	1.708	91.6666666666667	100.0	1.085	3.837	Autoinhibited	Closed	Homo sapiens	['2013-01-29']		A	F-P28482-F1-model_v3.cif
P28482	4n0s	173-196	25-172,197-313	2.866	100.0	98.4905660377359	1.24	6.715	Autoinhibited	Closed	Homo sapiens	['2013-10-02']		A	F-P28482-F1-model_v3.cif
P28482	4nif	173-196	25-172,197-313	1.841	87.5	100.0	1.26	4.297	Autoinhibited	Closed	Homo sapiens	['2013-11-06']		B	F-P28482-F1-model_v3.cif
P28482	4qp1	173-196	25-172,197-313	2.096	100.0	99.622641509434	1.462	5.293	Autoinhibited	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif
P28482	4qp2	173-196	25-172,197-313	1.729	75.0	98.4905660377359	1.321	3.241	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif
P28482	4qp3	173-196	25-172,197-313	1.817	75.0	98.4905660377359	1.348	3.391	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif
P28482	4qp4	173-196	25-172,197-313	1.956	66.6666666666667	100.0	1.49	3.991	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif
P28482	4qp6	173-196	25-172,197-313	1.856	75.0	98.4905660377359	1.387	3.309	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif
P28482	4qp7	173-196	25-172,197-313	1.928	66.6666666666667	100.0	1.426	3.994	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif
P28482	4qp9	173-196	25-172,197-313	1.957	66.6666666666667	100.0	1.488	4.283	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif
P28482	4qpa	173-196	25-172,197-313	2.549	87.5	96.6037735849057	2.252	4.104	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif
P28482	4qte	173-196	25-172,197-313	2.196	100.0	100.0	1.328	5.971	Active	Closed	Homo sapiens	['2014-07-07']		A	F-P28482-F1-model_v3.cif
P28482	4xj0	173-196	25-172,197-313	2.133	100.0	99.2452830188679	1.492	5.359	Active	Closed	Homo sapiens	['2015-01-08']		A	F-P28482-F1-model_v3.cif
P28482	4zxt	173-196	25-172,197-313	2.837	100.0	98.8679245283019	1.282	6.749	Autoinhibited	Closed	Homo sapiens	['2015-05-20']		A	F-P28482-F1-model_v3.cif
P28482	4zzm	173-196	25-172,197-313	2.25	100.0	99.2452830188679	1.17	6.989	Autoinhibited	Closed	HOMO SAPIENS	['2015-04-10']		A	F-P28482-F1-model_v3.cif
P28482	4zzn	173-196	25-172,197-313	2.157	100.0	99.2452830188679	1.133	6.784	Autoinhibited	Closed	HOMO SAPIENS	['2015-04-10']		A	F-P28482-F1-model_v3.cif
P28482	4zzo	173-196	25-172,197-313	2.162	100.0	99.2452830188679	1.122	6.989	Autoinhibited	Closed	HOMO SAPIENS	['2015-04-10']		A	F-P28482-F1-model_v3.cif
P28482	5ax3	173-196	25-172,197-313	2.045	62.5	95.8490566037736	1.644	3.952	Autoinhibited	Closed	Homo sapiens	['2015-07-14']		A	F-P28482-F1-model_v3.cif
P28482	5lcj	173-196	25-172,197-313	2.226	100.0	99.622641509434	1.132	6.642	Autoinhibited	Closed	Homo sapiens	['2016-06-22']		A	F-P28482-F1-model_v3.cif
P28482	5lck	173-196	25-172,197-313	2.295	100.0	99.2452830188679	1.165	6.678	Autoinhibited	Closed	Homo sapiens	['2016-06-22']		A	F-P28482-F1-model_v3.cif
P28482	5ngu	173-196	25-172,197-313	2.161	100.0	99.2452830188679	1.23	6.54	Autoinhibited	Closed	Homo sapiens	['2017-03-20']		A	F-P28482-F1-model_v3.cif
P28482	5nhf	173-196	25-172,197-313	2.169	100.0	99.2452830188679	1.111	6.623	Autoinhibited	Closed	Homo sapiens	['2017-03-21']		A	F-P28482-F1-model_v3.cif
P28482	5nhh	173-196	25-172,197-313	2.155	100.0	99.622641509434	1.228	6.329	Autoinhibited	Closed	Homo sapiens	['2017-03-21']		A	F-P28482-F1-model_v3.cif
P28482	5nhj	173-196	25-172,197-313	2.193	100.0	99.622641509434	1.252	6.319	Autoinhibited	Closed	Homo sapiens	['2017-03-21']		A	F-P28482-F1-model_v3.cif
P28482	5nhl	173-196	25-172,197-313	2.087	100.0	99.622641509434	1.176	6.236	Autoinhibited	Closed	Homo sapiens	['2017-03-21']		A	F-P28482-F1-model_v3.cif
P28482	5nho	173-196	25-172,197-313	2.144	100.0	99.622641509434	1.249	6.284	Autoinhibited	Closed	Homo sapiens	['2017-03-22']		A	F-P28482-F1-model_v3.cif
P28482	5nhp	173-196	25-172,197-313	2.06	100.0	99.622641509434	1.148	6.41	Autoinhibited	Closed	Homo sapiens	['2017-03-22']		A	F-P28482-F1-model_v3.cif
P28482	5nhv	173-196	25-172,197-313	2.159	100.0	99.622641509434	1.195	6.523	Autoinhibited	Closed	Homo sapiens	['2017-03-22']		A	F-P28482-F1-model_v3.cif
P28482	5v60	173-196	25-172,197-313	2.003	91.6666666666667	100.0	1.148	6.093	Autoinhibited	Closed	Homo sapiens	['2017-03-15']		A	F-P28482-F1-model_v3.cif
P28482	5v61	173-196	25-172,197-313	2.604	91.6666666666667	100.0	1.208	6.02	Autoinhibited	Closed	Homo sapiens	['2017-03-15']		A	F-P28482-F1-model_v3.cif
P28482	5v62	173-196	25-172,197-313	2.103	91.6666666666667	100.0	1.28	6.052	Autoinhibited	Closed	Homo sapiens	['2017-03-15']		A	F-P28482-F1-model_v3.cif
P28482	5wp1	173-196	25-172,197-313	2.434	100.0	98.8679245283019	1.258	6.888	Autoinhibited	Closed	Homo sapiens	['2017-08-03']		A	F-P28482-F1-model_v3.cif
P28482	6d5y	173-196	25-172,197-313	1.923	66.6666666666667	99.622641509434	1.409	4.035	Autoinhibited	Closed	Homo sapiens	['2018-04-19']		A	F-P28482-F1-model_v3.cif
P28482	6dmg	173-196	25-172,197-313	2.186	100.0	99.622641509434	1.208	6.475	Autoinhibited	Closed	Homo sapiens	['2018-06-05']		A	F-P28482-F1-model_v3.cif
P28482	6g54	173-196	25-172,197-313	2.21	100.0	100.0	1.286	6.304	Autoinhibited	Closed	Homo sapiens	['2018-03-29']		A	F-P28482-F1-model_v3.cif
P28482	6g8x	173-196	25-172,197-313	2.302	100.0	99.622641509434	1.309	7.127	Autoinhibited	Closed	Homo sapiens	['2018-04-10']		A	F-P28482-F1-model_v3.cif
P28482	6g91	173-196	25-172,197-313	2.138	100.0	99.622641509434	1.153	6.656	Autoinhibited	Closed	Homo sapiens	['2018-04-10']		A	F-P28482-F1-model_v3.cif
P28482	6g92	173-196	25-172,197-313	2.188	100.0	99.622641509434	1.19	6.682	Autoinhibited	Closed	Homo sapiens	['2018-04-10']		A	F-P28482-F1-model_v3.cif
P28482	6g93	173-196	25-172,197-313	2.111	100.0	99.622641509434	1.238	6.479	Autoinhibited	Closed	Homo sapiens	['2018-04-10']		A	F-P28482-F1-model_v3.cif
P28482	6g97	173-196	25-172,197-313	2.152	100.0	99.622641509434	1.308	6.268	Autoinhibited	Closed	Homo sapiens	['2018-04-10']		A	F-P28482-F1-model_v3.cif
P28482	6g9a	173-196	25-172,197-313	2.144	100.0	99.622641509434	1.309	6.421	Autoinhibited	Closed	Homo sapiens	['2018-04-10']		A	F-P28482-F1-model_v3.cif
P28482	6g9d	173-196	25-172,197-313	2.224	100.0	99.622641509434	1.288	6.632	Autoinhibited	Closed	Homo sapiens	['2018-04-10']		A	F-P28482-F1-model_v3.cif
P28482	6g9h	173-196	25-172,197-313	2.22	100.0	99.622641509434	1.312	6.557	Autoinhibited	Closed	Homo sapiens	['2018-04-10']		A	F-P28482-F1-model_v3.cif
P28482	6g9j	173-196	25-172,197-313	2.292	100.0	98.8679245283019	1.335	6.635	Autoinhibited	Closed	Homo sapiens	['2018-04-10']		A	F-P28482-F1-model_v3.cif
P28482	6g9k	173-196	25-172,197-313	2.242	100.0	99.2452830188679	1.341	6.657	Autoinhibited	Closed	Homo sapiens	['2018-04-11']		A	F-P28482-F1-model_v3.cif
P28482	6g9m	173-196	25-172,197-313	2.218	100.0	99.622641509434	1.342	6.619	Autoinhibited	Closed	Homo sapiens	['2018-04-11']		A	F-P28482-F1-model_v3.cif
P28482	6g9n	173-196	25-172,197-313	2.373	100.0	99.622641509434	1.35	7.161	Autoinhibited	Closed	Homo sapiens	['2018-04-11']		A	F-P28482-F1-model_v3.cif
P28482	6gdm	173-196	25-172,197-313	2.3	100.0	98.4905660377359	1.304	6.594	Autoinhibited	Closed	Homo sapiens	['2018-04-24']		A	F-P28482-F1-model_v3.cif
P28482	6gdq	173-196	25-172,197-313	2.107	100.0	99.622641509434	1.212	6.524	Autoinhibited	Closed	Homo sapiens	['2018-04-24']		A	F-P28482-F1-model_v3.cif
P28482	6ge0	173-196	25-172,197-313	2.251	100.0	99.2452830188679	1.292	6.597	Autoinhibited	Closed	Homo sapiens	['2018-04-25']		A	F-P28482-F1-model_v3.cif
P28482	6gjb	173-196	25-172,197-313	2.2	100.0	99.622641509434	1.198	6.652	Autoinhibited	Closed	Homo sapiens	['2018-05-16']		A	F-P28482-F1-model_v3.cif
P28482	6gjd	173-196	25-172,197-313	2.159	100.0	99.622641509434	1.215	6.629	Autoinhibited	Closed	Homo sapiens	['2018-05-16']		A	F-P28482-F1-model_v3.cif
P28482	6opg	173-196	25-172,197-313	2.188	91.6666666666667	100.0	1.286	6.092	Autoinhibited	Closed	Homo sapiens	['2019-04-25']		A	F-P28482-F1-model_v3.cif
P28482	6oph	173-196	25-172,197-313	2.135	91.6666666666667	100.0	1.232	6.184	Autoinhibited	Closed	Homo sapiens	['2019-04-25']		A	F-P28482-F1-model_v3.cif
P28482	6q7k	173-196	25-172,197-313	2.263	100.0	99.622641509434	1.321	6.554	Autoinhibited	Closed	Homo sapiens	['2018-12-13']		A	F-P28482-F1-model_v3.cif
P28482	6q7s	173-196	25-172,197-313	2.219	100.0	99.622641509434	1.194	6.694	Autoinhibited	Closed	Homo sapiens	['2018-12-13']		A	F-P28482-F1-model_v3.cif
P28482	6q7t	173-196	25-172,197-313	2.169	100.0	99.622641509434	1.21	6.632	Autoinhibited	Closed	Homo sapiens	['2018-12-13']		A	F-P28482-F1-model_v3.cif
P28482	6qa1	173-196	25-172,197-313	2.28	100.0	99.622641509434	1.292	6.775	Autoinhibited	Closed	Homo sapiens	['2018-12-18']		A	F-P28482-F1-model_v3.cif
P28482	6qa3	173-196	25-172,197-313	2.224	100.0	99.622641509434	1.298	6.665	Autoinhibited	Closed	Homo sapiens	['2018-12-18']		A	F-P28482-F1-model_v3.cif
P28482	6qa4	173-196	25-172,197-313	2.282	100.0	98.8679245283019	1.214	7.127	Autoinhibited	Closed	Homo sapiens	['2018-12-18']		A	F-P28482-F1-model_v3.cif
P28482	6qag	173-196	25-172,197-313	2.186	100.0	99.622641509434	1.333	6.473	Autoinhibited	Closed	Homo sapiens	['2018-12-19']		A	F-P28482-F1-model_v3.cif
P28482	6qah	173-196	25-172,197-313	2.187	100.0	99.2452830188679	1.261	6.537	Autoinhibited	Closed	Homo sapiens	['2018-12-19']		A	F-P28482-F1-model_v3.cif
P28482	6qal	173-196	25-172,197-313	2.318	100.0	98.4905660377359	1.202	7.224	Autoinhibited	Closed	Homo sapiens	['2018-12-19']		A	F-P28482-F1-model_v3.cif
P28482	6qaq	173-196	25-172,197-313	2.252	100.0	99.622641509434	1.336	6.546	Autoinhibited	Closed	Homo sapiens	['2018-12-19']		A	F-P28482-F1-model_v3.cif
P28482	6qaw	173-196	25-172,197-313	2.202	100.0	99.2452830188679	1.199	6.728	Autoinhibited	Closed	Homo sapiens	['2018-12-19']		A	F-P28482-F1-model_v3.cif
P28482	6rq4	173-196	25-172,197-313	2.148	100.0	99.622641509434	1.25	6.526	Autoinhibited	Closed	Homo sapiens	['2019-05-15']		A	F-P28482-F1-model_v3.cif
P28482	6slg	173-196	25-172,197-313	2.065	100.0	99.622641509434	1.169	6.293	Autoinhibited	Closed	Homo sapiens	['2019-08-19']		A	F-P28482-F1-model_v3.cif
P28482	7auv	173-196	25-172,197-313	2.351	100.0	99.622641509434	1.369	6.642	Autoinhibited	Closed	Homo sapiens	['2020-11-03']		A	F-P28482-F1-model_v3.cif
P28482	7e73	173-196	25-172,197-313	2.352	100.0	99.622641509434	1.273	6.679	Autoinhibited	Closed	Homo sapiens	['2021-02-25']		A	F-P28482-F1-model_v3.cif
P28482	7e75	173-196	25-172,197-313	2.375	100.0	99.622641509434	1.317	6.616	Autoinhibited	Closed	Homo sapiens	['2021-02-25']		A	F-P28482-F1-model_v3.cif
P28482	7nqq	173-196	25-172,197-313	2.305	100.0	99.622641509434	1.34	6.714	Autoinhibited	Closed	Homo sapiens	['2021-03-02']		A	F-P28482-F1-model_v3.cif
P28482	7nqw	173-196	25-172,197-313	2.307	100.0	99.622641509434	1.316	6.577	Autoinhibited	Closed	Homo sapiens	['2021-03-02']		A	F-P28482-F1-model_v3.cif
P28482	7nr3	173-196	25-172,197-313	2.165	100.0	99.622641509434	1.229	6.646	Autoinhibited	Closed	Homo sapiens	['2021-03-02']		A	F-P28482-F1-model_v3.cif
P28482	7nr5	173-196	25-172,197-313	2.354	100.0	99.622641509434	1.349	7.147	Autoinhibited	Closed	Homo sapiens	['2021-03-03']		A	F-P28482-F1-model_v3.cif
P28482	7nr8	173-196	25-172,197-313	2.409	100.0	99.622641509434	1.433	6.644	Autoinhibited	Closed	Homo sapiens	['2021-03-03']		A	F-P28482-F1-model_v3.cif
P28482	7nr9	173-196	25-172,197-313	2.259	100.0	99.622641509434	1.374	6.668	Autoinhibited	Closed	Homo sapiens	['2021-03-03']		A	F-P28482-F1-model_v3.cif
P28482	7opm	173-196	25-172,197-313	2.765	91.6666666666667	100.0	1.176	6.015	Autoinhibited	Closed	Homo sapiens	['2021-06-01']		A	F-P28482-F1-model_v3.cif
P28482	7w5o	173-196	25-172,197-313	2.168	100.0	99.622641509434	1.486	5.362	Autoinhibited	Closed	Homo sapiens	['2021-11-30']		A	F-P28482-F1-model_v3.cif
P28482	7x4u	173-196	25-172,197-313	2.183	100.0	100.0	1.325	6.162	Autoinhibited	Closed	Homo sapiens	['2022-03-03']		A	F-P28482-F1-model_v3.cif
P28482	7xc1	173-196	25-172,197-313	2.182	100.0	99.622641509434	1.447	5.366	Autoinhibited	Closed	Homo sapiens	['2022-03-22']		A	F-P28482-F1-model_v3.cif
P28482	8ao2	173-196	25-172,197-313	2.303	100.0	99.622641509434	1.181	7.139	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8ao3	173-196	25-172,197-313	2.172	100.0	99.2452830188679	1.172	6.675	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8ao4	173-196	25-172,197-313	2.16	100.0	99.2452830188679	1.173	6.657	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8ao5	173-196	25-172,197-313	2.226	100.0	98.4905660377359	1.208	6.558	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8ao6	173-196	25-172,197-313	2.173	100.0	99.2452830188679	1.176	6.662	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8ao7	173-196	25-172,197-313	2.354	100.0	99.622641509434	1.288	6.737	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8ao8	173-196	25-172,197-313	2.154	100.0	99.622641509434	1.2	6.557	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8ao9	173-196	25-172,197-313	2.236	100.0	98.8679245283019	1.283	6.657	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8aoa	173-196	25-172,197-313	2.316	100.0	99.622641509434	1.181	6.748	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8aob	173-196	25-172,197-313	2.19	100.0	96.2264150943397	1.147	6.665	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8aoc	173-196	25-172,197-313	2.324	100.0	99.2452830188679	1.227	6.732	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8aod	173-196	25-172,197-313	2.348	100.0	98.1132075471698	1.457	6.62	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8aoe	173-196	25-172,197-313	2.427	100.0	96.2264150943397	1.462	6.645	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8aof	173-196	25-172,197-313	2.434	100.0	97.7358490566038	1.476	6.673	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8aog	173-196	25-172,197-313	2.307	100.0	97.3584905660377	1.379	6.713	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8aoh	173-196	25-172,197-313	2.41	100.0	98.1132075471698	1.501	6.837	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8aoi	173-196	25-172,197-313	2.673	100.0	99.622641509434	1.863	6.662	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P28482	8aoj	173-196	25-172,197-313	2.175	100.0	99.622641509434	1.328	6.505	Autoinhibited	Closed	Homo sapiens	['2022-08-08']		A	F-P28482-F1-model_v3.cif
P62826	1k5d	179-216	10-169	13.757	92.1052631578947	100.0	2.235	34.225	Active	Closed	Homo sapiens	['2001-10-10']		A	F-P62826-F1-model_v3.cif
P62826	1k5g	179-216	10-169	13.899	92.1052631578947	100.0	2.276	34.554	Active	Closed	Homo sapiens	['2001-10-10']		A	F-P62826-F1-model_v3.cif
P62826	1rrp	179-216	10-169	11.976	86.8421052631579	100.0	1.377	30.84	Active	Closed	Homo sapiens	['1999-01-15']		A	F-P62826-F1-model_v3.cif
P62826	2mmc	179-216	10-169	28.197	100.0	100.0	4.801	68.008	Autoinhibited	Closed	Homo sapiens	['2014-03-13']		A	F-P62826-F1-model_v3.cif
P62826	2mmg	179-216	10-169	18.737	100.0	100.0	2.388	45.46	Autoinhibited	Closed	Homo sapiens	['2014-03-15']		A	F-P62826-F1-model_v3.cif
P62826	2n1b	179-216	10-169	28.799	100.0	100.0	5.17	69.52	Autoinhibited	Closed	Homo sapiens	['2015-03-26']		A	F-P62826-F1-model_v3.cif
P62826	3ch5	179-216	10-169	21.119	71.0526315789474	96.25	4.994	57.062	Autoinhibited	Closed	Homo sapiens	['2008-03-07']		A	F-P62826-F1-model_v3.cif
P62826	3gj0	179-216	10-169	21.872	76.3157894736842	100.0	4.862	58.94	Autoinhibited	Closed	Homo sapiens	['2009-03-07']		A	F-P62826-F1-model_v3.cif
P62826	3gj3	179-216	10-169	21.984	76.3157894736842	100.0	4.849	58.959	Autoinhibited	Closed	Homo sapiens	['2009-03-07']		A	F-P62826-F1-model_v3.cif
