uniprot	cluster	cf_filename	region_1	region_2	conformation	state	complex_mean_plddt	r1_mean_plddt	r2_mean_plddt
P35520	094	P35520_094_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	78.851	79.354	84.294
P35520	062	P35520_062_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	75.946	79.503	79.81
P35520	090	P35520_090_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	73.964	83.126	75.695
P35520	099	P35520_099_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	60.873	78.808	57.867
P35520	004	P35520_004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	63.078	87.606	57.737
P35520	U100-006	P35520_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	90.17	95.183	93.92
P35520	040	P35520_040_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	63.56	78.251	62.162
P35520	U100-002	P35520_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	89.959	95.125	93.341
P35520	172	P35520_172_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	64.836	66.501	68.595
P35520	101	P35520_101_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	73.316	77.753	76.559
P35520	207	P35520_207_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	63.152	66.069	65.925
P35520	015	P35520_015_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	63.235	68.109	65.308
P35520	058	P35520_058_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	69.17	76.975	70.867
P35520	037	P35520_037_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	51.789	44.389	57.195
P35520	154	P35520_154_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	56.261	46.721	63.047
P35520	184	P35520_184_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	54.984	63.028	55.147
P35520	221	P35520_221_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	62.221	70.96	63.031
P35520	198	P35520_198_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	66.37	89.475	62.3
P35520	U10-004	P35520_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	76.294	82.465	79.241
P35520	033	P35520_033_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	414-551	40-413	Open	Active	60.092	57.039	64.885
P35520	225	P35520_225_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	69.325	75.805	71.563
P35520	088	P35520_088_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	68.167	80.925	67.974
P35520	051	P35520_051_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	65.953	88.385	62.014
P35520	022	P35520_022_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	55.671	63.089	56.39
P35520	119	P35520_119_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	55.348	55.078	58.534
P35520	026	P35520_026_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	69.039	84.023	67.825
P35520	228	P35520_228_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	65.834	72.787	67.576
P35520	203	P35520_203_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	64.901	62.0	70.243
P35520	148	P35520_148_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	61.671	73.855	61.117
P35520	212	P35520_212_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	69.551	74.305	72.335
P35520	110	P35520_110_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	70.188	78.448	72.075
P35520	136	P35520_136_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	76.897	86.474	78.646
P35520	009	P35520_009_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	58.203	69.557	57.085
P35520	216	P35520_216_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	414-551	40-413	Open	Active	73.409	72.601	78.759
P35520	132	P35520_132_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	56.349	61.745	57.681
P35520	234	P35520_234_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	62.077	68.864	63.657
P35520	191	P35520_191_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	68.906	74.355	71.437
P35520	U10-000	P35520_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	80.377	89.84	82.321
P35520	141	P35520_141_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	80.019	92.488	81.064
P35520	123	P35520_123_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	70.901	77.608	73.336
P35520	055	P35520_055_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	67.862	88.849	64.677
P35520	127	P35520_127_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	73.8	83.465	75.24
P35520	085	P35520_085_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	63.305	78.433	61.846
P35520	000	P35520_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	87.274	95.108	89.31
P35520	180	P35520_180_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	56.886	60.163	59.217
P35520	176	P35520_176_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	64.381	77.18	63.895
P35520	189	P35520_189_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	59.389	63.065	61.522
P35520	230	P35520_230_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	58.88	41.706	68.63
P35520	044	P35520_044_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	52.043	48.025	56.267
P35520	167	P35520_167_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	57.154	52.611	62.375
P35520	018	P35520_018_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	73.98	91.34	72.355
P35520	105	P35520_105_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	72.581	77.514	75.52
P35520	U10-009	P35520_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	82.922	93.011	85.198
P35520	011	P35520_011_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	78.683	92.796	78.401
P35520	163	P35520_163_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	62.469	78.094	60.83
P35520	145	P35520_145_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	63.67	79.554	62.032
P35520	077	P35520_077_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	76.691	83.124	79.733
P35520	108	P35520_108_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	60.922	79.689	58.066
P35520	195	P35520_195_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	414-551	40-413	Open	Active	68.238	76.889	69.762
P35520	150	P35520_150_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	61.224	68.407	62.489
P35520	159	P35520_159_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	70.016	82.24	70.189
P35520	066	P35520_066_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	76.759	80.923	80.64
P35520	114	P35520_114_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	65.706	68.199	68.893
P35520	235	P35520_235_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	64.861	52.069	73.789
P35520	095	P35520_095_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	64.403	75.925	64.398
P35520	220	P35520_220_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	59.469	65.777	60.796
P35520	084	P35520_084_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	68.436	68.897	72.614
P35520	199	P35520_199_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	64.213	81.982	61.938
P35520	U10-005	P35520_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	84.526	92.531	87.442
P35520	190	P35520_190_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	66.252	78.785	65.919
P35520	224	P35520_224_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	55.555	62.953	56.242
P35520	122	P35520_122_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	66.175	65.175	70.796
P35520	140	P35520_140_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	71.15	77.143	73.742
P35520	202	P35520_202_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	66.037	65.233	70.685
P35520	149	P35520_149_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	72.884	80.074	75.237
P35520	173	P35520_173_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	70.545	83.35	70.424
P35520	115	P35520_115_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	73.988	81.287	76.475
P35520	213	P35520_213_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	67.246	74.502	68.961
P35520	027	P35520_027_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	69.798	80.812	70.417
P35520	072	P35520_072_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	68.099	79.954	68.444
P35520	158	P35520_158_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	64.499	75.433	64.488
P35520	137	P35520_137_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	81.533	86.884	85.337
P35520	231	P35520_231_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	62.366	70.204	63.373
P35520	188	P35520_188_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	61.929	64.054	64.945
P35520	185	P35520_185_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	414-551	40-413	Open	Active	69.548	80.446	70.304
P35520	001	P35520_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	58.471	67.761	58.25
P35520	023	P35520_023_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	53.058	54.347	55.34
P35520	151	P35520_151_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	63.673	67.097	66.581
P35520	177	P35520_177_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	54.015	39.759	62.159
P35520	045	P35520_045_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	85.781	92.83	89.281
P35520	041	P35520_041_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	78.245	87.742	80.371
P35520	U100-003	P35520_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	91.755	95.097	94.891
P35520	010	P35520_010_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	54.898	50.532	59.25
P35520	019	P35520_019_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	70.158	82.417	70.212
P35520	166	P35520_166_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	71.222	77.465	73.975
P35520	194	P35520_194_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	69.427	83.62	68.941
P35520	144	P35520_144_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	414-551	40-413	Open	Active	61.907	64.404	65.051
P35520	054	P35520_054_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	62.19	79.014	59.85
P35520	008	P35520_008_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	57.709	65.695	58.124
P35520	U100-007	P35520_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	90.936	95.382	94.566
P35520	U10-008	P35520_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	81.424	85.726	85.681
P35520	036	P35520_036_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	75.182	91.182	73.594
P35520	229	P35520_229_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	64.333	67.422	67.546
P35520	U10-001	P35520_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	76.974	80.985	80.617
P35520	162	P35520_162_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	65.489	70.028	68.109
P35520	059	P35520_059_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	61.172	73.293	60.666
P35520	014	P35520_014_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	56.006	61.664	56.735
P35520	076	P35520_076_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	65.288	66.755	69.095
P35520	089	P35520_089_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	69.145	76.858	70.841
P35520	206	P35520_206_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	58.089	39.86	68.097
P35520	100	P35520_100_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	70.424	76.996	72.631
P35520	181	P35520_181_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	414-551	40-413	Open	Active	61.687	63.503	64.899
P35520	217	P35520_217_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	58.703	71.895	56.963
P35520	133	P35520_133_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	66.195	61.799	71.979
P35520	067	P35520_067_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	76.972	91.404	77.077
P35520	098	P35520_098_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	68.25	62.247	74.908
P35520	118	P35520_118_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	66.428	76.317	67.192
P35520	005	P35520_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	62.9	75.924	61.722
P35520	032	P35520_032_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	80.184	91.899	80.985
P35520	050	P35520_050_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	63.627	71.13	64.901
P35520	080	P35520_080_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	65.457	74.112	66.556
P35520	104	P35520_104_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	81.424	85.016	85.802
P35520	109	P35520_109_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	69.255	68.071	74.264
P35520	126	P35520_126_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	414-551	40-413	Open	Active	70.782	67.113	77.006
P35520	063	P35520_063_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	62.277	67.266	64.342
P35520	111	P35520_111_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	68.707	72.728	71.699
P35520	048	P35520_048_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	81.237	88.609	84.29
P35520	155	P35520_155_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	71.202	73.435	74.942
P35520	091	P35520_091_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	68.691	75.4	70.839
P35520	065	P35520_065_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	75.748	92.628	74.864
P35520	028	P35520_028_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	60.989	55.474	66.496
P35520	021	P35520_021_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	57.803	64.209	58.687
P35520	093	P35520_093_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	80.625	81.81	85.924
P35520	082	P35520_082_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	74.272	81.904	76.788
P35520	074	P35520_074_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	57.572	66.958	57.624
P35520	169	P35520_169_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	63.549	64.629	67.259
P35520	196	P35520_196_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	67.086	67.283	71.527
P35520	135	P35520_135_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	65.654	79.679	64.806
P35520	U100-005	P35520_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	90.745	95.17	94.258
P35520	U100-001	P35520_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	91.049	94.991	94.989
P35520	086	P35520_086_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	70.552	76.88	72.933
P35520	222	P35520_222_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	68.995	77.483	70.471
P35520	124	P35520_124_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	64.529	70.696	66.475
P35520	034	P35520_034_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	414-551	40-413	Open	Active	57.599	60.918	59.966
P35520	012	P35520_012_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	51.671	50.959	54.496
P35520	183	P35520_183_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	67.478	80.527	67.058
P35520	113	P35520_113_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	414-551	40-413	Open	Active	72.785	71.787	78.314
P35520	097	P35520_097_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	70.548	76.482	73.11
P35520	U100-008	P35520_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	90.82	95.171	94.694
P35520	233	P35520_233_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	59.641	71.007	59.25
P35520	218	P35520_218_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	67.447	65.407	72.543
P35520	215	P35520_215_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	414-551	40-413	Open	Active	72.709	74.125	77.144
P35520	171	P35520_171_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	57.654	64.676	58.513
P35520	153	P35520_153_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	414-551	40-413	Open	Active	57.04	43.202	65.329
