uniprot,cluster,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
H6SG27,267,0.478,110,230,0.412,77,187,11.82,19.308,0.219,Incorrect
Q72AS4,055,0.568,109,192,0.343,57,166,7.287,11.693,0.318,Acceptable
Q941M3,014,0.436,109,250,0.432,83,192,8.962,16.664,0.223,Incorrect
D9N168,U10-005,0.925,99,107,0.02,2,101,0.519,0.826,0.936,High
Q72AS4,096,0.38,73,192,0.459,62,135,10.139,10.939,0.259,Acceptable
A0A140DJY3,016,0.093,26,280,0.774,89,115,22.694,35.974,0.05,Incorrect
P23687,361,0.24,71,296,0.545,85,156,6.078,8.086,0.274,Acceptable
P23687,093,0.105,31,296,0.748,92,123,9.342,12.752,0.146,Incorrect
Q51504,U10-007,0.972,175,180,0.089,17,192,1.231,5.172,0.767,Medium
P23687,146,0.095,28,296,0.685,61,89,14.376,15.606,0.111,Incorrect
P0AG30,093,0.889,32,36,0.111,4,36,1.052,50.716,0.529,Medium
H6SG27,135,0.487,112,230,0.309,50,162,10.743,19.555,0.222,Incorrect
H6SG27,232,0.1,23,230,0.582,32,55,17.107,27.663,0.065,Incorrect
P0AG30,165,0.694,25,36,0.194,6,31,1.837,26.075,0.397,Acceptable
F2Z6J5,020,0.32,63,197,0.656,120,183,10.442,18.755,0.17,Incorrect
H6SG27,071,0.217,50,230,0.524,55,105,12.51,20.911,0.124,Incorrect
Q72AS4,016,0.453,87,192,0.36,49,136,7.453,8.449,0.332,Acceptable
P23687,253,0.209,62,296,0.68,132,194,14.758,19.436,0.127,Incorrect
Q72AS4,161,0.438,84,192,0.56,107,191,12.156,17.364,0.215,Incorrect
E1K248,U100-006,0.902,165,183,0.141,27,192,5.514,8.367,0.493,Medium
Q72AS4,185,0.391,75,192,0.603,114,189,10.011,14.52,0.223,Incorrect
H6SG27,000,0.4,92,230,0.591,133,225,17.043,27.665,0.165,Incorrect
G0WVH3,044,0.142,33,233,0.621,54,87,16.439,28.079,0.078,Incorrect
F2Z6J5,101,0.462,91,197,0.494,89,180,9.837,36.519,0.179,Incorrect
D9N168,U10-009,0.794,85,107,0.15,15,100,1.325,1.596,0.774,Medium
Q9I5E6,001,0.653,201,308,0.287,81,282,3.475,6.257,0.486,Acceptable
Q72AS4,151,0.37,71,192,0.599,106,177,11.967,16.253,0.2,Incorrect
E1K248,058,0.404,74,183,0.557,93,167,13.132,16.396,0.21,Incorrect
P14677,073,0.234,26,111,0.333,13,39,35.115,71.738,0.083,Incorrect
A0A0H2WY27,U10-008,0.802,162,202,0.186,37,199,2.048,7.234,0.577,Medium
H6SG27,251,0.339,78,230,0.345,41,119,19.067,30.199,0.14,Incorrect
P14677,079,0.288,32,111,0.319,15,47,29.615,58.966,0.104,Incorrect
A0A0H2WY27,U100-008,0.906,183,202,0.103,21,204,2.285,18.481,0.461,Acceptable
P04807,187,0.223,25,112,0.722,65,90,12.126,11.937,0.192,Incorrect
F2Z6J5,079,0.518,102,197,0.4,68,170,12.793,22.708,0.218,Incorrect
E1K248,127,0.492,90,183,0.427,67,157,9.825,13.044,0.271,Acceptable
Q9I5E6,047,0.269,83,308,0.544,99,182,12.864,24.947,0.129,Incorrect
E1K248,131,0.508,93,183,0.456,78,171,12.331,8.028,0.35,Acceptable
P0AG30,280,0.889,32,36,0.086,3,35,0.546,0.729,0.922,High
P04807,190,0.446,50,112,0.58,69,119,10.429,13.287,0.252,Acceptable
Q72AS4,003,0.302,58,192,0.651,108,166,8.775,14.525,0.195,Incorrect
P0AG30,168,0.861,31,36,0.114,4,35,0.661,1.147,0.894,High
P23687,162,0.223,66,296,0.504,67,133,8.764,12.466,0.19,Incorrect
F2Z6J5,037,0.472,93,197,0.466,81,174,13.045,16.85,0.229,Incorrect
Q72AS4,U100-006,0.896,172,192,0.149,30,202,2.579,4.817,0.635,Medium
P23687,U10-000,0.811,240,296,0.184,54,294,1.286,1.002,0.791,Medium
E1K248,231,0.661,121,183,0.462,104,225,8.083,15.662,0.307,Acceptable
Q72AS4,102,0.448,86,192,0.479,79,165,12.611,10.971,0.279,Acceptable
P14677,028,0.117,13,111,0.536,15,28,17.429,25.705,0.074,Incorrect
P23687,236,0.176,52,296,0.597,77,129,11.495,15.221,0.143,Incorrect
G0WVH3,124,0.197,46,233,0.652,86,132,17.512,31.445,0.091,Incorrect
A0A3B6UEQ0,U100-009,0.939,155,165,0.217,43,198,1.309,37.308,0.519,Medium
O68880,063,0.919,158,172,0.137,25,183,0.942,1.378,0.87,High
P04807,122,0.625,70,112,0.346,37,107,5.756,6.989,0.428,Acceptable
Q941M3,001,0.284,71,250,0.324,34,105,28.056,40.398,0.11,Incorrect
E1K248,024,0.563,103,183,0.516,110,213,11.803,15.142,0.273,Acceptable
E1K248,042,0.519,95,183,0.421,69,164,10.663,13.385,0.275,Acceptable
P23687,300,0.328,97,296,0.569,128,225,5.164,5.564,0.369,Acceptable
P59676,U10-005,0.327,36,110,0.493,35,71,15.47,37.513,0.128,Incorrect
F2Z6J5,223,0.482,95,197,0.475,86,181,12.145,43.374,0.178,Incorrect
H6SG27,106,0.104,24,230,0.442,19,43,15.417,24.923,0.073,Incorrect
H6SG27,U10-003,0.839,193,230,0.15,34,227,3.104,6.79,0.546,Medium
H6SG27,061,0.652,150,230,0.292,62,212,4.649,11.081,0.372,Acceptable
P0AG30,055,0.25,9,36,0.667,18,27,5.606,12.605,0.21,Incorrect
Q7KLV9,U10-006,0.889,40,45,0.048,2,42,1.504,7.734,0.645,Medium
F2Z6J5,211,0.325,64,197,0.562,82,146,14.691,43.655,0.124,Incorrect
G0WVH3,163,0.077,18,233,0.438,14,32,24.35,31.756,0.049,Incorrect
E1K248,U100-004,0.902,165,183,0.273,62,227,4.626,3.021,0.628,Medium
A0A140DJY3,U10-005,0.743,208,280,0.126,30,238,1.807,4.674,0.64,Medium
G0WVH3,090,0.094,22,233,0.656,42,64,15.639,20.929,0.082,Incorrect
O68880,U10-005,0.942,162,172,0.053,9,171,1.063,1.005,0.865,High
P04807,168,0.688,77,112,0.408,53,130,2.841,4.928,0.551,Medium
G0WVH3,126,0.082,19,233,0.721,49,68,26.024,48.931,0.038,Incorrect
P0AG30,017,0.639,23,36,0.303,10,33,2.495,24.116,0.338,Acceptable
E1K248,250,0.47,86,183,0.578,118,204,10.775,9.214,0.316,Acceptable
E1K248,036,0.525,96,183,0.57,127,223,11.843,12.141,0.29,Acceptable
O68880,U100-003,0.959,165,172,0.012,2,167,0.373,0.488,0.966,High
O60729,U100-005,0.929,104,112,0.096,11,115,2.637,5.593,0.624,Medium
A0A3B6UEQ0,126,0.636,105,165,0.371,62,167,9.739,26.445,0.251,Acceptable
P04807,033,0.723,81,112,0.243,26,107,2.099,4.359,0.618,Medium
P23687,367,0.196,58,296,0.536,67,125,14.837,17.729,0.131,Incorrect
Q7KLV9,003,0.889,40,45,0.149,7,47,2.18,24.259,0.44,Acceptable
P23687,151,0.284,84,296,0.436,65,149,10.938,14.463,0.186,Incorrect
O68880,106,0.89,153,172,0.1,17,170,1.158,1.173,0.832,High
P23687,116,0.402,119,296,0.428,89,208,3.916,4.174,0.445,Acceptable
E1K248,089,0.475,87,183,0.519,94,181,8.426,7.552,0.355,Acceptable
O68880,023,0.924,159,172,0.117,21,180,0.665,0.901,0.916,High
P0AG30,229,0.917,33,36,0.108,4,37,0.917,30.722,0.572,Medium
H6SG27,162,0.096,22,230,0.735,61,83,16.237,23.488,0.073,Incorrect
O68880,019,0.826,142,172,0.165,28,170,2.192,2.234,0.693,Medium
Q9I5E6,003,0.312,96,308,0.439,75,171,8.673,10.666,0.243,Acceptable
H6SG27,166,0.209,48,230,0.583,67,115,13.461,23.678,0.112,Incorrect
P14677,100,0.297,33,111,0.353,18,51,24.731,30.499,0.124,Incorrect
E1K248,025,0.41,75,183,0.554,93,168,11.926,12.996,0.242,Acceptable
P04807,098,0.688,77,112,0.287,31,108,3.655,4.962,0.526,Medium
E1K248,006,0.754,138,183,0.281,54,192,4.979,3.235,0.57,Medium
P0AG30,015,0.5,18,36,0.438,14,32,4.367,46.519,0.213,Incorrect
G0WVH3,020,0.12,28,233,0.72,72,100,14.299,36.945,0.06,Incorrect
P23687,292,0.101,30,296,0.688,66,96,21.647,23.932,0.073,Incorrect
P04807,150,0.152,17,112,0.83,83,100,11.151,9.341,0.208,Incorrect
H6SG27,234,0.591,136,230,0.317,63,199,3.813,8.298,0.412,Acceptable
E1K248,088,0.475,87,183,0.597,129,216,11.034,13.991,0.254,Acceptable
P14677,062,0.297,33,111,0.377,20,53,25.652,52.334,0.109,Incorrect
H6SG27,004,0.135,31,230,0.696,71,102,11.674,22.573,0.092,Incorrect
O60729,003,0.134,15,112,0.8,60,75,34.375,27.419,0.075,Incorrect
F2Z6J5,159,0.482,95,197,0.55,116,211,10.46,12.597,0.272,Acceptable
A0A3B6UEQ0,084,0.473,78,165,0.477,71,149,10.591,29.848,0.189,Incorrect
P23687,225,0.53,157,296,0.338,80,237,4.057,4.242,0.484,Acceptable
A0A0H2WY27,012,0.203,41,202,0.694,93,134,15.708,37.442,0.087,Incorrect
A0A3B6UEQ0,115,0.521,86,165,0.434,66,152,10.185,19.17,0.236,Acceptable
Q8GN86,U10-005,0.649,124,191,0.418,89,213,8.924,19.708,0.278,Acceptable
H6SG27,159,0.283,65,230,0.387,41,106,10.773,16.48,0.171,Incorrect
Q51504,U100-000,0.933,168,180,0.092,17,185,1.379,4.467,0.753,Medium
H6SG27,146,0.187,43,230,0.697,99,142,12.664,25.941,0.099,Incorrect
P23687,105,0.071,21,296,0.85,119,140,17.564,23.448,0.065,Incorrect
E1K248,099,0.557,102,183,0.545,122,224,11.924,13.106,0.29,Acceptable
A0A140DJY3,U100-001,0.729,204,280,0.109,25,229,8.608,20.238,0.303,Acceptable
P04807,081,0.804,90,112,0.189,21,111,1.98,5.334,0.629,Medium
P14677,110,0.324,36,111,0.308,16,52,17.403,16.008,0.184,Incorrect
F2Z6J5,122,0.487,96,197,0.451,79,175,8.332,27.001,0.203,Incorrect
Q72AS4,092,0.375,72,192,0.459,61,133,10.08,11.177,0.254,Acceptable
P04807,216,0.723,81,112,0.314,37,118,4.581,9.269,0.426,Acceptable
P23687,181,0.088,26,296,0.69,58,84,23.283,20.368,0.08,Incorrect
P0AG30,U100-001,0.861,31,36,0.114,4,35,0.364,0.784,0.932,High
P23687,270,0.142,42,296,0.373,25,67,20.472,20.848,0.097,Incorrect
F2Z6J5,018,0.492,97,197,0.336,49,146,11.193,25.544,0.203,Incorrect
H6SG27,298,0.487,112,230,0.495,110,222,11.071,22.193,0.211,Incorrect
P0AG30,113,0.611,22,36,0.267,8,30,1.896,52.635,0.34,Acceptable
E1K248,246,0.454,83,183,0.585,117,200,11.68,11.262,0.278,Acceptable
G0WVH3,004,0.18,42,233,0.494,41,83,15.87,34.066,0.083,Incorrect
F2Z6J5,221,0.431,85,197,0.555,106,191,10.014,32.849,0.172,Incorrect
G0WVH3,048,0.124,29,233,0.729,78,107,12.921,28.885,0.072,Incorrect
H6SG27,036,0.257,59,230,0.516,63,122,10.573,14.374,0.178,Incorrect
Q941M3,U10-001,0.808,202,250,0.22,57,259,9.688,21.014,0.324,Acceptable
H6SG27,123,0.417,96,230,0.455,80,176,14.89,19.338,0.196,Incorrect
Q51504,009,0.061,11,180,0.866,71,82,22.182,45.932,0.033,Incorrect
A0A3B6UEQ0,U10-007,0.842,139,165,0.302,60,199,2.679,39.365,0.375,Acceptable
P04807,024,0.768,86,112,0.218,24,110,1.898,5.055,0.63,Medium
G0WVH3,199,0.309,72,233,0.493,70,142,6.921,17.298,0.183,Incorrect
P04807,200,0.661,74,112,0.398,49,123,4.799,8.095,0.425,Acceptable
P0AG30,263,0.889,32,36,0.111,4,36,0.947,27.409,0.564,Medium
P0AG30,172,0.861,31,36,0.139,5,36,0.395,1.27,0.925,High
H2E7Q8,U100-008,0.776,111,143,0.234,34,145,1.244,2.507,0.763,Medium
P23687,267,0.172,51,296,0.589,73,124,7.671,10.415,0.203,Incorrect
P14677,031,0.18,20,111,0.649,37,57,17.191,29.48,0.088,Incorrect
Q51504,U100-001,0.933,168,180,0.102,19,187,1.527,5.392,0.713,Medium
H6SG27,172,0.457,105,230,0.352,57,162,12.664,17.258,0.222,Incorrect
O68880,U100-007,0.942,162,172,0.085,15,177,1.38,1.185,0.821,High
H6SG27,306,0.491,113,230,0.421,82,195,12.45,22.098,0.211,Incorrect
E1K248,198,0.47,86,183,0.636,150,236,13.689,13.04,0.26,Acceptable
F2Z6J5,117,0.513,101,197,0.433,77,178,9.419,24.026,0.216,Incorrect
F2Z6J5,209,0.563,111,197,0.383,69,180,8.75,26.822,0.228,Incorrect
F2Z6J5,110,0.503,99,197,0.54,116,215,9.582,33.179,0.196,Incorrect
P23687,178,0.057,17,296,0.77,57,74,8.782,11.996,0.14,Incorrect
G0WVH3,150,0.107,25,233,0.734,69,94,24.696,57.538,0.044,Incorrect
Q9I5E6,033,0.373,115,308,0.458,97,212,8.338,13.817,0.226,Incorrect
E1K248,152,0.454,83,183,0.554,103,186,12.223,7.31,0.348,Acceptable
H6SG27,183,0.117,27,230,0.675,56,83,17.86,24.444,0.077,Incorrect
H6SG27,304,0.304,70,230,0.462,60,130,11.2,19.886,0.159,Incorrect
A0A0A0V031,015,0.261,58,222,0.54,68,126,17.136,27.649,0.118,Incorrect
A0A140DJY3,004,0.204,57,280,0.581,79,136,18.707,28.375,0.097,Incorrect
H6SG27,203,0.078,18,230,0.333,9,27,20.613,32.753,0.049,Incorrect
Q72AS4,107,0.911,175,192,0.274,66,241,3.185,12.145,0.474,Acceptable
P23687,186,0.203,60,296,0.643,108,168,7.238,10.039,0.22,Incorrect
P14677,032,0.333,37,111,0.196,9,46,11.482,31.406,0.139,Incorrect
P0AG30,302,0.861,31,36,0.061,2,33,1.177,32.089,0.515,Medium
P23687,107,0.23,68,296,0.676,142,210,7.691,8.528,0.255,Acceptable
Q7KLV9,075,0.222,10,45,0.706,24,34,12.365,52.75,0.087,Incorrect
E1K248,050,0.344,63,183,0.609,98,161,11.82,12.721,0.223,Incorrect
A0A3B6UEQ0,U10-006,0.764,126,165,0.319,59,185,4.144,36.725,0.31,Acceptable
P23687,294,0.111,33,296,0.612,52,85,16.177,19.334,0.094,Incorrect
E1K248,123,0.607,111,183,0.466,97,208,10.161,7.574,0.395,Acceptable
E1K248,234,0.41,75,183,0.625,125,200,9.277,12.382,0.252,Acceptable
Q72AS4,U100-000,0.891,171,192,0.081,15,186,1.453,2.063,0.784,Medium
P04807,U100-000,0.884,99,112,0.132,15,114,0.921,2.984,0.833,High
Q72AS4,118,0.474,91,192,0.448,74,165,9.013,11.639,0.283,Acceptable
Q9I5E6,074,0.334,103,308,0.49,99,202,16.544,29.139,0.14,Incorrect
Q72AS4,017,0.625,120,192,0.273,45,165,6.18,10.89,0.353,Acceptable
O68880,082,0.744,128,172,0.234,39,167,2.198,2.033,0.669,Medium
O68880,045,0.884,152,172,0.151,27,179,1.347,1.599,0.801,High
F2Z6J5,074,0.431,85,197,0.583,119,204,10.56,20.293,0.2,Incorrect
O68880,028,0.872,150,172,0.138,24,174,1.026,1.162,0.845,High
Q72AS4,192,0.479,92,192,0.633,159,251,8.397,19.448,0.223,Incorrect
Q9I5E6,004,0.38,117,308,0.415,83,200,7.426,8.999,0.297,Acceptable
O68880,049,0.948,163,172,0.104,19,182,0.778,0.963,0.908,High
A0A3B6UEQ0,089,0.6,99,165,0.428,74,173,5.691,28.213,0.249,Acceptable
A0A140DJY3,U100-009,0.718,201,280,0.115,26,227,8.535,20.133,0.3,Acceptable
P0AG30,083,0.667,24,36,0.077,2,26,1.896,13.157,0.449,Acceptable
A0A0A0V031,U100-002,0.784,174,222,0.117,23,197,2.978,4.042,0.601,Medium
P04807,141,0.634,71,112,0.36,40,111,5.042,4.2,0.506,Medium
O68880,116,0.721,124,172,0.19,29,153,2.31,1.792,0.658,Medium
Q941M3,U10-002,0.78,195,250,0.223,56,251,9.576,20.561,0.317,Acceptable
A0A3B6UEQ0,085,0.503,83,165,0.488,79,162,9.297,32.113,0.198,Incorrect
Q72AS4,110,0.688,132,192,0.35,71,203,8.683,12.922,0.34,Acceptable
Q72AS4,199,0.495,95,192,0.395,62,157,8.961,12.336,0.281,Acceptable
E1K248,038,0.492,90,183,0.605,138,228,9.763,16.53,0.241,Acceptable
H2E7Q8,U100-007,0.79,113,143,0.266,41,154,1.255,2.645,0.763,Medium
E1K248,134,0.443,81,183,0.491,78,159,9.559,10.718,0.284,Acceptable
Q72AS4,098,0.385,74,192,0.507,76,150,9.72,12.04,0.247,Acceptable
P04807,000,0.866,97,112,0.093,10,107,0.652,2.689,0.872,High
Q941M3,012,0.244,61,250,0.698,141,202,22.89,41.195,0.096,Incorrect
P04807,049,0.67,75,112,0.423,55,130,4.484,3.475,0.542,Medium
Q9I5E6,045,0.237,73,308,0.503,74,147,15.397,21.89,0.126,Incorrect
A0A3B6UEQ0,124,0.352,58,165,0.491,56,114,13.669,21.732,0.165,Incorrect
H6SG27,283,0.104,24,230,0.619,39,63,22.263,39.014,0.051,Incorrect
Q7KLV9,U10-009,0.889,40,45,0.07,3,43,1.251,26.647,0.524,Medium
P0AG30,018,0.944,34,36,0.171,7,41,0.474,45.194,0.629,Medium
A0A3B6UEQ0,092,0.63,104,165,0.329,51,155,10.305,26.876,0.247,Acceptable
Q72AS4,158,0.484,93,192,0.45,76,169,7.762,8.956,0.331,Acceptable
A0A3B6UEQ0,076,0.533,88,165,0.479,81,169,8.605,34.407,0.207,Incorrect
O68880,033,0.866,149,172,0.144,25,174,1.878,1.742,0.738,Medium
D9N168,U10-003,0.916,98,107,0.058,6,104,0.634,1.374,0.913,High
A0A3B6UEQ0,061,0.388,64,165,0.546,77,141,9.434,32.904,0.158,Incorrect
P23687,254,0.186,55,296,0.596,81,136,9.591,13.471,0.165,Incorrect
Q72AS4,070,0.339,65,192,0.43,49,114,10.803,12.234,0.228,Incorrect
H6SG27,048,0.196,45,230,0.625,75,120,10.786,18.752,0.128,Incorrect
P0AG30,272,0.889,32,36,0.086,3,35,0.503,0.93,0.925,High
P04807,161,0.339,38,112,0.587,54,92,9.833,10.029,0.26,Acceptable
Q7KLV9,047,0.911,41,45,0.18,9,50,1.602,22.65,0.501,Medium
A0A0A0V031,U10-007,0.725,161,222,0.222,46,207,4.666,5.482,0.508,Medium
Q51504,014,0.078,14,180,0.611,22,36,19.818,47.755,0.038,Incorrect
P23687,245,0.287,85,296,0.591,123,208,8.447,6.0,0.328,Acceptable
P23687,269,0.24,71,296,0.536,82,153,7.386,8.865,0.253,Acceptable
Q51504,U10-002,0.956,172,180,0.118,23,195,2.252,11.701,0.536,Medium
P0AG30,270,0.889,32,36,0.059,2,34,0.938,17.853,0.598,Medium
H6SG27,168,0.209,48,230,0.505,49,97,10.131,14.295,0.164,Incorrect
E1K248,U100-007,0.923,169,183,0.21,45,214,4.471,2.779,0.643,Medium
F2Z6J5,171,0.482,95,197,0.5,95,190,13.442,23.647,0.203,Incorrect
Q9I5E6,081,0.055,17,308,0.726,45,62,24.192,36.837,0.037,Incorrect
Q9I5E6,U100-002,0.925,285,308,0.095,30,315,1.016,1.676,0.858,High
H6SG27,171,0.161,37,230,0.606,57,94,13.764,21.36,0.103,Incorrect
P23687,072,0.25,74,296,0.582,103,177,5.976,6.525,0.313,Acceptable
O68880,047,0.924,159,172,0.107,19,178,1.33,1.332,0.82,High
Q7KLV9,020,0.867,39,45,0.133,6,45,1.46,20.408,0.509,Medium
P59676,U100-002,0.891,98,110,0.03,3,101,0.401,1.438,0.932,High
H6SG27,022,0.696,160,230,0.227,47,207,4.587,13.383,0.36,Acceptable
P04958,U10-005,0.421,193,458,0.24,61,254,45.843,65.712,0.146,Incorrect
P23687,098,0.226,67,296,0.507,69,136,10.608,10.691,0.211,Incorrect
P04807,182,0.741,83,112,0.278,32,115,3.043,8.744,0.474,Acceptable
O68880,097,0.576,99,172,0.34,51,150,5.373,5.005,0.463,Acceptable
Q9I5E6,093,0.055,17,308,0.764,55,72,26.073,50.61,0.029,Incorrect
P23687,213,0.26,77,296,0.458,65,142,8.561,11.788,0.211,Incorrect
P04807,090,0.259,29,112,0.743,84,113,9.772,12.386,0.201,Incorrect
O68880,078,0.884,152,172,0.126,22,174,0.938,1.082,0.862,High
H6SG27,041,0.526,121,230,0.432,92,213,9.285,19.401,0.238,Acceptable
P04807,209,0.607,68,112,0.346,36,104,5.742,5.159,0.467,Acceptable
P23687,358,0.27,80,296,0.574,108,188,9.027,9.351,0.25,Acceptable
Q7KLV9,U100-002,0.978,44,45,0.064,3,47,0.903,10.453,0.703,Medium
A0A0H2WY27,U100-006,0.95,192,202,0.072,15,207,0.545,23.311,0.65,Medium
Q9I5E6,015,0.464,143,308,0.353,78,221,9.533,9.78,0.306,Acceptable
O16025,U10-005,0.548,63,115,0.192,15,78,14.965,47.027,0.196,Incorrect
F2Z6J5,076,0.437,86,197,0.566,112,198,11.157,16.931,0.219,Incorrect
P0AG30,255,0.167,6,36,0.25,2,8,12.874,35.287,0.078,Incorrect
E1K248,254,0.421,77,183,0.586,109,186,12.31,18.872,0.201,Incorrect
P04807,130,0.866,97,112,0.192,23,120,1.415,3.235,0.756,Medium
A0A3B6UEQ0,U100-002,0.933,154,165,0.158,29,183,2.514,15.845,0.473,Acceptable
O68880,041,0.924,159,172,0.091,16,175,1.142,1.233,0.846,High
A0A3B6UEQ0,090,0.636,105,165,0.327,51,156,11.082,20.832,0.266,Acceptable
G0WVH3,145,0.077,18,233,0.679,38,56,15.217,25.883,0.061,Incorrect
E1K248,148,0.481,88,183,0.567,115,203,9.936,12.308,0.275,Acceptable
P0AG30,202,0.889,32,36,0.059,2,34,1.151,21.561,0.551,Medium
P14677,083,0.324,36,111,0.28,14,50,19.691,44.36,0.122,Incorrect
H6SG27,271,0.152,35,230,0.727,93,128,15.291,24.18,0.091,Incorrect
P23687,339,0.132,39,296,0.702,92,131,10.298,10.374,0.185,Incorrect
P0AG30,294,0.417,15,36,0.674,31,46,2.768,56.86,0.222,Incorrect
P04958,U10-007,0.424,194,458,0.205,50,244,33.774,70.584,0.147,Incorrect
Q72AS4,089,0.427,82,192,0.586,116,198,9.474,12.284,0.258,Acceptable
Q7KLV9,038,0.267,12,45,0.739,34,46,4.058,21.723,0.173,Incorrect
O68880,070,0.733,126,172,0.208,33,159,2.103,2.871,0.656,Medium
P0AG30,050,0.333,12,36,0.478,11,23,3.796,25.04,0.191,Incorrect
F2Z6J5,030,0.569,112,197,0.5,112,224,11.002,13.521,0.29,Acceptable
E1K248,062,0.459,84,183,0.582,117,201,9.382,15.378,0.239,Acceptable
P23687,205,0.358,106,296,0.414,75,181,4.911,5.347,0.387,Acceptable
G0WVH3,106,0.15,35,233,0.706,84,119,16.426,21.412,0.098,Incorrect
P23687,321,0.49,145,296,0.293,60,205,3.7,3.883,0.486,Acceptable
F2Z6J5,200,0.406,80,197,0.615,128,208,12.761,36.58,0.157,Incorrect
Q7KLV9,048,0.311,14,45,0.6,21,35,6.42,41.331,0.134,Incorrect
H6SG27,009,0.252,58,230,0.513,61,119,12.559,21.739,0.133,Incorrect
G0WVH3,128,0.09,21,233,0.741,60,81,23.256,52.642,0.04,Incorrect
P23687,327,0.321,95,296,0.489,91,186,6.53,9.735,0.268,Acceptable
P23687,290,0.074,22,296,0.5,22,44,23.521,29.321,0.052,Incorrect
G0WVH3,027,0.069,16,233,0.568,21,37,18.803,40.962,0.039,Incorrect
O60729,U100-007,0.884,99,112,0.139,16,115,2.775,6.949,0.57,Medium
E1K248,085,0.355,65,183,0.572,87,152,9.459,10.589,0.257,Acceptable
Q9I5E6,022,0.36,111,308,0.416,79,190,10.862,13.775,0.218,Incorrect
F2Z6J5,U100-007,0.893,176,197,0.207,46,222,4.435,10.68,0.461,Acceptable
H6SG27,083,0.165,38,230,0.578,52,90,17.461,25.858,0.09,Incorrect
H6SG27,161,0.1,23,230,0.582,32,55,16.629,25.295,0.07,Incorrect
Q51504,025,0.1,18,180,0.6,27,45,24.961,30.264,0.059,Incorrect
E1K248,077,0.464,85,183,0.553,105,190,13.006,23.125,0.199,Incorrect
E1K248,159,0.475,87,183,0.463,75,162,9.48,9.157,0.321,Acceptable
P04807,003,0.83,93,112,0.139,15,108,1.374,4.135,0.728,Medium
A0A0F7R6G7,U100-003,0.906,202,223,0.086,19,221,1.01,3.808,0.809,High
E1K248,197,0.492,90,183,0.565,117,207,10.257,7.99,0.348,Acceptable
A0A3B6UEQ0,030,0.636,105,165,0.344,55,160,3.597,26.557,0.292,Acceptable
P04807,U100-007,0.875,98,112,0.169,20,118,0.902,3.553,0.82,High
P0AG30,203,0.944,34,36,0.056,2,36,0.666,9.927,0.734,Medium
A0A0A0V031,002,0.086,19,222,0.779,67,86,16.523,20.163,0.082,Incorrect
P04807,078,0.741,83,112,0.272,31,114,2.413,5.428,0.577,Medium
