uniprot	pdb	cluster	region_1	region_2	complex_rmsd	1.0_aligned	1.0_comp	1.1_aligned	1.1_comp	1.2_aligned	1.2_comp	2.0_aligned	2.0_comp	2.1_aligned	2.1_comp	2.2_aligned	2.2_comp	2.3_aligned	2.3_comp	1_aligned	1_comp	2_aligned	2_comp	state	conformation
P53042	4ja9	007	28-129	495-499,200-494	8.906	2.072	28.462	0	0	0	0	0	0	4.291	27.367	2.5	19.686	0	0	2.072	28.462	3.396	23.526	Active	Closed
P29350	2b3o	009	1-105	244-515	25.707	5.316	76.268	0	0	0	0	15.549	36.58	0	0	0	0	0	0	5.316	76.268	15.549	36.58	Active	Open
P29350	2b3o	005	1-105	244-515	23.072	10.928	57.133	0	0	0	0	15.912	38.1	0	0	0	0	0	0	10.928	57.133	15.912	38.1	Active	Open
P29350	2b3o	U10-000	1-105	244-515	18.121	3.951	39.323	0	0	0	0	3.579	51.627	0	0	0	0	0	0	3.951	39.323	3.579	51.627	Active	Open
P29350	2b3o	U100-000	1-105	244-515	23.848	2.639	64.824	0	0	0	0	1.799	57.147	0	0	0	0	0	0	2.639	64.824	1.799	57.147	Active	Open
P29350	2b3o	002	1-105	244-515	12.647	3.861	25.878	0	0	0	0	6.894	26.169	0	0	0	0	0	0	3.861	25.878	6.894	26.169	Active	Open
P29350	2b3o	001	1-105	244-515	26.582	6.857	57.684	0	0	0	0	15.536	42.262	0	0	0	0	0	0	6.857	57.684	15.536	42.262	Active	Open
P29350	2b3o	007	1-105	244-515	24.503	8.822	70.456	0	0	0	0	20.035	29.92	0	0	0	0	0	0	8.822	70.456	20.035	29.92	Active	Open
P29350	2b3o	004	1-105	244-515	9.874	2.623	17.158	0	0	0	0	7.097	19.073	0	0	0	0	0	0	2.623	17.158	7.097	19.073	Active	Open
P29350	2b3o	006	1-105	244-515	23.633	10.343	46.363	0	0	0	0	14.876	37.475	0	0	0	0	0	0	10.343	46.363	14.876	37.475	Active	Open
P29350	2b3o	008	1-105	244-515	26.666	6.098	96.871	0	0	0	0	15.113	55.074	0	0	0	0	0	0	6.098	96.871	15.113	55.074	Active	Open
P29350	2b3o	010	1-105	244-515	21.486	8.412	64.37	0	0	0	0	10.081	42.545	0	0	0	0	0	0	8.412	64.37	10.081	42.545	Active	Open
P29350	2b3o	003	1-105	244-515	21.992	2.408	50.646	0	0	0	0	4.688	58.912	0	0	0	0	0	0	2.408	50.646	4.688	58.912	Active	Open
P29350	2b3o	000	1-105	244-515	27.208	10.038	64.39	0	0	0	0	15.186	47.203	0	0	0	0	0	0	10.038	64.39	15.186	47.203	Active	Open
P29350	3ps5	009	1-105	244-515	24.958	5.541	36.543	0	0	0	0	15.602	76.687	0	0	0	0	0	0	5.541	36.543	15.602	76.687	Active	Open
P29350	3ps5	005	1-105	244-515	28.46	10.97	78.897	0	0	0	0	15.994	78.778	0	0	0	0	0	0	10.97	78.897	15.994	78.778	Active	Open
P29350	3ps5	U10-000	1-105	244-515	13.571	3.62	50.647	0	0	0	0	3.491	31.902	0	0	0	0	0	0	3.62	50.647	3.491	31.902	Active	Open
P29350	3ps5	U100-000	1-105	244-515	2.426	2.337	2.378	0	0	0	0	1.657	2.867	0	0	0	0	0	0	2.337	2.378	1.657	2.867	Active	Open
P29350	3ps5	002	1-105	244-515	20.613	3.509	63.604	0	0	0	0	6.962	52.559	0	0	0	0	0	0	3.509	63.604	6.962	52.559	Active	Open
P29350	3ps5	001	1-105	244-515	24.958	6.469	67.477	0	0	0	0	15.543	71.884	0	0	0	0	0	0	6.469	67.477	15.543	71.884	Active	Open
P29350	3ps5	007	1-105	244-515	24.557	8.492	75.308	0	0	0	0	19.916	74.37	0	0	0	0	0	0	8.492	75.308	19.916	74.37	Active	Open
P29350	3ps5	004	1-105	244-515	23.65	2.563	74.447	0	0	0	0	6.919	68.828	0	0	0	0	0	0	2.563	74.447	6.919	68.828	Active	Open
P29350	3ps5	006	1-105	244-515	21.719	10.41	91.632	0	0	0	0	14.862	56.008	0	0	0	0	0	0	10.41	91.632	14.862	56.008	Active	Open
P29350	3ps5	008	1-105	244-515	27.463	5.71	51.513	0	0	0	0	15.017	99.139	0	0	0	0	0	0	5.71	51.513	15.017	99.139	Active	Open
P29350	3ps5	010	1-105	244-515	25.931	8.718	72.217	0	0	0	0	10.141	74.947	0	0	0	0	0	0	8.718	72.217	10.141	74.947	Active	Open
P29350	3ps5	003	1-105	244-515	17.656	2.205	68.371	0	0	0	0	4.601	32.532	0	0	0	0	0	0	2.205	68.371	4.601	32.532	Active	Open
P29350	3ps5	000	1-105	244-515	26.292	10.763	87.406	0	0	0	0	15.199	81.083	0	0	0	0	0	0	10.763	87.406	15.199	81.083	Active	Open
P62826	1k5d	008	179-216	10-169	12.698	7.411	26.417	0	0	0	0	10.883	37.482	0	0	0	0	0	0	7.411	26.417	10.883	37.482	nan	Open
P62826	1k5d	003	179-216	10-169	13.506	9.282	28.938	0	0	0	0	3.001	33.184	0	0	0	0	0	0	9.282	28.938	3.001	33.184	nan	Open
P62826	1k5d	006	179-216	10-169	12.838	8.09	25.463	0	0	0	0	13.262	19.828	0	0	0	0	0	0	8.09	25.463	13.262	19.828	nan	Open
P62826	1k5d	000	179-216	10-169	11.221	7.64	54.137	0	0	0	0	1.712	27.929	0	0	0	0	0	0	7.64	54.137	1.712	27.929	nan	Open
P62826	1k5d	005	179-216	10-169	16.031	6.929	29.876	0	0	0	0	2.822	39.794	0	0	0	0	0	0	6.929	29.876	2.822	39.794	nan	Open
P62826	1k5d	U100-000	179-216	10-169	11.091	11.462	54.097	0	0	0	0	1.898	27.602	0	0	0	0	0	0	11.462	54.097	1.898	27.602	nan	Open
P62826	1k5d	004	179-216	10-169	9.342	7.743	13.006	0	0	0	0	2.258	22.638	0	0	0	0	0	0	7.743	13.006	2.258	22.638	nan	Open
P62826	1k5d	002	179-216	10-169	16.714	8.224	37.518	0	0	0	0	2.456	40.54	0	0	0	0	0	0	8.224	37.518	2.456	40.54	nan	Open
P62826	1k5d	009	179-216	10-169	16.27	5.891	28.575	0	0	0	0	2.428	40.431	0	0	0	0	0	0	5.891	28.575	2.428	40.431	nan	Open
P62826	1k5d	001	179-216	10-169	8.507	8.664	44.504	0	0	0	0	2.46	20.695	0	0	0	0	0	0	8.664	44.504	2.46	20.695	nan	Open
P62826	1k5d	007	179-216	10-169	19.516	7.011	29.347	0	0	0	0	6.103	46.334	0	0	0	0	0	0	7.011	29.347	6.103	46.334	nan	Open
P62826	1k5d	U10-000	179-216	10-169	15.063	7.879	62.157	0	0	0	0	2.082	37.735	0	0	0	0	0	0	7.879	62.157	2.082	37.735	nan	Open
P62826	1k5g	008	179-216	10-169	12.561	7.319	26.014	0	0	0	0	10.854	36.73	0	0	0	0	0	0	7.319	26.014	10.854	36.73	nan	Open
P62826	1k5g	003	179-216	10-169	13.222	9.244	28.534	0	0	0	0	3.016	32.45	0	0	0	0	0	0	9.244	28.534	3.016	32.45	nan	Open
P62826	1k5g	006	179-216	10-169	12.779	8.252	26.225	0	0	0	0	13.219	19.572	0	0	0	0	0	0	8.252	26.225	13.219	19.572	nan	Open
P62826	1k5g	000	179-216	10-169	11.387	7.379	53.611	0	0	0	0	1.732	28.336	0	0	0	0	0	0	7.379	53.611	1.732	28.336	nan	Open
P62826	1k5g	005	179-216	10-169	15.73	6.776	29.361	0	0	0	0	2.859	39.017	0	0	0	0	0	0	6.776	29.361	2.859	39.017	nan	Open
P62826	1k5g	U100-000	179-216	10-169	11.027	11.127	52.992	0	0	0	0	1.915	27.365	0	0	0	0	0	0	11.127	52.992	1.915	27.365	nan	Open
P62826	1k5g	004	179-216	10-169	9.137	7.693	12.547	0	0	0	0	2.264	22.162	0	0	0	0	0	0	7.693	12.547	2.264	22.162	nan	Open
P62826	1k5g	002	179-216	10-169	16.597	7.949	36.861	0	0	0	0	2.462	40.261	0	0	0	0	0	0	7.949	36.861	2.462	40.261	nan	Open
P62826	1k5g	009	179-216	10-169	16.009	5.718	28.091	0	0	0	0	2.443	39.808	0	0	0	0	0	0	5.718	28.091	2.443	39.808	nan	Open
P62826	1k5g	001	179-216	10-169	8.659	8.483	44.492	0	0	0	0	2.491	21.011	0	0	0	0	0	0	8.483	44.492	2.491	21.011	nan	Open
P62826	1k5g	007	179-216	10-169	19.224	7.095	29.346	0	0	0	0	6.098	45.643	0	0	0	0	0	0	7.095	29.346	6.098	45.643	nan	Open
P62826	1k5g	U10-000	179-216	10-169	15.131	8.086	63.648	0	0	0	0	2.092	38.002	0	0	0	0	0	0	8.086	63.648	2.092	38.002	nan	Open
P62826	1rrp	008	179-216	10-169	12.343	6.364	24.743	0	0	0	0	10.583	36.608	0	0	0	0	0	0	6.364	24.743	10.583	36.608	nan	Open
P62826	1rrp	003	179-216	10-169	12.651	7.087	24.376	0	0	0	0	2.936	32.125	0	0	0	0	0	0	7.087	24.376	2.936	32.125	nan	Open
P62826	1rrp	006	179-216	10-169	12.424	6.505	19.52	0	0	0	0	13.128	16.604	0	0	0	0	0	0	6.505	19.52	13.128	16.604	nan	Open
P62826	1rrp	000	179-216	10-169	10.262	6.784	41.372	0	0	0	0	1.507	26.37	0	0	0	0	0	0	6.784	41.372	1.507	26.37	nan	Open
P62826	1rrp	005	179-216	10-169	15.069	6.316	27.677	0	0	0	0	2.478	38.609	0	0	0	0	0	0	6.316	27.677	2.478	38.609	nan	Open
P62826	1rrp	U100-000	179-216	10-169	9.263	10.105	51.962	0	0	0	0	1.25	23.794	0	0	0	0	0	0	10.105	51.962	1.25	23.794	nan	Open
P62826	1rrp	004	179-216	10-169	8.897	7.447	14.828	0	0	0	0	2.113	22.392	0	0	0	0	0	0	7.447	14.828	2.113	22.392	nan	Open
P62826	1rrp	002	179-216	10-169	15.202	7.057	26.372	0	0	0	0	2.19	38.049	0	0	0	0	0	0	7.057	26.372	2.19	38.049	nan	Open
P62826	1rrp	009	179-216	10-169	15.572	6.015	28.45	0	0	0	0	2.573	39.844	0	0	0	0	0	0	6.015	28.45	2.573	39.844	nan	Open
P62826	1rrp	001	179-216	10-169	6.639	7.185	31.725	0	0	0	0	1.904	16.515	0	0	0	0	0	0	7.185	31.725	1.904	16.515	nan	Open
P62826	1rrp	007	179-216	10-169	19.038	6.674	30.517	0	0	0	0	6.085	46.355	0	0	0	0	0	0	6.674	30.517	6.085	46.355	nan	Open
P62826	1rrp	U10-000	179-216	10-169	13.728	7.015	54.35	0	0	0	0	1.948	35.436	0	0	0	0	0	0	7.015	54.35	1.948	35.436	nan	Open
P62826	2mmc	008	179-216	10-169	19.788	9.956	31.392	0	0	0	0	10.48	43.402	0	0	0	0	0	0	9.956	31.392	10.48	43.402	nan	Open
P62826	2mmc	003	179-216	10-169	15.279	10.741	27.56	0	0	0	0	4.722	35.541	0	0	0	0	0	0	10.741	27.56	4.722	35.541	nan	Open
P62826	2mmc	006	179-216	10-169	20.188	10.285	33.234	0	0	0	0	12.453	46.602	0	0	0	0	0	0	10.285	33.234	12.453	46.602	nan	Open
P62826	2mmc	000	179-216	10-169	25.451	9.907	46.596	0	0	0	0	4.735	61.437	0	0	0	0	0	0	9.907	46.596	4.735	61.437	nan	Open
P62826	2mmc	005	179-216	10-169	17.325	9.921	27.848	0	0	0	0	5.149	40.574	0	0	0	0	0	0	9.921	27.848	5.149	40.574	nan	Open
P62826	2mmc	U100-000	179-216	10-169	23.422	10.901	43.952	0	0	0	0	4.747	56.327	0	0	0	0	0	0	10.901	43.952	4.747	56.327	nan	Open
P62826	2mmc	004	179-216	10-169	13.545	9.912	23.323	0	0	0	0	4.76	31.094	0	0	0	0	0	0	9.912	23.323	4.76	31.094	nan	Open
P62826	2mmc	002	179-216	10-169	26.268	10.236	35.459	0	0	0	0	4.59	62.784	0	0	0	0	0	0	10.236	35.459	4.59	62.784	nan	Open
P62826	2mmc	009	179-216	10-169	11.624	8.935	17.853	0	0	0	0	5.183	25.466	0	0	0	0	0	0	8.935	17.853	5.183	25.466	nan	Open
P62826	2mmc	001	179-216	10-169	24.172	9.964	40.209	0	0	0	0	4.864	58.343	0	0	0	0	0	0	9.964	40.209	4.864	58.343	nan	Open
P62826	2mmc	007	179-216	10-169	20.066	10.099	28.446	0	0	0	0	5.532	46.652	0	0	0	0	0	0	10.099	28.446	5.532	46.652	nan	Open
P62826	2mmc	U10-000	179-216	10-169	27.554	9.856	51.76	0	0	0	0	4.799	66.628	0	0	0	0	0	0	9.856	51.76	4.799	66.628	nan	Open
P62826	2mmg	008	179-216	10-169	12.311	8.171	30.969	0	0	0	0	10.805	28.238	0	0	0	0	0	0	8.171	30.969	10.805	28.238	nan	Open
P62826	2mmg	003	179-216	10-169	10.497	10.043	30.423	0	0	0	0	3.04	24.315	0	0	0	0	0	0	10.043	30.423	3.04	24.315	nan	Open
P62826	2mmg	006	179-216	10-169	14.633	8.915	36.55	0	0	0	0	13.254	19.813	0	0	0	0	0	0	8.915	36.55	13.254	19.813	nan	Open
P62826	2mmg	000	179-216	10-169	16.163	10.737	74.117	0	0	0	0	1.914	39.131	0	0	0	0	0	0	10.737	74.117	1.914	39.131	nan	Open
P62826	2mmg	005	179-216	10-169	12.914	7.83	30.18	0	0	0	0	2.907	30.45	0	0	0	0	0	0	7.83	30.18	2.907	30.45	nan	Open
P62826	2mmg	U100-000	179-216	10-169	13.11	11.942	57.196	0	0	0	0	2.075	31.33	0	0	0	0	0	0	11.942	57.196	2.075	31.33	nan	Open
P62826	2mmg	004	179-216	10-169	8.944	11.484	43.503	0	0	0	0	2.386	20.487	0	0	0	0	0	0	11.484	43.503	2.386	20.487	nan	Open
P62826	2mmg	002	179-216	10-169	16.97	10.396	59.357	0	0	0	0	2.597	39.889	0	0	0	0	0	0	10.396	59.357	2.597	39.889	nan	Open
P62826	2mmg	009	179-216	10-169	13.881	6.776	27.504	0	0	0	0	2.632	33.097	0	0	0	0	0	0	6.776	27.504	2.632	33.097	nan	Open
P62826	2mmg	001	179-216	10-169	13.516	11.768	67.539	0	0	0	0	2.499	32.427	0	0	0	0	0	0	11.768	67.539	2.499	32.427	nan	Open
P62826	2mmg	007	179-216	10-169	16.418	9.131	34.787	0	0	0	0	5.977	37.351	0	0	0	0	0	0	9.131	34.787	5.977	37.351	nan	Open
P62826	2mmg	U10-000	179-216	10-169	19.202	10.974	78.129	0	0	0	0	2.153	46.74	0	0	0	0	0	0	10.974	78.129	2.153	46.74	nan	Open
P62826	2n1b	008	179-216	10-169	19.925	8.113	30.911	0	0	0	0	10.582	43.66	0	0	0	0	0	0	8.113	30.911	10.582	43.66	nan	Open
P62826	2n1b	003	179-216	10-169	15.357	8.832	27.279	0	0	0	0	5.018	35.518	0	0	0	0	0	0	8.832	27.279	5.018	35.518	nan	Open
P62826	2n1b	006	179-216	10-169	20.298	8.69	32.916	0	0	0	0	12.453	47.348	0	0	0	0	0	0	8.69	32.916	12.453	47.348	nan	Open
P62826	2n1b	000	179-216	10-169	26.062	6.829	45.131	0	0	0	0	5.109	62.88	0	0	0	0	0	0	6.829	45.131	5.109	62.88	nan	Open
P62826	2n1b	005	179-216	10-169	17.522	8.399	27.668	0	0	0	0	5.431	40.806	0	0	0	0	0	0	8.399	27.668	5.431	40.806	nan	Open
P62826	2n1b	U100-000	179-216	10-169	23.918	7.888	42.234	0	0	0	0	5.137	57.333	0	0	0	0	0	0	7.888	42.234	5.137	57.333	nan	Open
P62826	2n1b	004	179-216	10-169	13.553	7.221	21.841	0	0	0	0	5.111	30.63	0	0	0	0	0	0	7.221	21.841	5.111	30.63	nan	Open
P62826	2n1b	002	179-216	10-169	26.681	8.407	34.932	0	0	0	0	4.948	63.7	0	0	0	0	0	0	8.407	34.932	4.948	63.7	nan	Open
P62826	2n1b	009	179-216	10-169	11.691	9.11	24.931	0	0	0	0	5.505	25.292	0	0	0	0	0	0	9.11	24.931	5.505	25.292	nan	Open
P62826	2n1b	001	179-216	10-169	24.711	7.415	38.874	0	0	0	0	5.211	59.461	0	0	0	0	0	0	7.415	38.874	5.211	59.461	nan	Open
P62826	2n1b	007	179-216	10-169	20.556	7.964	27.349	0	0	0	0	5.488	47.967	0	0	0	0	0	0	7.964	27.349	5.488	47.967	nan	Open
P62826	2n1b	U10-000	179-216	10-169	28.285	6.879	50.797	0	0	0	0	5.154	68.36	0	0	0	0	0	0	6.879	50.797	5.154	68.36	nan	Open
P62826	3ch5	008	179-216	10-169	17.75	7.591	31.327	0	0	0	0	10.715	41.928	0	0	0	0	0	0	7.591	31.327	10.715	41.928	nan	Open
P62826	3ch5	003	179-216	10-169	13.282	8.567	27.7	0	0	0	0	4.913	34.495	0	0	0	0	0	0	8.567	27.7	4.913	34.495	nan	Open
P62826	3ch5	006	179-216	10-169	17.668	8.44	34.993	0	0	0	0	12.655	42.476	0	0	0	0	0	0	8.44	34.993	12.655	42.476	nan	Open
P62826	3ch5	000	179-216	10-169	19.746	7.184	45.757	0	0	0	0	4.977	53.228	0	0	0	0	0	0	7.184	45.757	4.977	53.228	nan	Open
P62826	3ch5	005	179-216	10-169	14.689	7.383	26.92	0	0	0	0	5.342	38.301	0	0	0	0	0	0	7.383	26.92	5.342	38.301	nan	Open
P62826	3ch5	U100-000	179-216	10-169	17.531	8.438	43.475	0	0	0	0	4.989	46.838	0	0	0	0	0	0	8.438	43.475	4.989	46.838	nan	Open
P62826	3ch5	004	179-216	10-169	11.247	6.662	25.751	0	0	0	0	4.954	28.402	0	0	0	0	0	0	6.662	25.751	4.954	28.402	nan	Open
P62826	3ch5	002	179-216	10-169	21.639	7.671	34.905	0	0	0	0	4.766	57.612	0	0	0	0	0	0	7.671	34.905	4.766	57.612	nan	Open
P62826	3ch5	009	179-216	10-169	9.675	7.32	19.881	0	0	0	0	5.355	23.052	0	0	0	0	0	0	7.32	19.881	5.355	23.052	nan	Open
P62826	3ch5	001	179-216	10-169	18.651	7.146	39.503	0	0	0	0	5.069	49.94	0	0	0	0	0	0	7.146	39.503	5.069	49.94	nan	Open
P62826	3ch5	007	179-216	10-169	17.037	7.177	27.761	0	0	0	0	5.705	43.877	0	0	0	0	0	0	7.177	27.761	5.705	43.877	nan	Open
P62826	3ch5	U10-000	179-216	10-169	21.08	7.125	50.147	0	0	0	0	5.025	56.965	0	0	0	0	0	0	7.125	50.147	5.025	56.965	nan	Open
P62826	3gj0	008	179-216	10-169	17.914	7.386	31.489	0	0	0	0	10.498	42.649	0	0	0	0	0	0	7.386	31.489	10.498	42.649	nan	Open
P62826	3gj0	003	179-216	10-169	13.499	8.785	28.174	0	0	0	0	4.817	35.085	0	0	0	0	0	0	8.785	28.174	4.817	35.085	nan	Open
P62826	3gj0	006	179-216	10-169	18.194	8.528	35.892	0	0	0	0	12.47	44.206	0	0	0	0	0	0	8.528	35.892	12.47	44.206	nan	Open
P62826	3gj0	000	179-216	10-169	20.347	7.257	47.591	0	0	0	0	4.8	54.829	0	0	0	0	0	0	7.257	47.591	4.8	54.829	nan	Open
P62826	3gj0	005	179-216	10-169	14.978	7.161	27.121	0	0	0	0	5.223	39.025	0	0	0	0	0	0	7.161	27.121	5.223	39.025	nan	Open
P62826	3gj0	U100-000	179-216	10-169	18.295	8.37	44.984	0	0	0	0	4.82	48.921	0	0	0	0	0	0	8.37	44.984	4.82	48.921	nan	Open
P62826	3gj0	004	179-216	10-169	11.574	6.981	26.895	0	0	0	0	4.831	29.375	0	0	0	0	0	0	6.981	26.895	4.831	29.375	nan	Open
P62826	3gj0	002	179-216	10-169	22.023	7.783	36.507	0	0	0	0	4.631	58.703	0	0	0	0	0	0	7.783	36.507	4.631	58.703	nan	Open
P62826	3gj0	009	179-216	10-169	10.004	7.709	20.689	0	0	0	0	5.229	24.067	0	0	0	0	0	0	7.709	20.689	5.229	24.067	nan	Open
P62826	3gj0	001	179-216	10-169	19.268	7.391	41.626	0	0	0	0	4.935	51.699	0	0	0	0	0	0	7.391	41.626	4.935	51.699	nan	Open
P62826	3gj0	007	179-216	10-169	17.217	6.869	27.851	0	0	0	0	5.609	44.393	0	0	0	0	0	0	6.869	27.851	5.609	44.393	nan	Open
P62826	3gj0	U10-000	179-216	10-169	21.726	7.323	52.288	0	0	0	0	4.872	58.686	0	0	0	0	0	0	7.323	52.288	4.872	58.686	nan	Open
P62826	3gj3	008	179-216	10-169	17.937	7.429	31.626	0	0	0	0	10.488	42.524	0	0	0	0	0	0	7.429	31.626	10.488	42.524	nan	Open
P62826	3gj3	003	179-216	10-169	13.496	8.921	28.452	0	0	0	0	4.804	34.923	0	0	0	0	0	0	8.921	28.452	4.804	34.923	nan	Open
P62826	3gj3	006	179-216	10-169	18.396	8.579	36.165	0	0	0	0	12.454	44.105	0	0	0	0	0	0	8.579	36.165	12.454	44.105	nan	Open
P62826	3gj3	000	179-216	10-169	20.448	7.323	47.532	0	0	0	0	4.788	54.791	0	0	0	0	0	0	7.323	47.532	4.788	54.791	nan	Open
P62826	3gj3	005	179-216	10-169	14.983	7.065	27.003	0	0	0	0	5.237	38.924	0	0	0	0	0	0	7.065	27.003	5.237	38.924	nan	Open
P62826	3gj3	U100-000	179-216	10-169	18.336	8.403	44.855	0	0	0	0	4.813	48.782	0	0	0	0	0	0	8.403	44.855	4.813	48.782	nan	Open
P62826	3gj3	004	179-216	10-169	11.464	7.007	27.133	0	0	0	0	4.825	28.973	0	0	0	0	0	0	7.007	27.133	4.825	28.973	nan	Open
P62826	3gj3	002	179-216	10-169	22.134	7.795	36.513	0	0	0	0	4.659	58.607	0	0	0	0	0	0	7.795	36.513	4.659	58.607	nan	Open
P62826	3gj3	009	179-216	10-169	9.919	8.389	21.784	0	0	0	0	5.225	23.83	0	0	0	0	0	0	8.389	21.784	5.225	23.83	nan	Open
P62826	3gj3	001	179-216	10-169	19.353	7.378	41.55	0	0	0	0	4.93	51.586	0	0	0	0	0	0	7.378	41.55	4.93	51.586	nan	Open
P62826	3gj3	007	179-216	10-169	17.25	6.907	28.022	0	0	0	0	5.609	44.231	0	0	0	0	0	0	6.907	28.022	5.609	44.231	nan	Open
P62826	3gj3	U10-000	179-216	10-169	21.867	7.355	52.089	0	0	0	0	4.851	58.718	0	0	0	0	0	0	7.355	52.089	4.851	58.718	nan	Open
P62826	3gj4	008	179-216	10-169	18.085	7.489	31.889	0	0	0	0	10.149	42.754	0	0	0	0	0	0	7.489	31.889	10.149	42.754	nan	Open
P62826	3gj4	003	179-216	10-169	13.686	8.988	28.683	0	0	0	0	4.558	35.099	0	0	0	0	0	0	8.988	28.683	4.558	35.099	nan	Open
P62826	3gj4	006	179-216	10-169	18.815	8.596	36.053	0	0	0	0	12.274	44.48	0	0	0	0	0	0	8.596	36.053	12.274	44.48	nan	Open
P62826	3gj4	000	179-216	10-169	21.042	7.333	48.121	0	0	0	0	4.554	55.547	0	0	0	0	0	0	7.333	48.121	4.554	55.547	nan	Open
P62826	3gj4	005	179-216	10-169	15.23	7.228	27.448	0	0	0	0	5.023	39.133	0	0	0	0	0	0	7.228	27.448	5.023	39.133	nan	Open
P62826	3gj4	U100-000	179-216	10-169	18.893	8.677	45.621	0	0	0	0	4.584	49.577	0	0	0	0	0	0	8.677	45.621	4.584	49.577	nan	Open
P62826	3gj4	004	179-216	10-169	11.684	6.992	27.046	0	0	0	0	4.614	29.394	0	0	0	0	0	0	6.992	27.046	4.614	29.394	nan	Open
