uniprot,region
Q96SE7,8-79
P37173,244-544
P23193,"3-80,140-256"
P12111,"39-213,242-419,445-620,639-816,837-1009,1029-1205,1233-1404,1436-1609,1639-1812,1838-2024,2038-2097,2104-2163,2174-2233,2249-2300,2314-2373,2402-2581,2619-2815,2991-3085,3112-3162"
P02749,"21-81,82-139,140-202,203-262"
Q8VDF2,"1-78,424-586"
P08253,"228-276,286-334,344-392"
P48059,"10-62,71-121,135-184,193-243,252-303"
Q8WTR7,6-75
K4LC41,"25-149,165-193,195-475,481-715,717-853,857-966,1110-1276,1278-1404,1404-1477,1482-1537,1552-1823,1837-1954,1967-2088,2634-2737,3151-3247,3248-3553,3846-3928,3929-4127,4128-4237,4238-4377"
Q9UKV5,456-498
P07204,"31-169,241-281,284-324,325-363,365-405,404-440,441-481"
O14763,339-422
Q8NHY6,"103-174,232-299"
Q62768,"1-97,672-796,1106-1249,1358-1525,1558-1685"
Q5JVG2,8-78
P04070,"43-88,97-132,136-176,212-450"
Q8IZQ1,"2531-2656,2683-2976"
P01133,"314-355,356-396,397-437,435-477,741-781,831-869,870-911,912-952,972-1013"
Q46877,"254-393,423-474"
Q14839,"494-594,622-697,738-922,1054-1203"
Q01705,"20-58,59-99,102-139,140-176,178-216,218-255,257-293,295-333,335-371,372-410,412-450,452-488,490-526,528-564,566-601,603-639,641-676,678-714,716-751,753-789,791-827,829-867,869-905,907-943,945-981,983-1019,1021-1057,1059-1095,1097-1143,1145-1181,1183-1219,1221-1265,1267-1305,1307-1346,1348-1384,1387-1426"
P48740,"20-138,139-182,185-297,299-364,365-434,449-696"
P00736,"18-141,142-190,193-305,307-373,374-449,464-702"
P00750,"39-81,82-120,127-208,215-296,311-561"
P10276,183-417
P45974,"326-856,654-695,722-762"
P09871,"16-130,131-172,175-290,292-356,357-423,438-680"
O95149,11-73
P13864,"16-109,758-884,976-1103,1142-1601"
P45697,21-83
P02760,"231-281,287-337"
P07996,"65-270,316-373,379-429,435-490,492-547,547-587,646-690,958-1170"
P01135,43-83
P02458,"32-90,1253-1487"
Q03405,"23-114,115-213,214-305"
Q99728,"560-653,667-777"
Q2MKA7,147-207
P36894,"204-233,234-525"
P47709,"40-157,382-504,540-673"
P06935,"1502-1679,1682-1838,1849-2014,2526-2791,3055-3207"
A1BBA0,73-186
Q15303,718-985
P29187,3-35
P24931,"1-146,153-191"
Q91H74,"1346-1475,1476-1653,1655-1811,1821-1988,2493-2755,3019-3168"
Q0PF16,283-497
P10826,183-417
Q66GI4,338-565
P14768,"27-128,183-212,281-607"
O00187,"16-137,138-181,184-296,298-363,364-432,445-684"
P04004,20-63
Q06455,120-215
P01589,"22-84,123-186"
Q96PU4,"1-78,448-612"
Q9Y2L8,"51-132,218-291"
O75151,197-353
P19438,356-441
P43354,360-595
Q9UJ41,232-375
O14944,64-104
P15207,651-882
P70662,336-375
P07174,354-419
P01132,"327-361,362-402,403-443,441-483,747-787,838-876,877-918,919-959,978-1019"
P28867,"1-106,347-601,602-673"
Q04759,"1-107,380-634,635-706"
P49916,933-1009
Q13263,697-801
P10646,"54-104,125-175,217-267"
P16581,"22-139,140-175,178-239,240-301,303-364,366-427,429-490,491-549"
O46162,"20-54,57-92"
Q13705,190-480
O43278,"57-140,250-300,334-370,391-441"
Q02297,"37-128,178-222"
P00743,"41-85,86-122,125-165,234-466"
P40343,"18-149,258-277,301-320"
Q5M7L6,144-204
P17927,"42-101,102-163,164-234,236-295,295-355,356-418,419-489,491-551,552-613,614-684,686-745,745-805,806-868,869-939,941-1001,1002-1063,1064-1134,1136-1195,1195-1255,1256-1318,1319-1389,1394-1454,1455-1516,1517-1587,1589-1648,1648-1708,1709-1771,1772-1842,1846-1906,1907-1967"
Q8TDZ2,"508-612,695-757,918-1067"
P20023,"21-84,89-148,152-212,213-273,274-344,349-408,409-468,469-524,525-595,600-659,660-716,717-781,786-845,849-909,910-970"
P19474,268-465
Q3E840,3-59
P80424,1-42
P41235,147-377
P10968,"27-68,69-111,112-154,155-197"
Q9NQ38,"28-66,91-153,155-216,219-285,291-352,361-423,431-489,490-551,561-622,626-688,701-757,768-830,843-905,910-971,987-1048"
P15529,"35-96,97-159,160-225,226-285"
Q13489,439-529
P32664,125-248
P06134,85-183
P16109,"58-158,159-195,198-259,260-321,322-383,384-445,446-507,508-569,570-631,640-701,702-763"
P31713,3-53
P27037,192-485
P01484,21-83
P80060,"20-54,57-92"
O14964,"15-143,258-277"
Q01974,"55-145,169-303,316-394,473-746"
Q01973,"42-147,165-299,312-391,473-746"
P20393,284-614
P0C1X2,33-83
A0A0A9P802,"38-80,81-123,124-166,168-208"
P00995,26-79
Q9NS91,248-282
Q9WUD1,227-301
Q9HBE1,41-130
P10969,"1-42,43-85,86-128,129-171"
P08622,3-72
P00269,1-52
P02468,"44-283,284-339,340-395,396-442,443-492,493-502,512-687,688-721,722-770,771-825,826-881,882-932,933-980,981-1028"
P15336,352-415
P17728,21-83
P22692,"23-103,171-249"
P02877,"18-60,68-189"
Q9UWP7,"2-132,137-170"
Q9X4D0,262-342
O15344,"320-379,381-484,482-659"
P67954,6-56
P27275,29-53
O95155,1227-1300
Q14192,"40-92,101-153,162-212,221-275"
P01495,17-82
Q8IYH5,647-707
Q7T1K6,"37-165,201-234"
P19398,5-60
P98155,"31-69,70-110,111-151,152-190,191-231,237-275,276-314,316-355,356-395,396-435,702-750"
Q90WA1,31-81
P16293,"1-47,48-84,85-126,183-409"
O43918,"1-105,181-280"
P25801,"30-89,94-153"
P21674,"30-103,94-117,112-166,167-190,186-241,244-268,264-318"
Q05158,"10-61,120-171"
P53671,"12-63,72-124,152-239,331-608"
Q06696,"7-96,255-288"
Q9JJS8,"20-137,138-181,184-296,298-363,364-431,444-683"
P00270,1-52
P01359,"27-71,77-120"
O60711,"150-208,209-267,268-326,327-386"
P17726,5-59
Q13261,31-95
P09486,"71-93,89-151,261-296"
Q7ZZM2,27-110
Q13642,"40-92,101-153,162-212"
P17252,"158-275,339-597,598-668"
P14151,"55-155,156-192,195-256,257-318"
Q9HCM9,319-514
P04170,1-45
P27038,192-485
Q07654,30-73
P04155,29-72
Q9P868,"21-60,71-106,118-153"
P24593,"23-103,189-263"
P25491,4-72
P30820,"23-168,169-202"
P83790,"1-42,43-82"
Q07008,"20-58,59-99,102-139,140-176,178-216,218-255,257-293,295-333,335-371,372-410,412-450,452-488,490-526,528-564,566-601,603-639,641-676,678-714,716-751,753-789,791-827,829-867,869-905,907-943,945-981,983-1019,1021-1057,1059-1095,1097-1143,1145-1181,1183-1219,1221-1265,1267-1305,1307-1346,1348-1384,1387-1426"
P58779,1-59
P20153,239-498
P11218,"24-64,69-111"
P24740,"501-570,624-814,1014-1137,1194-1344"
Q8TDY4,"302-394,426-551"
O95718,208-432
Q6H8Q1,"22-81,81-141,151-210,210-270,543-611"
Q13342,"22-138,580-661,796-829"
P08833,"26-107,173-251"
H8XX12,"1367-1496,1497-1674,1677-1833,1828-2007,2515-2779,3043-3193"
Q61097,563-833
P19957,69-117
Q9UJV3,"340-399,398-531,516-709"
P17347,"1-95,103-177"
Q9V099,1-52
P06681,"22-86,87-146,149-206,254-452,464-744"
Q08048,"38-124,129-207,212-289,306-384,392-470,496-724"
P70375,"42-86,87-123,128-169,194-433"
Q8BFU0,144-204
P34021,419-654
P38445,190-481
P82107,28-54
O75398,193-273
P10493,"106-268,384-424,428-665,666-707,708-749,756-799,800-838,844-917,1206-1242"
P56678,2-66
P80302,24-50
P81658,7-57
Q13643,"40-92,101-153,162-212,221-275"
G9I929,31-82
Q2LAE1,"974-1024,1026-1143,1151-1167"
Q969Q1,267-325
O00151,"3-85,258-317"
Q1H9T6,26-89
P15226,21-82
Q7KTX7,30-99
P35070,65-105
Q2I743,142-261
Q2I742,119-239
P50461,"10-61,120-171"
P27040,214-504
P22829,359-594
O70209,"1-84,244-303"
Q92995,"336-861,652-693,727-767"
P60277,2-64
Q8AVA3,"38-164,200-233"
P19880,64-127
P63319,"157-275,351-614,615-685"
P15412,1-52
P83597,4-41
P24592,"28-107,160-234"
P01493,20-85
P01492,20-85
P01491,20-84
Q96T51,139-271
P01003,"1-64,65-129,132-186"
P01001,24-80
P08900,1-66
Q9UIG0,"20-126,604-668,1356-1426"
P20155,30-84
Q9GQW3,21-83
P35456,"24-117,117-212,213-298"
P02784,"44-88,89-134"
Q9H0M4,317-383
P98162,28-71
Q9GV76,120-239
P06494,722-989
P41229,"14-55,79-169,468-634"
P18042,"533-602,656-846,1045-1168,1224-1375"
Q9Z0U4,"29-95,97-158"
P00741,"47-92,93-129,130-171,228-460"
P00979,7-57
O18973,233-376
Q92854,"22-500,502-551,554-636"
P05129,"157-275,351-614,615-685"
Q96NZ8,"26-79,108-159,186-279,299-351,359-409,409-540"
Q9NJC7,21-83
Q9ES54,226-363
Q06684,"1-50,51-103"
P34909,137-228
O00253,87-129
Q08605,34-99
Q6L4L4,12-46
C4B7M5,"5-146,170-421"
P46066,2-61
Q9V011,622-722
Q96HC4,"2-85,418-477,477-536,536-596"
Q15654,"279-316,339-398,399-467"
Q16760,"53-146,317-451,1145-1208"
O94929,"21-80,80-140,149-208,208-268,615-683"
Q04721,"26-63,64-102,105-143,144-180,182-219,221-258,260-296,298-336,338-374,375-413,415-454,456-492,494-530,532-568,570-605,607-643,645-680,682-718,720-755,757-793,795-831,833-871,873-909,911-947,949-985,987-1023,1025-1061,1063-1099,1101-1147,1149-1185,1187-1223,1225-1262,1264-1302,1304-1343,1374-1412"
P02876,"28-69,70-112,113-155,156-198"
P68436,6-56
P03973,"28-76,82-130"
G3V801,"85-157,166-267,273-373,386-487,517-760"
P56637,20-88
P17028,52-134
Q8JI39,"39-166,202-235"
Q99075,104-144
P17497,2-83
P68638,"20-83,84-145,146-203,204-263"
Q05655,"1-106,349-603,604-675"
O95628,109-189
P67966,"10-61,118-169"
P02820,52-98
Q9HTK8,1-54
P16589,1-55
Q8K0W9,4-60
Q922H1,214-528
A0A1S6EK91,21-63
P07851,5-60
I6YFL7,4-55
F6NGW2,207-281
O77091,20-83
P86405,21-85
P86408,21-83
P03081,12-75
I4E596,"2-117,241-275"
O43298,33-97
Q5TD97,"39-100,101-160,161-220,223-283"
Q8AVA4,"38-164,200-233"
Q9NP10,28-86
O61705,21-83
O43291,"38-88,133-183"
Q8WV44,413-630
P48307,"36-86,96-149,158-208"
P01494,20-85
P01487,2-64
Q90999,234-537
Q80TJ7,195-351
C0HK69,1-66
Q7SIG6,"308-400,424-546,896-958"
P84875,"4-54,56-106,115-165"
P85966,35-77
Q800Y1,53-93
P08045,1-58
Q9XG40,61-112
P60623,"31-159,195-228"
Q9BYV2,271-329
P18065,"38-134,224-306"
P10589,184-410
P58328,2-64
P45663,20-85
P54135,2-64
Q805F6,"198-394,402-483"
Q805F7,47-111
P25660,7-57
P0C6B5,1-63
P0C6B4,1-62
P59854,2-64
Q9H4T2,41-123
Q8R3P2,"7-97,98-174"
P00989,31-81
P00981,27-77
P00980,7-57
P29186,2-37
Q5ZPJ7,29-79
P63255,2-63
Q8VZ40,247-321
P63019,1-66
P58910,2-62
Q90WC0,"32-228,236-317"
P00998,3-56
Q9HLD9,"9-68,75-133,141-178"
P17789,33-98
P0DJ46,25-75
O61668,20-83
A0A1W6I1A1,"1355-1484,1485-1665,1669-1825,1820-1997,2507-2771,3035-3187"
Q960X8,"13-141,263-282"
P18619,"197-395,403-483"
Q8WQ22,"23-57,70-105,109-144"
O96790,"19-69,72-122,131-181,184-234,240-289,297-347"
P15358,"45-70,100-125"
P52757,"59-127,277-468"
P58062,26-85
P21859,1-70
P09981,2-66
Q9I704,"3-32,46-113"
Q8C9B9,667-787
Q60819,34-98
P00272,"2-53,119-170"
P51865,62-91
D3Z3C6,54-129
P80171,5-30
P60589,1-50
Q26292,22-82
Q95P16,"1-50,53-103,109-158,166-216"
Q8WPI2,"21-71,89-139"
Q9BT23,38-98
P83469,1-41
Q9Y2K6,"145-685,687-780,789-892"
Q9ULJ3,30-96
Q9UHB6,388-448
P83658,1-64
P37109,31-86
Q89632,37-116
O80763,"18-172,178-321,325-485"
P58488,2-64
P52943,"5-57,126-178"
P84755,2-50
Q6UW88,56-96
Q6UWN8,24-80
E1UYU0,"26-66,69-107"
Q92021,"21-75,413-609"
P56682,3-56
Q14139,987-1061
P36898,"174-203,204-494"
P68425,37-85
Q8TEY7,"185-715,717-810,818-921"
Q96FX2,4-60
Q8BW10,5-108
P46443,30-56
O94972,276-403
Q8WZ73,"101-120,250-264"
Q13075,464-758
C0HLB2,7-57
P56409,"1-53,61-116"
P87126,174-248
Q8HYY9,1-47
Q9U405,2-80
Q9AYP9,"45-86,87-127,128-168"
Q16938,13-77
Q14766,"187-219,399-431,557-609,626-663,677-729,873-910,915-956,957-997,998-1037,1038-1078,1079-1119,1120-1160,1161-1201,1202-1243,1244-1281,1286-1328,1347-1401,1424-1466,1467-1503,1524-1577,1621-1657,1662-1706"
O14011,1-71
Q680Q4,11-45
Q02111,"1-107,380-634,635-706"
Q74084,"391-406,413-428"
Q9HJ63,15-152
P91818,31-85
Q6B519,2-47
Q9GSQ9,"1-173,243-279,285-324"
P0C6U7,"54-196,216-246,250-514,524-713,733-851,853-966,1036-1274,1275-1435,1491-1563,1562-1617,1631-1892,1906-2007,2020-2169,2235-2296,2383-2750,3149-3246,3247-3549,3837-3925,3926-4122,4123-4232,4233-4370"
J9PBR9,7-111
Q031W6,"2-113,237-271"
Q4VVG2,61-76
A0A345FAI3,"1-223,299-335"
M9PB30,"129-167,168-211,212-249,255-293,298-337,338-372,413-456,457-496,497-540,580-618,664-708,709-753,829-869,872-915,916-959,1022-1065,1144-1184,1393-1432,1433-1472,1894-1930,2084-2121,2227-2268,2393-2433,2750-2790,8634-8672,8732-8771,8773-8809,8859-8897,8902-8941,8944-8981,9051-9090,9371-9410,9480-9518,9539-9573,9586-9623,9691-9729,9796-9834,9902-9941,10010-10048,10120-10158,10179-10213,10225-10264,10285-10322,10336-10374,10395-10432,10444-10484,10551-10590,10656-10694,10715-10752,10764-10802,10870-10909,10979-11017,11087-11125,11194-11233,11254-11291,11299-11337,11358-11395,11403-11441,11462-11499,11510-11543,11573-11608,11619-11657,11729-11767,11892-11929,11938-11976,12048-12086,12150-12189,12257-12295,12368-12406,12576-12614,12682-12720,12741-12778,12788-12827,12848-12885,12898-12936,12957-12991,13007-13045,13066-13100,13214-13252,13273-13310,13322-13360,13427-13466,13534-13572,13593-13628,13645-13683,13853-13891,13958-13996,14017-14054,14063-14102,14171-14209,14230-14267,14280-14318,14491-14529,14550-14587,14597-14635,14702-14741,14806-14844,14865-14899,14916-14954,14975-15012,15080-15117,15124-15162,15232-15270,15336-15375,15443-15481,15555-15593,15662-15698,15763-15801,15822-15859,15870-15908,15929-15966,15976-16015,16082-16120,16192-16230,16251-16288,16401-16439,16508-16546,16567-16604,16614-16653,16674-16711,16721-16759,16780-16817,16830-16868,17041-17079,17148-17186,17252-17291,17360-17398,17419-17456,17471-17509,17530-17567,17577-17613,17680-17718,17788-17826,17893-17932,17953-17990,18001-18039,18060-18097,18112-18150,18278-18315,18324-18362,18383-18420,18433-18471,18554-18593,18660-18698,19549-19587,19608-19645,19777-19815,19884-19922,19990-20029,20098-20136,20157-20194,20207-20245,20418-20456,20525-20563,20634-20674,20695-20732,20740-20777,20959-20998,21020-21059,21279-21318,21612-21650,21990-22029,22368-22411,22575-22817"
Q6NA67,3-102
A0A1S2XQ25,56-109
H7C0V9,"1-111,213-263,277-468"
Q8I1L1,"1008-1594,1664-1700,1707-1746"
Q9U966,"178-250,263-337,421-490,493-563,634-701,707-781,788-860,863-932"
Q9SYR5,"23-64,69-111"
Q9J188,15-30
Q75677,"14-29,36-51"
D0VWV9,"6-96,101-149"
V7BTW4,30-75
P05961,"514-583,637-827,1027-1150,1207-1357"
Q40128,28-73
A0A4V8H030,3-48
C4P582,59-127
A0A509GUM8,1-30
P68639,"20-83,84-145,146-203,204-263"
Q90248,28-84
Q25659,"1-226,297-332,339-378"
