gene_name	uniprot	protein_length	region_1	region_2	pdb	chain	af_filename	gt_fn
Nos1	P29476	1429.0	815-870	757-949	1qwc	A	F-P29476-F1-model_v3.cif	1qwc.cif
Nos1	P29476	1429.0	815-870	757-949	1rs6	A	F-P29476-F1-model_v3.cif	1rs6.cif
Nos1	P29476	1429.0	815-870	757-949	1rs7	A	F-P29476-F1-model_v3.cif	1rs7.cif
Nos1	P29476	1429.0	815-870	757-949	1tll	A	F-P29476-F1-model_v3.cif	1tll.cif
Nos1	P29476	1429.0	815-870	757-949	1vag	A	F-P29476-F1-model_v3.cif	1vag.cif
Nos1	P29476	1429.0	815-870	757-949	1zvi	A	F-P29476-F1-model_v3.cif	1zvi.cif
Nos1	P29476	1429.0	815-870	757-949	1zvl	A	F-P29476-F1-model_v3.cif	1zvl.cif
Nos1	P29476	1429.0	815-870	757-949	1zzq	A	F-P29476-F1-model_v3.cif	1zzq.cif
Nos1	P29476	1429.0	815-870	757-949	1zzr	A	F-P29476-F1-model_v3.cif	1zzr.cif
Nos1	P29476	1429.0	815-870	757-949	1zzu	A	F-P29476-F1-model_v3.cif	1zzu.cif
Nos1	P29476	1429.0	815-870	757-949	2g6h	A	F-P29476-F1-model_v3.cif	2g6h.cif
Nos1	P29476	1429.0	815-870	757-949	2g6i	A	F-P29476-F1-model_v3.cif	2g6i.cif
Nos1	P29476	1429.0	815-870	757-949	2g6j	A	F-P29476-F1-model_v3.cif	2g6j.cif
Nos1	P29476	1429.0	815-870	757-949	2g6k	A	F-P29476-F1-model_v3.cif	2g6k.cif
Nos1	P29476	1429.0	815-870	757-949	2g6l	A	F-P29476-F1-model_v3.cif	2g6l.cif
Nos1	P29476	1429.0	815-870	757-949	2g6m	A	F-P29476-F1-model_v3.cif	2g6m.cif
Nos1	P29476	1429.0	815-870	757-949	2g6n	A	F-P29476-F1-model_v3.cif	2g6n.cif
Nos1	P29476	1429.0	815-870	757-949	2hx3	A	F-P29476-F1-model_v3.cif	2hx3.cif
Nos1	P29476	1429.0	815-870	757-949	2hx4	A	F-P29476-F1-model_v3.cif	2hx4.cif
Nos1	P29476	1429.0	815-870	757-949	3b3m	A	F-P29476-F1-model_v3.cif	3b3m.cif
Nos1	P29476	1429.0	815-870	757-949	3b3n	A	F-P29476-F1-model_v3.cif	3b3n.cif
Nos1	P29476	1429.0	815-870	757-949	3b3o	A	F-P29476-F1-model_v3.cif	3b3o.cif
Nos1	P29476	1429.0	815-870	757-949	3b3p	A	F-P29476-F1-model_v3.cif	3b3p.cif
Nos1	P29476	1429.0	815-870	757-949	3dqr	A	F-P29476-F1-model_v3.cif	3dqr.cif
Nos1	P29476	1429.0	815-870	757-949	3fc5	A	F-P29476-F1-model_v3.cif	3fc5.cif
Nos1	P29476	1429.0	815-870	757-949	3hsn	A	F-P29476-F1-model_v3.cif	3hsn.cif
Nos1	P29476	1429.0	815-870	757-949	3hso	A	F-P29476-F1-model_v3.cif	3hso.cif
Nos1	P29476	1429.0	815-870	757-949	3hsp	A	F-P29476-F1-model_v3.cif	3hsp.cif
Nos1	P29476	1429.0	815-870	757-949	3jt3	A	F-P29476-F1-model_v3.cif	3jt3.cif
Nos1	P29476	1429.0	815-870	757-949	3jt4	A	F-P29476-F1-model_v3.cif	3jt4.cif
Nos1	P29476	1429.0	815-870	757-949	3jt5	A	F-P29476-F1-model_v3.cif	3jt5.cif
Nos1	P29476	1429.0	815-870	757-949	3jt6	A	F-P29476-F1-model_v3.cif	3jt6.cif
Nos1	P29476	1429.0	815-870	757-949	3jt7	A	F-P29476-F1-model_v3.cif	3jt7.cif
Nos1	P29476	1429.0	815-870	757-949	3jt8	A	F-P29476-F1-model_v3.cif	3jt8.cif
Nos1	P29476	1429.0	815-870	757-949	3jt9	A	F-P29476-F1-model_v3.cif	3jt9.cif
Nos1	P29476	1429.0	815-870	757-949	3jta	A	F-P29476-F1-model_v3.cif	3jta.cif
Nos1	P29476	1429.0	815-870	757-949	3jws	A	F-P29476-F1-model_v3.cif	3jws.cif
Nos1	P29476	1429.0	815-870	757-949	3jwt	A	F-P29476-F1-model_v3.cif	3jwt.cif
Nos1	P29476	1429.0	815-870	757-949	3jwu	A	F-P29476-F1-model_v3.cif	3jwu.cif
Nos1	P29476	1429.0	815-870	757-949	3jwv	A	F-P29476-F1-model_v3.cif	3jwv.cif
Nos1	P29476	1429.0	815-870	757-949	3jx0	A	F-P29476-F1-model_v3.cif	3jx0.cif
Nos1	P29476	1429.0	815-870	757-949	3jx1	A	F-P29476-F1-model_v3.cif	3jx1.cif
Nos1	P29476	1429.0	815-870	757-949	3jx2	A	F-P29476-F1-model_v3.cif	3jx2.cif
Nos1	P29476	1429.0	815-870	757-949	3jx3	A	F-P29476-F1-model_v3.cif	3jx3.cif
Nos1	P29476	1429.0	815-870	757-949	3jx4	A	F-P29476-F1-model_v3.cif	3jx4.cif
Nos1	P29476	1429.0	815-870	757-949	3jx5	A	F-P29476-F1-model_v3.cif	3jx5.cif
Nos1	P29476	1429.0	815-870	757-949	3jx6	A	F-P29476-F1-model_v3.cif	3jx6.cif
Nos1	P29476	1429.0	815-870	757-949	3n2r	A	F-P29476-F1-model_v3.cif	3n2r.cif
Nos1	P29476	1429.0	815-870	757-949	3n5v	A	F-P29476-F1-model_v3.cif	3n5v.cif
Nos1	P29476	1429.0	815-870	757-949	3n5w	A	F-P29476-F1-model_v3.cif	3n5w.cif
Nos1	P29476	1429.0	815-870	757-949	3n5x	A	F-P29476-F1-model_v3.cif	3n5x.cif
Nos1	P29476	1429.0	815-870	757-949	3n5y	A	F-P29476-F1-model_v3.cif	3n5y.cif
Nos1	P29476	1429.0	815-870	757-949	3n5z	A	F-P29476-F1-model_v3.cif	3n5z.cif
Nos1	P29476	1429.0	815-870	757-949	3n60	A	F-P29476-F1-model_v3.cif	3n60.cif
Nos1	P29476	1429.0	815-870	757-949	3n61	A	F-P29476-F1-model_v3.cif	3n61.cif
Nos1	P29476	1429.0	815-870	757-949	3n62	A	F-P29476-F1-model_v3.cif	3n62.cif
Nos1	P29476	1429.0	815-870	757-949	3n63	A	F-P29476-F1-model_v3.cif	3n63.cif
Nos1	P29476	1429.0	815-870	757-949	3n64	A	F-P29476-F1-model_v3.cif	3n64.cif
Nos1	P29476	1429.0	815-870	757-949	3n65	A	F-P29476-F1-model_v3.cif	3n65.cif
Nos1	P29476	1429.0	815-870	757-949	3n66	A	F-P29476-F1-model_v3.cif	3n66.cif
Nos1	P29476	1429.0	815-870	757-949	3n67	A	F-P29476-F1-model_v3.cif	3n67.cif
Nos1	P29476	1429.0	815-870	757-949	3n68	A	F-P29476-F1-model_v3.cif	3n68.cif
Nos1	P29476	1429.0	815-870	757-949	3n69	A	F-P29476-F1-model_v3.cif	3n69.cif
Nos1	P29476	1429.0	815-870	757-949	3n6a	A	F-P29476-F1-model_v3.cif	3n6a.cif
Nos1	P29476	1429.0	815-870	757-949	3n6b	A	F-P29476-F1-model_v3.cif	3n6b.cif
Nos1	P29476	1429.0	815-870	757-949	3n6c	A	F-P29476-F1-model_v3.cif	3n6c.cif
Nos1	P29476	1429.0	815-870	757-949	3n6d	A	F-P29476-F1-model_v3.cif	3n6d.cif
Nos1	P29476	1429.0	815-870	757-949	3n6e	A	F-P29476-F1-model_v3.cif	3n6e.cif
Nos1	P29476	1429.0	815-870	757-949	3n6f	A	F-P29476-F1-model_v3.cif	3n6f.cif
Nos1	P29476	1429.0	815-870	757-949	3n6g	A	F-P29476-F1-model_v3.cif	3n6g.cif
Nos1	P29476	1429.0	815-870	757-949	3nlj	A	F-P29476-F1-model_v3.cif	3nlj.cif
Nos1	P29476	1429.0	815-870	757-949	3nlk	A	F-P29476-F1-model_v3.cif	3nlk.cif
Nos1	P29476	1429.0	815-870	757-949	3nlm	A	F-P29476-F1-model_v3.cif	3nlm.cif
Nos1	P29476	1429.0	815-870	757-949	3nln	A	F-P29476-F1-model_v3.cif	3nln.cif
Nos1	P29476	1429.0	815-870	757-949	3nlo	A	F-P29476-F1-model_v3.cif	3nlo.cif
Nos1	P29476	1429.0	815-870	757-949	3nlp	A	F-P29476-F1-model_v3.cif	3nlp.cif
Nos1	P29476	1429.0	815-870	757-949	3nlq	A	F-P29476-F1-model_v3.cif	3nlq.cif
Nos1	P29476	1429.0	815-870	757-949	3nlr	A	F-P29476-F1-model_v3.cif	3nlr.cif
Nos1	P29476	1429.0	815-870	757-949	3nlv	A	F-P29476-F1-model_v3.cif	3nlv.cif
Nos1	P29476	1429.0	815-870	757-949	3nlw	A	F-P29476-F1-model_v3.cif	3nlw.cif
Nos1	P29476	1429.0	815-870	757-949	3nlx	A	F-P29476-F1-model_v3.cif	3nlx.cif
Nos1	P29476	1429.0	815-870	757-949	3nly	A	F-P29476-F1-model_v3.cif	3nly.cif
Nos1	P29476	1429.0	815-870	757-949	3nlz	A	F-P29476-F1-model_v3.cif	3nlz.cif
Nos1	P29476	1429.0	815-870	757-949	3nm0	A	F-P29476-F1-model_v3.cif	3nm0.cif
Nos1	P29476	1429.0	815-870	757-949	3nny	A	F-P29476-F1-model_v3.cif	3nny.cif
Nos1	P29476	1429.0	815-870	757-949	3nnz	A	F-P29476-F1-model_v3.cif	3nnz.cif
Nos1	P29476	1429.0	815-870	757-949	3pne	A	F-P29476-F1-model_v3.cif	3pne.cif
Nos1	P29476	1429.0	815-870	757-949	3pnf	A	F-P29476-F1-model_v3.cif	3pnf.cif
Nos1	P29476	1429.0	815-870	757-949	3png	A	F-P29476-F1-model_v3.cif	3png.cif
Nos1	P29476	1429.0	815-870	757-949	3q99	A	F-P29476-F1-model_v3.cif	3q99.cif
Nos1	P29476	1429.0	815-870	757-949	3q9a	A	F-P29476-F1-model_v3.cif	3q9a.cif
Nos1	P29476	1429.0	815-870	757-949	3rqj	A	F-P29476-F1-model_v3.cif	3rqj.cif
Nos1	P29476	1429.0	815-870	757-949	3rqk	A	F-P29476-F1-model_v3.cif	3rqk.cif
Nos1	P29476	1429.0	815-870	757-949	3rql	A	F-P29476-F1-model_v3.cif	3rql.cif
Nos1	P29476	1429.0	815-870	757-949	3rqm	A	F-P29476-F1-model_v3.cif	3rqm.cif
Nos1	P29476	1429.0	815-870	757-949	3rqn	A	F-P29476-F1-model_v3.cif	3rqn.cif
Nos1	P29476	1429.0	815-870	757-949	3svp	A	F-P29476-F1-model_v3.cif	3svp.cif
Nos1	P29476	1429.0	815-870	757-949	3svq	A	F-P29476-F1-model_v3.cif	3svq.cif
Nos1	P29476	1429.0	815-870	757-949	3tyl	A	F-P29476-F1-model_v3.cif	3tyl.cif
Nos1	P29476	1429.0	815-870	757-949	3tym	A	F-P29476-F1-model_v3.cif	3tym.cif
Nos1	P29476	1429.0	815-870	757-949	3tyn	A	F-P29476-F1-model_v3.cif	3tyn.cif
Nos1	P29476	1429.0	815-870	757-949	3tyo	A	F-P29476-F1-model_v3.cif	3tyo.cif
Nos1	P29476	1429.0	815-870	757-949	3ufo	A	F-P29476-F1-model_v3.cif	3ufo.cif
Nos1	P29476	1429.0	815-870	757-949	3ufp	A	F-P29476-F1-model_v3.cif	3ufp.cif
Nos1	P29476	1429.0	815-870	757-949	3ufq	A	F-P29476-F1-model_v3.cif	3ufq.cif
Nos1	P29476	1429.0	815-870	757-949	3ufr	A	F-P29476-F1-model_v3.cif	3ufr.cif
Nos1	P29476	1429.0	815-870	757-949	3ufs	A	F-P29476-F1-model_v3.cif	3ufs.cif
Nos1	P29476	1429.0	815-870	757-949	3uft	A	F-P29476-F1-model_v3.cif	3uft.cif
Nos1	P29476	1429.0	815-870	757-949	3ufu	A	F-P29476-F1-model_v3.cif	3ufu.cif
Nos1	P29476	1429.0	815-870	757-949	3ufv	A	F-P29476-F1-model_v3.cif	3ufv.cif
Nos1	P29476	1429.0	815-870	757-949	3ufw	A	F-P29476-F1-model_v3.cif	3ufw.cif
Nos1	P29476	1429.0	815-870	757-949	4c39	A	F-P29476-F1-model_v3.cif	4c39.cif
Nos1	P29476	1429.0	815-870	757-949	4cam	A	F-P29476-F1-model_v3.cif	4cam.cif
Nos1	P29476	1429.0	815-870	757-949	4can	A	F-P29476-F1-model_v3.cif	4can.cif
Nos1	P29476	1429.0	815-870	757-949	4cao	A	F-P29476-F1-model_v3.cif	4cao.cif
Nos1	P29476	1429.0	815-870	757-949	4cap	A	F-P29476-F1-model_v3.cif	4cap.cif
Nos1	P29476	1429.0	815-870	757-949	4caq	A	F-P29476-F1-model_v3.cif	4caq.cif
Nos1	P29476	1429.0	815-870	757-949	4cdt	A	F-P29476-F1-model_v3.cif	4cdt.cif
Nos1	P29476	1429.0	815-870	757-949	4ctp	A	F-P29476-F1-model_v3.cif	4ctp.cif
Nos1	P29476	1429.0	815-870	757-949	4ctq	A	F-P29476-F1-model_v3.cif	4ctq.cif
Nos1	P29476	1429.0	815-870	757-949	4ctr	A	F-P29476-F1-model_v3.cif	4ctr.cif
Nos1	P29476	1429.0	815-870	757-949	4ctt	A	F-P29476-F1-model_v3.cif	4ctt.cif
Nos1	P29476	1429.0	815-870	757-949	4ctu	A	F-P29476-F1-model_v3.cif	4ctu.cif
Nos1	P29476	1429.0	815-870	757-949	4ctv	A	F-P29476-F1-model_v3.cif	4ctv.cif
Nos1	P29476	1429.0	815-870	757-949	4ctw	A	F-P29476-F1-model_v3.cif	4ctw.cif
Nos1	P29476	1429.0	815-870	757-949	4ctx	A	F-P29476-F1-model_v3.cif	4ctx.cif
Nos1	P29476	1429.0	815-870	757-949	4cx3	A	F-P29476-F1-model_v3.cif	4cx3.cif
Nos1	P29476	1429.0	815-870	757-949	4cx4	A	F-P29476-F1-model_v3.cif	4cx4.cif
Nos1	P29476	1429.0	815-870	757-949	4cx5	A	F-P29476-F1-model_v3.cif	4cx5.cif
Nos1	P29476	1429.0	815-870	757-949	4cx6	A	F-P29476-F1-model_v3.cif	4cx6.cif
Nos1	P29476	1429.0	815-870	757-949	4d2y	A	F-P29476-F1-model_v3.cif	4d2y.cif
Nos1	P29476	1429.0	815-870	757-949	4d2z	A	F-P29476-F1-model_v3.cif	4d2z.cif
Nos1	P29476	1429.0	815-870	757-949	4d30	A	F-P29476-F1-model_v3.cif	4d30.cif
Nos1	P29476	1429.0	815-870	757-949	4d31	A	F-P29476-F1-model_v3.cif	4d31.cif
Nos1	P29476	1429.0	815-870	757-949	4d32	A	F-P29476-F1-model_v3.cif	4d32.cif
Nos1	P29476	1429.0	815-870	757-949	4d3b	A	F-P29476-F1-model_v3.cif	4d3b.cif
Nos1	P29476	1429.0	815-870	757-949	4d7o	A	F-P29476-F1-model_v3.cif	4d7o.cif
Nos1	P29476	1429.0	815-870	757-949	4eux	A	F-P29476-F1-model_v3.cif	4eux.cif
Nos1	P29476	1429.0	815-870	757-949	4fvw	A	F-P29476-F1-model_v3.cif	4fvw.cif
Nos1	P29476	1429.0	815-870	757-949	4fvx	A	F-P29476-F1-model_v3.cif	4fvx.cif
Nos1	P29476	1429.0	815-870	757-949	4fvy	A	F-P29476-F1-model_v3.cif	4fvy.cif
Nos1	P29476	1429.0	815-870	757-949	4fvz	A	F-P29476-F1-model_v3.cif	4fvz.cif
Nos1	P29476	1429.0	815-870	757-949	4fw0	A	F-P29476-F1-model_v3.cif	4fw0.cif
Nos1	P29476	1429.0	815-870	757-949	4gqe	A	F-P29476-F1-model_v3.cif	4gqe.cif
Nos1	P29476	1429.0	815-870	757-949	4hop	B	F-P29476-F1-model_v3.cif	4hop.cif
Nos1	P29476	1429.0	815-870	757-949	4ims	A	F-P29476-F1-model_v3.cif	4ims.cif
Nos1	P29476	1429.0	815-870	757-949	4imt	A	F-P29476-F1-model_v3.cif	4imt.cif
Nos1	P29476	1429.0	815-870	757-949	4imu	A	F-P29476-F1-model_v3.cif	4imu.cif
Nos1	P29476	1429.0	815-870	757-949	4imw	A	F-P29476-F1-model_v3.cif	4imw.cif
Nos1	P29476	1429.0	815-870	757-949	4jse	A	F-P29476-F1-model_v3.cif	4jse.cif
Nos1	P29476	1429.0	815-870	757-949	4jsf	A	F-P29476-F1-model_v3.cif	4jsf.cif
Nos1	P29476	1429.0	815-870	757-949	4jsg	A	F-P29476-F1-model_v3.cif	4jsg.cif
Nos1	P29476	1429.0	815-870	757-949	4jsh	A	F-P29476-F1-model_v3.cif	4jsh.cif
Nos1	P29476	1429.0	815-870	757-949	4jsi	A	F-P29476-F1-model_v3.cif	4jsi.cif
Nos1	P29476	1429.0	815-870	757-949	4jsj	A	F-P29476-F1-model_v3.cif	4jsj.cif
Nos1	P29476	1429.0	815-870	757-949	4k5d	A	F-P29476-F1-model_v3.cif	4k5d.cif
Nos1	P29476	1429.0	815-870	757-949	4k5e	A	F-P29476-F1-model_v3.cif	4k5e.cif
Nos1	P29476	1429.0	815-870	757-949	4k5f	A	F-P29476-F1-model_v3.cif	4k5f.cif
Nos1	P29476	1429.0	815-870	757-949	4k5g	A	F-P29476-F1-model_v3.cif	4k5g.cif
Nos1	P29476	1429.0	815-870	757-949	4kch	A	F-P29476-F1-model_v3.cif	4kch.cif
Nos1	P29476	1429.0	815-870	757-949	4kci	A	F-P29476-F1-model_v3.cif	4kci.cif
Nos1	P29476	1429.0	815-870	757-949	4kcj	A	F-P29476-F1-model_v3.cif	4kcj.cif
Nos1	P29476	1429.0	815-870	757-949	4kck	A	F-P29476-F1-model_v3.cif	4kck.cif
Nos1	P29476	1429.0	815-870	757-949	4kcl	A	F-P29476-F1-model_v3.cif	4kcl.cif
Nos1	P29476	1429.0	815-870	757-949	4kcm	A	F-P29476-F1-model_v3.cif	4kcm.cif
Nos1	P29476	1429.0	815-870	757-949	4kcn	A	F-P29476-F1-model_v3.cif	4kcn.cif
Nos1	P29476	1429.0	815-870	757-949	4kco	A	F-P29476-F1-model_v3.cif	4kco.cif
Nos1	P29476	1429.0	815-870	757-949	4lux	A	F-P29476-F1-model_v3.cif	4lux.cif
Nos1	P29476	1429.0	815-870	757-949	4ugz	A	F-P29476-F1-model_v3.cif	4ugz.cif
Nos1	P29476	1429.0	815-870	757-949	4uh0	A	F-P29476-F1-model_v3.cif	4uh0.cif
Nos1	P29476	1429.0	815-870	757-949	4uh1	A	F-P29476-F1-model_v3.cif	4uh1.cif
Nos1	P29476	1429.0	815-870	757-949	4uh2	A	F-P29476-F1-model_v3.cif	4uh2.cif
Nos1	P29476	1429.0	815-870	757-949	4uh3	A	F-P29476-F1-model_v3.cif	4uh3.cif
Nos1	P29476	1429.0	815-870	757-949	4uh4	A	F-P29476-F1-model_v3.cif	4uh4.cif
Nos1	P29476	1429.0	815-870	757-949	4upm	A	F-P29476-F1-model_v3.cif	4upm.cif
Nos1	P29476	1429.0	815-870	757-949	4upn	A	F-P29476-F1-model_v3.cif	4upn.cif
Nos1	P29476	1429.0	815-870	757-949	4upo	A	F-P29476-F1-model_v3.cif	4upo.cif
Nos1	P29476	1429.0	815-870	757-949	4upp	A	F-P29476-F1-model_v3.cif	4upp.cif
Nos1	P29476	1429.0	815-870	757-949	4v3v	A	F-P29476-F1-model_v3.cif	4v3v.cif
Nos1	P29476	1429.0	815-870	757-949	4v3w	A	F-P29476-F1-model_v3.cif	4v3w.cif
Nos1	P29476	1429.0	815-870	757-949	4v3x	A	F-P29476-F1-model_v3.cif	4v3x.cif
Nos1	P29476	1429.0	815-870	757-949	4v3y	A	F-P29476-F1-model_v3.cif	4v3y.cif
Nos1	P29476	1429.0	815-870	757-949	4v3z	A	F-P29476-F1-model_v3.cif	4v3z.cif
Nos1	P29476	1429.0	815-870	757-949	5ad4	A	F-P29476-F1-model_v3.cif	5ad4.cif
Nos1	P29476	1429.0	815-870	757-949	5ad5	A	F-P29476-F1-model_v3.cif	5ad5.cif
Nos1	P29476	1429.0	815-870	757-949	5ad6	A	F-P29476-F1-model_v3.cif	5ad6.cif
Nos1	P29476	1429.0	815-870	757-949	5ad7	A	F-P29476-F1-model_v3.cif	5ad7.cif
Nos1	P29476	1429.0	815-870	757-949	5ad8	A	F-P29476-F1-model_v3.cif	5ad8.cif
Nos1	P29476	1429.0	815-870	757-949	5ad9	A	F-P29476-F1-model_v3.cif	5ad9.cif
Nos1	P29476	1429.0	815-870	757-949	5ada	A	F-P29476-F1-model_v3.cif	5ada.cif
Nos1	P29476	1429.0	815-870	757-949	5adb	A	F-P29476-F1-model_v3.cif	5adb.cif
Nos1	P29476	1429.0	815-870	757-949	5adc	A	F-P29476-F1-model_v3.cif	5adc.cif
Nos1	P29476	1429.0	815-870	757-949	5add	A	F-P29476-F1-model_v3.cif	5add.cif
Nos1	P29476	1429.0	815-870	757-949	5ade	A	F-P29476-F1-model_v3.cif	5ade.cif
Nos1	P29476	1429.0	815-870	757-949	5agk	A	F-P29476-F1-model_v3.cif	5agk.cif
Nos1	P29476	1429.0	815-870	757-949	5agl	A	F-P29476-F1-model_v3.cif	5agl.cif
Nos1	P29476	1429.0	815-870	757-949	5agm	A	F-P29476-F1-model_v3.cif	5agm.cif
Nos1	P29476	1429.0	815-870	757-949	5agn	A	F-P29476-F1-model_v3.cif	5agn.cif
Nos1	P29476	1429.0	815-870	757-949	5ago	A	F-P29476-F1-model_v3.cif	5ago.cif
Nos1	P29476	1429.0	815-870	757-949	5agp	A	F-P29476-F1-model_v3.cif	5agp.cif
Nos1	P29476	1429.0	815-870	757-949	5fvo	A	F-P29476-F1-model_v3.cif	5fvo.cif
Nos1	P29476	1429.0	815-870	757-949	5fvp	A	F-P29476-F1-model_v3.cif	5fvp.cif
Nos1	P29476	1429.0	815-870	757-949	5fvq	A	F-P29476-F1-model_v3.cif	5fvq.cif
Nos1	P29476	1429.0	815-870	757-949	5fvr	A	F-P29476-F1-model_v3.cif	5fvr.cif
Nos1	P29476	1429.0	815-870	757-949	5fvs	A	F-P29476-F1-model_v3.cif	5fvs.cif
Nos1	P29476	1429.0	815-870	757-949	5fvt	A	F-P29476-F1-model_v3.cif	5fvt.cif
Nos1	P29476	1429.0	815-870	757-949	5fw0	A	F-P29476-F1-model_v3.cif	5fw0.cif
Nos1	P29476	1429.0	815-870	757-949	5g0n	A	F-P29476-F1-model_v3.cif	5g0n.cif
Nos1	P29476	1429.0	815-870	757-949	5g0o	A	F-P29476-F1-model_v3.cif	5g0o.cif
Nos1	P29476	1429.0	815-870	757-949	5g0p	A	F-P29476-F1-model_v3.cif	5g0p.cif
Nos1	P29476	1429.0	815-870	757-949	5unr	A	F-P29476-F1-model_v3.cif	5unr.cif
Nos1	P29476	1429.0	815-870	757-949	5uns	A	F-P29476-F1-model_v3.cif	5uns.cif
Nos1	P29476	1429.0	815-870	757-949	5unt	A	F-P29476-F1-model_v3.cif	5unt.cif
Nos1	P29476	1429.0	815-870	757-949	5unu	A	F-P29476-F1-model_v3.cif	5unu.cif
Nos1	P29476	1429.0	815-870	757-949	5unv	A	F-P29476-F1-model_v3.cif	5unv.cif
Nos1	P29476	1429.0	815-870	757-949	5unw	A	F-P29476-F1-model_v3.cif	5unw.cif
Nos1	P29476	1429.0	815-870	757-949	5unx	A	F-P29476-F1-model_v3.cif	5unx.cif
Nos1	P29476	1429.0	815-870	757-949	5uny	A	F-P29476-F1-model_v3.cif	5uny.cif
Nos1	P29476	1429.0	815-870	757-949	5unz	A	F-P29476-F1-model_v3.cif	5unz.cif
Nos1	P29476	1429.0	815-870	757-949	5uo0	A	F-P29476-F1-model_v3.cif	5uo0.cif
Nos1	P29476	1429.0	815-870	757-949	5vui	A	F-P29476-F1-model_v3.cif	5vui.cif
Nos1	P29476	1429.0	815-870	757-949	5vuj	A	F-P29476-F1-model_v3.cif	5vuj.cif
Nos1	P29476	1429.0	815-870	757-949	5vuk	A	F-P29476-F1-model_v3.cif	5vuk.cif
Nos1	P29476	1429.0	815-870	757-949	5vul	A	F-P29476-F1-model_v3.cif	5vul.cif
Nos1	P29476	1429.0	815-870	757-949	5vum	A	F-P29476-F1-model_v3.cif	5vum.cif
Nos1	P29476	1429.0	815-870	757-949	5vun	A	F-P29476-F1-model_v3.cif	5vun.cif
Nos1	P29476	1429.0	815-870	757-949	5vuo	A	F-P29476-F1-model_v3.cif	5vuo.cif
Nos1	P29476	1429.0	815-870	757-949	5vup	A	F-P29476-F1-model_v3.cif	5vup.cif
Nos1	P29476	1429.0	815-870	757-949	5vuq	A	F-P29476-F1-model_v3.cif	5vuq.cif
Nos1	P29476	1429.0	815-870	757-949	5vur	A	F-P29476-F1-model_v3.cif	5vur.cif
Nos1	P29476	1429.0	815-870	757-949	5vus	A	F-P29476-F1-model_v3.cif	5vus.cif
Nos1	P29476	1429.0	815-870	757-949	5vut	A	F-P29476-F1-model_v3.cif	5vut.cif
Nos1	P29476	1429.0	815-870	757-949	5vuu	A	F-P29476-F1-model_v3.cif	5vuu.cif
Nos1	P29476	1429.0	815-870	757-949	6auq	A	F-P29476-F1-model_v3.cif	6auq.cif
Nos1	P29476	1429.0	815-870	757-949	6aur	A	F-P29476-F1-model_v3.cif	6aur.cif
Nos1	P29476	1429.0	815-870	757-949	6aus	A	F-P29476-F1-model_v3.cif	6aus.cif
Nos1	P29476	1429.0	815-870	757-949	6aut	A	F-P29476-F1-model_v3.cif	6aut.cif
Nos1	P29476	1429.0	815-870	757-949	6auu	A	F-P29476-F1-model_v3.cif	6auu.cif
Nos1	P29476	1429.0	815-870	757-949	6auv	A	F-P29476-F1-model_v3.cif	6auv.cif
Nos1	P29476	1429.0	815-870	757-949	6auw	A	F-P29476-F1-model_v3.cif	6auw.cif
