uniprot	region_1	region_2	mean_pae_1_1	mean_pae_1_2	mean_pae_2_2	af_filename	cluster	cf_filename	complex_mean_plddt	r1_mean_plddt	r2_mean_plddt
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	088	Q72AS4_088_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	53.588	61.575	32.185
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	132	Q72AS4_132_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	52.789	62.382	34.766
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	U100-008	Q72AS4_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	92.439	95.517	92.841
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	062	Q72AS4_062_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	49.127	59.726	34.504
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	004	Q72AS4_004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	50.034	60.463	28.737
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	159	Q72AS4_159_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	59.71	71.534	32.805
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	015	Q72AS4_015_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	53.603	66.151	28.751
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	U10-002	Q72AS4_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	75.05	81.288	70.37
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	123	Q72AS4_123_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	61.562	77.318	35.76
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	081	Q72AS4_081_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	53.121	61.306	30.787
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	127	Q72AS4_127_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	55.237	64.7	33.982
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	198	Q72AS4_198_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	52.577	64.696	27.778
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	110	Q72AS4_110_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	68.705	75.283	60.847
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	101	Q72AS4_101_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	51.178	61.497	33.087
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	037	Q72AS4_037_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	60.186	71.219	35.075
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	085	Q72AS4_085_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	44.246	54.51	31.11
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	049	Q72AS4_049_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	48.96	59.487	33.131
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	099	Q72AS4_099_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	54.06	65.511	34.104
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	022	Q72AS4_022_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	86.974	89.305	80.964
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	094	Q72AS4_094_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	69.927	87.588	41.165
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	136	Q72AS4_136_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	59.37	70.122	35.747
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	U100-005	Q72AS4_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	89.997	95.707	93.427
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	000	Q72AS4_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	53.598	65.164	32.04
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	011	Q72AS4_011_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	48.287	57.304	28.917
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	077	Q72AS4_077_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	61.971	79.165	31.593
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	U10-006	Q72AS4_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	73.509	83.072	61.151
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	U100-001	Q72AS4_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	89.372	95.165	93.254
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	114	Q72AS4_114_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	52.288	63.158	29.793
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	009	Q72AS4_009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	84.426	89.983	74.505
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	195	Q72AS4_195_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	49.553	60.88	31.617
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	018	Q72AS4_018_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	48.84	60.744	29.86
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	191	Q72AS4_191_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	49.242	60.324	29.494
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	033	Q72AS4_033_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	59.526	74.824	33.465
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	051	Q72AS4_051_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	53.758	65.846	33.301
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	105	Q72AS4_105_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	46.911	56.477	30.341
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	148	Q72AS4_148_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	54.83	64.686	33.234
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	141	Q72AS4_141_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	55.217	67.376	33.56
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	189	Q72AS4_189_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	49.599	58.895	28.066
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	176	Q72AS4_176_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	51.313	64.441	29.794
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	119	Q72AS4_119_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	60.39	77.691	30.556
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	154	Q72AS4_154_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	50.602	59.946	30.417
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	133	Q72AS4_133_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	53.983	64.967	33.515
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	111	Q72AS4_111_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	55.14	68.998	31.442
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	188	Q72AS4_188_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	51.611	62.245	36.413
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	027	Q72AS4_027_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	54.955	64.931	33.606
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	084	Q72AS4_084_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	68.295	81.982	44.672
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	076	Q72AS4_076_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	58.998	69.023	33.062
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	036	Q72AS4_036_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	49.139	60.424	30.944
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	054	Q72AS4_054_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	56.18	66.067	36.759
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	059	Q72AS4_059_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	65.19	78.383	38.039
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	100	Q72AS4_100_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	47.52	55.347	32.947
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	032	Q72AS4_032_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	50.688	60.671	35.065
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	U100-004	Q72AS4_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	89.604	94.698	93.536
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	023	Q72AS4_023_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	66.174	82.669	34.591
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	158	Q72AS4_158_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	55.835	63.97	38.933
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	048	Q72AS4_048_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	61.087	74.75	35.799
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	008	Q72AS4_008_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	59.841	73.224	33.631
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	140	Q72AS4_140_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	57.941	70.16	33.823
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	050	Q72AS4_050_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	58.669	75.806	28.693
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	010	Q72AS4_010_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	89.432	92.282	88.456
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	166	Q72AS4_166_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	58.85	71.563	35.361
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	194	Q72AS4_194_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	55.899	68.833	32.833
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	U10-007	Q72AS4_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	79.642	90.79	63.517
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	118	Q72AS4_118_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	53.229	65.705	28.983
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	095	Q72AS4_095_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	54.131	64.503	36.186
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	137	Q72AS4_137_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	54.771	65.377	34.695
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	045	Q72AS4_045_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	49.17	58.069	35.062
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	155	Q72AS4_155_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	56.77	58.378	43.826
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	173	Q72AS4_173_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	57.761	71.777	31.761
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	181	Q72AS4_181_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	59.286	69.53	38.141
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	041	Q72AS4_041_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	47.17	57.268	32.965
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	144	Q72AS4_144_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	55.894	70.256	31.192
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	104	Q72AS4_104_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	64.997	78.949	37.843
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	199	Q72AS4_199_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	52.317	62.002	35.522
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	151	Q72AS4_151_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	43.681	52.085	29.552
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	U100-000	Q72AS4_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	90.609	95.638	93.82
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	185	Q72AS4_185_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	52.841	62.623	34.975
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	098	Q72AS4_098_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	49.905	58.349	33.026
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	190	Q72AS4_190_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	56.64	67.812	35.862
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	019	Q72AS4_019_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	72.591	85.778	38.405
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	089	Q72AS4_089_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	54.187	59.456	38.99
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	109	Q72AS4_109_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	56.797	68.495	37.559
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	122	Q72AS4_122_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	54.815	66.556	35.428
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	072	Q72AS4_072_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	64.944	81.245	32.523
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	162	Q72AS4_162_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	52.781	60.524	34.068
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	063	Q72AS4_063_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	50.514	60.826	35.492
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	067	Q72AS4_067_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	55.104	67.955	32.787
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	005	Q72AS4_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	46.272	57.955	27.657
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	126	Q72AS4_126_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	49.165	59.201	30.27
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	115	Q72AS4_115_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	56.614	65.252	33.58
