uniprot	region	af_filename	complex_mean_plddt	region_mean_plddt
P01130	25-65,66-106,107-145,146-186,195-233,234-272,274-313,314-353,354-393,663-712	AF-P01130-F1-model_v4.cif	75.592	78.087
P22681	47-351,856-895	AF-P22681-F1-model_v4.cif	64.674	93.396
P38398	1642-1736,1756-1855	AF-P38398-F1-model_v4.cif	41.683	90.218
P10828	217-461	AF-P10828-F1-model_v4.cif	80.345	94.532
P08174	35-96,96-160,161-222,223-285	AF-P08174-F1-model_v4.cif	79.266	96.738
P24297	2-52	AF-P24297-F1-model_v4.cif	97.047	98.144
P46531	20-58,59-99,102-139,140-176,178-216,218-255,257-293,295-333,335-371,372-410,412-450,452-488,490-526,528-564,566-601,603-639,641-676,678-714,716-751,753-789,791-827,829-867,869-905,907-943,945-981,983-1019,1021-1057,1059-1095,1097-1143,1145-1181,1183-1219,1221-1265,1267-1305,1307-1346,1348-1384,1387-1426	AF-P46531-F1-model_v4.cif	57.498	62.865
Q96EP0	71-142,564-615	AF-Q96EP0-F1-model_v4.cif	78.034	90.328
P45481	586-665,1104-1176,1324-1701	AF-P45481-F1-model_v4.cif	54.031	85.603
Q13490	453-543	AF-Q13490-F1-model_v4.cif	77.836	94.252
P51948	142-161	AF-P51948-F1-model_v4.cif	85.318	90.696
P0A6H1	2-56	AF-P0A6H1-F1-model_v4.cif	85.578	77.079
P14780	225-273,283-331,342-390	AF-P14780-F1-model_v4.cif	82.256	89.941
O00482	300-539	AF-O00482-F1-model_v4.cif	72.861	92.681
P05107	24-74,124-363,449-496,497-540,541-581,582-617	AF-P05107-F1-model_v4.cif	86.0	88.264
P00959	575-677	AF-P00959-F1-model_v4.cif	94.92	92.106
P00751	35-100,101-160,163-220,270-469,477-757	AF-P00751-F1-model_v4.cif	85.884	90.382
Q14587	81-152	AF-Q14587-F1-model_v4.cif	67.85	67.412
P06536	542-776	AF-P06536-F1-model_v4.cif	61.05	91.926
P26358	16-109,755-880,972-1100,1139-1599	AF-P26358-F1-model_v4.cif	77.775	90.743
P21860	709-966	AF-P21860-F1-model_v4.cif	72.825	88.399
Q12046	135-228	AF-Q12046-F1-model_v4.cif	81.914	95.203
Q13105	1-104	AF-Q13105-F1-model_v4.cif	61.853	60.221
P30403	194-391,397-478	AF-P30403-F1-model_v4.cif	83.788	86.866
P32523	1-71	AF-P32523-F1-model_v4.cif	88.47	76.335
P04233	210-271	AF-P04233-F1-model_v4.cif	70.671	92.044
Q9UMS4	2-73	AF-Q9UMS4-F1-model_v4.cif	89.681	86.98
P22736	360-595	AF-P22736-F1-model_v4.cif	66.853	90.278
Q92794	1-77,95-171,504-778	AF-Q92794-F1-model_v4.cif	48.7	89.899
P00748	42-90,94-131,133-173,174-210,217-295,373-614	AF-P00748-F1-model_v4.cif	76.249	84.35
Q9NZL3	8-78	AF-Q9NZL3-F1-model_v4.cif	71.126	49.994
P06612	3-142	AF-P06612-F1-model_v4.cif	90.502	85.37
P13987	26-108	AF-P13987-F1-model_v4.cif	80.311	89.666
Q96SE7	8-79	AF-Q96SE7-F1-model_v4.cif	67.882	65.929
P37173	244-544	AF-P37173-F1-model_v4.cif	81.671	94.516
P23193	3-80,140-256	AF-P23193-F1-model_v4.cif	81.206	88.794
P02749	21-81,82-139,140-202,203-262	AF-P02749-F1-model_v4.cif	93.017	97.21
Q8VDF2	1-78,424-586	AF-Q8VDF2-F1-model_v4.cif	80.972	92.023
P08253	228-276,286-334,344-392	AF-P08253-F1-model_v4.cif	90.153	95.107
P48059	10-62,71-121,135-184,193-243,252-303	AF-P48059-F1-model_v4.cif	89.244	91.257
Q8WTR7	6-75	AF-Q8WTR7-F1-model_v4.cif	59.559	31.634
Q9UKV5	456-498	AF-Q9UKV5-F1-model_v4.cif	73.723	85.175
P07204	31-169,241-281,284-324,325-363,365-405,404-440,441-481	AF-P07204-F1-model_v4.cif	79.569	86.043
O14763	339-422	AF-O14763-F1-model_v4.cif	71.381	92.547
Q8NHY6	103-174,232-299	AF-Q8NHY6-F1-model_v4.cif	59.474	51.265
Q62768	1-97,672-796,1106-1249,1358-1525,1558-1685	AF-Q62768-F1-model_v4.cif	72.81	82.819
Q5JVG2	8-78	AF-Q5JVG2-F1-model_v4.cif	60.312	72.072
P04070	43-88,97-132,136-176,212-450	AF-P04070-F1-model_v4.cif	82.632	88.983
P01133	314-355,356-396,397-437,435-477,741-781,831-869,870-911,912-952,972-1013	AF-P01133-F1-model_v4.cif	69.173	69.63
Q46877	254-393,423-474	AF-Q46877-F1-model_v4.cif	94.793	96.328
Q14839	494-594,622-697,738-922,1054-1203	AF-Q14839-F1-model_v4.cif	66.156	85.902
Q01705	20-58,59-99,102-139,140-176,178-216,218-255,257-293,295-333,335-371,372-410,412-450,452-488,490-526,528-564,566-601,603-639,641-676,678-714,716-751,753-789,791-827,829-867,869-905,907-943,945-981,983-1019,1021-1057,1059-1095,1097-1143,1145-1181,1183-1219,1221-1265,1267-1305,1307-1346,1348-1384,1387-1426	AF-Q01705-F1-model_v4.cif	60.825	67.715
P48740	20-138,139-182,185-297,299-364,365-434,449-696	AF-P48740-F1-model_v4.cif	90.962	92.708
P00736	18-141,142-190,193-305,307-373,374-449,464-702	AF-P00736-F1-model_v4.cif	87.586	89.174
P00750	39-81,82-120,127-208,215-296,311-561	AF-P00750-F1-model_v4.cif	80.811	85.296
P10276	183-417	AF-P10276-F1-model_v4.cif	79.419	94.782
P45974	326-856,654-695,722-762	AF-P45974-F1-model_v4.cif	81.201	82.872
P09871	16-130,131-172,175-290,292-356,357-423,438-680	AF-P09871-F1-model_v4.cif	87.7	89.413
O95149	11-73	AF-O95149-F1-model_v4.cif	83.336	86.897
P13864	16-109,758-884,976-1103,1142-1601	AF-P13864-F1-model_v4.cif	77.03	90.515
P45697	21-83	AF-P45697-F1-model_v4.cif	92.62	97.07
P02760	231-281,287-337	AF-P02760-F1-model_v4.cif	82.405	93.203
P07996	65-270,316-373,379-429,435-490,492-547,547-587,646-690,958-1170	AF-P07996-F1-model_v4.cif	84.186	82.911
P01135	43-83	AF-P01135-F1-model_v4.cif	66.887	76.597
P02458	32-90,1253-1487	AF-P02458-F1-model_v4.cif	53.244	90.693
Q03405	23-114,115-213,214-305	AF-Q03405-F1-model_v4.cif	81.657	88.569
Q99728	560-653,667-777	AF-Q99728-F1-model_v4.cif	65.802	89.547
Q2MKA7	147-207	AF-Q2MKA7-F1-model_v4.cif	75.364	88.089
P36894	204-233,234-525	AF-P36894-F1-model_v4.cif	83.27	92.059
P47709	40-157,382-504,540-673	AF-P47709-F1-model_v4.cif	69.381	88.829
A1BBA0	73-186	AF-A1BBA0-F1-model_v4.cif	87.815	97.804
Q15303	718-985	AF-Q15303-F1-model_v4.cif	73.092	86.849
P29187	3-35	AF-P29187-F1-model_v4.cif	94.013	95.173
P24931	1-146,153-191	AF-P24931-F1-model_v4.cif	98.168	98.179
Q0PF16	283-497	AF-Q0PF16-F1-model_v4.cif	85.705	82.554
P10826	183-417	AF-P10826-F1-model_v4.cif	80.701	96.054
Q66GI4	338-565	AF-Q66GI4-F1-model_v4.cif	84.088	94.045
P14768	27-128,183-212,281-607	AF-P14768-F1-model_v4.cif	85.509	94.343
O00187	16-137,138-181,184-296,298-363,364-432,445-684	AF-O00187-F1-model_v4.cif	89.875	91.242
P04004	20-63	AF-P04004-F1-model_v4.cif	67.677	78.295
Q06455	120-215	AF-Q06455-F1-model_v4.cif	64.109	87.225
P01589	22-84,123-186	AF-P01589-F1-model_v4.cif	72.508	92.548
Q96PU4	1-78,448-612	AF-Q96PU4-F1-model_v4.cif	80.748	92.581
Q9Y2L8	51-132,218-291	AF-Q9Y2L8-F1-model_v4.cif	58.331	63.277
O75151	197-353	AF-O75151-F1-model_v4.cif	62.837	96.058
P19438	356-441	AF-P19438-F1-model_v4.cif	71.683	85.356
P43354	360-595	AF-P43354-F1-model_v4.cif	66.61	90.892
Q9UJ41	232-375	AF-Q9UJ41-F1-model_v4.cif	77.851	88.609
O14944	64-104	AF-O14944-F1-model_v4.cif	69.857	83.783
P15207	651-882	AF-P15207-F1-model_v4.cif	59.602	92.879
P70662	336-375	AF-P70662-F1-model_v4.cif	72.159	51.74
P07174	354-419	AF-P07174-F1-model_v4.cif	77.593	88.925
P01132	327-361,362-402,403-443,441-483,747-787,838-876,877-918,919-959,978-1019	AF-P01132-F1-model_v4.cif	69.598	72.022
P28867	1-106,347-601,602-673	AF-P28867-F1-model_v4.cif	80.968	89.358
Q04759	1-107,380-634,635-706	AF-Q04759-F1-model_v4.cif	79.855	89.187
P49916	933-1009	AF-P49916-F1-model_v4.cif	76.06	86.453
Q13263	697-801	AF-Q13263-F1-model_v4.cif	67.51	73.336
P10646	54-104,125-175,217-267	AF-P10646-F1-model_v4.cif	73.548	93.735
P16581	22-139,140-175,178-239,240-301,303-364,366-427,429-490,491-549	AF-P16581-F1-model_v4.cif	83.421	90.275
O46162	20-54,57-92	AF-O46162-F1-model_v4.cif	87.596	91.686
Q13705	190-480	AF-Q13705-F1-model_v4.cif	83.308	93.367
O43278	57-140,250-300,334-370,391-441	AF-O43278-F1-model_v4.cif	77.018	91.241
Q02297	37-128,178-222	AF-Q02297-F1-model_v4.cif	57.255	88.373
P00743	41-85,86-122,125-165,234-466	AF-P00743-F1-model_v4.cif	79.683	89.949
P40343	18-149,258-277,301-320	AF-P40343-F1-model_v4.cif	67.318	84.74
Q5M7L6	144-204	AF-Q5M7L6-F1-model_v4.cif	82.95	91.507
P17927	42-101,102-163,164-234,236-295,295-355,356-418,419-489,491-551,552-613,614-684,686-745,745-805,806-868,869-939,941-1001,1002-1063,1064-1134,1136-1195,1195-1255,1256-1318,1319-1389,1394-1454,1455-1516,1517-1587,1589-1648,1648-1708,1709-1771,1772-1842,1846-1906,1907-1967	AF-P17927-F1-model_v4.cif	65.937	68.319
Q8TDZ2	508-612,695-757,918-1067	AF-Q8TDZ2-F1-model_v4.cif	75.827	79.896
P20023	21-84,89-148,152-212,213-273,274-344,349-408,409-468,469-524,525-595,600-659,660-716,717-781,786-845,849-909,910-970	AF-P20023-F1-model_v4.cif	75.286	78.163
P19474	268-465	AF-P19474-F1-model_v4.cif	91.027	94.903
Q3E840	3-59	AF-Q3E840-F1-model_v4.cif	90.502	93.846
P80424	1-42	AF-P80424-F1-model_v4.cif	90.854	94.476
P41235	147-377	AF-P41235-F1-model_v4.cif	74.887	92.44
P10968	27-68,69-111,112-154,155-197	AF-P10968-F1-model_v4.cif	88.133	97.127
Q9NQ38	28-66,91-153,155-216,219-285,291-352,361-423,431-489,490-551,561-622,626-688,701-757,768-830,843-905,910-971,987-1048	AF-Q9NQ38-F1-model_v4.cif	74.445	78.441
P15529	35-96,97-159,160-225,226-285	AF-P15529-F1-model_v4.cif	82.416	95.854
Q13489	439-529	AF-Q13489-F1-model_v4.cif	74.292	91.589
P32664	125-248	AF-P32664-F1-model_v4.cif	95.725	96.009
P06134	85-183	AF-P06134-F1-model_v4.cif	81.541	71.65
P16109	58-158,159-195,198-259,260-321,322-383,384-445,446-507,508-569,570-631,640-701,702-763	AF-P16109-F1-model_v4.cif	80.224	85.649
P31713	3-53	AF-P31713-F1-model_v4.cif	97.516	98.265
P27037	192-485	AF-P27037-F1-model_v4.cif	84.061	94.263
P01484	21-83	AF-P01484-F1-model_v4.cif	91.583	96.837
P80060	20-54,57-92	AF-P80060-F1-model_v4.cif	88.643	93.864
O14964	15-143,258-277	AF-O14964-F1-model_v4.cif	67.656	90.518
Q01974	55-145,169-303,316-394,473-746	AF-Q01974-F1-model_v4.cif	69.397	85.378
Q01973	42-147,165-299,312-391,473-746	AF-Q01973-F1-model_v4.cif	69.817	84.537
P20393	284-614	AF-P20393-F1-model_v4.cif	64.314	68.764
P0C1X2	33-83	AF-P0C1X2-F1-model_v4.cif	86.976	96.934
A0A0A9P802	38-80,81-123,124-166,168-208	AF-A0A0A9P802-F1-model_v4.cif	79.874	92.529
P00995	26-79	AF-P00995-F1-model_v4.cif	89.154	94.631
Q9NS91	248-282	AF-Q9NS91-F1-model_v4.cif	67.789	94.269
Q9WUD1	227-301	AF-Q9WUD1-F1-model_v4.cif	89.223	93.856
Q9HBE1	41-130	AF-Q9HBE1-F1-model_v4.cif	52.446	38.043
P10969	1-42,43-85,86-128,129-171	AF-P10969-F1-model_v4.cif	93.246	97.612
P08622	3-72	AF-P08622-F1-model_v4.cif	86.338	89.099
P00269	1-52	AF-P00269-F1-model_v4.cif	97.448	97.448
P02468	44-283,284-339,340-395,396-442,443-492,493-502,512-687,688-721,722-770,771-825,826-881,882-932,933-980,981-1028	AF-P02468-F1-model_v4.cif	77.77	85.693
P15336	352-415	AF-P15336-F1-model_v4.cif	58.757	97.506
P17728	21-83	AF-P17728-F1-model_v4.cif	92.807	97.271
P22692	23-103,171-249	AF-P22692-F1-model_v4.cif	77.378	87.966
P02877	18-60,68-189	AF-P02877-F1-model_v4.cif	87.547	94.138
Q9UWP7	2-132,137-170	AF-Q9UWP7-F1-model_v4.cif	97.753	98.044
Q9X4D0	262-342	AF-Q9X4D0-F1-model_v4.cif	86.559	90.465
O15344	320-379,381-484,482-659	AF-O15344-F1-model_v4.cif	86.565	90.856
P67954	6-56	AF-P67954-F1-model_v4.cif	95.632	97.712
P27275	29-53	AF-P27275-F1-model_v4.cif	68.626	80.374
O95155	1227-1300	AF-O95155-F1-model_v4.cif	76.394	90.127
Q14192	40-92,101-153,162-212,221-275	AF-Q14192-F1-model_v4.cif	92.077	93.088
P01495	17-82	AF-P01495-F1-model_v4.cif	89.754	96.124
Q8IYH5	647-707	AF-Q8IYH5-F1-model_v4.cif	54.521	85.843
Q7T1K6	37-165,201-234	AF-Q7T1K6-F1-model_v4.cif	93.987	97.673
P19398	5-60	AF-P19398-F1-model_v4.cif	83.197	85.66
P98155	31-69,70-110,111-151,152-190,191-231,237-275,276-314,316-355,356-395,396-435,702-750	AF-P98155-F1-model_v4.cif	76.787	78.818
Q90WA1	31-81	AF-Q90WA1-F1-model_v4.cif	90.436	98.106
P16293	1-47,48-84,85-126,183-409	AF-P16293-F1-model_v4.cif	81.839	87.153
O43918	1-105,181-280	AF-O43918-F1-model_v4.cif	62.491	70.987
P25801	30-89,94-153	AF-P25801-F1-model_v4.cif	91.28	95.989
P21674	30-103,94-117,112-166,167-190,186-241,244-268,264-318	AF-P21674-F1-model_v4.cif	87.542	95.401
Q05158	10-61,120-171	AF-Q05158-F1-model_v4.cif	71.765	82.066
Q06696	7-96,255-288	AF-Q06696-F1-model_v4.cif	76.78	90.027
Q9JJS8	20-137,138-181,184-296,298-363,364-431,444-683	AF-Q9JJS8-F1-model_v4.cif	88.914	90.418
P00270	1-52	AF-P00270-F1-model_v4.cif	96.508	96.508
P01359	27-71,77-120	AF-P01359-F1-model_v4.cif	90.408	97.195
O60711	150-208,209-267,268-326,327-386	AF-O60711-F1-model_v4.cif	77.525	92.3
P17726	5-59	AF-P17726-F1-model_v4.cif	70.537	72.042
Q13261	31-95	AF-Q13261-F1-model_v4.cif	65.385	97.691
P09486	71-93,89-151,261-296	AF-P09486-F1-model_v4.cif	85.056	96.89
Q7ZZM2	27-110	AF-Q7ZZM2-F1-model_v4.cif	65.09	63.78
Q13642	40-92,101-153,162-212	AF-Q13642-F1-model_v4.cif	73.83	91.517
P17252	158-275,339-597,598-668	AF-P17252-F1-model_v4.cif	86.719	93.065
P14151	55-155,156-192,195-256,257-318	AF-P14151-F1-model_v4.cif	85.325	95.55
Q9HCM9	319-514	AF-Q9HCM9-F1-model_v4.cif	84.198	87.803
P04170	1-45	AF-P04170-F1-model_v4.cif	97.229	97.229
P27038	192-485	AF-P27038-F1-model_v4.cif	84.075	94.19
Q07654	30-73	AF-Q07654-F1-model_v4.cif	80.138	82.723
P04155	29-72	AF-P04155-F1-model_v4.cif	88.405	97.9
Q9P868	21-60,71-106,118-153	AF-Q9P868-F1-model_v4.cif	81.143	77.289
P24593	23-103,189-263	AF-P24593-F1-model_v4.cif	75.864	87.194
P25491	4-72	AF-P25491-F1-model_v4.cif	82.942	87.037
P30820	23-168,169-202	AF-P30820-F1-model_v4.cif	98.726	98.751
P83790	1-42,43-82	AF-P83790-F1-model_v4.cif	97.663	97.663
Q07008	20-58,59-99,102-139,140-176,178-216,218-255,257-293,295-333,335-371,372-410,412-450,452-488,490-526,528-564,566-601,603-639,641-676,678-714,716-751,753-789,791-827,829-867,869-905,907-943,945-981,983-1019,1021-1057,1059-1095,1097-1143,1145-1181,1183-1219,1221-1265,1267-1305,1307-1346,1348-1384,1387-1426	AF-Q07008-F1-model_v4.cif	60.416	67.506
P58779	1-59	AF-P58779-F1-model_v4.cif	84.46	84.46
P20153	239-498	AF-P20153-F1-model_v4.cif	76.007	90.106
P11218	24-64,69-111	AF-P11218-F1-model_v4.cif	74.855	74.074
Q8TDY4	302-394,426-551	AF-Q8TDY4-F1-model_v4.cif	74.569	90.741
O95718	208-432	AF-O95718-F1-model_v4.cif	78.996	93.934
Q6H8Q1	22-81,81-141,151-210,210-270,543-611	AF-Q6H8Q1-F1-model_v4.cif	65.854	88.541
Q13342	22-138,580-661,796-829	AF-Q13342-F1-model_v4.cif	58.087	84.333
P08833	26-107,173-251	AF-P08833-F1-model_v4.cif	79.306	91.552
Q61097	563-833	AF-Q61097-F1-model_v4.cif	63.0	84.497
P19957	69-117	AF-P19957-F1-model_v4.cif	71.769	94.686
Q9UJV3	340-399,398-531,516-709	AF-Q9UJV3-F1-model_v4.cif	80.306	83.427
Q9V099	1-52	AF-Q9V099-F1-model_v4.cif	97.495	97.802
P06681	22-86,87-146,149-206,254-452,464-744	AF-P06681-F1-model_v4.cif	88.496	91.791
Q08048	38-124,129-207,212-289,306-384,392-470,496-724	AF-Q08048-F1-model_v4.cif	84.577	88.893
P70375	42-86,87-123,128-169,194-433	AF-P70375-F1-model_v4.cif	84.281	88.299
Q8BFU0	144-204	AF-Q8BFU0-F1-model_v4.cif	81.863	87.892
P34021	419-654	AF-P34021-F1-model_v4.cif	61.488	89.946
P38445	190-481	AF-P38445-F1-model_v4.cif	82.843	92.445
P82107	28-54	AF-P82107-F1-model_v4.cif	89.271	95.442
O75398	193-273	AF-O75398-F1-model_v4.cif	61.474	91.705
P10493	106-268,384-424,428-665,666-707,708-749,756-799,800-838,844-917,1206-1242	AF-P10493-F1-model_v4.cif	78.758	84.231
P56678	2-66	AF-P56678-F1-model_v4.cif	95.664	95.91
P80302	24-50	AF-P80302-F1-model_v4.cif	92.271	96.591
P81658	7-57	AF-P81658-F1-model_v4.cif	95.803	97.254
Q13643	40-92,101-153,162-212,221-275	AF-Q13643-F1-model_v4.cif	91.874	92.54
G9I929	31-82	AF-G9I929-F1-model_v4.cif	84.249	89.191
Q2LAE1	974-1024,1026-1143,1151-1167	AF-Q2LAE1-F1-model_v4.cif	43.669	92.557
Q969Q1	267-325	AF-Q969Q1-F1-model_v4.cif	82.894	86.623
O00151	3-85,258-317	AF-O00151-F1-model_v4.cif	70.208	89.573
Q1H9T6	26-89	AF-Q1H9T6-F1-model_v4.cif	63.647	83.355
P15226	21-82	AF-P15226-F1-model_v4.cif	88.666	95.15
Q7KTX7	30-99	AF-Q7KTX7-F1-model_v4.cif	80.349	89.956
P35070	65-105	AF-P35070-F1-model_v4.cif	72.389	88.451
Q2I743	142-261	AF-Q2I743-F1-model_v4.cif	80.507	93.814
Q2I742	119-239	AF-Q2I742-F1-model_v4.cif	87.79	91.0
P50461	10-61,120-171	AF-P50461-F1-model_v4.cif	75.383	87.686
P27040	214-504	AF-P27040-F1-model_v4.cif	81.276	93.081
P22829	359-594	AF-P22829-F1-model_v4.cif	66.638	89.797
O70209	1-84,244-303	AF-O70209-F1-model_v4.cif	68.982	87.879
Q92995	336-861,652-693,727-767	AF-Q92995-F1-model_v4.cif	77.752	80.329
P60277	2-64	AF-P60277-F1-model_v4.cif	94.809	94.871
Q8AVA3	38-164,200-233	AF-Q8AVA3-F1-model_v4.cif	91.401	96.93
P19880	64-127	AF-P19880-F1-model_v4.cif	54.831	95.243
P63319	157-275,351-614,615-685	AF-P63319-F1-model_v4.cif	83.599	91.57
P15412	1-52	AF-P15412-F1-model_v4.cif	97.791	97.791
P83597	4-41	AF-P83597-F1-model_v4.cif	83.242	83.714
P24592	28-107,160-234	AF-P24592-F1-model_v4.cif	71.052	80.372
P01493	20-85	AF-P01493-F1-model_v4.cif	91.053	96.731
P01492	20-85	AF-P01492-F1-model_v4.cif	89.097	96.298
P01491	20-84	AF-P01491-F1-model_v4.cif	89.207	94.489
Q96T51	139-271	AF-Q96T51-F1-model_v4.cif	76.289	86.72
P01003	1-64,65-129,132-186	AF-P01003-F1-model_v4.cif	90.843	91.202
P01001	24-80	AF-P01001-F1-model_v4.cif	87.065	91.377
P08900	1-66	AF-P08900-F1-model_v4.cif	96.051	96.051
Q9UIG0	20-126,604-668,1356-1426	AF-Q9UIG0-F1-model_v4.cif	69.826	89.554
P20155	30-84	AF-P20155-F1-model_v4.cif	85.662	90.047
Q9GQW3	21-83	AF-Q9GQW3-F1-model_v4.cif	89.859	94.282
P35456	24-117,117-212,213-298	AF-P35456-F1-model_v4.cif	82.674	88.405
P02784	44-88,89-134	AF-P02784-F1-model_v4.cif	84.566	96.874
Q9H0M4	317-383	AF-Q9H0M4-F1-model_v4.cif	55.954	93.662
P98162	28-71	AF-P98162-F1-model_v4.cif	65.597	75.676
Q9GV76	120-239	AF-Q9GV76-F1-model_v4.cif	89.572	92.832
P06494	722-989	AF-P06494-F1-model_v4.cif	74.066	84.24
P41229	14-55,79-169,468-634	AF-P41229-F1-model_v4.cif	72.58	87.682
Q9Z0U4	29-95,97-158	AF-Q9Z0U4-F1-model_v4.cif	82.778	82.976
P00741	47-92,93-129,130-171,228-460	AF-P00741-F1-model_v4.cif	79.776	87.91
P00979	7-57	AF-P00979-F1-model_v4.cif	94.119	96.792
O18973	233-376	AF-O18973-F1-model_v4.cif	79.29	91.25
Q92854	22-500,502-551,554-636	AF-Q92854-F1-model_v4.cif	81.467	95.035
P05129	157-275,351-614,615-685	AF-P05129-F1-model_v4.cif	83.332	91.156
Q96NZ8	26-79,108-159,186-279,299-351,359-409,409-540	AF-Q96NZ8-F1-model_v4.cif	77.647	83.326
Q9NJC7	21-83	AF-Q9NJC7-F1-model_v4.cif	91.95	96.236
Q9ES54	226-363	AF-Q9ES54-F1-model_v4.cif	88.86	95.945
Q06684	1-50,51-103	AF-Q06684-F1-model_v4.cif	92.52	92.52
P34909	137-228	AF-P34909-F1-model_v4.cif	62.907	82.27
O00253	87-129	AF-O00253-F1-model_v4.cif	70.289	87.259
Q08605	34-99	AF-Q08605-F1-model_v4.cif	55.523	95.58
Q6L4L4	12-46	AF-Q6L4L4-F1-model_v4.cif	62.282	88.394
C4B7M5	5-146,170-421	AF-C4B7M5-F1-model_v4.cif	72.216	80.125
P46066	2-61	AF-P46066-F1-model_v4.cif	91.49	92.065
Q9V011	622-722	AF-Q9V011-F1-model_v4.cif	94.232	92.445
Q96HC4	2-85,418-477,477-536,536-596	AF-Q96HC4-F1-model_v4.cif	64.136	91.605
Q15654	279-316,339-398,399-467	AF-Q15654-F1-model_v4.cif	63.154	87.187
Q16760	53-146,317-451,1145-1208	AF-Q16760-F1-model_v4.cif	72.103	87.2
O94929	21-80,80-140,149-208,208-268,615-683	AF-O94929-F1-model_v4.cif	61.663	87.825
