Gene_name	Uniprot_ID	Protein_length	region_1	region_2	PDB
RAN	P62826	216.0	179-216	10-169	 1qbk.B 2mmc.A 2mmg.A 2n1b.A 3ch5.A 3gj3.A 3gj6.A 3nc1.A 4gmx.A 4gpt.A 4hat.A 4hau.A 4hav.A 4haw.A 4hax.B 4hay.A 4haz.A 4hb0.A 4hb2.A 4hb3.A 4hb4.A 4ol0.A 4wvf.A 5dh9.A 5dha.A 5dhf.A 5di9.A 5dif.A 5dis.B 5jlj.A 5uwh.A 5uwi.A 5uwj.A 5uwo.A 5uwp.A 5uwq.A 5uwr.A 5uws.A 5uwt.A 5uwu.A 5uww.A 5yro.A 5yst.A 5ysu.A 5ytb.A 5zpu.A 6a38.A 6a3a.A 6a3b.A 6a3c.A 6a3e.A 6cit.A 6kft.A 6lq9.A 6m60.A 6m6x.A 6nif.A 6q82.B 6tvo.A 6x2m.A 6x2o.A 6x2p.A 6x2r.A 6x2s.A 6x2u.A 6x2v.A 6x2w.A 6x2x.A 6x2y.A 6xjp.A 6xjr.A 6xjs.A 6xjt.A 6xju.A 7b51.A 7cnd.A 7dbg.A 7l5e.A 7mnq.A 7mnr.A 7mns.A 7mnu.A 7mnv.A 7mo1.A 7mo5.A
BRAF	P15056	766.0	100-345	457-717	 2l05.A 4xv9.A 5csx.A 5hi2.A 5j17.A 5j18.A 5j2r.A 5vr3.A 6nyb.A 6p3d.A 6pp9.A 6u2g.B 6v2w.A 6xfp.A 7m0t.B 7m0u.A 7m0v.A 7m0w.B 7m0x.A 7m0y.A 7m0z.A 7mfd.A 7mfe.A
PDE4D	Q08499	809.0	271-339	386-715	 1e9k.A 3iak.A 3k4s.A
GSK3B	P49841	420.0	3-12	56-340	 1o6k.B 1o6l.B 1o9u.A 1uv5.A 2jdo.B 2jdr.B 2o5k.A 2uw9.B 2x39.B 2xh5.B 3cqu.B 3cqw.B 3gb2.A 3mv5.B 3qkk.B 3zdi.A 4b7t.A 4dit.A 4nm0.A 4nm3.A 4nm5.A 4nm7.A 6b8j.A 6hk7.A 6tcu.A 6v6l.A 6y9r.A 7b6f.A
RELA	Q04206	551.0	436-550	1-194	 2lsp.A 2o61.C 4kv4.B 5u4k.B 5urn.B 6nv2.B 6qhl.B 6qhm.B 6yow.B 6yox.B 6yoy.B 6yp2.B 6yp3.B 6yp8.B 6ypl.B 6ypy.B 6yq2.B 7bi3.B 7biq.B 7biw.B 7biy.B 7bjb.B 7bjf.B 7bjl.B 7bjw.B 7bkh.B 7let.C 7nj9.B 7njb.B 7nk3.B 7nk5.B 7nla.B 7nle.B 7nm1.B 7nm3.B 7nm9.B 7nmh.B 7nqp.B 7nr7.B 7nsv.B 7nv4.B 7nvi.B 7nws.B 7nxs.B 7nxt.B 7nxw.B 7nxy.B 7ny4.B 7nye.B 7nyf.B 7nyg.B 7nz6.B 7nzg.B 7nzk.B 7nzv.B 7o34.B 7o3a.B 7o3f.B 7o3p.B 7o3q.B 7o3r.B 7o3s.B 7o57.B 7o59.B 7o5a.B 7o5c.B 7o5d.B 7o5f.B 7o5g.B 7o5o.B 7o5p.B 7o5s.B 7o5u.B 7o5x.B 7o6f.B 7o6g.B 7o6i.B 7o6j.B 7o6k.B 7o6m.B 7o6o.B
SYK	P43405	635.0	93-167,245-370	371-631	 1csy.A 1csz.A 1xba.A 1xbb.A 1xbc.A 3emg.A 3fqe.A 3fqs.A 3tub.A 3tuc.A 3tud.A 3vf8.A 3vf9.A 4dfl.A 4dfn.A 4f4p.A 4fl1.A 4fl2.A 4fl3.A 4fyn.A 4fyo.A 4fz6.A 4fz7.A 4gfg.A 4i0r.A 4i0s.A 4i0t.A 4pv0.A 4px6.A 4rss.A 4rx7.A 4rx8.A 4rx9.A 4wnm.A 4xg2.A 4xg4.A 4xg6.A 4xg7.A 4yjo.A 4yjp.A 4yjq.A 4yjr.A 4yjs.A 4yjt.A 4yju.A 4yjv.A 5c26.A 5c27.A 5cxh.A 5cxz.A 5cy3.A 5lma.A 5tiu.A 5tr6.A 5tt7.A 5y5t.A 6hm6.A 6hm7.A 6ssb.A 6zc0.A 6zcp.A 6zcq.A 6zcr.A 6zcs.A 6zcu.A 6zcx.A 6zcy.A
	P00579	613.0	2-80	379-449,458-534	 1sig.A 1tlh.B 3iyd.F 5vt0.F 6b6h.F 6c9y.F 6ca0.F 6jnx.F 6k4y.F 6ldi.F 6n4c.A 6n57.F 6n58.F 6oul.F 6p18.H 6p1k.F 6pb4.F 6pb5.F 6pb6.F 6psq.G 6psr.F 6pss.F 6pst.J 6psu.G 6psv.G 6psw.F 6wmu.F 6xh7.F 6xh8.F 6xl5.F 6xl9.E 6xlj.F 6xll.F 6xlm.F 7bef.F 7beg.F 7c17.F 7c97.J 7chw.H 7dy6.I 7khb.F 7khc.F 7khe.F 7khi.F 7mkd.F 7mke.F 7mki.G 7mkj.F 7szj.F 7szk.F 7vwy.F 7vwz.F 7xui.F
SOS1	Q07889	1333.0	1-198	198-565	 1awe.A 1bkd.B 1dbh.A 1nvu.C 1nvv.C 1nvw.C 1nvx.C 1xd2.C 2ii0.A 3ksy.A 4nyi.C 4nyj.C 4nym.C 4uru.B 4urv.B 4urw.B 4urx.B 4ury.B 4urz.B 4us0.B 4us1.B 4us2.B 5ovd.A 5ove.A 5ovf.A 5ovg.A 5ovh.A 5ovi.A 5wfo.C 5wfp.C 5wfq.C 5wfr.C 6bvi.B 6bvj.B 6bvk.B 6bvl.B 6bvm.B 6cuo.B 6cup.B 6cur.B 6d55.B 6d56.B 6d59.B 6d5e.B 6d5g.B 6d5h.B 6d5j.B 6d5l.B 6d5m.C 6d5v.C 6d5w.C 6epl.B 6epm.B 6epn.B 6epo.B 6epp.B 6scm.A 6v94.B 6v9f.B 6v9j.B 6v9l.B 6v9m.B 6v9n.B 6v9o.B 6y44.B 7avv.A 7kfz.B 7uks.A
ALK	Q9UM73	1620.0	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	 2kup.B 2kuq.A 2xb7.A 2xba.A 2xp2.A 2yfx.A 2yhv.A 2yjr.A 2yjs.A 2ys5.B 2yt2.A 3aox.A 3l9p.A 3lcs.A 3lct.A 4anl.A 4anq.A 4ans.A 4ccb.A 4ccu.A 4cd0.A 4cli.A 4clj.A 4cmo.A 4cmt.A 4cmu.A 4ctb.A 4ctc.A 4fnw.A 4fnx.A 4fny.A 4fnz.A 4fob.A 4foc.A 4fod.A 4joa.A 4mkc.A 4tt7.A 4z55.A 5a9u.A 5aa8.A 5aa9.A 5aaa.A 5aab.A 5aac.A 5fto.A 5ftq.A 5imx.A 5iug.A 5iuh.A 5iui.A 5kz0.A 5vz5.C 6at9.C 6cdt.A 6e0r.A 6ebw.A 6edl.A 6mx8.A 7btt.A 7jy4.A 7jyr.A 7jys.A 7jyt.A 7lrz.A 7mzw.A 7nx4.A 7r7k.A 7r7r.A 8arj.A
ABL1	P00519	1130.0	67-113,127-217	242-493	 1ab2.A 1awo.A 1ju5.C 1zzp.A 2abl.A 2f4j.A 2fo0.A 3eg0.A 3eg2.A 3eg3.A 3egu.A 3qrk.A 3t04.A 3uyo.A 4j9b.A 4j9c.A 4jjb.A 4jjc.A 4jjd.A 5dc0.B 5dc4.A 5dc9.A 5hu9.A 5mo4.A 6amv.A 6amw.A 6xr6.A 6xr7.A 6xrg.A 7pvr.A
FGFR1	P11362	822.0	120-149	158-246,478-767	 1xr0.A 2cr3.A 3dpk.A 3gqi.A 3krj.A 3krl.A 5w21.C 5w59.B 7tnh.A
PTPN11	Q06124	593.0	3-104	247-517	 3b7o.A 3mow.A 3o5x.A 3tkz.A 3tl0.A 3zm0.A 3zm1.A 3zm2.A 3zm3.A 4dgp.A 4dgx.A 4h1o.A 4h34.A 4je4.A 4jeg.A 4jmg.B 4ohd.A 4ohe.A 4ohh.A 4ohi.A 4pvg.A 4qsy.A 4rdd.A 5bk8.A 5df6.A 5x7b.A 5xzr.A 6cmr.A 6cms.A 6r5g.A 7ppl.A 7ppm.A 7ppn.A 7r75.A
SRC	P12931	536.0	249-269,151-248	84-145,524-536	 1fmk.A 1hcs.B 1hct.B 1ksw.A 1o41.A 1o42.A 1o43.A 1o44.A 1o45.A 1o46.A 1o47.A 1o48.A 1o49.A 1o4a.A 1o4b.A 1o4c.A 1o4d.A 1o4e.A 1o4f.A 1o4g.A 1o4h.A 1o4i.A 1o4j.A 1o4k.A 1o4l.A 1o4m.A 1o4n.A 1o4o.A 1o4p.A 1o4q.A 1o4r.A 1shd.A 1y57.A 2bdj.A 2h8h.A 2src.A 3vro.B 3zmq.B 4f59.A 4f5a.A 4f5b.A 4k11.A 6ate.A 7ng7.A
PMAIP1	P00782	382.0	1-77	112-381	 1a2q.A 1ak9.A 1aqn.A 1au9.A 1dui.A 1gns.A 1gnv.A 1lw6.A 1s01.A 1s02.A 1sbh.A 1sbi.A 1sbn.A 1sbt.A 1sib.A 1st2.A 1sua.A 1sub.A 1suc.A 1sud.A 1sue.A 1sup.A 1tm1.A 1tm3.A 1tm4.A 1tm5.A 1tm7.A 1tmg.A 1to1.A 1to2.A 1ubn.A 1v5i.A 1y1k.A 1y33.A 1y34.A 1y3b.A 1y3c.A 1y3d.A 1y3f.A 1y48.A 1y4a.A 1y4d.A 1yja.A 1yjb.A 1yjc.A 2sbt.A 2sic.A 2sni.A 2st1.A 3f49.A 3sic.A 5sic.A 7am3.A 7am4.A 7am5.A 7am8.A
PLK1	P53350	603.0	367-603	53-305	 2ogq.A 2ojx.A 2ou7.A 2owb.A 2rku.A 2yac.A 3bzi.A 3c5l.A 3fc2.A 3fvh.A 3hik.A 3kb7.A 3p2w.A 3p2z.A 3p34.A 3p36.A 3q1i.A 3rq7.A 3thb.A 4a4l.A 4a4o.A 4dfw.A 4e67.A 4e9c.A 4e9d.A 4hy2.A 4j52.A 4j53.A 4lkl.A 4o56.A 4o6w.A 4o9w.A 4rcp.A 4whh.A 4whk.A 4whl.A 4x9r.A 4x9v.A 4x9w.A 5nei.A 5nfu.A 5nje.A 5nmm.A 5nn1.A 5nn2.A 5ta6.A 5ta8.A 6ax4.A
MAP2K1	Q02750	393.0	75-102	68-74,103-361	 1s9j.A 2p55.A 3dv3.A 3dy7.A 3e8n.A 3eqb.A 3eqc.A 3eqd.A 3eqf.A 3eqg.A 3eqh.A 3eqi.A 3mbl.A 3orn.A 3os3.A 3pp1.A 3v01.A 3v04.A 3w8q.A 3wig.A 3zls.A 3zlw.A 3zlx.A 3zly.A 3zm4.A 4an2.A 4an3.A 4an9.A 4anb.A 4ark.A 4lmn.A 4u7z.A 4u80.A 4u81.A 5bx0.A 5hze.A 6nyb.B 6pp9.B 6q0t.C 6u2g.A 6v2w.B 6x2p.D 6x2s.D 6x2x.D 7m0t.A 7m0u.B 7m0v.B 7m0w.A 7m0x.B 7m0y.B 7m0z.B 7mfd.B 7pqv.A
LCK	P06239	509.0	127-244,341-408	61-121,499-509	 1bhf.A 1cwd.A 1h92.A 1ijr.A 1kik.A 1lcj.A 1lkk.A 1lkl.A 1q68.B 1q69.B 1qpc.A 1qpd.A 1qpe.A 1qpj.A 2iim.A 2of2.A 2of4.A 2ofu.A 2pl0.A 2zm1.A 2zm4.A 2zyb.A 3ac1.A 3ac2.A 3ac3.A 3ac4.A 3ac5.A 3ac8.A 3acj.A 3ack.A 3ad4.A 3ad5.A 3ad6.A 3b2w.A 3bym.A 3byo.A 3bys.A 3byu.A 3kmm.A 3kxz.A 3lck.A 3mpm.A 4c3f.A 4d8k.A 5mtm.A 5mtn.A 6pdj.A
