gene_name	uniprot	protein_length	region_1	region_2	pdb	chain	af_filename	gt_fn	label_offset	gt_len	gt_trim_len	pred_len	pred_trim_len	gt_perc	trim_perc
Nos1	P29476	1429.0	815-870	757-949	3jt8	A	F-P29476-F1-model_v3.cif	3jt8.cif	-296	3319	3313	11304	3313	0.9981922265742693	0.293
Nos1	P29476	1429.0	815-870	757-949	3jt9	A	F-P29476-F1-model_v3.cif	3jt9.cif	-296	3330	3313	11304	3313	0.9948948948948949	0.293
Nos1	P29476	1429.0	815-870	757-949	3jta	A	F-P29476-F1-model_v3.cif	3jta.cif	-296	3322	3313	11304	3313	0.9972907886815171	0.293
Nos1	P29476	1429.0	815-870	757-949	3jws	A	F-P29476-F1-model_v3.cif	3jws.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3jwt	A	F-P29476-F1-model_v3.cif	3jwt.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3jwu	A	F-P29476-F1-model_v3.cif	3jwu.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3jwv	A	F-P29476-F1-model_v3.cif	3jwv.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3jx0	A	F-P29476-F1-model_v3.cif	3jx0.cif	-296	3313	3305	11304	3305	0.9975852701479022	0.292
Nos1	P29476	1429.0	815-870	757-949	3jx1	A	F-P29476-F1-model_v3.cif	3jx1.cif	-296	3313	3305	11304	3305	0.9975852701479022	0.292
Nos1	P29476	1429.0	815-870	757-949	3jx2	A	F-P29476-F1-model_v3.cif	3jx2.cif	-296	3330	3315	11304	3315	0.9954954954954955	0.293
Nos1	P29476	1429.0	815-870	757-949	3jx3	A	F-P29476-F1-model_v3.cif	3jx3.cif	-296	3312	3297	11304	3297	0.9954710144927537	0.292
Nos1	P29476	1429.0	815-870	757-949	3jx4	A	F-P29476-F1-model_v3.cif	3jx4.cif	-296	3312	3297	11304	3297	0.9954710144927537	0.292
Nos1	P29476	1429.0	815-870	757-949	3jx5	A	F-P29476-F1-model_v3.cif	3jx5.cif	-296	3312	3297	11304	3297	0.9954710144927537	0.292
Nos1	P29476	1429.0	815-870	757-949	3jx6	A	F-P29476-F1-model_v3.cif	3jx6.cif	-296	3305	3285	11304	3285	0.9939485627836612	0.291
Nos1	P29476	1429.0	815-870	757-949	3n2r	A	F-P29476-F1-model_v3.cif	3n2r.cif	-296	3316	3313	11304	3313	0.9990952955367913	0.293
Nos1	P29476	1429.0	815-870	757-949	3n5v	A	F-P29476-F1-model_v3.cif	3n5v.cif	-296	3322	3313	11304	3313	0.9972907886815171	0.293
Nos1	P29476	1429.0	815-870	757-949	3n5w	A	F-P29476-F1-model_v3.cif	3n5w.cif	-296	3322	3313	11304	3313	0.9972907886815171	0.293
Nos1	P29476	1429.0	815-870	757-949	3n5x	A	F-P29476-F1-model_v3.cif	3n5x.cif	-296	3342	3313	11304	3313	0.9913225613405147	0.293
Nos1	P29476	1429.0	815-870	757-949	3n5y	A	F-P29476-F1-model_v3.cif	3n5y.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3n5z	A	F-P29476-F1-model_v3.cif	3n5z.cif	-296	3316	3313	11304	3313	0.9990952955367913	0.293
Nos1	P29476	1429.0	815-870	757-949	3n60	A	F-P29476-F1-model_v3.cif	3n60.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3n61	A	F-P29476-F1-model_v3.cif	3n61.cif	-296	3336	3297	11304	3297	0.9883093525179856	0.292
Nos1	P29476	1429.0	815-870	757-949	3n62	A	F-P29476-F1-model_v3.cif	3n62.cif	-296	3342	3305	11304	3305	0.9889287851585876	0.292
Nos1	P29476	1429.0	815-870	757-949	3n63	A	F-P29476-F1-model_v3.cif	3n63.cif	-296	3318	3297	11304	3297	0.9936708860759493	0.292
Nos1	P29476	1429.0	815-870	757-949	3n64	A	F-P29476-F1-model_v3.cif	3n64.cif	-296	3316	3305	11304	3305	0.9966827503015682	0.292
Nos1	P29476	1429.0	815-870	757-949	3n65	A	F-P29476-F1-model_v3.cif	3n65.cif	-296	3344	3307	11304	3307	0.9889354066985646	0.293
Nos1	P29476	1429.0	815-870	757-949	3n66	A	F-P29476-F1-model_v3.cif	3n66.cif	-296	3323	3307	11304	3307	0.9951850737285586	0.293
Nos1	P29476	1429.0	815-870	757-949	3n67	A	F-P29476-F1-model_v3.cif	3n67.cif	-38	3247	210	11304	210	0.06467508469356328	0.019
Nos1	P29476	1429.0	815-870	757-949	3n68	A	F-P29476-F1-model_v3.cif	3n68.cif	-38	3210	210	11304	210	0.06542056074766354	0.019
Nos1	P29476	1429.0	815-870	757-949	3n69	A	F-P29476-F1-model_v3.cif	3n69.cif	-38	3240	210	11304	210	0.06481481481481481	0.019
Nos1	P29476	1429.0	815-870	757-949	3n6a	A	F-P29476-F1-model_v3.cif	3n6a.cif	-38	3228	210	11304	210	0.06505576208178439	0.019
Nos1	P29476	1429.0	815-870	757-949	3n6b	A	F-P29476-F1-model_v3.cif	3n6b.cif	-38	3205	210	11304	210	0.0655226209048362	0.019
Nos1	P29476	1429.0	815-870	757-949	3n6c	A	F-P29476-F1-model_v3.cif	3n6c.cif	-38	3205	210	11304	210	0.0655226209048362	0.019
Nos1	P29476	1429.0	815-870	757-949	3n6d	A	F-P29476-F1-model_v3.cif	3n6d.cif	-38	3205	210	11304	210	0.0655226209048362	0.019
Nos1	P29476	1429.0	815-870	757-949	3n6e	A	F-P29476-F1-model_v3.cif	3n6e.cif	-38	3220	210	11304	210	0.06521739130434782	0.019
Nos1	P29476	1429.0	815-870	757-949	3n6f	A	F-P29476-F1-model_v3.cif	3n6f.cif	-38	3213	210	11304	210	0.06535947712418301	0.019
Nos1	P29476	1429.0	815-870	757-949	3n6g	A	F-P29476-F1-model_v3.cif	3n6g.cif	-38	3220	210	11304	210	0.06521739130434782	0.019
Nos1	P29476	1429.0	815-870	757-949	3nlj	A	F-P29476-F1-model_v3.cif	3nlj.cif	-296	3305	3285	11304	3285	0.9939485627836612	0.291
Nos1	P29476	1429.0	815-870	757-949	3nlk	A	F-P29476-F1-model_v3.cif	3nlk.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3nlm	A	F-P29476-F1-model_v3.cif	3nlm.cif	-296	3343	3331	11304	3331	0.9964104098115465	0.295
Nos1	P29476	1429.0	815-870	757-949	3nln	A	F-P29476-F1-model_v3.cif	3nln.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3nlo	A	F-P29476-F1-model_v3.cif	3nlo.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3nlp	A	F-P29476-F1-model_v3.cif	3nlp.cif	-296	3312	3297	11304	3297	0.9954710144927537	0.292
Nos1	P29476	1429.0	815-870	757-949	3nlq	A	F-P29476-F1-model_v3.cif	3nlq.cif	-296	3312	3297	11304	3297	0.9954710144927537	0.292
Nos1	P29476	1429.0	815-870	757-949	3nlr	A	F-P29476-F1-model_v3.cif	3nlr.cif	-296	3312	3297	11304	3297	0.9954710144927537	0.292
Nos1	P29476	1429.0	815-870	757-949	3nlv	A	F-P29476-F1-model_v3.cif	3nlv.cif	-296	3319	3313	11304	3313	0.9981922265742693	0.293
Nos1	P29476	1429.0	815-870	757-949	3nlw	A	F-P29476-F1-model_v3.cif	3nlw.cif	-296	3321	3313	11304	3313	0.9975910870219813	0.293
Nos1	P29476	1429.0	815-870	757-949	3nlx	A	F-P29476-F1-model_v3.cif	3nlx.cif	-296	3328	3313	11304	3313	0.9954927884615384	0.293
Nos1	P29476	1429.0	815-870	757-949	3nly	A	F-P29476-F1-model_v3.cif	3nly.cif	-296	3321	3313	11304	3313	0.9975910870219813	0.293
Nos1	P29476	1429.0	815-870	757-949	3nlz	A	F-P29476-F1-model_v3.cif	3nlz.cif	-296	3346	3331	11304	3331	0.9955170352659892	0.295
Nos1	P29476	1429.0	815-870	757-949	3nm0	A	F-P29476-F1-model_v3.cif	3nm0.cif	-296	3354	3331	11304	3331	0.9931425163983304	0.295
Nos1	P29476	1429.0	815-870	757-949	3nny	A	F-P29476-F1-model_v3.cif	3nny.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3nnz	A	F-P29476-F1-model_v3.cif	3nnz.cif	-296	3316	3313	11304	3313	0.9990952955367913	0.293
Nos1	P29476	1429.0	815-870	757-949	3pne	A	F-P29476-F1-model_v3.cif	3pne.cif	-296	3348	3339	11304	3339	0.9973118279569892	0.295
Nos1	P29476	1429.0	815-870	757-949	3pnf	A	F-P29476-F1-model_v3.cif	3pnf.cif	-296	3354	3331	11304	3331	0.9931425163983304	0.295
Nos1	P29476	1429.0	815-870	757-949	3png	A	F-P29476-F1-model_v3.cif	3png.cif	-296	3340	3331	11304	3331	0.9973053892215569	0.295
Nos1	P29476	1429.0	815-870	757-949	3q99	A	F-P29476-F1-model_v3.cif	3q99.cif	-296	3318	3313	11304	3313	0.9984930681133213	0.293
Nos1	P29476	1429.0	815-870	757-949	3q9a	A	F-P29476-F1-model_v3.cif	3q9a.cif	-296	3328	3313	11304	3313	0.9954927884615384	0.293
Nos1	P29476	1429.0	815-870	757-949	3rqj	A	F-P29476-F1-model_v3.cif	3rqj.cif	-296	3322	3313	11304	3313	0.9972907886815171	0.293
Nos1	P29476	1429.0	815-870	757-949	3rqk	A	F-P29476-F1-model_v3.cif	3rqk.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3rql	A	F-P29476-F1-model_v3.cif	3rql.cif	-296	3337	3331	11304	3331	0.9982019778243931	0.295
Nos1	P29476	1429.0	815-870	757-949	3rqm	A	F-P29476-F1-model_v3.cif	3rqm.cif	-296	3321	3313	11304	3313	0.9975910870219813	0.293
Nos1	P29476	1429.0	815-870	757-949	3rqn	A	F-P29476-F1-model_v3.cif	3rqn.cif	-296	3343	3331	11304	3331	0.9964104098115465	0.295
Nos1	P29476	1429.0	815-870	757-949	3svp	A	F-P29476-F1-model_v3.cif	3svp.cif	-296	3319	3313	11304	3313	0.9981922265742693	0.293
Nos1	P29476	1429.0	815-870	757-949	3svq	A	F-P29476-F1-model_v3.cif	3svq.cif	-296	3324	3313	11304	3313	0.996690734055355	0.293
Nos1	P29476	1429.0	815-870	757-949	3tyl	A	F-P29476-F1-model_v3.cif	3tyl.cif	-296	3342	3331	11304	3331	0.9967085577498503	0.295
Nos1	P29476	1429.0	815-870	757-949	3tym	A	F-P29476-F1-model_v3.cif	3tym.cif	-296	3319	3313	11304	3313	0.9981922265742693	0.293
Nos1	P29476	1429.0	815-870	757-949	3tyn	A	F-P29476-F1-model_v3.cif	3tyn.cif	-296	3324	3313	11304	3313	0.996690734055355	0.293
Nos1	P29476	1429.0	815-870	757-949	3tyo	A	F-P29476-F1-model_v3.cif	3tyo.cif	-296	3316	3313	11304	3313	0.9990952955367913	0.293
Nos1	P29476	1429.0	815-870	757-949	3ufo	A	F-P29476-F1-model_v3.cif	3ufo.cif	-296	3322	3313	11304	3313	0.9972907886815171	0.293
Nos1	P29476	1429.0	815-870	757-949	3ufp	A	F-P29476-F1-model_v3.cif	3ufp.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3ufq	A	F-P29476-F1-model_v3.cif	3ufq.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3ufr	A	F-P29476-F1-model_v3.cif	3ufr.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3ufs	A	F-P29476-F1-model_v3.cif	3ufs.cif	-296	3324	3313	11304	3313	0.996690734055355	0.293
Nos1	P29476	1429.0	815-870	757-949	3uft	A	F-P29476-F1-model_v3.cif	3uft.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3ufu	A	F-P29476-F1-model_v3.cif	3ufu.cif	-296	3319	3313	11304	3313	0.9981922265742693	0.293
Nos1	P29476	1429.0	815-870	757-949	3ufv	A	F-P29476-F1-model_v3.cif	3ufv.cif	-296	3324	3313	11304	3313	0.996690734055355	0.293
Nos1	P29476	1429.0	815-870	757-949	3ufw	A	F-P29476-F1-model_v3.cif	3ufw.cif	-296	3318	3313	11304	3313	0.9984930681133213	0.293
Nos1	P29476	1429.0	815-870	757-949	4c39	A	F-P29476-F1-model_v3.cif	4c39.cif	-296	3314	3314	11304	3314	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	4cam	A	F-P29476-F1-model_v3.cif	4cam.cif	-296	3331	3313	11304	3313	0.9945962173521465	0.293
Nos1	P29476	1429.0	815-870	757-949	4can	A	F-P29476-F1-model_v3.cif	4can.cif	-296	3319	3313	11304	3313	0.9981922265742693	0.293
Nos1	P29476	1429.0	815-870	757-949	4cao	A	F-P29476-F1-model_v3.cif	4cao.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	4cap	A	F-P29476-F1-model_v3.cif	4cap.cif	-296	3326	3313	11304	3313	0.9960914010823813	0.293
Nos1	P29476	1429.0	815-870	757-949	4caq	A	F-P29476-F1-model_v3.cif	4caq.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	4cdt	A	F-P29476-F1-model_v3.cif	4cdt.cif	-296	3314	3314	11304	3314	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	4ctp	A	F-P29476-F1-model_v3.cif	4ctp.cif	-296	3317	3314	11304	3314	0.9990955682845946	0.293
Nos1	P29476	1429.0	815-870	757-949	4ctq	A	F-P29476-F1-model_v3.cif	4ctq.cif	-296	3320	3314	11304	3314	0.9981927710843373	0.293
Nos1	P29476	1429.0	815-870	757-949	4ctr	A	F-P29476-F1-model_v3.cif	4ctr.cif	-296	3314	3314	11304	3314	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	4ctt	A	F-P29476-F1-model_v3.cif	4ctt.cif	-296	3319	3314	11304	3314	0.9984935221452245	0.293
Nos1	P29476	1429.0	815-870	757-949	4ctu	A	F-P29476-F1-model_v3.cif	4ctu.cif	-296	3320	3314	11304	3314	0.9981927710843373	0.293
Nos1	P29476	1429.0	815-870	757-949	4ctv	A	F-P29476-F1-model_v3.cif	4ctv.cif	-296	3326	3314	11304	3314	0.9963920625375827	0.293
Nos1	P29476	1429.0	815-870	757-949	4ctw	A	F-P29476-F1-model_v3.cif	4ctw.cif	-296	3326	3314	11304	3314	0.9963920625375827	0.293
Nos1	P29476	1429.0	815-870	757-949	4ctx	A	F-P29476-F1-model_v3.cif	4ctx.cif	-296	3326	3314	11304	3314	0.9963920625375827	0.293
Nos1	P29476	1429.0	815-870	757-949	4cx3	A	F-P29476-F1-model_v3.cif	4cx3.cif	-296	3330	3298	11304	3298	0.9903903903903903	0.292
Nos1	P29476	1429.0	815-870	757-949	4cx4	A	F-P29476-F1-model_v3.cif	4cx4.cif	-296	3333	3298	11304	3298	0.9894989498949895	0.292
Nos1	P29476	1429.0	815-870	757-949	4cx5	A	F-P29476-F1-model_v3.cif	4cx5.cif	-296	3326	3314	11304	3314	0.9963920625375827	0.293
Nos1	P29476	1429.0	815-870	757-949	4cx6	A	F-P29476-F1-model_v3.cif	4cx6.cif	-296	3317	3314	11304	3314	0.9990955682845946	0.293
Nos1	P29476	1429.0	815-870	757-949	4d2y	A	F-P29476-F1-model_v3.cif	4d2y.cif	-296	3323	3314	11304	3314	0.9972916039723142	0.293
Nos1	P29476	1429.0	815-870	757-949	4d2z	A	F-P29476-F1-model_v3.cif	4d2z.cif	-296	3317	3314	11304	3314	0.9990955682845946	0.293
Nos1	P29476	1429.0	815-870	757-949	4d30	A	F-P29476-F1-model_v3.cif	4d30.cif	-296	3323	3314	11304	3314	0.9972916039723142	0.293
Nos1	P29476	1429.0	815-870	757-949	4d31	A	F-P29476-F1-model_v3.cif	4d31.cif	-296	3326	3314	11304	3314	0.9963920625375827	0.293
Nos1	P29476	1429.0	815-870	757-949	4d32	A	F-P29476-F1-model_v3.cif	4d32.cif	-296	3317	3314	11304	3314	0.9990955682845946	0.293
Nos1	P29476	1429.0	815-870	757-949	4d3b	A	F-P29476-F1-model_v3.cif	4d3b.cif	-296	3329	3314	11304	3314	0.9954941423851006	0.293
Nos1	P29476	1429.0	815-870	757-949	4d7o	A	F-P29476-F1-model_v3.cif	4d7o.cif	-296	3323	3314	11304	3314	0.9972916039723142	0.293
Nos1	P29476	1429.0	815-870	757-949	4eux	A	F-P29476-F1-model_v3.cif	4eux.cif	-296	3316	3313	11304	3313	0.9990952955367913	0.293
Nos1	P29476	1429.0	815-870	757-949	4fvw	A	F-P29476-F1-model_v3.cif	4fvw.cif	-296	3336	3313	11304	3313	0.99310551558753	0.293
Nos1	P29476	1429.0	815-870	757-949	4fvx	A	F-P29476-F1-model_v3.cif	4fvx.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	4fvy	A	F-P29476-F1-model_v3.cif	4fvy.cif	-296	3324	3313	11304	3313	0.996690734055355	0.293
Nos1	P29476	1429.0	815-870	757-949	4fvz	A	F-P29476-F1-model_v3.cif	4fvz.cif	-296	3318	3313	11304	3313	0.9984930681133213	0.293
Nos1	P29476	1429.0	815-870	757-949	4fw0	A	F-P29476-F1-model_v3.cif	4fw0.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	4gqe	A	F-P29476-F1-model_v3.cif	4gqe.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	4hop	B	F-P29476-F1-model_v3.cif	4hop.cif	-3	909	901	11304	901	0.9911991199119912	0.08
Nos1	P29476	1429.0	815-870	757-949	4ims	A	F-P29476-F1-model_v3.cif	4ims.cif	-296	3327	3313	11304	3313	0.9957920048091373	0.293
Nos1	P29476	1429.0	815-870	757-949	4imt	A	F-P29476-F1-model_v3.cif	4imt.cif	-296	3319	3313	11304	3313	0.9981922265742693	0.293
Nos1	P29476	1429.0	815-870	757-949	4imu	A	F-P29476-F1-model_v3.cif	4imu.cif	-296	3327	3313	11304	3313	0.9957920048091373	0.293
Nos1	P29476	1429.0	815-870	757-949	4imw	A	F-P29476-F1-model_v3.cif	4imw.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	4jse	A	F-P29476-F1-model_v3.cif	4jse.cif	-296	3348	3319	11304	3319	0.9913381123058542	0.294
Nos1	P29476	1429.0	815-870	757-949	4jsf	A	F-P29476-F1-model_v3.cif	4jsf.cif	-296	3336	3313	11304	3313	0.99310551558753	0.293
Nos1	P29476	1429.0	815-870	757-949	4jsg	A	F-P29476-F1-model_v3.cif	4jsg.cif	-296	3313	3301	11304	3301	0.9963779052218533	0.292
