uniprot	region_1	region_2	af_filename	cluster	cf_filename
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	078	P0AG30_078_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U10-004	P0AG30_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	295	P0AG30_295_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	222	P0AG30_222_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	106	P0AG30_106_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	169	P0AG30_169_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	052	P0AG30_052_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	255	P0AG30_255_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	273	P0AG30_273_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	183	P0AG30_183_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	285	P0AG30_285_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	305	P0AG30_305_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	308	P0AG30_308_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	187	P0AG30_187_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	175	P0AG30_175_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U100-001	P0AG30_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	157	P0AG30_157_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	251	P0AG30_251_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	135	P0AG30_135_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	290	P0AG30_290_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	056	P0AG30_056_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	124	P0AG30_124_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	129	P0AG30_129_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	240	P0AG30_240_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	030	P0AG30_030_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	082	P0AG30_082_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	160	P0AG30_160_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	266	P0AG30_266_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	097	P0AG30_097_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	288	P0AG30_288_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U100-008	P0AG30_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	153	P0AG30_153_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	209	P0AG30_209_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U10-005	P0AG30_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	226	P0AG30_226_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	074	P0AG30_074_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	294	P0AG30_294_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	192	P0AG30_192_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	086	P0AG30_086_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	065	P0AG30_065_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	047	P0AG30_047_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	028	P0AG30_028_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	258	P0AG30_258_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	021	P0AG30_021_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	131	P0AG30_131_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	171	P0AG30_171_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	200	P0AG30_200_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	079	P0AG30_079_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	196	P0AG30_196_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	262	P0AG30_262_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	146	P0AG30_146_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	314	P0AG30_314_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	012	P0AG30_012_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	102	P0AG30_102_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	215	P0AG30_215_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	003	P0AG30_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	281	P0AG30_281_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	178	P0AG30_178_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	117	P0AG30_117_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	061	P0AG30_061_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	233	P0AG30_233_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	138	P0AG30_138_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	211	P0AG30_211_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	301	P0AG30_301_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	016	P0AG30_016_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	310	P0AG30_310_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U10-001	P0AG30_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	070	P0AG30_070_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	007	P0AG30_007_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U100-005	P0AG30_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	043	P0AG30_043_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	237	P0AG30_237_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	113	P0AG30_113_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	218	P0AG30_218_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	249	P0AG30_249_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	244	P0AG30_244_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	120	P0AG30_120_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	299	P0AG30_299_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U10-008	P0AG30_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	164	P0AG30_164_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	034	P0AG30_034_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	039	P0AG30_039_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	204	P0AG30_204_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	142	P0AG30_142_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	025	P0AG30_025_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	068	P0AG30_068_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	093	P0AG30_093_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	277	P0AG30_277_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
