uniprot	pdb	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	conformation	state	organism	date	notes
O08967	6bbq	251-265,383-395	77-206	24.786	100	100	0.926	54.034	Open	Active	Mus musculus	['2017-10-19']	
O60741	5u6p	401-479	480-604	1.182	100	100	0.917	1.29	Closed	Active	Homo sapiens	['2016-12-08']	
O60741	6uqf	401-479	480-604	3.54	100	100	1.051	1.579	Closed	Active	Homo sapiens	['2019-10-19']	
O60741	6uqg	401-479	480-604	1.784	100	100	1.078	1.534	Closed	Active	Homo sapiens	['2019-10-19']	
O60741	5u6o	401-479	480-604	1.516	100	85.6	2.21	2.148	Open	Autoinhibited	Homo sapiens	['2016-12-08']	In the case of HCN-1, the channel is formed by tetramerization of the cytoplasmic C-linker. In its autoinhibited state, the pore is closed. However, I note the conformation here as being 'open' because I am referring only to the conformation taken by the cAMP binding domain (CBD).
O76074	3lfv	403-539	156-331	3.163	74.45255474	100	2.695	3.791	Closed	Autoinhibited	Homo sapiens	['2010-01-18']	In comparison to cGMP-bound mouse PDE2A (12271124)
O76074	3mf0	403-539	156-331	3.048	74.45255474	100	2.658	3.89	Closed	Autoinhibited	Homo sapiens	['2010-04-01']	
O95267	4l9m	468-609	205-436	1.809	88.73239437	100	1.404	2.011	Closed	Autoinhibited	Homo sapiens	['2013-06-18']	
O95376	7od1	359-493	297-326	1.926	100	100	1.145	3.092	Closed	Autoinhibited	Homo sapiens	['2021-04-28']	
P00519	1opl	67-113,127-217	242-493	1.72	100	99.6031746	2.091	1.211	Closed	Autoinhibited	Homo sapiens	['2003-03-06']	
P00519	5mo4	67-113,127-217	242-493	1.719	100	91.26984127	2.084	0.996	Closed	Autoinhibited	Homo sapiens	['2016-12-13']	
P00520	1opk	1-60,61-121,127-217,218-241,383-400	242-493	1.679	75.19685039	92.46031746	2.076	1.654	Closed	Autoinhibited	Mus musculus	['2003-03-06']	
P00523	2ptk	148-245,246-266	81-142,521-533	1.737	100	89.33333333	1.921	3.093	Closed	Autoinhibited	Gallus gallus	['1997-06-17']	
P00579	4llg	2-80	379-449,458-534	13.459	64.55696203	100	1.75	45.352	Open	Active	Enterobacteria phage T7	['2013-07-09']	
P00579	7khi	2-80	379-449,458-534	18.08	94.93670886	100	1.653	51.763	Open	Active	Escherichia coli K-12	['2020-10-21']	
P00579	4lk1	2-80	379-449,458-534	13.988	79.74683544	100	1.689	46.737	Open	Active	Escherichia coli K-12	['2013-07-05']	
P00579	4zh2	2-80	379-449,458-534	13.987	79.74683544	100	1.687	46.736	Open	Active	Escherichia coli K-13	['2015-04-24']	
P00579	4zh3	2-80	379-449,458-534	13.986	79.74683544	100	1.687	46.745	Open	Active	Escherichia coli K-14	['2015-04-24']	
P00579	4zh4	2-80	379-449,458-534	13.986	79.74683544	100	1.687	46.772	Open	Active	Escherichia coli K-15	['2015-04-24']	
P04637	8f2h	364-393	102-292	30.431	100	100	3.065	70.729	Closed	Autoinhibited	"""Homo sapiens"""	['2022-11-08']	
P04637	8f2i	364-393	102-292	30.431	100	100	3.065	70.729	Closed	Autoinhibited	"""Homo sapiens"""	['2022-11-08']	
P06241	1g83	149-246,247-270	82-143,525-537	2.848	77.86885246	78.66666667	1.289	8.766	Closed	Autoinhibited	Homo sapiens	['2000-11-16']	
P07038	7nxf	892-917	562-625	4.914	100	100	1.812	12.107	Closed	Autoinhibited	"""Neurospora crassa"""	['2021-03-18']	“Phosphorylation of Ser913/Thr914 would disturb the contact between the R domain of one monomer and the adjacent P domain.”(34757782)
P07038	7ny1	892-917	562-625	4.914	100	100	1.812	12.107	Closed	Autoinhibited	"""Neurospora crassa"""	['2021-03-19']	
P07038	1mhs	892-917	562-625	14.225	100	100	8.246	22.815	Open	Active	"""Neurospora crassa"""	['2002-08-21']	
P07949	4cki	900-909	724-899,910-1016	3.09	80	91.87279152	2.25	8.035	Open	Active	HOMO SAPIENS	['2014-01-06']	“Taken together, these structural and biochemical data indicate that the closed conformer of the GRL contribute to a cis autoinhibitory mechanism.” This refers to the position of predominantly Y735 as either “inward” or “outward”.  (24560924). This may require redefining regions 1 and 2.
P07949	4ckj	900-909	724-899,910-1016	2.949	90	91.51943463	2.128	7.554	Open	Active	HOMO SAPIENS	['2014-01-06']	
P07949	5fm2	900-909	724-899,910-1016	1.708	80	88.69257951	1.258	7.888	Open	Active	HOMO SAPIENS	['2015-10-30']	
P07949	5fm3	900-909	724-899,910-1016	1.847	80	88.69257951	1.26	8.108	Open	Active	HOMO SAPIENS	['2015-10-30']	
P07949	6i83	900-909	724-899,910-1016	3.061	90	90.81272085	2.207	7.508	Open	Active	Homo sapiens	['2018-11-19']	
P07949	6ne7	900-909	724-899,910-1016	3.178	80	91.87279152	2.317	8.006	Open	Active	Homo sapiens	['2018-12-17']	
P07949	6nec	900-909	724-899,910-1016	2.801	100	93.99293286	2.278	7.987	Open	Active	Homo sapiens	['2018-12-17']	
P07949	6nja	900-909	724-899,910-1016	3.066	80	91.87279152	2.2	7.943	Open	Active	Homo sapiens	['2019-01-02']	
P07949	6vhg	900-909	724-899,910-1016	2.084	90	90.10600707	1.469	8.105	Open	Active	Homo sapiens	['2020-01-09']	
P07949	7du8	900-909	724-899,910-1016	2.719	100	93.99293286	2.236	7.563	Open	Active	Homo sapiens	['2021-01-08']	
P07949	7du9	900-909	724-899,910-1016	2.766	100	93.63957597	2.298	7.512	Open	Active	Homo sapiens	['2021-01-08']	
P07949	7dua	900-909	724-899,910-1016	2.666	100	93.63957597	2.216	7.474	Open	Active	Homo sapiens	['2021-01-08']	
P07949	7ju6	900-909	724-899,910-1016	2.714	100	94.34628975	2.19	7.77	Open	Active	Homo sapiens	['2020-08-19']	
P07949	7nzn	900-909	724-899,910-1016	2.761	80	90.81272085	1.816	7.856	Open	Active	Homo sapiens	['2021-03-24']	
P07949	7run	900-909	724-899,910-1016	2.338	80	90.45936396	1.654	7.877	Open	Active	Homo sapiens	['2021-08-17']	
P07949	2ivs	900-909	724-899,910-1016	2.618	100	92.93286219	2.143	7.973	Open	Active	Homo sapiens	['2006-06-16']	
P07949	2ivt	900-909	724-899,910-1016	2.852	90	91.16607774	1.933	7.676	Open	Active	Homo sapiens	['2006-06-16']	
P07949	2ivu	900-909	724-899,910-1016	2.651	90	90.45936396	1.547	7.902	Open	Active	Homo sapiens	['2006-06-16']	
P07949	2ivv	900-909	724-899,910-1016	2.689	90	89.0459364	1.641	7.902	Open	Active	Homo sapiens	['2006-06-16']	
P07949	2x2k	900-909	724-899,910-1016	2.815	90	91.51943463	1.904	7.857	Open	Active	Homo sapiens	['2010-01-13']	
P07949	2x2l	900-909	724-899,910-1016	2.833	90	90.45936396	1.956	7.643	Open	Active	Homo sapiens	['2010-01-13']	
P07949	2x2m	900-909	724-899,910-1016	2.648	90	89.75265018	1.653	7.707	Open	Active	Homo sapiens	['2010-01-13']	
P08631	1qcf	142-239,240-259	76-136,425-514	1.659	100	96.68874172	1.174	2.104	Closed	Autoinhibited	Homo sapiens	['1999-05-04']	In comparison to 2src/1y57 (P12931)
P08631	3vry	142-239,240-259	76-136,425-514	1.469	94.91525424	96.68874172	1.004	1.665	Closed	Autoinhibited	Homo sapiens	['2012-04-21']	
P08631	3vrz	142-239,240-259	76-136,425-514	1.504	96.61016949	96.68874172	0.998	2.23	Closed	Autoinhibited	Homo sapiens	['2012-04-21']	
P08631	3vs0	142-239,240-259	76-136,425-514	1.556	95.76271186	96.68874172	1.109	2.183	Closed	Autoinhibited	Homo sapiens	['2012-04-21']	
P08631	3vs1	142-239,240-259	76-136,425-514	1.655	92.37288136	96.68874172	1.005	2.391	Closed	Autoinhibited	Homo sapiens	['2012-04-21']	
P08631	3vs2	142-239,240-259	76-136,425-514	1.51	97.45762712	96.68874172	1.042	1.905	Closed	Autoinhibited	Homo sapiens	['2012-04-21']	
P08631	3vs3	142-239,240-259	76-136,425-514	1.442	100	96.68874172	1.039	1.557	Closed	Autoinhibited	Homo sapiens	['2012-04-21']	
P08631	3vs4	142-239,240-259	76-136,425-514	1.529	94.91525424	96.68874172	1.01	1.739	Closed	Autoinhibited	Homo sapiens	['2012-04-21']	
P08631	3vs5	142-239,240-259	76-136,425-514	1.445	96.61016949	96.68874172	1.018	1.679	Closed	Autoinhibited	Homo sapiens	['2012-04-21']	
P08631	3vs6	142-239,240-259	76-136,425-514	1.523	100	96.68874172	1.01	1.881	Closed	Autoinhibited	Homo sapiens	['2012-04-21']	
P08631	3vs7	142-239,240-259	76-136,425-514	1.744	100	96.68874172	1.07	2.317	Closed	Autoinhibited	Homo sapiens	['2012-04-21']	
P08631	4lud	142-239,240-259	76-136,425-514	1.41	98.30508475	93.37748344	0.998	2.256	Closed	Autoinhibited	Homo sapiens	['2013-07-25']	
P08631	4lue	142-239,240-259	76-136,425-514	1.344	96.61016949	96.68874172	0.99	1.671	Closed	Autoinhibited	Homo sapiens	['2013-07-25']	
P08631	5h09	142-239,240-259	76-136,425-514	2.299	100	96.68874172	1.771	1.468	Closed	Autoinhibited	Homo sapiens	['2016-10-04']	
P08631	5h0b	142-239,240-259	76-136,425-514	2.212	100	96.68874172	1.415	1.292	Closed	Autoinhibited	Homo sapiens	['2016-10-04']	
P08631	5h0e	142-239,240-259	76-136,425-514	2.213	100	96.68874172	1.402	1.752	Closed	Autoinhibited	Homo sapiens	['2016-10-04']	
P08631	5h0g	142-239,240-259	76-136,425-514	2.233	100	96.68874172	1.31	1.56	Closed	Autoinhibited	Homo sapiens	['2016-10-04']	
P08631	5h0h	142-239,240-259	76-136,425-514	2.242	100	96.68874172	1.507	1.326	Closed	Autoinhibited	Homo sapiens	['2016-10-04']	
P08631	2c0i	142-239,240-259	76-136,425-514	1.505	100	96.68874172	1.023	1.978	Closed	Autoinhibited	Homo sapiens	['2005-09-03']	
P08631	2c0o	142-239,240-259	76-136,425-514	1.536	100	96.68874172	1.011	1.977	Closed	Autoinhibited	Homo sapiens	['2005-09-06']	
P09769	7uy0	144-241,242-262	77-138,490-529	1.93	100	90.19607843	1.323	2.425	Closed	Autoinhibited	Homo sapiens	['2022-05-06']	
P11142	6b1i	263-287	225-262	3.152	100	100	0.844	0.867	Closed	Autoinhibited	Homo sapiens	['2017-09-18']	
P11142	3fzf	263-287	225-262	4.175	100	100	1.451	1.088	Closed	Autoinhibited	Homo sapiens	['2009-01-26']	
P11142	3fzh	263-287	225-262	4.075	100	100	1.375	1.103	Closed	Autoinhibited	Homo sapiens	['2009-01-26']	
P11142	3fzk	263-287	225-262	4.058	100	100	1.404	1.175	Closed	Autoinhibited	Homo sapiens	['2009-01-26']	
P11142	3fzl	263-287	225-262	4.011	100	100	1.418	1.143	Closed	Autoinhibited	Homo sapiens	['2009-01-26']	
P11142	3fzm	263-287	225-262	3.835	100	100	1.414	1.224	Closed	Autoinhibited	Homo sapiens	['2009-01-26']	
P11142	3ldq	263-287	225-262	4.156	100	100	1.43	1.201	Closed	Autoinhibited	Homo sapiens	['2010-01-13']	
P11142	3m3z	263-287	225-262	3.999	100	100	1.449	1.082	Closed	Autoinhibited	Homo sapiens	['2010-03-10']	
P11142	4h5n	263-287	225-262	3.38	100	100	1.234	1.282	Closed	Autoinhibited	Homo sapiens	['2012-09-18']	
P11142	4h5r	263-287	225-262	3.311	100	100	1.116	1.497	Closed	Autoinhibited	Homo sapiens	['2012-09-18']	
P11142	4h5t	263-287	225-262	2.923	100	100	1.153	1.261	Closed	Autoinhibited	Homo sapiens	['2012-09-18']	
P11142	4h5v	263-287	225-262	3.318	100	100	1.441	1.131	Closed	Autoinhibited	Homo sapiens	['2012-09-18']	
P11142	4h5w	263-287	225-262	3.236	100	100	1.004	1.266	Closed	Autoinhibited	Homo sapiens	['2012-09-19']	
P11142	4hwi	263-287	225-262	3.588	100	100	1.446	1.055	Closed	Autoinhibited	Homo sapiens	['2012-11-07']	
P11142	5aqf	263-287	225-262	3.99	100	100	1.38	1.071	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqg	263-287	225-262	3.97	100	100	1.419	1.069	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqh	263-287	225-262	3.915	100	100	1.384	1.107	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqi	263-287	225-262	3.88	100	100	1.393	1.101	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqj	263-287	225-262	3.781	100	100	1.42	1.119	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqk	263-287	225-262	4.054	100	100	1.436	1.129	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aql	263-287	225-262	3.968	96	100	1.404	1.228	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqm	263-287	225-262	3.938	96	100	1.38	1.234	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqn	263-287	225-262	3.918	100	100	1.447	1.188	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqo	263-287	225-262	3.904	100	100	1.395	1.104	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqp	263-287	225-262	3.923	100	100	1.414	1.172	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqq	263-287	225-262	3.903	100	100	1.391	1.231	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqr	263-287	225-262	3.916	100	100	1.399	1.168	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqs	263-287	225-262	3.96	100	100	1.475	1.195	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqt	263-287	225-262	3.932	100	100	1.381	1.159	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqu	263-287	225-262	3.897	100	100	1.353	1.128	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	5aqv	263-287	225-262	3.762	100	100	1.398	1.108	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']	
P11142	6b1n	263-287	225-262	3.091	100	100	0.873	0.827	Closed	Autoinhibited	Homo Sapiens	['2017-09-18']	
P11142	6zyj	263-287	225-262	3.2	100	100	1.122	0.922	Closed	Autoinhibited	Homo sapiens	['2020-08-01']	
P12931	1fmk	249-269,151-248	84-145,524-536	1.857	100	96	3.709	7.045	Closed	Autoinhibited	Homo sapiens	['1997-01-24']	
P12931	1ksw	249-269,151-248	84-145,524-536	1.767	100	94.66666667	3.378	5.018	Closed	Autoinhibited	Homo sapiens	['2002-01-14']	
P12931	2h8h	249-269,151-248	84-145,524-536	1.346	100	88	1.52	2.7	Closed	Autoinhibited	Homo sapiens	['2006-06-07']	
P12931	2src	249-269,151-248	84-145,524-536	1.693	100	94.66666667	3.333	5.354	Closed	Autoinhibited	Homo sapiens	['1998-12-29']	
P12931	4k11	249-269,151-248	84-145,524-536	1.254	100	92	1.671	2.074	Closed	Autoinhibited	Homo sapiens	['2013-04-04']	
P12931	7yqe	249-269,151-248	84-145,524-536	2.092	81.51260504	78.66666667	1.268	6.031	Closed	Autoinhibited	Homo sapiens	['2022-08-06']	
P12931	1y57	249-269,151-248	84-145,524-536	24.076	100	97.33333333	3.462	47.288	Open	Active	Homo sapiens	['2004-12-02']	
P13864	3pt6	649-695	1142-1601	7.752	95.74468085	99.7826087	1.101	34.613	Closed	Autoinhibited	Mus musculus	['2010-12-02']	
P14633	1na6	26-100	185-404	2.214	94.66666667	85	1.765	4.067	Closed	Autoinhibited	Escherichia coli	['2002-11-26']	
P14921	1gvj	280-330	335-415	12.171	66.66666667	100	1.208	25.345	Open	Active	HOMO SAPIENS	['2002-02-14']	Based on comparison to P27577.
P15036	4bqa	325-359	363-443	9.352	88.57142857	100	1.054	20.233	Open	Active	HOMO SAPIENS	['2013-05-30']	
P15498	3ky9	131-178	194-373	3.514	66.66666667	100	1.392	6.16	Closed	Autoinhibited	Homo sapiens	['2009-12-04']	
P15498	6nf1	131-178	194-373	3.322	83.33333333	100	1.239	7.783	Closed	Autoinhibited	Homo sapiens	['2018-12-18']	
P16298	4or9	417-423,474-496	22-357	3.088	83.33333333	100	0.919	9.016	Closed	Autoinhibited	Homo sapiens	['2014-02-11']	
P16298	4ora	417-423,474-496	22-357	2.697	73.33333333	100	0.946	6.849	Closed	Autoinhibited	Homo sapiens	['2014-02-11']	
P18654	2qr7	697-712	328-679	3.175	93.75	73.01136364	3.307	1.829	Closed	Autoinhibited	Mus musculus	['2007-07-27']	
P18654	2qr8	697-712	328-679	3.4	100	74.43181818	3.539	2.184	Closed	Autoinhibited	Mus musculus	['2007-07-27']	
P18654	4m8t	697-712	328-679	3.726	100	76.13636364	3.905	1.875	Closed	Autoinhibited	Mus musculus	['2013-08-13']	
P18654	4mao	697-712	328-679	3.27	100	74.71590909	3.427	1.797	Closed	Autoinhibited	Mus musculus	['2013-08-16']	
P18654	5o1s	697-712	328-679	3.16	100	72.72727273	3.291	2.328	Closed	Autoinhibited	Mus musculus	['2017-05-19']	
P19174	4ey0	757-790	668-756	8.164	67.64705882	100	1.125	26.865	Closed	Autoinhibited	Homo sapiens	['2012-05-01']	
P19174	4fbn	757-790	668-756	8.68	67.64705882	100	1.174	28.223	Closed	Autoinhibited	Homo sapiens	['2012-05-23']	
P21333	2j3s	2142-2235	2236-2325	10.018	84.04255319	100	2.112	21.192	Closed	Autoinhibited	HOMO SAPIENS	['2006-08-23']	
P21333	4p3w	2142-2235	2236-2325	15.047	82.9787234	100	1.238	50.342	Open	Active	Homo sapiens	['2014-03-10']	
P22681	1fbv	353-380	381-435	24.937	100	98.18181818	5.263	34.316	Closed	Autoinhibited	Homo sapiens	['2000-07-17']	
P22681	2k4d	353-380	381-435	16.721	82.14285714	100	1.96	30.187	Closed	Autoinhibited	Homo sapiens	['2008-06-06']	
P22681	2y1m	353-380	381-435	23.817	82.14285714	100	3.101	22.284	Closed	Autoinhibited	HOMO SAPIENS	['2010-12-08']	
P22681	2y1n	353-380	381-435	24.485	75	100	3.432	25.56	Closed	Autoinhibited	HOMO SAPIENS	['2010-12-08']	
P22681	5hkx	353-380	381-435	19.747	67.85714286	89.09090909	1.005	17.974	Closed	Autoinhibited	Homo sapiens	['2016-01-14']	
P22681	5j3x	353-380	381-435	23.672	85.71428571	100	2.962	27.744	Closed	Autoinhibited	Homo sapiens	['2016-03-31']	
P22681	4a49	353-380	381-435	1.351	71.42857143	100	1.365	1.498	Open	Active	Homo sapiens	['2011-10-07']	
P22681	4a4b	353-380	381-435	1.359	92.85714286	100	1.149	2.465	Open	Active	HOMO SAPIENS	['2011-10-08']	The inhibitory and active regions are mislabeled. The active domain is the TKBD, from 47-353, and the inhibitory module is the RING domain, 381-435. These will have to be redefined. 
P22681	4a4c	353-380	381-435	1.37	96.42857143	100	1.157	2.208	Open	Active	HOMO SAPIENS	['2011-10-08']	
P22681	5o76	353-380	381-435	1.828	92.85714286	98.18181818	1.685	2.466	Open	Active	Homo sapiens	['2017-06-08']	
P26358	3pta	647-714	1140-1602	7.897	100	98.70410367	1.626	28.409	Closed	Autoinhibited	Homo sapiens	['2010-12-02']	
P26358	4wxx	647-714	1140-1602	1.673	97.05882353	99.56803456	0.974	2.18	Closed	Autoinhibited	Homo sapiens	['2014-11-14']	
P26358	3swr	647-714	1140-1602	7.184	100	99.56803456	1.007	27.137	Open	Active	Homo sapiens	['2011-07-14']	
P26358	7xi9	647-714	1140-1602	8.479	66.17647059	100	3.268	36.219	Open	Active	Homo sapiens	['2022-04-12']	
P27577	1r36	304-310,416-441	335-415	3.953	93.93939394	100	2.394	4.394	Closed	Autoinhibited	Mus musculus	['2003-09-30']	
P27577	1md0	304-310,416-441	335-415	9.778	87.87878788	100	1.196	14.492	Open	Active	Mus musculus	['2002-08-06']	
P27577	6da1	304-310,416-441	335-415	8.249	90.90909091	100	1.402	13.892	Open	Active	Mus musculus	['2018-05-01']	“The SRR both sterically blocks the DNA-recognition interface of the ETS domain and stabilizes helices HI-1 and HI-2 of the IM against unfolding that is allosterically linked to DNA binding.” HI-1 is residues 304-310. 
P27577	6dat	304-310,416-441	335-415	8.363	84.84848485	100	1.066	14.391	Open	Active	Mus musculus	['2018-05-02']	
P28482	1pme	173-196	25-172,197-313	2.422	100	96.60377358	1.22	6.639	Closed	Autoinhibited	Homo sapiens	['1998-06-08']	
P28482	1tvo	173-196	25-172,197-313	2.497	100	100	1.523	6.633	Closed	Autoinhibited	Homo sapiens	['2004-06-30']	
P28482	1wzy	173-196	25-172,197-313	2.515	100	100	1.768	6.306	Closed	Autoinhibited	Homo sapiens	['2005-03-10']	
P28482	2y9q	173-196	25-172,197-313	1.967	100	100	1.261	4.431	Closed	Autoinhibited	HOMO SAPIENS	['2011-02-16']	
P28482	3sa0	173-196	25-172,197-313	3.34	100	98.86792453	1.286	6.758	Closed	Autoinhibited	Homo sapiens	['2011-06-02']	
P28482	3tei	173-196	25-172,197-313	1.647	70.83333333	98.49056604	1.086	3.565	Closed	Autoinhibited	Homo sapiens	['2011-08-15']	
P28482	4fmq	173-196	25-172,197-313	2.001	100	100	1.378	4.521	Closed	Autoinhibited	Homo sapiens	['2012-06-18']	
P28482	4fux	173-196	25-172,197-313	2.21	100	99.62264151	1.214	6.543	Closed	Autoinhibited	Homo sapiens	['2012-06-28']	
P28482	4fuy	173-196	25-172,197-313	2.274	100	96.60377358	1.209	6.625	Closed	Autoinhibited	Homo sapiens	['2012-06-28']	
P28482	4fv0	173-196	25-172,197-313	2.225	100	98.86792453	1.161	6.678	Closed	Autoinhibited	Homo sapiens	['2012-06-28']	
P28482	4fv1	173-196	25-172,197-313	2.132	100	99.62264151	1.207	6.53	Closed	Autoinhibited	Homo sapiens	['2012-06-28']	
P28482	4fv2	173-196	25-172,197-313	2.205	100	99.62264151	1.188	6.595	Closed	Autoinhibited	Homo sapiens	['2012-06-29']	
P28482	4fv3	173-196	25-172,197-313	2.19	100	99.62264151	1.212	6.486	Closed	Autoinhibited	Homo sapiens	['2012-06-29']	
P28482	4fv7	173-196	25-172,197-313	2.176	100	99.24528302	1.278	6.332	Closed	Autoinhibited	Homo sapiens	['2012-06-29']	
P28482	4g6n	173-196	25-172,197-313	2.175	100	99.62264151	1.131	6.631	Closed	Autoinhibited	Homo sapiens	['2012-07-19']	
P28482	4g6o	173-196	25-172,197-313	2.112	100	98.49056604	1.125	6.529	Closed	Autoinhibited	Homo sapiens	['2012-07-19']	
P28482	4h3p	173-196	25-172,197-313	1.676	70.83333333	99.62264151	1.317	3.311	Closed	Autoinhibited	Homo sapiens	['2012-09-14']	
P28482	4h3q	173-196	25-172,197-313	1.929	100	98.86792453	1.171	4.996	Closed	Autoinhibited	Homo sapiens	['2012-09-14']	
P28482	4iz5	173-196	25-172,197-313	1.962	95.83333333	100	1.173	4.595	Closed	Autoinhibited	Homo sapiens	['2013-01-29']	
P28482	4iza	173-196	25-172,197-313	1.708	91.66666667	100	1.085	3.837	Closed	Autoinhibited	Homo sapiens	['2013-01-29']	
P28482	4n0s	173-196	25-172,197-313	2.866	100	98.49056604	1.24	6.715	Closed	Autoinhibited	Homo sapiens	['2013-10-02']	
P28482	4nif	173-196	25-172,197-313	1.841	87.5	100	1.26	4.297	Closed	Autoinhibited	Homo sapiens	['2013-11-06']	
P28482	4qp1	173-196	25-172,197-313	2.096	100	99.62264151	1.462	5.293	Closed	Autoinhibited	Homo sapiens	['2014-06-22']	
P28482	4zxt	173-196	25-172,197-313	2.837	100	98.86792453	1.282	6.749	Closed	Autoinhibited	Homo sapiens	['2015-05-20']	
P28482	4zzm	173-196	25-172,197-313	2.25	100	99.24528302	1.17	6.989	Closed	Autoinhibited	HOMO SAPIENS	['2015-04-10']	
P28482	4zzn	173-196	25-172,197-313	2.157	100	99.24528302	1.133	6.784	Closed	Autoinhibited	HOMO SAPIENS	['2015-04-10']	
P28482	4zzo	173-196	25-172,197-313	2.162	100	99.24528302	1.122	6.989	Closed	Autoinhibited	HOMO SAPIENS	['2015-04-10']	
P28482	5ax3	173-196	25-172,197-313	2.045	62.5	95.8490566	1.644	3.952	Closed	Autoinhibited	Homo sapiens	['2015-07-14']	
P28482	5lcj	173-196	25-172,197-313	2.226	100	99.62264151	1.132	6.642	Closed	Autoinhibited	Homo sapiens	['2016-06-22']	
P28482	5lck	173-196	25-172,197-313	2.295	100	99.24528302	1.165	6.678	Closed	Autoinhibited	Homo sapiens	['2016-06-22']	
P28482	5ngu	173-196	25-172,197-313	2.161	100	99.24528302	1.23	6.54	Closed	Autoinhibited	Homo sapiens	['2017-03-20']	
P28482	5nhf	173-196	25-172,197-313	2.169	100	99.24528302	1.111	6.623	Closed	Autoinhibited	Homo sapiens	['2017-03-21']	
P28482	5nhh	173-196	25-172,197-313	2.155	100	99.62264151	1.228	6.329	Closed	Autoinhibited	Homo sapiens	['2017-03-21']	
P28482	5nhj	173-196	25-172,197-313	2.193	100	99.62264151	1.252	6.319	Closed	Autoinhibited	Homo sapiens	['2017-03-21']	
P28482	5nhl	173-196	25-172,197-313	2.087	100	99.62264151	1.176	6.236	Closed	Autoinhibited	Homo sapiens	['2017-03-21']	
P28482	5nho	173-196	25-172,197-313	2.144	100	99.62264151	1.249	6.284	Closed	Autoinhibited	Homo sapiens	['2017-03-22']	
P28482	5nhp	173-196	25-172,197-313	2.06	100	99.62264151	1.148	6.41	Closed	Autoinhibited	Homo sapiens	['2017-03-22']	
