Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB,Number of PDBs
,,,P00524,,,,,,,,Tyrosine-protein kinase transforming protein Src (EC 2.7.10.2) (pp60v-src) (p60-Src) (v-Src),V-SRC,526,Avian leukosis virus RSA (RSV-SRA) (Rous sarcoma virus (strain Schmidt-Ruppin A)),81-142(SH3 domain);246-266(SH2-CD linker);400-427(Activation loop),"9405157, 15489910, 24103328, 25302671","Annotation was made based on sequence similarity with SRC(P00523, Gallus gallus). SRC is a non-receptor protein tyrosine kinase involved in a variety of signal transduction pathways. The C-terminal autoinhibitory region interacts with the SH2 domain to inhibit the kinase domain.",Annotated by sequence similarity,, 1BKL 1BKM 1IS0 1KC2 1NZL 1NZV 1SHA 1SHB 1SKJ 1SPR 1SPS,11
,,,Q9Y5K5,,,,,,,,Ubiquitin carboxyl-terminal hydrolase isozyme L5,UCHL5,,Homo sapiens (Human),,25702870,Protease that specifically cleaves 'Lys-48'-linked polyubiquitin chains. Deubiquitinating enzyme associated with the 19S regulatory subunit of the 26S proteasome. Putative regulatory component of the INO80 complex; however is inactive in the INO80 complex and is activated by a transient interaction of the INO80 complex with the proteasome via ADRM1.,Experimentally validated,Yes,3A7S 3A7S 3IHR 3RII 3RIS 3TB3 4UEL 4UEM 4UF5 4UF6 4WLP,11
,,,Q96Q15,,,,,,,,Serine/throenine-protein kinase SMG1,SMG1,,Homo sapiens (Human),,34698635,Serine/threonine protein kinase involved in both mRNA surveillance and genotoxic stress response pathways.,Experimentally validated,Yes,7PW4 6L53 6L54 6SYT 6Z3R 7PW4 7PW5 7PW6 7PW7 7PW8 7PW9,11
,,,Q8NBR6,,,,,,,,Ubiquitin carboxyl-terminal hydrolase MINDY-2,MINDY2,,Homo sapiens (Human),,34529927,Hydrolase that can remove 'Lys-48'-linked conjugated ubiquitin from proteins,Experimentally validated,Yes,6TUV 6Z7V 6TXB 6YJG 6Y6R 6Z90 6Z49 7NPI. 6Z49 6Z7V 7NPI,11
,,,O15318,,,,,,,,DNA-directed RNA polymerase III subunit RPC7,POL3RG,,Homo sapiens (Human),,33558766,"DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Specific peripheric component of RNA polymerase III which synthesizes small RNAs, such as 5S rRNA and tRNAs",Experimentally validated,Yes,7AE1 7A6H 7AE1 7AE3 7AEA 7D58 7D59 7DN3 7DU2 7FJI 7FJJ,11
ARIH1,408-557,ENSG00000166233,Q9Y4X5,23707686,557,Ring 2,339-392,,ENST00000379887,Uniprot,E3 ubiquitin-protein ligase ARIH1 (EC 2.3.2.31) (H7-AP2) (HHARI) (Monocyte protein 6) (MOP-6) (Protein ariadne-1 homolog) (ARI-1) (UbcH7-binding protein) (UbcM4-interacting protein) (Ubiquitin-conjugating enzyme E2-binding protein 1),ARIH1 ARI MOP6 UBCH7BP HUSSY-27,557,Homo sapiens (Human),408-557(Ariadne domain),"23707686, 24076655","E3 ubiquitin-protein ligase ARIH1 is an E3 ubiquitin-protein ligase, which catalyzes ubiquitination of target proteins together with ubiquitin-conjugating enzyme E2 UBE2L3, and acts as an atypical E3 ubiquitin-protein ligase by working together with cullin-RING ubiquitin ligase (CRL) complexes and initiating ubiquitination of CRL substrates. ARIH1 is autoinhibited by the ariadne domain, which masks the second RING-type zinc finger that contains the active site and inhibits the E3 activity. The inhibition is relieved upon binding to neddylated cullin-RING ubiquitin ligase complexes, which activate the E3 ligase activity of ARIH1.",Experimentally validated,, 1WD2 2M9Y 4KBL 4KC9 5TTE 5UDH 7B5L 7B5M 7B5N 7B5S,10
CRK,239-294,ENSG00000167193,P46108,27135163,304,SH3,132-192,,ENST00000300574,Uniprot,Adapter molecule crk (Proto-oncogene c-Crk) (p38),CRK,304,Homo sapiens (Human),224-296(C-terminal SH3 domain),"17515907, 8183562","CRK regulates transcription and cytoskeletal reorganization for cell growth and motility by linking tyrosine kinases to small G proteins. The SH2 and nSH3 domains are used to recruit their target proteins. The interaction between SH2 and inter-domain linker between nSH3 and cSH3 detaches the SH2-targeting proteins. In mouse CRK (Q64010) mutant experiments, it was discovered that cSH3 negatively regulates the function of nSH3.",Experimentally validated,, 1JU5 2DVJ 2EYV 2EYW 2EYX 2EYY 2EYZ 2MS4 5UL6 6ATV,10
EIF4G1,607-618,ENSG00000114867,Q04637,23901100,1599,eIF3/EIF4A-binding,682-1085,,ENST00000346169,Uniprot,Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220),EIF4G1 EIF4F EIF4G EIF4GI,1599,Homo sapiens (Human),155-279(Pilin domain),20478255,"The Escherichia coli fimbrial adhesive protein, FimH, mediates shear-dependent binding to mannosylated surfaces via force-enhanced allosteric catch bonds. The anchoring (pilin) domain (155-279) of FimH interacts with the mannose-binding (lectin) domain and causes a twist in the b sandwich fold of the latter. This loosens the mannose-binding pocket on the opposite end of the lectin domain, resulting in an inactive low-affinity state of the adhesin.",Experimentally validated,, 1LJ2 1UG3 2W97 4AZA 4F02 5EHC 5EI3 5EIR 5T46 6ZMW,10
RPS6KA3,694-711,ENSG00000177189,P51812,27135163,740,"NTKD,CTKD","68-327,422-679",Uniprot,ENST00000379565,Uniprot,Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2),RPS6KA3 ISPK1 MAPKAPK1B RSK2,740,Homo sapiens (Human),697-712(Putative autoinhibitory alpha helix),"22683790, 24085294, 18084304","The 90-kDa ribosomal S6 kinase 2 (RSK2) is broadly expressed in response to growth factors, peptide hormones, neurotransmitters, chemokines and other stimuli. The scaffold of the RSK2 CTD is stabilized by the ?L-helix, which occupies the ‘cradle’, rather than by the T-loop. On the basis of this structure of the CTD of RSK2, ERKs are likely to be involved in abolishing the autoinhibitory function of the CTD. The ERKs binding site (residues 726–735) is located at the RSK2 C terminus close to the ?L-helix (residues 696–710). Efficient activation of RSK2 requires interaction with extracellular signal–regulated protein kinases (ERKs) at a docking site in the RSK2 C terminus (residues 726–735) and subsequent phosphorylation of Thr577 in the CTD T-activation loop.",Experimentally validated,, 4D9T 4D9U 4JG6 4JG7 4JG8 4NUS 4NW5 4NW6 5D9K 5D9L,10
STK3,279-435,ENSG00000104375,Q13188,27135163,491,Kinase,27-278,Uniprot,ENST00000419617,Uniprot,Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) (Serine/threonine-protein kinase Krs-1) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)],STK3 KRS1 MST2,491,Homo sapiens (Human),327-392(Inhibitory domain);436-491(SARAH domain),"21102585, 22042863","The Mst1/2 kinases are cytosolic Ste20-related kinases activated by autophosphorylation. Designated class II GC kinases, Mst1 and Mst2, share 76% sequence identity and contain an N-terminal catalytic domain, followed successively by an autoinhibitory segment and a coiled-coil SARAH domain that mediates hetero- and homo-dimerisation. Mst1 and Mst2 also become activated in cells undergoing apoptosis from a variety of stimuli. The activation mechanism is unclear, however, once activated, both kinases undergo cleavage by caspase3 at sites just carboxyterminal to their catalytic domains . The resultant catalytic polypeptides display an altered substrate specificity and lacks their autoinhibitory domain. The caspase-cleaved catalytic fragments are highly and constitutively active with unrestricted nuclear access.",Experimentally validated,, 3WWS 4HKD 4L0N 4LG4 4LGD 4OH9 5BRM 5DH3 6AO5 6AR2,10
ERBB4,676-684,ENSG00000178568,Q15303,16777603,1308,Kinase,718-935,Uniprot,ENST00000342788,Uniprot,Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)],ERBB4 HER4,1308,Homo sapiens (Human),171-313(Domain II);487-624(Domain IV),16777603,"ERBB2 is a receptor tyrosine protein kinase playing critical roles in regulating cell proliferation, differentiation, and migration. The potential autoinhibitory regions were predicted by sequence similarity with human EGFR (P00533).",Annotated by sequence similarity,, 2AHX 2L2T 2LCX 2R4B 3BBT 3BBW 3BCE 3U2P 3U7U 3U9U,10
,,,P35520,,,,,,,,Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase),CBS,551,Homo sapiens (Human),414-551(Autoinhibitory domain),11524006,Cystathionine beta-synthase (CBS) is a key regulatory point in the biosynthesis of cysteine via the transsulfuration pathway. CBS is activated by S-adenosyl-L-methionine (AdoMet) by inducing a conformational change involving a noncatalytic C-terminal region spanning residues 414-551. The discovery of mutants (S466L and I435T) from patients represents the autoinhibitory role of the C-terminal region.,Experimentally validated,, 1JBQ 1M54 4COO 4L0D 4L27 4L28 4L3V 4PCU 4UUU 5MMS,10
,,,O08808,,,,,,,,Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1) (p140mDIA) (mDIA1),Diaph1 Diap1,1255,Mus musculus (Mouse),131-378(DID domain);1180-1199(DAD domain),"16292343, 20927343","Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. The autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. Autoinhibition is relieved by GTP-bound Rho proteins, which bind to the DID and an adjacent GTPase binding (G) element, and consequently displace the DAD.",Experimentally validated,, 1V9D 1Z2C 2BAP 2BNX 2F31 2V8F 3EG5 3O4X 3OBV 4UWX,10
,,,P27577,,,,,,,,Protein C-ets-1 (p54),Ets1 Ets-1,440,Mus musculus (Mouse),304-310(Alpha-helix HI-1 in N-terminal inhibitory domain);412-441(C-terminal inhibitory region),"25670864, 26195629, 9334186",ETS1 is  a member of the Ets family of DNA binding transcription factors. It is subject to mulple levels of regulation of their DNA binding and transactivation properties. ETS1 autoinhibition is mediated by the packing of helices within the N-terminal inhibitory domain and C-terminal inhibitory domain onto helix H1 of the ETS domain.,Experimentally validated,, 1K78 1K79 1K7A 1MD0 1MDM 1R36 2JV3 2KMD 6DA1 6DAT,10
,,,P0AES4,,,,,,,,DNA gyrase subunit A (EC 5.6.2.2),gyrA hisW nalA parD b2231 JW2225,875,Escherichia coli (strain K12),76-136(SH3 domain);142-239(SH2 domain);240-259(SH2-CD linker);514-524(C-terminal regulatory tail),"20810664, 18563293","Tyrosine-protein kinase Hck is a member of the Src family kinases, and the control of Hck activity is essential for normal cellular function. It contains modular SH3 and SH2 domains, a regulatory linker (SH2-CD linker), the catalytic or kinase domain (SH1 domain), and a C-terminal negative regulatory tail. The SH3 and SH2-CD linker domains work together to downregulate kinase activity by engaging their intramolecular ligands (SH2 binds to the linker and SH2 binds to the tail). Kinase activity is also regulated by phosphorylation at regulatory tyrosine residues in C-terminal regulatory tail. Phosphorylation at Tyr-409 is required for optimal activity, and the phosphorylation at Tyr-520 inhibits kinase activity.",Experimentally validated,, 1AB4 1X75 1ZI0 2Y3P 3NUH 4ELY 6RKS 6RKU 6RKV 6RKW,10
,,,P53686,,,,,,,,NAD-dependent protein deacetylase HST2 (EC 2.3.1.286) (Homologous to SIR2 protein 2) (Regulatory protein SIR2 homolog 2),HST2 YPL015C LPA2C,357,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),930-961(Juxtamembrane domain),17586502,Insulin-like growth factor 1 receptor(IGF-I receptor). The JM(juxtamembrane) region of the human insulin-like growth factor I receptor (IGF1R) plays a role in kinase regulation. The JM region is involved in regulating IGF1R activity by inhibiting the autophosphorylation activity of the kinase. The JM region of IGF1R also plays an important role in limiting the basal activity of the receptor.,Experimentally validated,, 1Q14 1Q17 1Q1A 1SZC 1SZD 2OD2 2OD7 2OD9 2QQF 2QQG,10
,,,Q7Z434,,,,,,,,Mitochondrial antiviral-signaling protein (MAVS) (CARD adapter inducing interferon beta) (Cardif) (Interferon beta promoter stimulator protein 1) (IPS-1) (Putative NF-kappa-B-activating protein 031N) (Virus-induced-signaling adapter) (VISA),MAVS IPS1 KIAA1271 VISA,540,Homo sapiens (Human),286-348(Autoinhibitory region),11238883,"MCF2 protein is the prototype member of a large family of guanine nucleotide exchange factors (GEFs) that modulates the Rho family of GTPases. Removal of the N-terminal region results in a significant increase of MCF2 activity. Specifically, the autoinhibitory region binds to the PH domain, and limits the access of Rho GTPases to the catalytic DH domain and masks the intracellular targeting function of the PH domain.",Experimentally validated,, 2MS7 2MS8 2VGQ 3J6C 3J6J 3RC5 4P4H 4Z8M 5JEK 7DNI,10
,,,P41743,,,,,,,,Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota),PRKCI DXS1179E,596,Homo sapiens (Human),123-140(Pseudosubstrate region),25035426,"PRKCI, an atypical PKC (aPKC) isoform, is an important kinase in multiple cellular processes and regulated by the phosphatidylinositol 3-kinase product phosphatidylinositol 3,4,5- (PO4)3 (PIP3). In aPKC molecule, the arginine motif (125-134) in the pseudosubstrate region on the regulatory domain binds to acidic residues in the substate-biding region on the catalytic domain leading to the “off” state of aPKCs. The unfolding structure and autoinhibition of aPKC are released by competing with acidic ligand PIP3 and consequently exposing the substrate-binding site.",Experimentally validated,, 1VD2 1WMH 1ZRZ 3A8W 3A8X 3ZH8 5LI1 5LI9 5LIH 6ILZ,10
,,,P60484,,,,,,,,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",,,Homo sapiens (Human),,33288731,"Tumor suppressor. Acts as a dual-specificity protein phosphatase, dephosphorylating tyrosine-, serine- and threonine-phosphorylated proteins. Also acts as a lipid phosphatase, removing the phosphate in the D3 position of the inositol ring from phosphatidylinositol 3,4,5-trisphosphate, phosphatidylinositol 3,4-diphosphate, phosphatidylinositol 3-phosphate and inositol 1,3,4,5-tetrakisphosphate with order of substrate preference in vitro PtdIns(3,4,5)P3 > PtdIns(3,4)P2 > PtdIns3P > Ins(1,3,4,5)P4 ",Experimentally validated,Yes,1DR5 1D5R 2KYL 4O1V 5BUG 5BZX 5BZZ 7JUK 7JUL 7JVX,10
ETV6,410-452,ENSG00000139083,P41212,20400516,452,ETS,339-409,Uniprot,ENST00000396373,Uniprot,,,,,,,,,, 1JI7 1LKY 2DAO 2QAR 2QB0 2QB1 5L0P 7JU2 7N1O 7N2B,10
ARHGAP1,"1-48,169-197",ENSG00000175220,Q07960,27135163,439,Rho-GAP,244-431,22355143,ENST00000311956,Uniprot,Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP),ARHGAP1 CDC42GAP RHOGAP1,439,Homo sapiens (Human),1-48(N-terminal fragments);169-197(Autoinhibitory region),15596440,"ARHGAP1 is a GTPase activator for the Rho, Rac and Cdc42 proteins, having a role in the organization of numerous cell functions, such as polarity, motility, shape changes, membrane trafficking, gene expression, or production of toxic oxygen metabolites. Similarly to other GTP-binding proteins, it is active in the GTP-bound form and inactive in the GDP bound state. It is in an autoinhibited conformation stabilized by thestretches 1–48 and 169–197 and the prenyl group of the small GTPase plays a role in releasing this intramolecular restraint.",Experimentally validated,, 1AM4 1GRN 1OW3 1RGP 1TX4 2NGR 5M6X 5M70 6R3V,9
ARHGEF11,672-730,ENSG00000132694,O15085,21816819,1522,DH and PH,734-1079,,ENST00000361409,Uniprot,Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF),ARHGEF11 KIAA0380,1522,Homo sapiens (Human),672-712(Autoinhibitory region),21816819,"ARHGEF11 belongs to a small family of RhoA-specific nucleotide exchange factors that mediates signaling through select G-protein-coupled receptors via G?12/13 and activates RhoA by catalyzing the exchange of GDP to GTP. ARHGEF11 is a multidomain protein composed of PDZ, regulators of G-protein signaling-like (RGSL), Dbl-homology (DH), and pleckstrin-homology (PH) domains. The autoinhibitory activity resides in the 672-712 fragment in such a way that it disturbs the catalytically competent conformation of the GEF switch.",Experimentally validated,, 1HTJ 1XCG 2DLS 3KZ1 3T06 5E6P 5JHG 5JHH 5TYT,9
DAPK2,292-301,ENSG00000035664,Q9UIK4,21497605,370,Kinase,23-285,Uniprot,ENST00000457488,Ensembl,Death-associated protein kinase 2 (DAP kinase 2) (EC 2.7.11.1) (DAP-kinase-related protein 1) (DRP-1),DAPK2,370,Homo sapiens (Human),292-301(Autoinhibitory domain),21497605,"DAPK2 is calmodulin-dependent protein kinase that is regulated by oligomerization, calmodulin binding, and autophosphorylation. DAPK2 has an autoinhibitory region that plays the central role in kinase regulation. The autoinhibitory domain sterically blocks the substrate peptide-binding site by making both hydrophobic and electrostatic contacts with the kinase core",Experimentally validated,, 1WMK 1WRZ 1Z9X 1ZUZ 1ZWS 2A27 2A2A 2CKE 6PAW,9
NCF1,226-390,ENSG00000158517,P14598,Uniprot,390,PX,4-125,Uniprot,ENST00000289473,Uniprot,Neutrophil cytosol factor 1 (NCF-1) (47 kDa autosomal chronic granulomatous disease protein) (47 kDa neutrophil oxidase factor) (NCF-47K) (Neutrophil NADPH oxidase factor 1) (Nox organizer 2) (Nox-organizing protein 2) (SH3 and PX domain-containing protein 1A) (p47-phox),NCF1 NOXO2 SH3PXD1A,390,Homo sapiens (Human),60-110(Autoinhibitory region),20527928,"NCK2 is cytoplasmic protein participating in the reorganization of actin cytoskeleton and in the formation of the immunological synapses. The autoinhibitory domain locates at a conserved non-canonical (K/R)x(K/R)RxxS sequence, specifically at residues 60-110 linker between the SH3.1 and SH3.2. The autoinhibitory domain binds to the SH3.2 domain via acidic electrostatic potential on the SH3 domain surface and masks the proline-rich sequence (PRS) binding site of SH3.2 from its ligands. Only high affinity stable interactions can overcome the inhibitory interaction; such as phosphorylation of Ser85 at the interaction site.",Experimentally validated,, 1GD5 1K4U 1KQ6 1NG2 1O7K 1OV3 1UEC 1W70 1WLP,9
NCK2,60-109,ENSG00000071051,O43639,27135163,380,SH3,111-170,,ENST00000233154,Uniprot,Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta),NCK2 GRB4,380,Homo sapiens (Human),1-140(C2 domain),"19343052, 17719543","The C2-WW-HECT-domainE3 proteins downregulates transforming growth factor-? (TGF-?) signaling by targeting itself, the adaptor protein Smad7, and TGF-? receptor kinases for degradation. Like Smurf2, full-length ITCH, Nedd4 and WWP2 enzymes show low ubiquitination levels. The level is significantly enhanced by deleting C2 domain. Removal of the C2 domain (?N140) from NEDD4 greatly increased its activity in vitro, as judged by its self-ubiquitination, and it could not be stimulated further by NDFIP1.",Experimentally validated,, 1U5S 1WX6 1Z3K 2B86 2CIA 2FRW 2FRY 2JXB 4E6R,9
NFKB2,455-900,ENSG00000077150,Q00653,27135163,900,RHD,38-343,Uniprot,ENST00000369966,Uniprot,Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit],NFKB2 LYT10,900,Homo sapiens (Human),175-182(Autoinhibitory helix),18537266,"Ngef Acts as a guanine nucleotide exchange factor (GEF) which differentially activates the GTPases. Ngef has the autoinhibitory helix between 175-182 which can regulate protein by phosphorylation. The substitution of Tyr 179 with Glu (Y179E) within the putative autoinhibitory helix activated Ngef to the same extent as removing this region by truncation, and likely Ngef does.",Experimentally validated,, 1A3Q 2D96 3DO7 4OT9 5ZMC 7CLI 7VUP 7VUQ 7W7L,9
PDGFRA,550-587,ENSG00000134853,P16234,15173825,1089,Kinase,593-954,Uniprot,ENST00000257290,Uniprot,Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a),PDGFRA PDGFR2 RHEPDGFRA,1089,Homo sapiens (Human),525-562(Juxtamembrane region),15173825,"PDGF receptor-? (PDGFR?) is one of members of the PDGF receptor family of RTKs. The family share strong sequence similarity throughout the juxtamembrane region, which contains two Tyr autophosphorylation sites in a Y?Y motif. Deletions and missense mutations in the juxtamembrane region of PDGF receptor family members would be predicted to disrupt the interactions that stabilize the autoinhibitory conformation of the juxtamembrane region.",Experimentally validated,, 1GQ5 5GRN 5K5X 6A32 6JOI 6JOJ 6JOK 6JOL 7LBF,9
VAV1,131-178,ENSG00000141968,P15498,27135163,845,DH,194-373,"Uniprot,11007481",ENST00000602142,Uniprot,Proto-oncogene vav,VAV1 VAV,845,Homo sapiens (Human),1-119(CH domain);120-193(Acidic domain);402-504(PH domain);782-842(C-terminal SH3),"24736456, 18511940","The Vav family is a group of tyrosine phosphorylation-dependent guanine nucleotide exchange factors (GEFs) that activate members of the Rac and Rho families of guanosine triphosphatases (GTPases) downstream of protein tyrosine kinases. Vav proteins are characterized by the presence of a complex array of structural domains. Its autoinhibition mechanism is complex. Autoinhibited structure in mouse Vav1 (P27870) is formed by the interactions of C-terminal SH3-PH-catalytic DH domain. In addition, AC domain also occludes the GTPase-binding region of the DH domain. N-terminal CH domain stabilizes AC-DH interaction.",Annotated by sequence similarity,, 2CRH 2LCT 2MC1 2ROR 3BJI 3KY9 6NEW 6NF1 6NFA,9
,,,P30622,,,,,,,,CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin),CLIP1 CYLN1 RSN,1438,Homo sapiens (Human),1417-1434(C-terminal zinc knuckle domains),17563362,"Cytoplasmic linker protein (CLIP-170 or CLIP1) is a prototype of the plus end-tracking proteins that regulate microtubule dynamics. The CAP-Gly-2 domain possesses a basic groove and directly binds the EExEEY/F motif of the C-terminal acidic-tail ends of ?-tubulin. The C-terminal zinc knuckle domains of CLIP-170 bind the basic groove to inhibit the binding to the acidic tails. Once CLIP-170 binds microtubule, the released zinc knuckle domain may serve to recruit dynein to the plus end by interacting with the dynactin subunit p150Glued and LIS1.  ",Experimentally validated,, 2CP5 2CP6 2E3H 2E3I 2E4H 2HQH 2QK0 3E2U 3RDV,9
,,,O08967,,,,,,,,"Cytohesin-3 (ARF nucleotide-binding site opener 3) (Protein ARNO3) (General receptor of phosphoinositides 1) (Grp1) (PH, SEC7 and coiled-coil domain-containing protein 3) (CLM3) (SEC7 homolog C) (mSec7-3)",Cyth3 Grp1 Pscd3,399,Mus musculus (Mouse),251-265(Sec7-PH linker);383-395(C-terminal helix/polybasic region),18042453,Cyth3 regulates membrane trafficking and actin dynamics. Sec7-PH tandem reveals a pseudosubstrate mechanism of autoinhibition in which the linker region between domains and a C-terminal amphipathic helix physically block the docking sites for the switch regions of Arf GTPases. Truncation of the polybasic motif (383-395) increases the activity of Cyth3 by 20- to 100-fold. The deletion of the Sec-PH linker region (251-265) also increases the Cyth3 activity. ,Experimentally validated,, 1FGY 1FGZ 1FHW 1FHX 1U2B 2R09 2R0D 6BBP 6BBQ,9
,,,P10686,,,,,,,,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-gamma-1) (PLC-gamma-1)",Plcg1,1290,Rattus norvegicus (Rat),668-765(C-terminal SH2 domain),"25916191, 25252913, 17116690, 23219468","Phosphoinositide-specific phospholipase C-gamma1 (PLC-gamma1) mediates the production of seondary messenger molecules, diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3), and is involved in the regulation of intracellular signal transduction. The C-terminal SH2 (SH2C) domain (second SH2 domain) is involved in the autoinhibition of PLC-gamma1 protein. The N-terminal portion of PH domain regulates the binding of SH2C. PLC-gamma1 is a substrate of Itk that recognizes the SH2C domain of PLC-gamma1. The linker downstream of SH2C adopts an intramolecular complex with SHC2 domain, which prevents the recognition of SH2C by Itk.",Experimentally validated,, 1Y0M 1YWO 1YWP 2FJL 3GQI 4K44 4K45 5EG3 6PBC,9
,,,Q06263,,,,,,,,Vacuolar protein sorting-associated protein VTA1 (VPS20-associated protein 1),VTA1 YLR181C,330,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),183-266(Portion of linker region),23880759,"Vta is a co-factor of AAA-ATPase Vps4 via Vps4 stimulatory element (VSE), which is required to functionalize the endosomal sorting complexes required for transport (ESCRTs). The VSE domain is autoinhibited by the Vta1 linker region (183-266), inhibiting the Vps4 stimulation. ESCRT-III binds to the Vta1 microtubule interacting, and trafficking domains relieve linker region autoinhibition of the VSE to produce maximal activation of Vps4 during ESCRT function. Deletion of amino-terminal portions of the linker region resulted in a hyperactive form of Vta1, stimulating Vps4 function by facilitating oligomerization of Vps4 into its active state.",Experimentally validated,, 2LUH 2RKK 2RKL 3MHV 5H7P 5UIE 5XMK 6AP1 6OO2,9
,,,P18654,,,,,,,,Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2),Rps6ka3 Mapkapk1b Rps6ka-rs1 Rsk2,740,Mus musculus (Mouse),697-712(Putative autoinhibitory alpha helix),"22683790, 24085294, 18084304","Annotation was made based on sequence similarity with RPS6KA3(P51812, Homo sapiens). The 90-kDa ribosomal S6 kinase 2 (RSK2) is broadly expressed in response to growth factors, peptide hormones, neurotransmitters, chemokines and other stimuli. The scaffold of the RSK2 CTD is stabilized by the ?L-helix, which occupies the ?radle, rather than by the T-loop. On the basis of this structure of the CTD of RSK2, ERKs are likely to be involved in abolishing the autoinhibitory function of the CTD. The ERKs binding site (residues 726735) is located at the RSK2 C terminus close to the ?L-helix (residues 696710). Efficient activation of RSK2 requires interaction with extracellular signal?egulated protein kinases (ERKs) at a docking site in the RSK2 C terminus (residues 726735) and subsequent phosphorylation of Thr577 in the CTD T-activation loop.",Annotated by sequence similarity,, 2QR7 2QR8 3G51 3UBD 4EL9 4GUE 4M8T 4MAO 5O1S,9
,,,Q7CWV1,,,,,,,,Protelomerase,TelA,,,,35447111,N-terminal domain of the Agrobacterium tumefacians telomere resolvase regulates its DNA cleavage and rejoining activities.,Experimentally validated,, 4DWP 4E0G 4E0J 4E0P 4E0Y 4E0Z 4E10 4F41 4F43,9
,,,P54578,,,,,,,,Ubiquitin carboxyl-terminal hydrolase 14,USP14,,Homo sapiens (Human),,35069211,Proteasome-associated deubiquitinase which releases ubiquitin from the proteasome targeted ubiquitinated proteins. Ensures the regeneration of ubiquitin at the proteasome,Experimentally validated,Yes,2AYN 2AYN 2AYO 5GJQ 6IIK 6IIL 6IIM 6IIN 6LVS,9
